id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/11/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2526499341,1,34,16,0,0,9bxav814mkuhueiyivyive82d,1,0,0,2023-04-01T14:07:31.371Z,2023-04-01T15:16:51Z,4152346217,59,"1, 13, 14, 95, 4, 97, 12, 80, 19, 7, 77, 6, 9, 10, 11, 16, 17, 22, 27, 29",4152346227,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4152346231,194,7jj9gwpuk49bsm2ru06qb44wl,4152887759,197,4727,4152346211,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4152346207,30,"6wplm29z7qxxmujyc2ml19gix, tca8ra7ew1b1uny96ku0ql05, 512mx8ixg85cbefyan94g82y1, 5rh9yiue1qnabbwoyweyus5t6, 6ypo3vp0zupq6s1jbk8rbmq51, baogzi00mwdclwbvkd618evv9, 7jj9gwpuk49bsm2ru06qb44wl, 46vm60m1v8o9t0aesa0bpr42y, 1py4bk2ik16w8lil31bghq99m, co59rv08x22hk5itwibbwq191, b187awt0wdxh20fx1rn5vgewa, 3o7ktan6n28fn5fj7gel6qead, 7pv3n0vj8243p1di16regotsl, 6gdoxudvl1rgcn7d19e89p9ed, 9qk1hoxri8dee6yat0cateqxh, cglp4k40r1t672m7j0eb5ktsl, aujgya83jg4eylvm7hjjbbasq, 9br3ebcuzl5b755kwuxgey3md, 8tesu8352jvqfvclei8hykjbp, doc6xdg2vumiyoamostngr36d",4152346221,130,17,4152346235,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526503699,1,34,16,0,0,3unkqo2g6ag99gd5ynz1j7vse,1,0,0,2023-04-01T14:09:25.121Z,2023-04-01T15:12:55Z,4152369091,130,17,4152369093,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4152369087,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4152369085,30,"8xdrtww8r5jbxuxtall0wh591, 4hns4p7a45kno60qqzlniycmi, 57sdn53awg8fzbygrwchg6u7e, eznhm6o1jymvzaucjlngbaad, 2smai2vq1r9xnemihvcq0doet, 7etm5qf3sonimtxllrw5xwkid, 3h3g7sne1jjevj0mwyliehm95, c8mp2wwwyvy930vfjnivg2hre, a7rdypucykxo0a9xmcuqzabpx, demp53kye0ium76t240vo8cet, 9bkzl4dx3mci3w86rjpfkwowk, 2ri663cf9ev3wiyuk73e83zf8, 1bs4vwqye00mn2oaxrvfkkt7t, bj37ny1s1gbbe4wrgyz1wag9h, 900q6uo21i95co96snohqofyt, 1jbm4rhckr1gmwld08ey819m, dj2f6zk2cd8u9lt6odoei9cdl, ckcjk3zjpix288d6zihltlst0, 9nhlgi0k783bq8a2704bu6n6d, e0cuitfnnziyrdtuu9j1u2kgk",4152369097,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4152888031,197,15910,4152369089,59,"30, 18, 26, 17, 23, 4, 6, 8, 20, 11, 29, 33, 1, 7, 9, 15, 19, 22, 24, 25",4152369095,194,2smai2vq1r9xnemihvcq0doet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526602793,2,32,1,0,0,9bxav814mkuhueiyivyive82d,1,0,0,2023-04-01T15:00:07.320Z,2023-04-02T02:18:50Z,4152892787,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526602783,2,32,1,0,0,3unkqo2g6ag99gd5ynz1j7vse,1,0,0,2023-04-01T15:00:07.320Z,2023-04-01T15:00:09Z,4152892727,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526602847,3,1,1,0,0,9bxav814mkuhueiyivyive82d,1,50.3,50.3,2023-04-01T15:00:07.476Z,2023-04-02T02:27:01Z,4152893051,141,56.0,4152893047,140,32.7,4152893053,212,18.9,4152893059,279,S,4152893045,56,Back,4155885789,178,,4152893057,213,2.9,,,,1py4bk2ik16w8lil31bghq99m,M. Abline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526602903,4,1,1,0,2,9bxav814mkuhueiyivyive82d,1,37.5,56.6,2023-04-01T15:00:09.795Z,2023-04-02T07:38:01Z,4152893271,212,16.9,4155886077,178,,4152893265,56,Back,4152893273,213,2.3,4152893269,141,75.0,4152893267,140,26.7,,,,,,,7jj9gwpuk49bsm2ru06qb44wl,B. Touré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526602941,5,1,1,0,4,9bxav814mkuhueiyivyive82d,1,31.8,76.6,2023-04-01T15:00:11.928Z,2023-04-02T07:38:01Z,4152893443,56,Back,4152893455,213,4.4,4152893453,212,25.2,4155886263,178,,4152893447,140,23.5,4152893451,141,41.9,,,,,,,5rh9yiue1qnabbwoyweyus5t6,S. Touré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526602947,6,1,1,0,8,9bxav814mkuhueiyivyive82d,0,24.4,27.3,2023-04-01T15:00:15.576Z,2023-04-02T07:38:00Z,4152893479,141,0.0,4152893475,56,Back,4155886467,178,,4152893481,212,26.5,4152893477,140,41.7,4152893483,213,5.5,,,,,,,6ypo3vp0zupq6s1jbk8rbmq51,Jubal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526603143,3,5,1,0,11,3unkqo2g6ag99gd5ynz1j7vse,1,60.6,101.4,2023-04-01T15:00:18.729Z,2023-04-02T02:27:17Z,4152894473,56,Left,4152894511,233,7,4152894475,347,,,,,,,,,,,,,,,,,a7rdypucykxo0a9xmcuqzabpx,R. Ripart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526602955,7,5,1,0,11,9bxav814mkuhueiyivyive82d,0,39.4,-1.4,2023-04-01T15:00:18.729Z,2023-04-02T02:27:18Z,4152894585,233,3,4152893519,347,,4152893517,56,Back,,,,,,,,,,,,,,,,baogzi00mwdclwbvkd618evv9,R. Raveloson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
