id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/9/value,qualifier/12/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/11/value,assist,qualifier/18/value,qualifier/16/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2497626453,1,34,16,0,0,be2k34rut1lz79jxenabttqlc,1,0,0,2023-01-15T11:14:11.467Z,2023-01-15T12:06:17Z,3979250281,194,31sljkjull0n7082fed26stzp,3979250279,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3979250283,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3979353037,197,15939,3979250273,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3979250277,130,2,3979250271,30,"8h5jl1u3p8sr2pwdmyxl14416, 7c0b5fz3m1uw0fwpm051e6rfu, e5xxqwz0sdlwkkmp8bgs1k6w9, bt40tdni85hiz1gtkw0b6qmfo, 6q793p9lurdevqmetgoke54wk, 8jjep8bx1jpjuf8firxccc549, 4zg62bpjlxntoruzlk4qnzumt, 31sljkjull0n7082fed26stzp, efcz85z2tvggsucnvivkmsxyh, b8dd5q3n5irlkcv0ekzqhzc2x, 7nivkfkngr374fx5totgektm1, 2ols4tslj83nkbztgkx9s92hh, avk0vktquq3oum9w6dyodlz6y, e211nih87ou9t8crzjbbzhexh, c1fcxha3l058brl1925muv2l1, 3pz4ro9b1u6u45gs7d6apmo5x, 4st4hurqbtyzw1tbkzuuk78fe, 1zx0huwj0czivtoq6kvfb5roq",3979250275,59,"30, 18, 22, 35, 15, 3, 11, 21, 27, 9, 20, 1, 4, 6, 16, 10, 23, 26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497627479,1,34,16,0,0,3unkqo2g6ag99gd5ynz1j7vse,1,0,0,2023-01-15T11:17:01.072Z,2023-01-15T11:59:49Z,3979255881,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3979255869,30,"1bs4vwqye00mn2oaxrvfkkt7t, 4hns4p7a45kno60qqzlniycmi, e0tmfkagd1lmf2hw7gctbaqqd, 9nhlgi0k783bq8a2704bu6n6d, eznhm6o1jymvzaucjlngbaad, 7etm5qf3sonimtxllrw5xwkid, dj2f6zk2cd8u9lt6odoei9cdl, 5x4cp16m9z8vzgq1kkjvm71ed, bj37ny1s1gbbe4wrgyz1wag9h, demp53kye0ium76t240vo8cet, 577j49ffrxuurraco9chy388a, 87gvtfqgn555sywr78abximsp, 3h3g7sne1jjevj0mwyliehm95, 900q6uo21i95co96snohqofyt, a7rdypucykxo0a9xmcuqzabpx, 4kwa4ce4rbgbixli3up7fgqfp, ckcjk3zjpix288d6zihltlst0, 2smai2vq1r9xnemihvcq0doet, 9bkzl4dx3mci3w86rjpfkwowk, 8xdrtww8r5jbxuxtall0wh591",3979255879,194,eznhm6o1jymvzaucjlngbaad,3979353839,197,15911,3979255873,59,"1, 18, 12, 24, 17, 4, 19, 10, 7, 11, 39, 2, 6, 9, 20, 21, 22, 23, 29, 30",3979255877,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3979255871,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3979255875,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497647905,2,32,1,0,0,3unkqo2g6ag99gd5ynz1j7vse,1,0,0,2023-01-15T12:00:21.879Z,2023-01-15T12:00:22Z,3979362629,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497647899,2,32,1,0,0,be2k34rut1lz79jxenabttqlc,1,0,0,2023-01-15T12:00:21.879Z,2023-01-15T18:09:19Z,3979362601,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497647947,3,1,1,0,0,be2k34rut1lz79jxenabttqlc,1,49.9,49.9,2023-01-15T12:00:21.887Z,2023-01-15T18:16:29Z,3979362789,213,2.4,3979362781,56,Back,3979362785,141,63.6,3979362791,279,S,3979362787,212,14.2,3979362783,140,39.7,3980503073,178,,,,,efcz85z2tvggsucnvivkmsxyh,M. Bayo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497647963,4,1,1,0,2,be2k34rut1lz79jxenabttqlc,1,41.5,55.1,2023-01-15T12:00:24.772Z,2023-01-15T22:35:26Z,3979362859,140,32.7,3979362863,212,18.4,3979362857,56,Back,3980504019,178,,3979362861,141,31.7,3979362865,213,4.2,,,,,,,31sljkjull0n7082fed26stzp,B. André,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497647981,5,1,1,0,4,be2k34rut1lz79jxenabttqlc,1,37.2,29.7,2023-01-15T12:00:26.830Z,2023-01-15T22:35:25Z,3980504133,178,,3979362949,141,50.3,3979362953,213,2.1,3979362945,56,Back,3979362951,212,15.9,3979362947,140,30.1,,,,,,,7c0b5fz3m1uw0fwpm051e6rfu,B. Diakité,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497647997,6,1,1,0,6,be2k34rut1lz79jxenabttqlc,1,30.1,49.2,2023-01-15T12:00:28.660Z,2023-01-15T22:35:24Z,3980504303,178,,3979363039,212,20.3,3979363033,56,Back,3979363037,141,78.2,3979363041,213,1.3,3979363035,140,34.7,,,,,,,6q793p9lurdevqmetgoke54wk,L. Yoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497648011,7,1,1,0,10,be2k34rut1lz79jxenabttqlc,1,28.6,70.2,2023-01-15T12:00:32.184Z,2023-01-15T22:35:22Z,3979363139,212,31.6,3979363137,141,24.5,3979363141,213,4.9,3979363135,140,34.2,3980504437,178,,3979363133,56,Back,,,,,,,8jjep8bx1jpjuf8firxccc549,Tiago Djaló,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497648031,8,1,1,0,13,be2k34rut1lz79jxenabttqlc,1,30.6,20.4,2023-01-15T12:00:34.939Z,2023-01-15T22:35:21Z,3979363299,213,5.8,3979363295,141,6.7,3980504563,178,,3979363291,56,Back,3979363297,212,18.8,3979363293,140,46.2,,,,,,,7c0b5fz3m1uw0fwpm051e6rfu,B. Diakité,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
