id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/9/value,qualifier/12/value,qualifier/13/value,qualifier/14/value,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2479573433,1,34,16,0,0,70nn27vgkt6l48lvv5e66q7ww,1,0,0,2022-10-30T15:30:36.433Z,2022-10-30T16:07:09Z,3884200239,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3884200233,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3884200235,59,"38, 24, 25, 8, 15, 3, 7, 10, 11, 21, 37, 1, 4, 9, 12, 13, 17, 22, 29, 70",3884200231,30,"6790uxmc1zs4emxtqf7vl6imt, 322sju1vi12p0r9a8048hnmxh, 538zux65h0l9028fpf4v1g0r9, 7cty3nkd7c84e16537v6y1djp, d8jdziu0arw1rcx5byxd7rj6d, 996i59930r3kd4xk48x9fsp2h, 2abpo4w3jcxp1wzp50yypxsrt, 44o5mjglkzqxctz07ust9bcru, dg4782hj9xdqg46w225kzph5g, e83sc1gnj31vgpo9u6fknmfvt, 2zvbw080n4yro1phgv39ri3qi, 6oi4a3g56xe76g0gg38knmzmd, cyz9jisw86vjjf85xxgbae0yy, 466ev7tumk8flx0gz9d0h15d6, e32urdrdkp44zmnt6ptg0k12i, 33jtnv5kyzyw1it7y9czhn4a2, d5hzf2vv84jfne8ijsdjqd52h, 2tc8y9du64tjno62zll2jhy7e, 8n0560evn4ni29dw9xece45ey, 2qkesslfmzmgt7igvgosixg8a",3884200241,194,538zux65h0l9028fpf4v1g0r9,3884414679,197,641,3884200237,130,7,3884200243,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479576355,1,34,16,0,0,bx0cdmzr2gwr70ez72dorx82p,1,0,0,2022-10-30T15:33:05.846Z,2022-10-30T16:06:28Z,3884216255,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3884216251,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3884216253,194,azuc3tma44xyrbgf5y279o1xx,3884216247,59,"1, 20, 26, 8, 25, 4, 28, 99, 11, 29, 14, 15, 16, 18, 19, 21, 23, 24, 42, 77",3884406457,197,15913,3884216245,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3884216249,130,2,3884216243,30,"8govqd0xf8ijst50tgypaep5h, 99f4n1ws494k96r9ewdcrecbt, 7sep6mx2s67mh5fr3raxu7aei, vja0xo3xiuax8eh0b6q3y09, 7cp51c8zn7y08iyk0hc9ix5nt, azuc3tma44xyrbgf5y279o1xx, e7e68wlpiqqohpg71oh4vrbl6, 8rfgwq7hbi4a3imda845vdyvp, dxeju5zcb6j8etdgwq0kweor9, 3n9jnuteyjx6w6dxviuead0b9, 5ak9fwtqlr2pll0nsv5br7p7u, 5q0q6f1hk7afy5i4hmkf9xj9x, 5o0h8eeydl8t92qp3ywekqh1x, 6zerxodnjkvpko1ogfwd2hgyc, 6j0ogojh2b7poyceg7i3k09yi, 2kgvn1lt5yjsixg13fj0cidt6, 8f3bhiy6r5eei1n25exhbwr8p, 7fcq014jmdb0uqldcts6tglat, 2e0ipswbkv4vf7lav6ee1j3oq, 9tqbuv5f466mzo4fx4ll0drvu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479614189,2,32,1,0,0,bx0cdmzr2gwr70ez72dorx82p,1,0,0,2022-10-30T16:05:35.454Z,2022-10-30T16:05:35Z,3884420447,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479614203,2,32,1,0,0,70nn27vgkt6l48lvv5e66q7ww,1,0,0,2022-10-30T16:05:35.454Z,2022-10-30T23:31:56Z,3884420523,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479614233,3,1,1,0,0,70nn27vgkt6l48lvv5e66q7ww,1,50.1,49.7,2022-10-30T16:05:35.505Z,2022-10-31T04:31:46Z,3884420663,56,Back,3884420669,212,14.6,3884420665,140,36.3,3884420667,141,52.6,3884420671,213,3.0,3885977343,178,,3884420673,279,S,,,,e83sc1gnj31vgpo9u6fknmfvt,J. Ponceau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479614269,4,1,1,0,1,70nn27vgkt6l48lvv5e66q7ww,1,35.2,44.6,2022-10-30T16:05:37.021Z,2022-10-31T04:31:48Z,3884420851,141,40.7,3884420855,213,5.1,3885977387,178,,3884420847,56,Back,3884420853,212,2.8,3884420849,140,36.1,,,,,,,996i59930r3kd4xk48x9fsp2h,M. Talbi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479614351,5,1,1,0,3,70nn27vgkt6l48lvv5e66q7ww,0,36.6,40.4,2022-10-30T16:05:38.563Z,2022-10-31T04:32:02Z,3884421223,56,Left,3884421229,212,73.2,3884421231,213,0.6,3885977537,178,,3884421219,155,,3884421233,1,,3884421221,196,,3884421225,140,94.0,d8jdziu0arw1rcx5byxd7rj6d,J. Laporte,3884421227,141,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479614471,3,5,1,0,9,bx0cdmzr2gwr70ez72dorx82p,1,8.7,-1,2022-10-30T16:05:44.866Z,2022-10-31T04:32:11Z,3884421833,56,Back,3884421861,233,6,3884421835,347,,,,,,,,,,,,,,,,,99f4n1ws494k96r9ewdcrecbt,Y. Atal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479614357,6,5,1,0,9,70nn27vgkt6l48lvv5e66q7ww,0,91.3,101,2022-10-30T16:05:44.866Z,2022-10-31T04:32:12Z,3884421257,347,,3884421253,56,Left,3884421911,233,3,,,,,,,,,,,,,,,,d8jdziu0arw1rcx5byxd7rj6d,J. Laporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479614495,4,1,1,0,15,bx0cdmzr2gwr70ez72dorx82p,1,9.9,0,2022-10-30T16:05:50.713Z,2022-10-31T04:32:22Z,3884421997,213,0.7,3884421989,56,Back,3884421995,212,9.3,3884421991,140,16.8,3884421987,107,,3884421993,141,7.3,,,,,,,99f4n1ws494k96r9ewdcrecbt,Y. Atal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
