id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,assist,qualifier/8/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,keyPass,qualifier/15/value,qualifier/16/value,qualifier/14/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/18/value
2469587753,1,34,16,0,0,3unkqo2g6ag99gd5ynz1j7vse,1,0,0,2022-10-09T12:10:08.088Z,2022-10-09T13:01:23Z,3831280331,130,11,3831280339,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3831280325,30,"8xdrtww8r5jbxuxtall0wh591, dj2f6zk2cd8u9lt6odoei9cdl, 57sdn53awg8fzbygrwchg6u7e, eznhm6o1jymvzaucjlngbaad, 2smai2vq1r9xnemihvcq0doet, 7etm5qf3sonimtxllrw5xwkid, 9bkzl4dx3mci3w86rjpfkwowk, 3h3g7sne1jjevj0mwyliehm95, bj37ny1s1gbbe4wrgyz1wag9h, 5x4cp16m9z8vzgq1kkjvm71ed, a7rdypucykxo0a9xmcuqzabpx, 1bs4vwqye00mn2oaxrvfkkt7t, 87gvtfqgn555sywr78abximsp, 4hns4p7a45kno60qqzlniycmi, 1vpmf7p9xsaynj1t9g5wm1qz9, 900q6uo21i95co96snohqofyt, demp53kye0ium76t240vo8cet, e0tmfkagd1lmf2hw7gctbaqqd, 9nhlgi0k783bq8a2704bu6n6d, 577j49ffrxuurraco9chy388a",3831280335,194,2smai2vq1r9xnemihvcq0doet,3831280329,59,"30, 19, 26, 17, 23, 4, 29, 6, 7, 10, 20, 1, 2, 18, 5, 9, 11, 12, 24, 39",3831280333,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3831280337,197,15911,3831280327,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469587959,1,34,16,0,0,bx0cdmzr2gwr70ez72dorx82p,1,0,0,2022-10-09T12:10:20.142Z,2022-10-09T12:56:43Z,3831281281,130,13,3831281285,194,azuc3tma44xyrbgf5y279o1xx,3831281277,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3831281275,30,"8govqd0xf8ijst50tgypaep5h, 99f4n1ws494k96r9ewdcrecbt, 5q0q6f1hk7afy5i4hmkf9xj9x, 2e0ipswbkv4vf7lav6ee1j3oq, azuc3tma44xyrbgf5y279o1xx, 7cp51c8zn7y08iyk0hc9ix5nt, 8rfgwq7hbi4a3imda845vdyvp, 6j0ogojh2b7poyceg7i3k09yi, e3kdoxu1kwn2w3wwi1rqhvr9x, 3n9jnuteyjx6w6dxviuead0b9, ct32113pfx5q9avf2c0x208ru, vja0xo3xiuax8eh0b6q3y09, dxeju5zcb6j8etdgwq0kweor9, 5ak9fwtqlr2pll0nsv5br7p7u, 2kgvn1lt5yjsixg13fj0cidt6, 8f3bhiy6r5eei1n25exhbwr8p, 7fcq014jmdb0uqldcts6tglat, 7sep6mx2s67mh5fr3raxu7aei, e7e68wlpiqqohpg71oh4vrbl6, 8pgocmr00qw7b9919c8zh4bmx",3831281279,59,"1, 20, 15, 42, 4, 25, 99, 19, 7, 29, 10, 8, 11, 14, 21, 23, 24, 26, 28, 90",3831490209,197,15912,3831281287,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3831281283,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469635553,2,32,1,0,0,3unkqo2g6ag99gd5ynz1j7vse,1,0,0,2022-10-09T13:00:06.998Z,2022-10-09T13:00:07Z,3831503009,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469635557,2,32,1,0,0,bx0cdmzr2gwr70ez72dorx82p,1,0,0,2022-10-09T13:00:06.998Z,2023-03-29T07:09:04Z,3831503039,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469635613,3,1,1,0,0,3unkqo2g6ag99gd5ynz1j7vse,1,50.2,49.7,2022-10-09T13:00:07.103Z,2022-10-09T19:34:17Z,3831503291,141,60.3,3831503287,56,Back,3831503295,213,2.6,3833359739,178,,3831503293,212,13.3,3831503289,140,39.6,3831503297,279,S,,,,bj37ny1s1gbbe4wrgyz1wag9h,Mama Baldé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469635623,4,1,1,0,2,3unkqo2g6ag99gd5ynz1j7vse,1,38.8,58.6,2022-10-09T13:00:09.144Z,2022-10-09T23:46:00Z,3833361095,178,,3831503361,212,16.0,3831503357,140,39.3,3831503359,141,35.1,3831503363,213,4.7,3831503355,56,Back,,,,,,,5x4cp16m9z8vzgq1kkjvm71ed,F. Tardieu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469635653,5,1,1,0,5,3unkqo2g6ag99gd5ynz1j7vse,1,39.6,32.1,2022-10-09T13:00:12.345Z,2022-10-09T23:45:59Z,3833361511,178,,3831503501,56,Back,3831503505,141,3.1,3831503509,213,4.9,3831503503,140,43.3,3831503507,212,20.1,,,,,,,3h3g7sne1jjevj0mwyliehm95,R. Kouamé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469635747,6,1,1,0,6,3unkqo2g6ag99gd5ynz1j7vse,1,43.1,7.2,2022-10-09T13:00:13.458Z,2022-10-09T23:45:59Z,3831503941,213,2.3,3831503935,140,32.9,3831503939,212,15.3,3831503933,56,Back,3831503937,141,23.3,3833361883,178,,,,,,,,dj2f6zk2cd8u9lt6odoei9cdl,A. Bruus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469635771,7,1,1,0,9,3unkqo2g6ag99gd5ynz1j7vse,1,26.9,23.4,2022-10-09T13:00:16.394Z,2022-10-09T23:45:58Z,3831504027,141,41.6,3833362129,178,,3831504023,56,Back,3831504031,213,1.9,3831504029,212,13.1,3831504025,140,22.7,,,,,,,7etm5qf3sonimtxllrw5xwkid,E. Palmer-Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469635795,8,1,1,0,11,3unkqo2g6ag99gd5ynz1j7vse,1,20.4,42.5,2022-10-09T13:00:18.409Z,2022-10-09T23:45:57Z,3831504111,212,17.5,3831504107,140,3.8,3833362293,178,,3831504105,56,Back,3831504109,141,44.8,3831504113,213,3.1,,,,,,,2smai2vq1r9xnemihvcq0doet,A. Rami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469635799,9,1,1,0,14,3unkqo2g6ag99gd5ynz1j7vse,1,1.7,33.7,2022-10-09T13:00:21.532Z,2022-10-09T23:45:56Z,3831504145,213,5.1,3831504141,141,13.7,3831504139,140,6.7,3833362615,178,,3831504143,212,14.6,3831504137,56,Back,,,,,,,8xdrtww8r5jbxuxtall0wh591,G. Gallon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469635843,10,1,1,0,16,3unkqo2g6ag99gd5ynz1j7vse,1,7.7,10.4,2022-10-09T13:00:23.005Z,2022-10-09T23:45:56Z,3831504395,140,25.7,3831504399,212,19.8,3833362951,178,,3831504393,56,Back,3831504401,213,6.0,3831504397,141,1.6,,,,,,,7etm5qf3sonimtxllrw5xwkid,E. Palmer-Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469635859,11,1,1,0,18,3unkqo2g6ag99gd5ynz1j7vse,0,19.5,4.5,2022-10-09T13:00:25.504Z,2022-10-09T23:45:55Z,3831504563,233,3,3833363455,178,,3831504493,141,1.1,3831504567,286,,3831504497,213,5.9,3831504495,212,6.7,3831504489,56,Back,3831504491,140,25.5,dj2f6zk2cd8u9lt6odoei9cdl,A. Bruus,3831504561,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469635865,3,74,1,0,18,bx0cdmzr2gwr70ez72dorx82p,1,79.9,95.2,2022-10-09T13:00:25.598Z,2022-10-09T23:45:55Z,3831504547,285,,3833363853,178,,3831504615,233,11,3831504545,56,Left,,,,,,,,,,,,,5q0q6f1hk7afy5i4hmkf9xj9x,J. Bryan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
