id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/9/value,qualifier/12/value,qualifier/14/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/13/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId
2452452331,1,34,16,0,0,3c3jcs7vc1t6vz5lev162jyv7,1,0,0,2022-08-28T14:12:43.150Z,2022-08-28T14:59:32Z,3740199801,197,662,3740033221,194,976riwm0dz0e74d4l28y3ttcl,3740033215,59,"1, 4, 28, 5, 2, 6, 15, 26, 3, 39, 29, 7, 8, 10, 11, 18, 19, 24, 70, 94",3740033211,30,"4ilnnpfgjfz35lni9ppzd93v9, afymbx9eo87zau8mo99pakbu, 2ds26ub6ho0baamsjcmh7mmfo, 976riwm0dz0e74d4l28y3ttcl, 72d5uxwcmvhd6mzthxuvev1sl, 9p5jc07qnxrzpcmnh1cp6b3l5, 8qmm84tue6kuz8e5nhhdhmz8p, fvd7y3f6948713acbas7w3u2, 8gkexxgf3pypshhqwg6ibp7o4, cmrdm4nnd62inlvsnc52vkicp, edti8t30h7ukwi3wqlzaczje1, e6ok0deqkoe80184iu509gzu2, 2lvit204llltk13iglsa2tjah, agwvouyocx93y39g7tmwaojx1, 3jqxaa2l6gqwxl2mr8w0yiiy2, dlybxu0l5r7yi8i11myd7ldgq, 7ty1wdxxnusgkl34k5raipbl5, 36h87ecgmpjdltk1epsbvmiju, ccu7hw3wrcspl1a18g2ldnsh5, 89sv092huj2obzdazmft854a1",3740033213,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3740033217,130,18,3740033219,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3740033223,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452455263,1,34,16,0,0,121le8unjfzug3iu9pgkqa1c7,1,0,0,2022-08-28T14:16:38.423Z,2022-08-28T22:42:23Z,3740048747,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3740048741,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",3740048753,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3740048749,194,f4cykd65su8xbme6xdc1iw7o5,3740048751,197,16710,3740048743,59,"35, 27, 3, 24, 23, 4, 22, 88, 91, 20, 7, 6, 9, 12, 15, 18, 21, 26, 40",3740048739,30,"7to9ns7mkuji0ciwh1ufkq3md, 8jt4vsixxoqp4uvskyfl7k222, 40hu79d2a4k94nc52z7dblpsl, 6ovea0xzg9yflmlbjdf1xcmlm, 3vu0c0j8n99wz6e2f7fmd2pxx, aaaskdins76bd0368sbpt7wq2, 7ef73s1ryz38blmo3n9p9c82x, d68byfvk16giaur32gqwpwded, f4cykd65su8xbme6xdc1iw7o5, 79nno03ww57p02dz5o0g60rqi, 9mory3y7p8aku035r2kxtvz6d, 79dz7zni5fcgh5e70spoj2j8p, d9zax4y92d85x7j63kg7ckvkl, 8rcole4a6y4fkamv87q3hqk0l, 7c5uk1ts8jlu88p1x6wubuz8p, 1ehcji0j9s8b0qsj8v5zinjvu, 46acb400oivj94jwu3i3lrxsl, a71n80h977h7fu99ftnri5zsa, 1rsywvl7266o5ldvfps43l8q2",3740048745,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452485167,2,32,1,0,0,3c3jcs7vc1t6vz5lev162jyv7,1,0,0,2022-08-28T15:05:07.632Z,2022-08-28T21:10:05Z,3740212467,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452485185,2,32,1,0,0,121le8unjfzug3iu9pgkqa1c7,1,0,0,2022-08-28T15:05:07.632Z,2022-08-28T15:05:10Z,3740212531,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452485193,3,1,1,0,0,3c3jcs7vc1t6vz5lev162jyv7,1,50,50,2022-08-28T15:05:07.639Z,2022-08-28T21:26:56Z,3740212581,212,13.8,3741856547,178,,3740212577,140,36.9,3740212585,279,S,3740212573,56,Back,3740212579,141,50.6,3740212583,213,3.1,,,,edti8t30h7ukwi3wqlzaczje1,F. Balogun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452485217,4,1,1,0,2,3c3jcs7vc1t6vz5lev162jyv7,0,40.7,52.3,2022-08-28T15:05:09.847Z,2022-08-29T02:54:50Z,3740212693,141,27.6,3740212699,1,,3740212687,155,,3741856631,178,,3740212695,212,34.7,3740212697,213,5.8,3740212689,56,Center,3740212691,140,69.6,fvd7y3f6948713acbas7w3u2,D. Lopy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452485231,3,1,1,0,4,121le8unjfzug3iu9pgkqa1c7,0,29.6,71.3,2022-08-28T15:05:12.631Z,2022-08-29T02:54:49Z,3740212769,140,44.8,3741856883,178,,3740212765,3,,3740212771,141,80.3,3740212773,212,17.1,3740212767,56,Back,3740212775,213,0.4,,,,aaaskdins76bd0368sbpt7wq2,C. Lukeba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452485253,5,1,1,0,6,3c3jcs7vc1t6vz5lev162jyv7,1,53.8,21.5,2022-08-28T15:05:14.029Z,2022-08-29T02:54:49Z,3740212889,56,Right,3740212891,140,71.9,3740212897,213,6.1,3741857411,21,,3740212895,212,19.5,3740212893,141,14.9,3741857409,178,,,,,9p5jc07qnxrzpcmnh1cp6b3l5,A. Gravillon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452485265,6,1,1,0,8,3c3jcs7vc1t6vz5lev162jyv7,0,63.8,14.3,2022-08-28T15:05:16.548Z,2022-08-29T02:54:48Z,3740212965,140,91.8,3740212971,213,6.2,3740212969,212,29.4,3740212963,56,Right,3740212961,155,,3741857717,178,,3740212967,141,12.6,,,,cmrdm4nnd62inlvsnc52vkicp,J. Ito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452485263,4,49,1,0,12,121le8unjfzug3iu9pgkqa1c7,1,8.8,87.2,2022-08-28T15:05:19.933Z,2022-08-29T02:54:48Z,,,,,,,,,,,,,,,,,,,,,,,,,aaaskdins76bd0368sbpt7wq2,C. Lukeba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
