id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/10/value,assist,qualifier/14/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2479405867,1,34,16,0,0,z1wbqtd0fz5t5eezjvrbld3h,1,0,0,2022-10-30T13:04:13.248Z,2022-10-30T13:58:57Z,3883310859,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3883310857,30,"cym4wbw14zw1jh4jsp3sbyk0l, xrh2szvp5808no7zm1et2zf9, 2ubad2kxha6n1c8c8sr2ogmad, c7xltzkcj4u5qmw4j1e9gxmmt, ayx2iydekv69471d92zmpbbze, 8qlz4omhgfnzyb2cgeou7xn56, draibw1vui84ciizu30az81jp, 3hd9nxdb54zn4fhbf7qa7x0q1, dw9fzixumboknmucqgqffurmy, 6u2ob6fv950r1qve8uejkq2uh, 9b7iei751ersl6ny0o0k8gn3d, 3o70kdbjt6w1aw7rkq3a4fecq, otan631zzfnq2sektkl3ywo9, 92qqdiryqd8juqdjq8585476y, 49vfeofafswzu1f6rekqjbjhm, 448wxnlqhqqf2hcecwut90n6y, 85gmjxvy1g5aj1lcizegwuaui, crn7i9243dnczl74jti8i5pzp, 6n54br4iwdggqvid7oirzfn8q, 1py4bk2ik16w8lil31bghq99m",3883310863,130,2,3883310861,59,"30, 27, 25, 80, 15, 5, 14, 21, 9, 19, 7, 1, 2, 3, 6, 10, 11, 20, 22, 28",3883310865,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3883566381,197,665,3883310869,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3883310867,194,xrh2szvp5808no7zm1et2zf9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479412115,1,34,16,0,0,2cjpmotqo8phcqfpgo9xf4gel,1,0,0,2022-10-30T13:09:56.031Z,2022-10-30T14:46:20Z,3883342033,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3883342021,30,"a065rtv2lfh0rso33dfuah4ut, 8cawa8470beg2ce0as7hv5psl, 5w9g9gfeucuccwxd09o62f84p, azcv772qzdbz1exafx3od6lt5, 2snhhbt5230mm0rxigcqitqdx, 859tcp8023r5cki7uju30l9t5, 8yirlj1hpoqnuczpywgzlblxx, 7teasnynvwarky180hl6zvkk5, d8m8y59eum57eu7kiat38rkk5, 6ir1z8c3o7t4kqx04kw24i415, 7za8h1pgec0y2s1ihmkkfvpm2, 1yj1kt2cx24nn4zt5h1ma1olx, 230qvyk9dg4plwzobjj6thmqy, 8ikvcyvko9qou241buomqqv6y, cr1n1i96xlepbvk90nl87o4yc, 1k6t5y26ufw2e6gh33tni45ey, 6ds6v3u0jyno9kzjkve3dp8mh, c9cz1c96qve4i4li6jjqhkcno, 88h5b1mjn92tuaqcoekzxqh3o, f2wjw84p0ztxt636u2ibnoxxx",3883342025,59,"90, 2, 27, 31, 6, 77, 11, 12, 99, 7, 13, 9, 18, 19, 22, 29, 30, 36, 37, 75",3883342031,194,8yirlj1hpoqnuczpywgzlblxx,3883915031,197,17521,3883342023,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3883342029,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3883342027,130,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479456355,2,32,1,0,0,z1wbqtd0fz5t5eezjvrbld3h,1,0,0,2022-10-30T14:00:16.603Z,2022-10-30T22:59:37Z,3883571695,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479456251,2,32,1,0,0,2cjpmotqo8phcqfpgo9xf4gel,1,0,0,2022-10-30T14:00:16.603Z,2022-10-30T14:00:16Z,3883571147,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479456317,3,1,1,0,0,2cjpmotqo8phcqfpgo9xf4gel,1,49.9,49.7,2022-10-30T14:00:16.631Z,2022-10-30T23:23:20Z,3883571481,279,S,3883571471,56,Back,3883571475,141,53.3,3883571473,140,40.9,3885797955,178,,3883571477,212,9.8,3883571479,213,2.9,,,,6ir1z8c3o7t4kqx04kw24i415,A. Nordin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479456341,4,1,1,0,2,2cjpmotqo8phcqfpgo9xf4gel,1,41.7,50.9,2022-10-30T14:00:18.649Z,2022-10-31T04:02:43Z,3883571615,212,22.0,3883571611,140,32.1,3883571613,141,79.7,3885797999,178,,3883571609,56,Back,3883571617,213,2.0,,,,,,,7teasnynvwarky180hl6zvkk5,J. Ferri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479456367,5,1,1,0,4,2cjpmotqo8phcqfpgo9xf4gel,0,34.1,87.2,2022-10-30T14:00:21.426Z,2022-10-31T04:02:43Z,3883571761,140,47.9,3883571765,212,14.5,3885798025,178,,3883571763,141,88.0,3883571759,56,Back,3883571767,213,0.0,,,,,,,azcv772qzdbz1exafx3od6lt5,N. Cozza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479456395,3,8,1,0,5,z1wbqtd0fz5t5eezjvrbld3h,1,52.3,5.2,2022-10-30T14:00:22.041Z,2022-10-31T04:02:42Z,3885798071,178,,3885269529,385,,3883571925,56,Right,3883571991,15,,,,,,,,,,,,,,xrh2szvp5808no7zm1et2zf9,H. Traoré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479866145,929,67,1,0,7,z1wbqtd0fz5t5eezjvrbld3h,1,38.5,27.7,2022-10-30T14:00:24.127Z,2022-10-31T04:02:42Z,3885801005,233,826,,,,,,,,,,,,,,,,,,,,,,c7xltzkcj4u5qmw4j1e9gxmmt,Xeka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479866143,826,67,1,0,7,2cjpmotqo8phcqfpgo9xf4gel,0,61.5,72.3,2022-10-30T14:00:24.128Z,2022-10-31T04:02:42Z,3885801009,233,929,,,,,,,,,,,,,,,,,,,,,,6ir1z8c3o7t4kqx04kw24i415,A. Nordin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479456419,4,61,1,0,7,z1wbqtd0fz5t5eezjvrbld3h,0,39,27.3,2022-10-30T14:00:24.161Z,2022-10-31T04:02:41Z,3885798467,178,,3883572065,56,Back,,,,,,,,,,,,,,,,,,,c7xltzkcj4u5qmw4j1e9gxmmt,Xeka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479456539,6,1,1,0,10,2cjpmotqo8phcqfpgo9xf4gel,1,72.9,95.8,2022-10-30T14:00:27.579Z,2022-10-31T04:02:40Z,3883572703,141,54.3,3883573261,210,15,3883573263,154,,3883572701,140,74.7,3883572695,155,,3883572705,212,28.3,3883572707,213,4.8,3883572697,56,Center,7za8h1pgec0y2s1ihmkkfvpm2,J. Chotard,1,3885798503,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479456545,7,15,1,0,14,2cjpmotqo8phcqfpgo9xf4gel,1,75.3,59.7,2022-10-30T14:00:30.653Z,2022-10-31T04:02:39Z,3883573293,108,,3883572817,20,,3885798551,178,,3883572735,56,Center,3883573289,102,50.2,3883573361,233,6,3883573291,103,23.4,3883573285,55,6,8yirlj1hpoqnuczpywgzlblxx,T. Savanier,,3883573279,79,3883573283,154,3883572731,22,3883573297,147,51.2,3883572733,18,3883573295,146,96.8,3883573281,29,,,,,,,,,,,,,,,,,,
2479456611,6,10,1,0,15,z1wbqtd0fz5t5eezjvrbld3h,1,0.9,48.4,2022-10-30T14:00:31.624Z,2022-10-31T04:02:39Z,3883573033,182,,3883573035,56,Back,3883573031,178,,3885271345,377,,3883573133,233,7,3883573029,177,,,,,,,,cym4wbw14zw1jh4jsp3sbyk0l,S. Mandanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
