id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/8/value,qualifier/13/value,qualifier/14/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/17/value
2479040743,1,34,16,0,0,71ajatxnuhc5cnm3xvgdky49w,1,0,0,2022-10-29T18:07:16.725Z,2022-10-29T18:58:34Z,3881374327,30,"2vgr8c97x4b2e51tyvvixusid, 9hz4s6zmelmg4ix47xbre3q3t, 17acodpsoxkhha2iem2465ivp, 4jal44qeyp9ur58768qre5uqd, eo47h2ekymiisj3kry3og7tgp, 7z1gixk4hvbbgo71xgb04942x, c8u45gxriyq1rup5fpr30xrdh, wg9qybhs3qeq9awhux331uqx, bndkgzdolm2c3iteenkv8s3it, 950o8rjqvnl5bnidq2dc3fglx, 88nw24pkg2ikj9c91tccvqol, 1y5p476l4ihjndiyvfsmcg82x, 9ysk6656hj0na1hrizgt83k5x, f0busiccqoe2jg69st02ngfe1, 42vsnv2j6emkbynforgon4n2t, cgeh7qj32flqu9p3a4wnn3s9h, egtyl4noukbjkm1va1i11e87o, am0pcyvtaws1i69jt09dgnsnp, cb6w7n7n1eh9huwzyzvgmdxih, 7bba28af7hqhh7ruo91x2mk9g",3881374335,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3881374329,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3881374331,59,"1, 18, 3, 23, 5, 22, 10, 17, 20, 9, 6, 2, 11, 12, 14, 16, 19, 25, 27, 29",3881497833,197,8123,3881374337,194,c8u45gxriyq1rup5fpr30xrdh,3881374333,130,12,3881374339,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479040783,1,34,16,0,0,27xvwccz8kpmqsefjv2b2sc0o,1,0,0,2022-10-29T18:07:21.240Z,2022-10-29T18:58:25Z,3881374575,130,17,3881374569,30,"26atxu4fr8f87oi8mt6z70mhh, 2p70qo9oxplufwnhlrl2b8v3e, c4w6l0ha9pvwljyh3aejqz3yt, 9j742o5vdc7d54x1xdz4t9ck5, 74edqcuzfzy7nswqzn0v3pe22, bb5eekaj9i0dbckrkb629qg2d, asvqr3i5wcjiajxipt1qvldyh, 5fbnkkf1saix4lonwx1i9k7o5, 8vlfwoquq3v68mb9ax1pk5fkk, cip5lla8zu8gru2m4popsstlh, 26mggguhavwmnq1oak12ket, 290xjx3h327rl40wbn7hzrtg5, d1d3v27d4r6vme6n2w5umaacp, 5rh9yiue1qnabbwoyweyus5t6, 8s259ktv9j6ei0f8rh2msqfh1, dqsslq1iz1azubowq3anwws4q, 4dbs7cgevy096gouv60eurh05, b8m3njge4ubxcj1zbxhvk5d9m, vl1b0gayryiqvl5dlukpmswl, bt2h27b7sfmsa5w6tnfp7lw4p",3881374579,194,26mggguhavwmnq1oak12ket,3881374573,59,"16, 29, 7, 23, 5, 99, 6, 27, 12, 17, 10, 8, 11, 18, 21, 30, 36, 47, 70, 77",3881374577,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3881497473,197,15909,3881374571,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3881374581,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479062515,2,32,1,0,0,27xvwccz8kpmqsefjv2b2sc0o,1,0,0,2022-10-29T19:00:42.546Z,2022-10-29T19:00:44Z,3881502437,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479062505,2,32,1,0,0,71ajatxnuhc5cnm3xvgdky49w,1,0,0,2022-10-29T19:00:42.546Z,2022-10-30T00:35:39Z,3881502389,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479062523,3,1,1,0,0,71ajatxnuhc5cnm3xvgdky49w,1,50,50,2022-10-29T19:00:42.607Z,2022-10-30T00:08:16Z,3881502479,140,31.8,3881502477,56,Back,3881502485,213,3.3,3882133911,178,,3881502481,141,44.3,3881502483,212,19.5,3881502487,279,S,,,,c8u45gxriyq1rup5fpr30xrdh,A. Thomasson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479062571,4,1,1,0,3,71ajatxnuhc5cnm3xvgdky49w,0,34,48.9,2022-10-29T19:00:45.775Z,2022-10-30T03:22:51Z,3881502771,213,0.3,3881502765,140,100.0,3881502773,1,,3881502769,212,74.3,3881502763,56,Left,3881502767,141,81.8,3881502761,155,,3882133923,178,,eo47h2ekymiisj3kry3og7tgp,L. Perrin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479062575,3,5,1,0,9,27xvwccz8kpmqsefjv2b2sc0o,1,-1.2,16.4,2022-10-29T19:00:52.320Z,2022-10-30T00:08:17Z,3881502797,233,5,3881502781,346,,3881502779,56,Back,,,,,,,,,,,,,,,,2p70qo9oxplufwnhlrl2b8v3e,I. Kaboré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479062573,5,5,1,0,9,71ajatxnuhc5cnm3xvgdky49w,0,101.2,83.6,2022-10-29T19:00:52.320Z,2022-10-30T00:08:17Z,3881502823,233,3,3881502777,346,,3881502775,56,Left,,,,,,,,,,,,,,,,eo47h2ekymiisj3kry3og7tgp,L. Perrin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479062721,4,1,1,0,24,27xvwccz8kpmqsefjv2b2sc0o,1,5,38,2022-10-29T19:01:07.511Z,2022-10-31T14:49:40Z,3881503615,140,7.8,3881503625,237,,3881503613,56,Back,3881503621,213,1.2,3881503617,141,49.9,3881503619,212,8.6,3881503611,124,,,,,bb5eekaj9i0dbckrkb629qg2d,C. Mbemba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479062755,5,1,1,0,28,27xvwccz8kpmqsefjv2b2sc0o,0,11,47.4,2022-10-29T19:01:11.014Z,2022-10-30T03:22:50Z,3882133959,178,,3881503811,213,0.2,3881503815,1,,3881503799,155,,3881503805,141,60.9,3881503807,212,57.5,3881503803,140,65.1,3881503801,56,Center,26atxu4fr8f87oi8mt6z70mhh,Pau López,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
