id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,keyPass,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2465481249,1,34,16,0,0,7yx5dqhhphyvfisohikodajhv,1,0,0,2022-10-01T13:00:15.843Z,2022-10-01T13:00:16Z,3809295523,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3809295533,197,11858,3809295529,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3809295521,30,"4iijb6llnz28unsz4rirr3umt, 32bvxwhceid2xdcfx6cd8a8d1, 2nzefp5pwvldt2ttmxfeakamt, 9k8gysrsy1a261nhcszo4aoyx, 4j6a6qec8m58zgojpbv8wxnf9, 66939rcic8zhw13nlcniiq4t1, 84xefpsrml48n7czpnruzxkru, dtol82tjlq48bs0s70sisguz9, b36foqukxn8obd969q6sea7yt, v78uhwxgzojcec8lsdvucusp, ek0k9s7axizns3vtzyy3z5nu, 9xfrrmf19uv4i69ge0kg1hh7u, bs7iyv9ys61m88qh4rvb0tpzp, bxjc2heo4ve54cyvw98qcck45, 45zetxtrvjb3muvcrr9b5it3p, 2xgvd7xovqcd6q30m59dbi11x, 34b0oqo4725okjxxngin9piw9, 68n1ydedtlw2s6toghw9qiprd, 6o4pt3ffe9ogxcbdv694sr5uy, b91jtshzqg3p3gphwltekxxxw",3809295531,194,4j6a6qec8m58zgojpbv8wxnf9,3809295527,130,4,3809295535,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3809295525,59,"1, 20, 3, 27, 18, 16, 26, 8, 17, 19, 24, 2, 10, 11, 13, 14, 15, 30, 34, 35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465481277,1,34,16,0,0,1pse9ta7a45pi2w2grjim70ge,1,0,0,2022-10-01T13:00:22.681Z,2022-10-01T14:04:42Z,3809295701,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3809295707,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3809295709,194,80bmtj7l07ohb2h475w955n9,3809295703,59,"13, 15, 33, 4, 6, 25, 16, 8, 9, 21, 29, 1, 3, 10, 11, 17, 18, 20, 23, 32",3809295713,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3809295705,130,2,3809295711,197,2071,3809295699,30,"1um5sa7iogc29aadvkabadyad, 80bmtj7l07ohb2h475w955n9, 918sxflcvngsy0xvc9dh3jaei, djelmk2oafas355n2u0d1bumt, bvlkh4zxfuo5frhj7ogpnecbt, 95pzsjfh0wf6isp6qpf9lddyh, b3gobhr43y8oxpafvp4f8rgmh, 6gxyeuqjnyj9bl4n8kz14sv6d, dvj6rdi2k0td95oxldbj6e28l, efq6i6kz6ca3u91snwmptef2t, 33cny48k38nlo8pcx3i24ldqt, 12l99v9rpet6ug6n121tg6ay1, e6la6wx7o6x7k4srpq8tdsafp, cr4c6htcw2jewsvboj6s8p045, 1e7gbqj7riv8a7kxsfjr0q7kl, bzjzvw54k5cmo93wdkjv89knp, 8yp9la3fl2zym7vie19lmw0k5, b187awt0wdxh20fx1rn5vgewa, 9ea8t509bssf2bhp1n5xxvrl6, 8cmkqkrjme3wb0gegzn1e6xre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465534613,2,32,1,0,0,7yx5dqhhphyvfisohikodajhv,1,0,0,2022-10-01T14:00:07.770Z,2022-10-01T14:00:09Z,3809569889,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465534573,2,32,1,0,0,1pse9ta7a45pi2w2grjim70ge,1,0,0,2022-10-01T14:00:07.770Z,2022-10-01T19:25:28Z,3809569739,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465534637,3,1,1,0,0,1pse9ta7a45pi2w2grjim70ge,1,49.8,49.9,2022-10-01T14:00:07.794Z,2022-10-02T00:43:56Z,3809570007,212,21.0,3809570003,141,34.7,3809570015,279,S,3809569997,140,32.4,3812882667,178,,3809569993,56,Back,3809570011,213,3.7,,,,dvj6rdi2k0td95oxldbj6e28l,D. Solanke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465534693,4,1,1,0,2,1pse9ta7a45pi2w2grjim70ge,0,35.4,35.6,2022-10-01T14:00:10.731Z,2022-10-02T00:44:03Z,3809570265,56,Left,3809570273,141,83.0,3809570279,1,,3812883163,178,,3809570277,213,0.7,3809570269,140,75.5,3809570275,212,53.0,3809570263,155,,bvlkh4zxfuo5frhj7ogpnecbt,C. Mepham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465534749,3,1,1,0,5,7yx5dqhhphyvfisohikodajhv,0,26.5,25,2022-10-01T14:00:13.354Z,2022-10-02T00:44:09Z,3812883611,178,,3809570485,140,34.3,3809570491,213,0.3,3809570483,56,Back,3809570489,212,8.6,3809570481,3,,3809570487,141,28.9,,,,32bvxwhceid2xdcfx6cd8a8d1,K. Ajer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465651943,372,61,1,0,5,1pse9ta7a45pi2w2grjim70ge,1,68,81.1,2022-10-01T14:00:13.487Z,2022-10-02T00:44:28Z,3810190671,56,Left,3812884771,21,,3812884773,178,,,,,,,,,,,,,,,,,33cny48k38nlo8pcx3i24ldqt,P. Billing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466155307,739,43,1,0,8,1pse9ta7a45pi2w2grjim70ge,1,0,0,2022-10-01T14:00:15.827Z,2022-10-02T01:16:30Z,3812983973,144,67,3812980335,233,924,,,,,,,,,,,,,,,,,,,918sxflcvngsy0xvc9dh3jaei,J. Zemura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466155301,924,43,1,0,8,7yx5dqhhphyvfisohikodajhv,1,0,0,2022-10-01T14:00:15.828Z,2022-10-02T01:16:30Z,3812983969,144,67,3812980355,233,739,,,,,,,,,,,,,,,,,,,84xefpsrml48n7czpnruzxkru,S. Baptiste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465534839,5,1,1,0,10,1pse9ta7a45pi2w2grjim70ge,0,77,88.4,2022-10-01T14:00:18.115Z,2022-10-02T01:16:25Z,3810191613,236,,3809570823,56,Left,3809570833,212,2.4,3810191615,233,4,3812885381,178,,3810191619,286,,3809570829,141,86.1,3809570837,213,5.6,918sxflcvngsy0xvc9dh3jaei,J. Zemura,3809570827,140,78.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465534755,4,74,1,0,10,7yx5dqhhphyvfisohikodajhv,1,30.5,20.7,2022-10-01T14:00:18.209Z,2022-10-02T01:16:22Z,3810191649,233,5,3812885557,178,,3809570513,56,Back,3810191583,285,,,,,,,,,,,,,,84xefpsrml48n7czpnruzxkru,S. Baptiste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465534819,5,43,1,0,11,7yx5dqhhphyvfisohikodajhv,1,0,0,2022-10-01T14:00:19.238Z,2022-10-01T14:53:03Z,3810191187,144,61,3809570733,56,Back,,,,,,,,,,,,,,,,,,,84xefpsrml48n7czpnruzxkru,S. Baptiste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465534857,6,49,1,0,13,7yx5dqhhphyvfisohikodajhv,1,6.9,32.8,2022-10-01T14:00:20.882Z,2022-10-02T01:16:03Z,,,,,,,,,,,,,,,,,,,,,,,,,4iijb6llnz28unsz4rirr3umt,David Raya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465535101,7,1,1,0,19,7yx5dqhhphyvfisohikodajhv,1,9.5,55.4,2022-10-01T14:00:27.219Z,2022-10-02T00:45:05Z,3809572051,213,1.0,3809572045,140,22.3,3809572043,56,Back,3809572047,141,85.6,3812887565,178,,3809572049,212,24.5,,,,,,,4iijb6llnz28unsz4rirr3umt,David Raya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465535167,8,1,1,0,25,7yx5dqhhphyvfisohikodajhv,1,23.7,80.3,2022-10-01T14:00:32.987Z,2022-10-02T00:45:09Z,3809572405,141,61.7,3812887815,178,,3809572403,140,12.2,3809572409,213,4.0,3809572407,212,17.5,3809572401,56,Back,,,,,,,66939rcic8zhw13nlcniiq4t1,B. Mee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465535249,9,1,1,0,29,7yx5dqhhphyvfisohikodajhv,1,12.2,59.6,2022-10-01T14:00:37.055Z,2022-10-02T00:45:13Z,3809572803,1,,3809572793,56,Back,3809572799,212,33.4,3809572801,213,5.1,3809572797,141,13.4,3812888121,178,,3809572795,140,23.0,,,,4iijb6llnz28unsz4rirr3umt,David Raya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465535299,10,1,1,0,33,7yx5dqhhphyvfisohikodajhv,1,28.5,11.1,2022-10-01T14:00:41.563Z,2022-10-02T00:45:16Z,3809573055,141,22.4,3812888313,178,,3809573057,212,10.2,3809573051,56,Back,3809573059,213,2.3,3809573053,140,22.1,,,,,,,32bvxwhceid2xdcfx6cd8a8d1,K. Ajer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465535373,11,1,1,0,35,7yx5dqhhphyvfisohikodajhv,1,21.6,26.7,2022-10-01T14:00:43.747Z,2022-10-02T00:45:19Z,3812888469,178,,3809573395,141,50.3,3809573391,140,14.6,3809573399,212,17.7,3809573401,213,2.0,3809573389,56,Back,,,,,,,4j6a6qec8m58zgojpbv8wxnf9,P. Jansson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465535453,12,1,1,0,38,7yx5dqhhphyvfisohikodajhv,1,18.7,51,2022-10-01T14:00:46.067Z,2022-10-02T00:45:22Z,3809573875,140,25.4,3809573885,212,19.5,3809573869,56,Back,3809573887,213,1.2,3809573881,141,77.8,3812888721,178,,,,,,,,4iijb6llnz28unsz4rirr3umt,David Raya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465535559,13,1,1,0,41,7yx5dqhhphyvfisohikodajhv,0,28.5,84.1,2022-10-01T14:00:49.451Z,2022-10-02T00:45:25Z,3809574299,213,0.1,3809574291,56,Left,3809574297,212,49.2,3809574301,1,,3809574289,155,,3809574293,140,75.0,3809574295,141,93.2,3812888879,178,,66939rcic8zhw13nlcniiq4t1,B. Mee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465535583,6,12,1,0,44,1pse9ta7a45pi2w2grjim70ge,1,29.6,4,2022-10-01T14:00:52.300Z,2022-10-02T01:02:36Z,3809574557,167,,3809574435,56,Back,3809574439,141,0.0,3809574441,212,7.5,3809574437,140,35.7,3809574443,213,5.7,3809574475,15,,3812947049,388,,80bmtj7l07ohb2h475w955n9,A. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465535595,7,5,1,0,46,1pse9ta7a45pi2w2grjim70ge,0,34.8,-1.8,2022-10-01T14:00:54.551Z,2022-10-02T01:02:42Z,3809574511,347,,3809576549,233,14,3809574509,56,Back,,,,,,,,,,,,,,,,80bmtj7l07ohb2h475w955n9,A. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465535997,14,5,1,0,46,7yx5dqhhphyvfisohikodajhv,1,65.2,101.8,2022-10-01T14:00:54.551Z,2022-10-02T01:02:42Z,3809576441,56,Left,3809576491,233,7,3809576443,347,,,,,,,,,,,,,,,,,ek0k9s7axizns3vtzyy3z5nu,M. Damsgaard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465536057,15,1,1,0,59,7yx5dqhhphyvfisohikodajhv,1,65.3,100,2022-10-01T14:01:07.464Z,2022-10-02T01:02:46Z,3809576707,141,91.5,3809576701,107,,3809576709,212,8.4,3809576703,56,Left,3809576705,140,69.6,3809576711,213,5.3,,,,,,,2nzefp5pwvldt2ttmxfeakamt,R. Henry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465536077,16,1,1,1,0,7yx5dqhhphyvfisohikodajhv,1,70.4,91.7,2022-10-01T14:01:08.500Z,2022-10-02T01:02:53Z,3809576801,213,2.1,3809576791,140,69.0,3809576797,212,3.0,3812947683,178,,3809576785,56,Left,3809576795,141,95.6,,,,,,,b36foqukxn8obd969q6sea7yt,I. Toney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465536119,17,1,1,1,1,7yx5dqhhphyvfisohikodajhv,1,68.9,95.4,2022-10-01T14:01:09.445Z,2022-10-02T01:02:57Z,3809576995,141,90.5,3809576991,56,Left,3809576997,212,3.3,3812947887,178,,3809576999,213,4.6,3809576993,140,68.6,,,,,,,2nzefp5pwvldt2ttmxfeakamt,R. Henry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
