id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/8/value,qualifier/9/value,qualifier/10/value,keyPass,qualifier/12/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,assist,qualifier/18/value
2485243125,1,34,16,0,0,e5p0ehyguld7egzhiedpdnc3w,1,0,0,2022-11-13T13:00:04.177Z,2022-11-13T14:02:27Z,3913827713,194,jagvvzc7329tf2c64mnc251,3913827711,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3913827703,30,"d9yxninyn4bac8f0ufxsnlqll, 3k6znit6fd9mbfcnphlwyvj6d, 87g6qlasqe627i5g7ir30j2sp, 3uc9z96xvain84leorf4ls962, jagvvzc7329tf2c64mnc251, 573hlc6devy50gjotyav9ql4a, 2wwo7wcxz4gfy0ubkzynvrsnp, am6ppbdrbz4ml3xsbty53o73d, c0yxqwkxqx1sty7abj1qwh9zp, f34582vxl4yv5qqudl09a7umt, 8qwpdf5jof7o6yy47v6iv11hx, 83jpq8fuprm9h1e2thoxv1tyh, 1mf7tr17fqnddm23nx1z1tsh6, 6rutvrgco8li4nyz7tfayxb6x, 31xsuz1icsj7zt1462swjpk2d, 5okl8s3e8ad2add75m46ojo4p, b0dpz0ixcb9hiyurc87z0rotm, 2gj7h5fxuh4y0tbp6j308yk4q, bh20puvz2w21mnag7ul1g3c9h, 4g0nu20yc6mtgtemxj8ccxu22",3913861745,197,4955,3913827715,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3913827709,130,8,3913827705,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3913827707,59,"1, 13, 30, 25, 5, 6, 7, 10, 18, 14, 11, 2, 20, 21, 23, 27, 28, 29, 34, 43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485243153,1,34,16,0,0,b496gs285it6bheuikox6z9mj,1,0,0,2022-11-13T13:00:06.031Z,2022-11-13T14:01:26Z,3913827833,194,btvuam6p4391am219taqtcted,3913827827,59,"1, 2, 27, 44, 4, 5, 7, 6, 9, 10, 41, 8, 16, 17, 18, 20, 25, 31, 32, 35",3913827831,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3913827829,130,2,3913827825,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3913862269,197,397,3913827835,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3913827823,30,"3zl1q2gk6tdmzirsyfgm38no5, 1e9txzr9hqz94xtun6byo0vs9, e8gz0tmmdh1ql8qrn1ncrvnpx, blth4klpu88kgh73abpjlgusp, 8qys6qtdwgsycxducl062zld5, 2smmv9hdoiet7necaf00ol51x, btvuam6p4391am219taqtcted, 7j84ozqdpgupzxevbxemi5tyh, ashza2qkgnak7wb3vuz5bnzyt, l0qqn9tlgov91p5d1zzdupcl, bhsh1n3qfg8awmctxlh8k7yzt, d394go61g90f1u6bddu1narit, 172klpuv2h1enskc8fz79xg45, eb48g14m2erkf7yzqz8gj4u6t, 7paw998ux29k7hx4t1g0wu85x, 1tbc8iokapjgu8zjrc1knq28l, 4myy5br8yj5678xlji3up1ryt, 4jyrztlaueae7eg18kuvxa489, 1emj0rlthc8syfleox4c39kut, 7gaf68yeu28zp80kkb0tqgpd6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485285047,2,32,1,0,0,b496gs285it6bheuikox6z9mj,1,0,0,2022-11-13T14:01:50.979Z,2022-11-13T14:01:54Z,3914036205,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485285025,2,32,1,0,0,e5p0ehyguld7egzhiedpdnc3w,1,0,0,2022-11-13T14:01:50.979Z,2022-11-13T19:44:25Z,3914036145,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485285111,3,1,1,0,0,e5p0ehyguld7egzhiedpdnc3w,1,50.1,49.9,2022-11-13T14:01:51.079Z,2022-11-13T19:50:58Z,3914036455,56,Back,3914036459,141,47.6,3914036465,279,S,3914036457,140,40.7,3915501811,178,,3914036461,212,10.0,3914036463,213,3.3,,,,f34582vxl4yv5qqudl09a7umt,A. Lallana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485285113,4,1,1,0,1,e5p0ehyguld7egzhiedpdnc3w,1,40.7,47.6,2022-11-13T14:01:52.408Z,2022-11-13T19:51:03Z,3914036473,56,Back,3914036479,212,10.4,3914036475,140,39.0,3914036477,141,62.6,3914036481,213,1.7,3915501973,178,,,,,,,,am6ppbdrbz4ml3xsbty53o73d,A. Mac Allister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485285199,5,1,1,0,2,e5p0ehyguld7egzhiedpdnc3w,1,39,62.6,2022-11-13T14:01:53.314Z,2022-11-13T19:51:05Z,3914036873,56,Back,3914036881,213,3.2,3914036877,141,61.8,3914036875,140,31.4,3914036879,212,8.0,3915502085,178,,,,,,,,3uc9z96xvain84leorf4ls962,M. Caicedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485285287,6,1,1,0,8,e5p0ehyguld7egzhiedpdnc3w,1,30.3,60.2,2022-11-13T14:01:59.628Z,2022-11-13T19:51:10Z,3915502291,178,,3914037331,212,16.7,3914037325,56,Back,3914037329,141,37.3,3914037333,213,4.3,3914037327,140,24.5,,,,,,,573hlc6devy50gjotyav9ql4a,L. Colwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485285405,7,1,1,0,10,e5p0ehyguld7egzhiedpdnc3w,1,22.8,36.4,2022-11-13T14:02:01.874Z,2022-11-13T19:51:14Z,3914037967,213,2.6,3914037959,56,Back,3914037965,212,16.4,3915502393,178,,3914037961,140,9.7,3914037963,141,49.4,,,,,,,jagvvzc7329tf2c64mnc251,L. Dunk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485285499,8,1,1,0,19,e5p0ehyguld7egzhiedpdnc3w,1,13.3,49.1,2022-11-13T14:02:10.245Z,2022-11-13T19:51:18Z,3914038457,141,87.1,3915502539,178,,3914038459,212,28.6,3914038455,140,24.9,3914038461,213,1.1,3914038453,56,Back,,,,,,,d9yxninyn4bac8f0ufxsnlqll,Robert Sánchez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
