id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/11/value,qualifier/12/value,qualifier/13/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2497169299,1,34,16,0,0,d5ydtvt96bv7fq04yqm2w2632,1,0,0,2023-01-14T14:00:09.104Z,2023-01-16T10:15:17Z,3976802977,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3976802985,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3976802983,197,425,3976802969,59,"31, 4, 2, 27, 6, 22, 24, 45, 10, 8, 23, 3, 7, 9, 11, 13, 15, 18, 19, 26",3976802965,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3976802981,194,7r6vds5j65fohi1k28cnqjqvp,3976802973,130,8,3976802963,30,"8jw1c54yfsk2m13uyl5yi5hm2, 4042kk7ylrs378rh26b7mh42x, 2uiza5b6fbum38chxtvmnkzqh, 6xdgasd4dvfgg4n23jw38473d, 6gymgqxnu2zavuxgp6amm3zkl, 2r1u01vlym0nwcwx86bwbuusq, 6tckvu2rw7ns18dq7dim0sout, dgjl6ks0r7lbh09fe8cuwj7ro, 59ujnkvl7rlffomi2bqpsmbpx, 7r6vds5j65fohi1k28cnqjqvp, 67oh9fkwrut68eegfjf5emaui, dzsd79k6345s9105mb2r4fqol, 37bmb84zex63yoipqwj01bcgl, dusjrdiyxfadenwx4pjr7catx, 1v8r5d4v9eh3011wmwhk3v36d, 6bhm9cfkwxv5ojh49rqv11g45, 67qku7vyvbw76086eu05nowd1, 1qcj2upaz0xa98zkc835djo8a, e382powtgetwn8npxf9nqeaga, 18qxb54ol1s4mtgl7n3224ciy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497169319,1,34,16,0,0,ehd2iemqmschhj2ec0vayztzz,1,0,0,2023-01-14T14:00:11.100Z,2023-01-16T10:15:05Z,3976803063,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3976803055,30,"e8dina16u5kt5ho4u5igtmimt, 9nq9bocnqq6bu8ho4m26qmkt1, 9o1vesnpfiucpoq35ihhpstex, 35jaxclh329duzefna708jk5x, ed4w2l6hglrrxu2a75bn0tt5h, 8ro3lpzufz8ea9pa2j1jivqad, do3duah478rhz9cg2icde4h9m, ceerfv28fygp7m2euv5n5uu39, 374kcix9j7e1cob4uxmfncwyd, 8kb5h8df97ju107n9ibigo1cl, 4n782p6eaok71ai7ecj1jo1jp, 4njl5iqybub0cxbhjh2xbft9l, 7qgt7sht6py670pt6t4wjhqay, 8mjj0wgufggpc1ai2dk21h90p, d4vdrtte9kb9qmlkrx1rvgk45, 5tlxrhab4kdeud8d2r9z9hk2d, 8g7clz1z04oqjxhg8xnqc7105, xu7mykgl15kaib3olilmsez9, cpd8prwzxf0rzevtk33fpryt, 4b3axlxopby87f4luevihgwdl",3976803065,194,9nq9bocnqq6bu8ho4m26qmkt1,3976803061,130,17,3976803071,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3976803059,59,"1, 23, 19, 2, 30, 22, 8, 27, 9, 17, 11, 4, 7, 10, 13, 15, 16, 20, 26, 50",3976803057,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3976803067,197,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497212653,2,32,1,0,0,ehd2iemqmschhj2ec0vayztzz,1,0,0,2023-01-14T15:01:09.807Z,2023-01-14T22:57:23Z,3977034543,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497212609,2,32,1,0,0,d5ydtvt96bv7fq04yqm2w2632,1,0,0,2023-01-14T15:01:09.807Z,2023-01-14T15:01:09Z,3977034313,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497212691,3,1,1,0,0,d5ydtvt96bv7fq04yqm2w2632,1,49.9,50,2023-01-14T15:01:09.827Z,2023-01-14T23:03:03Z,3978678385,178,,3977034741,141,50.1,3977034747,279,S,3977034739,140,29.6,3977034737,56,Back,3977034743,212,21.3,3977034745,213,3.1,,,,7r6vds5j65fohi1k28cnqjqvp,J. Ward-Prowse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497212769,4,1,1,0,2,d5ydtvt96bv7fq04yqm2w2632,1,29.3,51.9,2023-01-14T15:01:12.289Z,2023-01-14T23:03:09Z,3977035119,212,45.5,3977035117,141,95.0,3977035121,213,0.7,3978221941,157,,3977035113,56,Left,3977035115,140,62.4,3977035123,1,,3978678421,178,,6gymgqxnu2zavuxgp6amm3zkl,D. Ćaleta-Car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497212775,5,44,1,0,5,d5ydtvt96bv7fq04yqm2w2632,1,65.1,95.2,2023-01-14T15:01:14.840Z,2023-01-15T00:34:50Z,3977035155,56,Left,3977035357,233,3,3977035157,286,,,,,,,,,,,,,,,,,59ujnkvl7rlffomi2bqpsmbpx,C. Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497212803,3,44,1,0,5,ehd2iemqmschhj2ec0vayztzz,0,34.9,4.8,2023-01-14T15:01:14.841Z,2023-01-14T23:03:12Z,3977035289,56,Back,3977035311,233,5,3977035291,285,,,,,,,,,,,,,,,,,8ro3lpzufz8ea9pa2j1jivqad,B. Godfrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497214709,14,1,1,0,5,d5ydtvt96bv7fq04yqm2w2632,0,59.1,95.2,2023-01-14T15:01:14.955Z,2023-01-15T00:34:50Z,3977044439,141,92.7,3977044437,140,59.5,3977044443,212,1.8,3978678477,388,,3977044445,213,5.0,3977044433,3,,3977044435,56,Left,,,,59ujnkvl7rlffomi2bqpsmbpx,C. Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497212837,4,61,1,0,5,ehd2iemqmschhj2ec0vayztzz,1,34.1,5.5,2023-01-14T15:01:14.995Z,2023-01-14T23:03:20Z,3978678577,388,,3978678575,15,,3977035417,56,Back,,,,,,,,,,,,,,,,8ro3lpzufz8ea9pa2j1jivqad,B. Godfrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
