id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,keyPass,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/16/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/18/value,assist,qualifier/14/value
2539178279,1,34,16,0,0,48gk2hpqtsl6p9sx9kjhaydq4,1,0,0,2023-04-25T18:00:04.323Z,2023-04-25T18:55:18Z,4219815103,30,"8szyip8c62bier901hmpqc7vt, 983mn5yig2f4upkq9e97hx87p, 9rfwfsz5cmckyjripqgtbc7op, 4r6jcuotjs6rz8iwu20996z85, 1zumt9vkrqd8d3p3eqtwezi6t, 6clj9dk6hdeaomo6yi7vcsv6d, 6kih58n0fzlod6c792xpey57t, 288nn7pbq5ewriiyb9o7da86h, 6q6i9x4w4vcdwwmiwq8k6sixh, 4hmivvhmplqof776e9tbqg251, 7xlnqr43lvc8coshx65qd5omh, ao2tl1brzen40y5leuuc3b5qt, 8rrcscn29rs1gk8mi1pwpu92i, 7sdbx7mzjxhvofvke9mp26kbu, b275i2lg3anqae5lv9gmrzmqx, ax5fuknlz3zc3fcesya61iod1, e8ekkg0yayhhmmhinl0v9une, dn3llv8xjdbbndltfym5ar561, 9z2j13bl5yh4i1vyofautc9yi, 7oikovl62nfxs6z54dzd85gx5",4219815111,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4219815109,130,8,4219815115,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4219815107,59,"1, 2, 3, 8, 5, 6, 11, 28, 9, 19, 23, 4, 7, 10, 21, 22, 24, 25, 29, 42",4219815113,194,6clj9dk6hdeaomo6yi7vcsv6d,4219900285,197,4773,4219815105,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539178293,1,34,16,0,0,avxknfz4f6ob0rv9dbnxdzde0,1,0,0,2023-04-25T18:00:07.908Z,2023-04-25T19:28:46Z,4220016159,197,16498,4219815217,30,"bm9qgspytvdwy514kk6ytztg5, p87gxg8kc9ta6iipqt5fxmtx, bwai2k262meugz2fj7s2g58iy, egi71rvlclvis07nzbvjhl9m1, 72d5uxwcmvhd6mzthxuvev1sl, ayyswiouwrh2yn1j75owovob9, 79nno03ww57p02dz5o0g60rqi, eo4uva2gnx08xdazfaqzyz2dx, 51xwrb0qit04oz9x01p2gghjp, a1yoz8f4985o166nzcyigpj2t, 18paf5a7rfe4kutxjl4cwd695, 5h2biadv4hd2ntcd7zo2c8639, 6v1o4s2acog9guff3folo1jh1, dfqpevw7bneap02x7mxo74pgp, enyatxtjef9lacem6c8cc1mmt, otz9c2ifww514ummo10nfoix, 2bkp1lcaxmvwoanxwo0775cdl, 7wu5l9m2kt30c4nifxdi3btg5, 6tma6gvgf6xphc5gm2el35vbp, 8prtj2o0lz1zbzpuw4ah4qhud",4219815225,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4219815219,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4219815229,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4219815221,59,"31, 27, 16, 42, 3, 4, 37, 8, 14, 10, 7, 1, 9, 15, 18, 20, 22, 24, 25, 26",4219815223,130,8,4219815227,194,eo4uva2gnx08xdazfaqzyz2dx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539196655,2,32,1,0,0,avxknfz4f6ob0rv9dbnxdzde0,1,0,0,2023-04-25T19:00:10.448Z,2023-04-25T19:00:10Z,4219916103,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539196679,2,32,1,0,0,48gk2hpqtsl6p9sx9kjhaydq4,1,0,0,2023-04-25T19:00:10.448Z,2023-04-26T01:29:44Z,4219916219,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539196721,3,1,1,0,0,avxknfz4f6ob0rv9dbnxdzde0,1,50.1,50,2023-04-25T19:00:10.648Z,2023-04-26T02:57:04Z,4219916415,141,51.6,4219916421,279,S,4220566065,178,,4219916411,56,Back,4219916417,212,18.1,4219916419,213,3.1,4219916413,140,32.9,,,,79nno03ww57p02dz5o0g60rqi,Tetê,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539196749,4,1,1,0,3,avxknfz4f6ob0rv9dbnxdzde0,0,34.6,51.5,2023-04-25T19:00:13.875Z,2023-04-26T02:57:06Z,4219916615,141,84.3,4219916621,1,,4219916609,155,,4219916611,56,Left,4219916617,212,46.4,4220566093,178,,4219916619,213,0.5,4219916613,140,73.3,72d5uxwcmvhd6mzthxuvev1sl,W. Faes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539196785,3,1,1,0,5,48gk2hpqtsl6p9sx9kjhaydq4,0,30.3,21.5,2023-04-25T19:00:16.176Z,2023-04-26T02:57:10Z,4219916807,141,0.0,4219916801,3,,4219916805,140,56.6,4219916809,212,31.7,4219916811,213,5.8,4219916803,56,Right,4220566099,388,,,,,288nn7pbq5ewriiyb9o7da86h,W. McKennie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539196791,5,56,1,0,9,avxknfz4f6ob0rv9dbnxdzde0,1,0,0,2023-04-25T19:00:19.570Z,2023-04-26T02:57:15Z,4219916839,56,Back,,,,,,,,,,,,,,,,,,,,,,ayyswiouwrh2yn1j75owovob9,Ç. Söyüncü,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539196789,4,5,1,0,11,48gk2hpqtsl6p9sx9kjhaydq4,0,57.2,-1.2,2023-04-25T19:00:22.320Z,2023-04-26T02:57:17Z,4219916821,347,,4219917079,233,6,4219916819,56,Right,,,,,,,,,,,,,,,,288nn7pbq5ewriiyb9o7da86h,W. McKennie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539196819,6,5,1,0,11,avxknfz4f6ob0rv9dbnxdzde0,1,42.8,101.2,2023-04-25T19:00:22.320Z,2023-04-26T02:57:17Z,4219917031,233,4,4219917001,347,,4219916999,56,Back,,,,,,,,,,,,,,,,ayyswiouwrh2yn1j75owovob9,Ç. Söyüncü,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
