id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/9/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/15/value,assist,qualifier/20/value
2478657377,1,34,16,0,0,7vn2i2kd35zuetw6b38gw9jsz,1,0,0,2022-10-29T13:00:03.057Z,2022-10-29T13:00:03Z,3879326109,197,420,3879326097,30,"9s9i1a7hdq5bud8ma2dqi295h, 65z99j774kjnbf7vm0u2q0jit, 6f1ljb0an6d0g4nbap6xgxsyd, 72m84nwa6dshu3ibmy13dz5rd, dxxc4dioaioidmvamkzqr4b85, 4jwkz8almo2997hvp09zl0p9l, 9pv566tidfz21e00y4t0mbap5, 5tbabvk43ljv3z3wd9mh0y8r9, 66r7rq9kcoyow46ovmhzrtec5, bijr1ghojrxc61se7ebt72f9x, c589fk8pfqvbukvtdqu1yhjv9, 7z5ugeh3ejhwa3c8tg7idkpud, b7eoho4q34nfispye73m8b00l, doctoq9o6be1yap6je75w0vrp, 7g5elxh8h34yj55h9heydhzv9, 7m4pw4plxndt68iq7f3s60cet, 23oysjfutg5xy1f3o9bapnmxh, cjdycctu96jilvbvnl7ndh9sl, 7gcvzjdbqxe5jw1zn07ie4dsl, 37d7oej48pb143o5eilue1hhx",3879326103,130,4,3879326099,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3879326111,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3879326107,194,65z99j774kjnbf7vm0u2q0jit,3879326101,59,"22, 2, 33, 39, 5, 4, 36, 28, 9, 24, 7, 6, 8, 10, 13, 18, 19, 20, 21, 23",3879326105,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478657411,1,34,16,0,0,b496gs285it6bheuikox6z9mj,1,0,0,2022-10-29T13:00:07.798Z,2022-10-29T13:45:43Z,3879326309,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3879326299,59,"1, 2, 18, 6, 4, 5, 11, 32, 9, 10, 31, 7, 8, 16, 20, 23, 25, 27, 35, 41",3879326307,197,397,3879326295,30,"3zl1q2gk6tdmzirsyfgm38no5, 1e9txzr9hqz94xtun6byo0vs9, 7paw998ux29k7hx4t1g0wu85x, 7j84ozqdpgupzxevbxemi5tyh, 8qys6qtdwgsycxducl062zld5, 2smmv9hdoiet7necaf00ol51x, 5m0j33eoa5c8pqlr0tdf7undh, 1emj0rlthc8syfleox4c39kut, ashza2qkgnak7wb3vuz5bnzyt, l0qqn9tlgov91p5d1zzdupcl, 4jyrztlaueae7eg18kuvxa489, btvuam6p4391am219taqtcted, d394go61g90f1u6bddu1narit, 172klpuv2h1enskc8fz79xg45, 1tbc8iokapjgu8zjrc1knq28l, 3vxh219sef8mooilemi8xbs9h, 4myy5br8yj5678xlji3up1ryt, e8gz0tmmdh1ql8qrn1ncrvnpx, 7gaf68yeu28zp80kkb0tqgpd6, bhsh1n3qfg8awmctxlh8k7yzt",3879326305,194,3zl1q2gk6tdmzirsyfgm38no5,3879326297,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3879326301,130,8,3879326303,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478720715,2,32,1,0,0,7vn2i2kd35zuetw6b38gw9jsz,1,0,0,2022-10-29T14:00:29.822Z,2022-10-29T22:04:44Z,3879662391,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478720707,3,32,1,0,0,b496gs285it6bheuikox6z9mj,1,0,0,2022-10-29T14:00:29.822Z,2022-10-29T14:00:30Z,3879662375,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478720795,4,1,1,0,0,b496gs285it6bheuikox6z9mj,1,50.1,49.9,2022-10-29T14:00:29.847Z,2022-10-29T22:39:16Z,3879662663,212,2.4,3879662659,140,52.4,3879662667,279,S,3881997019,178,,3879662665,213,0.1,3879662661,141,50.1,3879662657,56,Center,,,,7j84ozqdpgupzxevbxemi5tyh,Douglas Luiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478720809,5,1,1,0,1,b496gs285it6bheuikox6z9mj,0,56.1,44.7,2022-10-29T14:00:31.808Z,2022-10-29T22:39:18Z,3879662727,212,6.8,3879662719,56,Center,3879662721,140,62.5,3879662725,141,42.9,3879662731,213,6.1,3881997123,178,,,,,,,,4jyrztlaueae7eg18kuvxa489,L. Bailey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478765033,177,8,1,0,2,7vn2i2kd35zuetw6b38gw9jsz,1,41.3,59.6,2022-10-29T14:00:32.147Z,2022-10-29T22:39:23Z,3879897771,56,Back,3881046569,384,,3881997247,178,,,,,,,,,,,,,,,,,5tbabvk43ljv3z3wd9mh0y8r9,J. Willock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478720823,3,49,1,0,3,7vn2i2kd35zuetw6b38gw9jsz,1,41.1,59,2022-10-29T14:00:33.201Z,2022-10-29T22:39:43Z,,,,,,,,,,,,,,,,,,,,,,,,,72m84nwa6dshu3ibmy13dz5rd,Bruno Guimarães,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478720849,4,1,1,0,3,7vn2i2kd35zuetw6b38gw9jsz,1,39.2,61.2,2022-10-29T14:00:33.712Z,2022-10-29T22:39:48Z,3879662901,56,Back,3879662905,140,46.9,3879662913,213,5.7,3879662911,212,9.5,3879662909,141,53.8,3881998019,178,,,,,,,,72m84nwa6dshu3ibmy13dz5rd,Bruno Guimarães,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478720873,5,1,1,0,4,7vn2i2kd35zuetw6b38gw9jsz,1,47.2,52,2022-10-29T14:00:34.310Z,2022-10-29T22:39:54Z,3879663003,212,10.4,3881998271,178,,3879663005,213,1.7,3879663001,141,67.2,3879662999,140,46.3,3879662997,56,Back,,,,,,,66r7rq9kcoyow46ovmhzrtec5,C. Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
