id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/9/value,assist,qualifier/11/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/15/value,qualifier/16/value
2442463341,1,34,16,0,0,22doj4sgsocqpxw45h607udje,1,0,0,2022-08-06T13:00:06.196Z,2022-08-06T13:59:41Z,3686930781,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3686930779,197,4,3686930775,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3686930777,194,ombvyo6p3p5khkn91vubvpat,3686930769,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3686930773,130,17,3686930771,59,"1, 12, 19, 33, 15, 17, 30, 5, 10, 21, 7, 2, 6, 11, 14, 20, 24, 27, 34, 38",3686930767,30,"ombvyo6p3p5khkn91vubvpat, anxby26pfxpu4u5bfy9nbuvah, cag3gzjcv8erx3zpp2lidzcvd, 7qy1hiitksyuaa9l0irxg240l, az7wa6km1zhvsb8y4mndlogyd, 2w7i4jfw5wgh3j2wuworoumeh, 3wp8fuk07m1ph1fpmbqe7tf55, 4zxrdmwphkxvkvo6bt30uanrp, b9g4qurpll4wizajo95c406hh, dlf31m2lrfl0biop1demgvh7t, 12ekwo6gbza410blv4b4r7ydx, 31wf775s975qy3il33oora8k5, 4k0ni039sbjs4sqipk4v7k79x, cjd62gwj9ptwrrtu6y6xnpeui, 2gsq05yyxwe4f8t79j6d49q6t, 8wz5pdydepr5kzcichz17pv4l, 9irgn82qm11logbhup51rg5wp, 8c1r97aweyfc0woefvlfy2l05, 3gsprcdyogabeb8lr2y0bmytx, 1g15ehziupxnsy1kvl3pqmbc9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442463353,1,34,16,0,0,d5ydtvt96bv7fq04yqm2w2632,1,0,0,2022-08-06T13:00:08.330Z,2022-08-06T14:03:14Z,3686930837,194,7r6vds5j65fohi1k28cnqjqvp,3686930841,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3686930835,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3686930839,197,3231,3686930829,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3686930831,59,"31, 2, 19, 22, 35, 43, 8, 45, 9, 7, 6, 1, 5, 10, 11, 15, 17, 24, 27, 37",3686930827,30,"8jw1c54yfsk2m13uyl5yi5hm2, 2uiza5b6fbum38chxtvmnkzqh, e382powtgetwn8npxf9nqeaga, 2r1u01vlym0nwcwx86bwbuusq, 1tbc8iokapjgu8zjrc1knq28l, 9tdb905kq5becch102boicdex, 7r6vds5j65fohi1k28cnqjqvp, dgjl6ks0r7lbh09fe8cuwj7ro, dusjrdiyxfadenwx4pjr7catx, 37bmb84zex63yoipqwj01bcgl, cuqawmfekh86mgo758udxw7v9, d3p7p18i2ybzlwz5p5gjdd239, e6la6wx7o6x7k4srpq8tdsafp, 59ujnkvl7rlffomi2bqpsmbpx, 6r4adhp9hu4ux7egwgd8j2thx, 67qku7vyvbw76086eu05nowd1, axnmil0bg1giwhoa31tks7ljp, 6tckvu2rw7ns18dq7dim0sout, 6xdgasd4dvfgg4n23jw38473d, 7zkku0gboniozaks9yx0ous8a",3686930833,130,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442494327,2,32,1,0,0,d5ydtvt96bv7fq04yqm2w2632,1,0,0,2022-08-06T14:00:09.176Z,2022-08-06T14:00:09Z,3687085863,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442494369,2,32,1,0,0,22doj4sgsocqpxw45h607udje,1,0,0,2022-08-06T14:00:09.176Z,2022-08-06T20:23:26Z,3687086041,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442494399,3,1,1,0,0,d5ydtvt96bv7fq04yqm2w2632,1,50,50,2022-08-06T14:00:09.347Z,2022-08-06T21:26:52Z,3689379139,178,,3687086137,140,25.4,3687086143,213,3.2,3687086139,141,49.4,3687086141,212,25.8,3687086135,56,Back,3687086145,279,S,,,,dusjrdiyxfadenwx4pjr7catx,A. Armstrong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442494435,4,1,1,0,3,d5ydtvt96bv7fq04yqm2w2632,0,30.6,44,2022-08-06T14:00:12.876Z,2022-08-06T21:27:07Z,3687086301,140,68.1,3687086303,141,0.0,3688274117,157,,3687086299,56,Right,3687086309,1,,3687086305,212,49.8,3687086307,213,5.6,3689379581,178,,8jw1c54yfsk2m13uyl5yi5hm2,G. Bazunu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442494553,3,5,1,0,7,22doj4sgsocqpxw45h607udje,1,34.2,100.6,2022-08-06T14:00:16.915Z,2022-08-06T21:27:57Z,3687086915,233,5,3687086885,56,Back,3687086887,347,,,,,,,,,,,,,,,,,b9g4qurpll4wizajo95c406hh,H. Kane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442494441,5,5,1,0,7,d5ydtvt96bv7fq04yqm2w2632,0,65.8,-0.6,2022-08-06T14:00:16.915Z,2022-08-06T21:27:57Z,3687086919,233,3,3687086313,56,Right,3687086315,347,,,,,,,,,,,,,,,,,8jw1c54yfsk2m13uyl5yi5hm2,G. Bazunu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442494615,4,1,1,0,18,22doj4sgsocqpxw45h607udje,1,37.2,100,2022-08-06T14:00:27.782Z,2022-08-06T21:28:02Z,3687087121,140,14.5,3687087123,141,89.4,3687087117,107,,3687087127,213,3.5,3687087119,56,Back,3687087129,1,,3687087125,212,25.2,,,,cag3gzjcv8erx3zpp2lidzcvd,R. Sessegnon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442494653,5,1,1,0,23,22doj4sgsocqpxw45h607udje,1,20.3,92.6,2022-08-06T14:00:32.468Z,2022-08-06T21:28:08Z,3687087295,212,26.4,3687087297,213,6.0,3687087293,141,83.6,3689381327,178,,3687087291,140,44.8,3687087289,56,Back,3687087287,155,,,,,7qy1hiitksyuaa9l0irxg240l,B. Davies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
