id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/16/value
2527402893,1,34,16,0,0,4txjdaqveermfryvbfrr4taf7,1,0,0,2023-04-02T12:00:10.392Z,2023-04-02T13:12:48Z,4157178541,30,"eagrmpe9ft8daly57l1ja8lhx, cm0gwoyh5rdb216fx685a7l5h, 8qezzr83ofw7htqufohg2fwlx, 6jgocc12bori2wygyu07c082x, 9qdm0nxg1g046olii48z3crf9, 3o0zpl9cnmna2hyk595ja0xrd, 6wwagkprtmcadu8p6klcu2uhh, at7mm2zrj2hjhu4bnq1f9noix, ashza2qkgnak7wb3vuz5bnzyt, d542ijpf3j9hdrtt1mfe6vwlx, exviw7gzg5p3vaiwaq4ujw9ud, 9w5o8b18ffu4qr4bdnfrk4ogl, 4ryipy52oscxkv71ws0os5w5, 6aix9yu384pv1caanqiol231l, 3c7vnmec038bhz5rq36ywi2fp, ebj88k2kxp7r1x6lmrqacuaj9, 44zyk38a8ffdjr5bmj355bt2h, 9eaevg9okpy4gcm6yofg7vbv9, f2pknjv2uohldehbp39j0so2d, bmk0efhzrno1sgr3g8yijoa8l",4157178547,130,4,4157178551,194,6jgocc12bori2wygyu07c082x,4157178549,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4157178545,59,"1, 24, 33, 41, 4, 27, 28, 11, 18, 20, 22, 3, 5, 8, 9, 10, 12, 13, 14, 21",4157178555,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4157178543,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4157178553,197,4983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527402987,1,34,16,0,0,d5ydtvt96bv7fq04yqm2w2632,1,0,0,2023-04-02T12:00:14.564Z,2023-04-02T12:00:14Z,4157179029,130,2,4157179027,59,"31, 2, 15, 8, 35, 6, 17, 45, 18, 32, 24, 1, 3, 4, 7, 11, 12, 20, 26, 27",4157179035,197,16652,4157179033,194,7r6vds5j65fohi1k28cnqjqvp,4157179023,30,"8jw1c54yfsk2m13uyl5yi5hm2, 2uiza5b6fbum38chxtvmnkzqh, 67qku7vyvbw76086eu05nowd1, 7r6vds5j65fohi1k28cnqjqvp, 1tbc8iokapjgu8zjrc1knq28l, 6gymgqxnu2zavuxgp6amm3zkl, axnmil0bg1giwhoa31tks7ljp, dgjl6ks0r7lbh09fe8cuwj7ro, 1qcj2upaz0xa98zkc835djo8a, 2oijcg6e36mwy3ie1num5wclx, 6tckvu2rw7ns18dq7dim0sout, d3p7p18i2ybzlwz5p5gjdd239, dzsd79k6345s9105mb2r4fqol, 4042kk7ylrs378rh26b7mh42x, 37bmb84zex63yoipqwj01bcgl, 1v8r5d4v9eh3011wmwhk3v36d, 7wh91ajt4v3w9kfdpp5hf5mmt, 448wxnlqhqqf2hcecwut90n6y, 18qxb54ol1s4mtgl7n3224ciy, 6xdgasd4dvfgg4n23jw38473d",4157179025,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4157179031,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4157179037,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527475853,2,32,1,0,0,d5ydtvt96bv7fq04yqm2w2632,1,0,0,2023-04-02T13:01:00.421Z,2023-04-02T13:01:00Z,4157558015,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527475875,2,32,1,0,0,4txjdaqveermfryvbfrr4taf7,1,0,0,2023-04-02T13:01:00.421Z,2023-04-02T20:01:00Z,4157558105,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527475931,3,1,1,0,0,d5ydtvt96bv7fq04yqm2w2632,1,49.8,50.3,2023-04-02T13:01:00.455Z,2023-04-02T20:12:22Z,4157558383,140,30.0,4157558385,141,47.9,4157558389,213,3.2,4159481823,178,,4157558387,212,20.9,4157558381,56,Back,4157558391,279,S,,,,axnmil0bg1giwhoa31tks7ljp,S. Armstrong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527476021,4,1,1,0,3,d5ydtvt96bv7fq04yqm2w2632,1,33.3,51,2023-04-02T13:01:03.562Z,2023-04-02T20:12:26Z,4157558767,213,0.6,4157558761,140,73.6,4157558769,1,,4157558765,212,50.0,4157558763,141,90.2,4157558757,155,,4157558759,56,Left,4159482063,178,,1tbc8iokapjgu8zjrc1knq28l,J. Bednarek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527476077,5,44,1,0,6,d5ydtvt96bv7fq04yqm2w2632,1,74,89.4,2023-04-02T13:01:06.651Z,2023-04-02T20:50:59Z,4157559049,286,,4157559047,56,Left,4157559105,233,3,,,,,,,,,,,,,,,,1qcj2upaz0xa98zkc835djo8a,S. Mara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527475991,3,44,1,0,6,4txjdaqveermfryvbfrr4taf7,0,26,10.6,2023-04-02T13:01:06.652Z,2023-04-02T20:12:29Z,4157559149,233,5,4157558651,285,,4157558649,56,Back,,,,,,,,,,,,,,,,cm0gwoyh5rdb216fx685a7l5h,T. Kehrer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527476085,6,50,1,0,8,d5ydtvt96bv7fq04yqm2w2632,1,69.5,95.6,2023-04-02T13:01:08.598Z,2023-04-02T20:12:38Z,4157559377,233,4,4157559085,56,Left,4157559087,286,,,,,,,,,,,,,,,,,1qcj2upaz0xa98zkc835djo8a,S. Mara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527476131,4,7,1,0,9,4txjdaqveermfryvbfrr4taf7,0,30.5,4.4,2023-04-02T13:01:09.421Z,2023-04-02T20:12:41Z,4157559347,233,6,4157559277,285,,4159483227,178,,4157559275,56,Back,4158731487,383,,,,,,,,,,,cm0gwoyh5rdb216fx685a7l5h,T. Kehrer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
