id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/12/value,qualifier/13/value,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value,qualifier/14/value,qualifier/17/value,qualifier/15/value
2469672801,1,34,16,0,0,3b4nxgvmwzstmoq6borytkwx1,1,0,0,2022-10-09T13:30:13.374Z,2022-10-09T14:29:01Z,3831694527,59,"1, 79, 19, 70, 26, 23, 42, 24, 11, 8, 21, 4, 6, 7, 9, 12, 13, 18, 59, 77",3831694539,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3831694525,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3831694537,194,47wasen155qbiu6pmyp3dowr9,3831694529,130,13,3831694533,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3832023971,197,1519,3831694523,30,"ekjpc2tvdk5jtiamtufdqkr85, 4a4kjygjq5el2ylh7k660lul0, 4ax49niuix9tiqdv05y3vbdn9, 7aak50ydu8nrfxd9qndeygnpw, c406oul95r3jvmbebcge5oz4l, 3weuuu2vlyod9x7gnk2v9r1ed, eyllkbdemtx2seh48r9l3czbp, 47wasen155qbiu6pmyp3dowr9, rm1d0hp2iwsne1hbfgq0oa21, aissbbcnwyr06fhgfamxo9j2t, 57pi7l4h7g2jydmkc5vl6vkr9, 6n9p8xqhlgz0qfi39rojaxst0, 6w3iuh0f11tbwr037i7qb031m, 5za437wrlqizff74n6uqodpzp, 3batawbh7y4sjkeo4hn34svzd, 6a34imgccsbw4zysasuziuad, 96tuk7bpr043jh2obpegcgd4a, 90ojk78yhwtwbnz0k5w1ow6hh, 6ylhhspjzxqrbqj4yq35hwkr8, 5bpx24iyhlarqkmg09pm27lgq",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469676969,1,34,16,0,0,7kfx3xpj2c2wxinsyi16i9gaz,1,0,0,2022-10-09T13:34:11.429Z,2022-10-09T14:32:55Z,3831717647,194,8inrz9rna2z5lirsorindh0b9,3831717641,59,"59, 2, 45, 66, 21, 6, 10, 16, 95, 23, 7, 57, 25, 36, 8, 4, 11, 12, 24, 98",3831717645,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3831717635,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3831717649,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3832023583,197,385,3831717643,130,13,3831717633,30,"8nesxmzgmtxcr5vu3881j6ane, 8q4m06v3yfsq2iza942ezaxud, 68o93orxpx4ehs4dsa57521g5, 5i5qgzbovli6pspg01ohrfdre, 8qn1z72et0w6bqw9mstopb7px, 1c8ki3i0dz0axlnd0vauzw9d6, 8sg65mj881mnfd9wgtew01s5x, 922dtb3ppvsgvzysfjwg86jmx, 8inrz9rna2z5lirsorindh0b9, 3bysj69bufnbqx70q6ufzat49, 57xeumfhz5h30yn1168rgljah, 8fzbg2qdd8d00nwn1kinqr71m, 6dc5id3ucboy4yroiezgzapgq, 388ux45xau80x9rom4s2bapgq, bojn9itaxqzymbjj6et0o0onp, 8czsihbd6817k4uzvwenqvxex, 757f9x11lzcug3d6sn39d85wp, cqfw0fsbxyjb7mduk2hk27e1h, 36rogvj0yhivqtaj3bz0xijmd, c2o0vuyoiqyxmknotnq1ejbe2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469738773,2,32,1,0,0,3b4nxgvmwzstmoq6borytkwx1,1,0,0,2022-10-09T14:32:26.844Z,2022-10-11T20:20:46Z,3832043493,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469738765,2,32,1,0,0,7kfx3xpj2c2wxinsyi16i9gaz,1,0,0,2022-10-09T14:32:26.844Z,2022-10-09T14:32:27Z,3832043477,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469738815,3,1,1,0,0,7kfx3xpj2c2wxinsyi16i9gaz,1,49.9,50.1,2022-10-09T14:32:26.943Z,2022-10-12T03:56:22Z,3832043771,212,22.8,3832043769,141,53.7,3832043765,56,Back,3832043767,140,28.3,3832043775,279,S,3837695021,178,,3832043773,213,3.0,,,,8inrz9rna2z5lirsorindh0b9,J. Tagueu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469738879,4,1,1,0,3,7kfx3xpj2c2wxinsyi16i9gaz,1,28.6,57.5,2022-10-09T14:32:30.842Z,2022-10-12T03:56:32Z,3837695107,178,,3832044137,140,29.0,3832044141,212,19.6,3832044139,141,86.3,3832044135,56,Back,3832044143,213,1.5,,,,,,,8qn1z72et0w6bqw9mstopb7px,João Afonso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469738941,5,1,1,0,7,7kfx3xpj2c2wxinsyi16i9gaz,1,28.1,90,2022-10-09T14:32:33.890Z,2022-10-12T03:56:41Z,3832044481,140,61.5,3832044487,213,6.2,3832044489,1,,3832044485,212,35.1,3832044477,155,,3837695245,178,,3832044483,141,88.1,3832044479,56,Left,5i5qgzbovli6pspg01ohrfdre,Léo Andrade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469738953,6,44,1,0,8,7kfx3xpj2c2wxinsyi16i9gaz,1,59.6,82.7,2022-10-09T14:32:35.590Z,2022-10-12T06:53:18Z,3832044553,56,Left,3832061129,233,3,3832044557,286,,,,,,,,,,,,,,,,,57xeumfhz5h30yn1168rgljah,André Vidigal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469738937,3,44,1,0,8,3b4nxgvmwzstmoq6borytkwx1,0,40.4,17.3,2022-10-09T14:32:35.591Z,2022-10-12T03:56:54Z,3832061177,233,6,3832044471,285,,3832044469,56,Back,,,,,,,,,,,,,,,,3weuuu2vlyod9x7gnk2v9r1ed,V. Sasso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469738959,7,1,1,0,8,7kfx3xpj2c2wxinsyi16i9gaz,0,60.7,84.7,2022-10-09T14:32:35.646Z,2022-10-12T06:53:19Z,3832044595,56,Left,3832044599,141,82.4,3832044601,212,1.9,3832044597,140,61.8,3832044591,3,,3837695547,388,,3832044593,168,,3832044603,213,5.3,57xeumfhz5h30yn1168rgljah,André Vidigal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
