id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/16/value
2462085203,1,34,16,0,0,ewsf6evtguu9j7k6js4tlgl89,1,0,0,2022-09-18T15:56:28.972Z,2022-09-18T17:02:13Z,3791285547,30,"4k2wic25asdlmuqr17e3s6nkl, 28lucwbes9q95s1j4mgy2s50q, 58r7rr6rqtji5m0bkdxmwqqui, dqpkkgodtwn11fgpq2c3tlqz9, 6wjwijfj7i2vvlsxzyzfb2cwl, d92r3s9hlaq3k56b503ovjfmd, 2ban1f798o92hq593c8a0nv11, 3sxd2j3a9d2bukfeu5y9824tl, edk9jemtelz51uoob4quyd4kq, bxbvbqfhiv1hivt3ttxum1uy1, 53unfq55ouhqni5jbl07fyqc5, 1vw6okufgzi8d2rx2yx3vuhux, 3uvek737jr8909is4vi1d9nxm, 64upo0p7ealjcpfkldjiqlvit, cwd95dwww2bs1d9wzjpw3ydx, 7btjqixepiu3ykopyvg3k6itx, 3qqh9uurvqkg6aljwwjyxp8mh, ag5ozuf1o3ixkdrdb39g9dasp, 4jqmdmc0za8pdpz9ne875uzmx, 613xzggyqa0ugkmu2u6oxkmp5",3791285557,194,6wjwijfj7i2vvlsxzyzfb2cwl,3791285551,59,"33, 42, 5, 19, 13, 15, 27, 17, 99, 14, 7, 2, 4, 8, 11, 16, 23, 68, 70, 88",3791285553,130,13,3791285561,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3791285549,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3791285559,197,7108,3791285555,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462085723,1,34,16,0,0,5c0sf1eaipcxvdw9o22of2jdp,1,0,0,2022-09-18T15:57:02.018Z,2022-09-18T17:07:13Z,3791287991,194,1zteujk5u3rpr028priato4bt,3791287993,197,6595,3791287995,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3791287987,130,7,3791287989,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3791287985,59,"31, 22, 5, 25, 15, 4, 95, 11, 17, 97, 74, 6, 8, 9, 13, 14, 19, 20, 28, 29",3791287981,30,"6ddxujeb3873j5evwiz8n4wt0, ao3sbh3qpdxwb7vhzmaqnpqp6, bxfalki1fmd687uj0b8e0m0np, 1whf50hjb4jhz9119qvtdov6d, 1zteujk5u3rpr028priato4bt, 4ofpb9y2fqqr3d5cdfbl05c6h, 70hnojvt05azfjppu0bkroahg, 3vba6x3mml1ytp8tac9eggtpm, dkijqjb6nubobtobl4s2v8xxx, 1u9sn1cu0pq16mina2q6d6dwp, d98j4asio4xrxcwmfg1ak95yi, ck3l6a262hves3v6nywarx9pm, 6jkfecnicg5ilzy44x7ld7u1h, 5v4xejh2rnvkrqnvpz4eu2lt5, dtxysky39b63q1rdmg9df7tn9, 7y5oyflivt56zuwoyzs2q20ru, eika2197gwlmjq70xdvisoe09, 76w964mdux2s3max2nlih6az8, e0k7beubxdswouhw13td0nlk9, 5fcx7aiflhvguztjw8mp53b9x",3791287983,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462139003,2,32,1,0,0,5c0sf1eaipcxvdw9o22of2jdp,1,0,0,2022-09-18T17:01:31.708Z,2022-09-18T17:01:33Z,3791578449,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462138977,2,32,1,0,0,ewsf6evtguu9j7k6js4tlgl89,1,0,0,2022-09-18T17:01:31.708Z,2022-09-20T21:37:23Z,3791578355,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462139019,3,1,1,0,0,ewsf6evtguu9j7k6js4tlgl89,1,50,50,2022-09-18T17:01:31.917Z,2022-09-21T07:09:03Z,3791578543,141,52.8,3791578541,140,28.1,3791578549,279,S,3791580309,189,,3791578545,212,23.1,3791578537,56,Back,3791578547,213,3.1,3795982649,178,,edk9jemtelz51uoob4quyd4kq,Clayton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462139051,4,1,1,0,2,ewsf6evtguu9j7k6js4tlgl89,1,28,52.8,2022-09-18T17:01:34.301Z,2022-09-21T07:09:12Z,3791578747,140,29.5,3791578751,212,12.5,3791578753,213,1.4,3791578749,141,71.0,3791578745,56,Back,3795982751,178,,,,,,,,6wjwijfj7i2vvlsxzyzfb2cwl,Vasco Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462139083,5,1,1,0,7,ewsf6evtguu9j7k6js4tlgl89,1,33,73.2,2022-09-18T17:01:39.300Z,2022-09-21T07:09:19Z,3791578945,213,1.1,3791578937,56,Back,3791578943,212,19.4,3791578941,141,98.3,3795982855,178,,3791578939,140,41.7,,,,,,,dqpkkgodtwn11fgpq2c3tlqz9,N. Zolotić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462139111,6,1,1,0,9,ewsf6evtguu9j7k6js4tlgl89,1,41.4,97.2,2022-09-18T17:01:41.445Z,2022-09-21T07:09:25Z,3791579067,213,3.8,3791579057,56,Back,3791579063,141,87.5,3791579061,140,33.9,3791579065,212,10.3,3795982967,178,,,,,,,,58r7rr6rqtji5m0bkdxmwqqui,Leonardo Lelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462139119,7,1,1,0,12,ewsf6evtguu9j7k6js4tlgl89,0,33.9,87.5,2022-09-18T17:01:43.763Z,2022-09-21T07:09:37Z,3795983175,178,,3791579201,286,,3791579107,140,35.5,3791579195,236,,3791579115,213,5.4,3791579197,233,3,3791579111,212,2.8,3791579105,56,Back,dqpkkgodtwn11fgpq2c3tlqz9,N. Zolotić,3791579109,141,84.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462139125,3,74,1,0,12,5c0sf1eaipcxvdw9o22of2jdp,1,69.6,12.3,2022-09-18T17:01:43.793Z,2022-09-21T07:09:44Z,3791579145,285,,3791579141,56,Right,3791579219,233,7,3795983311,178,,,,,,,,,,,,,,dkijqjb6nubobtobl4s2v8xxx,Rui Fonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
