id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/12/value,qualifier/14/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2458841999,1,34,16,0,0,bwt8yfk8rkcwiwyr0mopd7wqd,1,0,0,2022-09-11T16:21:11.631Z,2022-09-11T16:57:13Z,3774048079,194,d1bful4yiqcc8k5jhg9a3uyfp,3774048071,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3774048081,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3774048073,59,"42, 78, 19, 25, 3, 72, 7, 21, 9, 10, 20, 5, 8, 12, 17, 18, 26, 55, 57, 93",3774048077,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3774048075,130,8,3774048069,30,"664x98r3mbynnh19u1cx984q, 1lisq580zw4yfk6id6f1dwr56, asoisrxtnm0zynx35ueum4v6d, 3ipb4zd3vz7dpnkyeiw22tal1, d1bful4yiqcc8k5jhg9a3uyfp, as0t8xi6k6nl4l06g23u3jcru, 1f57m5jalwzn2xwr3xqtjiy8l, c01muomxuk015zrf9n21ztq7d, 1zf9egrh7cjofd7td62oc5tk9, rzxtat0t3okt8tikf5mvdxm2, 8qxoj7nyhu2prjl3bjfqi2ui1, cpcsusprqvec5l4mvwl6td23t, 6nrvjozwk5or2v7dxkqbf9j9x, 2983qoliizrxvsi9sb9c5wwoa, 5awvo9xetmgwxmqfisawqz90q, ljr2286geelctnfxzkxukmi1, 1ldbn0jnfzcvj7edwlq1z4q8l, 10jwipbmvqza53ja0lwof9be1, 8bn4i1qj747gh0hz6vbn0u25m, 16q9oy1ddvvihrgor1mbo77bp",3774174175,197,10660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458844165,1,34,16,0,0,7kfx3xpj2c2wxinsyi16i9gaz,1,0,0,2022-09-11T16:24:40.060Z,2022-09-11T17:02:35Z,3774059499,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3774059481,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3774059491,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3774059487,130,2,3774059479,30,"3y7h2e79gvzrqor9gg854dl91, 8q4m06v3yfsq2iza942ezaxud, 8jcuunhako2i9ynmp8v3w2eax, bojn9itaxqzymbjj6et0o0onp, a00q0qj479gzj5hymx4ix5lp0, 5i5qgzbovli6pspg01ohrfdre, 3bysj69bufnbqx70q6ufzat49, 922dtb3ppvsgvzysfjwg86jmx, cqfw0fsbxyjb7mduk2hk27e1h, 8inrz9rna2z5lirsorindh0b9, 1m8chbktzw7yd9ly3ibcy4nl6, 6dc5id3ucboy4yroiezgzapgq, 1c8ki3i0dz0axlnd0vauzw9d6, 757f9x11lzcug3d6sn39d85wp, 8qn1z72et0w6bqw9mstopb7px, 36rogvj0yhivqtaj3bz0xijmd, 17govndl49nve5d5h74bs5i0a, 68o93orxpx4ehs4dsa57521g5, epid1ty8o3zakec8nixogdg16, 6ys90hkocv68glss19acsvgq2",3774059483,59,"1, 2, 94, 8, 3, 66, 23, 16, 12, 95, 17, 25, 6, 11, 21, 24, 34, 45, 80, 99",3774173933,197,385,3774059495,194,cqfw0fsbxyjb7mduk2hk27e1h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458868025,2,32,1,0,0,7kfx3xpj2c2wxinsyi16i9gaz,1,0,0,2022-09-11T17:02:20.030Z,2022-09-13T05:53:03Z,3774188741,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458868003,2,32,1,0,0,bwt8yfk8rkcwiwyr0mopd7wqd,1,0,0,2022-09-11T17:02:20.030Z,2022-09-11T17:02:20Z,3774188637,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458868073,3,1,1,0,0,bwt8yfk8rkcwiwyr0mopd7wqd,1,50,50,2022-09-11T17:02:20.421Z,2022-09-14T04:02:56Z,3774188987,141,52.7,3778743643,178,,3774188983,56,Back,3774188993,279,S,3774188989,212,20.9,3774188991,213,3.1,3774188985,140,30.2,,,,1zf9egrh7cjofd7td62oc5tk9,Fran Navarro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458868127,4,1,1,0,2,bwt8yfk8rkcwiwyr0mopd7wqd,1,29.9,54.9,2022-09-11T17:02:22.795Z,2022-09-14T04:03:05Z,3774189285,213,1.1,3778743813,178,,3774189283,212,23.3,3774189279,140,39.3,3774189281,141,86.0,3774189277,56,Back,,,,,,,c01muomxuk015zrf9n21ztq7d,Vitor Carvalho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458868151,5,1,1,0,8,bwt8yfk8rkcwiwyr0mopd7wqd,1,47.3,86.9,2022-09-11T17:02:28.864Z,2022-09-14T04:03:41Z,3774189373,213,5.3,3778744083,178,,3774189371,212,9.7,3774189365,56,Center,3774189369,141,75.1,3774189367,140,52.5,,,,,,,as0t8xi6k6nl4l06g23u3jcru,Tomás Araújo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458868169,6,1,1,0,9,bwt8yfk8rkcwiwyr0mopd7wqd,1,52.3,74.8,2022-09-11T17:02:29.664Z,2022-09-14T04:03:52Z,3774189481,140,43.6,3778744205,178,,3774189487,213,2.6,3774189479,56,Back,3774189483,141,82.4,3774189485,212,10.5,,,,,,,3ipb4zd3vz7dpnkyeiw22tal1,Pedro Tiba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458868207,7,1,1,0,11,bwt8yfk8rkcwiwyr0mopd7wqd,1,43.2,80.9,2022-09-11T17:02:31.295Z,2022-09-14T04:03:56Z,3774189697,140,34.5,3774189699,141,62.0,3778744253,178,,3774189703,213,4.1,3774189695,56,Back,3774189701,212,15.8,,,,,,,as0t8xi6k6nl4l06g23u3jcru,Tomás Araújo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458868243,8,1,1,0,14,bwt8yfk8rkcwiwyr0mopd7wqd,1,33.7,57.3,2022-09-11T17:02:34.157Z,2022-09-14T04:04:00Z,3778744285,178,,3774189883,213,5.0,3774189879,141,28.2,3774189877,140,39.3,3774189881,212,20.6,3774189875,56,Back,,,,,,,c01muomxuk015zrf9n21ztq7d,Vitor Carvalho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
