id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/10/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/12/value,qualifier/16/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2499163815,1,34,16,0,0,26t6lvlpql4w5wu1ih73qpy36,1,0,0,2023-01-21T14:55:37.387Z,2023-01-21T15:32:02Z,3987355339,59,"1, 2, 6, 8, 3, 15, 45, 10, 9, 99, 71, 4, 7, 12, 14, 23, 26, 70, 88, 89",3987355337,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3987355345,194,5nlzolv5bg03eiopba58rs251,3987591723,197,372,3987355343,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3987355341,130,2,3987355347,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3987355335,30,"5nlzolv5bg03eiopba58rs251, 1wtikted5kmtz3bpu17enlvc9, c8s3kzk7jpdpp5ctzqkzh9vit, 8gkc9l566rjg7nifxwsq5vdud, 8t404ou7dw8vprk9h7jjuqjt, 51rs6ozeux61yyjfk9ci86311, 5kcytruttikppbpkeg9rhd4gl, 33qmom9yrc1ft1cte9qju1djp, e5xv1rmy69kwuxjxin653ojqh, cnriqwh17pqgz7p2gt74uar6c, 4ocmdia4dhnz2jdxr3n8sf8r8, 2psarhoauswcdof4nb22sw7ah, 2apqk2zobhs8ypnaw0bzkch9m, c3pxiexbciif7uu845ivx5hhx, 23d0t7gqlra3jkskn18bh752i, 43xutn1unln5o3gwx3cl4lo0l, csvbc0k1f54418nn8pjhg8ull, dq41kziilg4jki9erxel9d3ze, 5bo84b7398nyv87ztwd8wxh3p, 60jyy87x7db7wjur76irnisyc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499177187,1,34,16,0,0,491xixnlsp75o7cr3w2gc1o0z,1,0,0,2023-01-21T15:07:01.203Z,2023-01-21T15:29:02Z,3987420541,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3987420549,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3987420529,30,"1k5y6mool4qz2xtg6mp892vh1, 3zndvhinobvclra6m0y47drrp, 6hhxcbz0w98s2ucyjq4v3o9p0, egf4oc47whxf2hmrjjddvtxbd, fwnnz9wriid0xznpbpdy82s4, 19mq6gsvnfvnzugpbfwniqj1l, 7jso6ijfblfqjfvfh09wt5g5, 8dyozmfhm4x9hwqqpa6hcri6t, 7d8acg1r083veuigl34kojnbp, 78ug8x7pkjt88u5dx151v32z9, atcgj9k5ghx0ekwyky31l4pud, bid3fvgjmfnik2pegy9av3tux, 53y263xxfdf1itytiqhg3v6c5, 4qo7eu3xwhkpssbuyk4n70fe1, 8kns1kywrlakjwll1cxs19r3e, d4zft3r7ot8q6dqqhqugbba0a, dtkxyjne2wd3rtsg74i9lc6qc, 1arszie3v8bks90bcetskhwfe, 32y6mygyypg6jhzge0vqjx79, c9rqgser2j8a6w7xfj3vmkzfu",3987420535,59,"28, 15, 20, 6, 3, 25, 22, 26, 30, 10, 9, 14, 98, 4, 7, 11, 13, 17, 21, 23",3987420531,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3987420539,130,4,3987420545,194,7jso6ijfblfqjfvfh09wt5g5,3987595039,197,12635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499211109,2,32,1,0,0,491xixnlsp75o7cr3w2gc1o0z,1,0,0,2023-01-21T15:29:25.595Z,2023-01-24T04:23:01Z,3987597877,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499211097,2,32,1,0,0,26t6lvlpql4w5wu1ih73qpy36,1,0,0,2023-01-21T15:29:25.595Z,2023-01-21T15:29:25Z,3987597783,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499211161,3,1,1,0,0,26t6lvlpql4w5wu1ih73qpy36,1,49.9,50.1,2023-01-21T15:29:26.105Z,2023-01-24T05:01:49Z,3987598201,141,54.5,3987598197,56,Back,3987598209,279,S,3987598199,140,38.8,3992683891,178,,3987598205,213,2.9,3987598203,212,12.0,,,,cnriqwh17pqgz7p2gt74uar6c,Vítinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499211181,4,1,1,0,2,26t6lvlpql4w5wu1ih73qpy36,1,38.3,53.3,2023-01-21T15:29:28.183Z,2023-01-24T05:01:53Z,3987598307,212,26.2,3987598301,56,Back,3987598309,213,4.5,3987598303,140,34.0,3987598305,141,15.3,3992683923,178,,,,,,,,33qmom9yrc1ft1cte9qju1djp,André Horta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499211227,5,1,1,0,5,26t6lvlpql4w5wu1ih73qpy36,1,33.6,14.9,2023-01-21T15:29:31.275Z,2023-01-24T05:02:03Z,3992684011,178,,3987598553,212,11.6,3987598555,213,2.4,3987598549,140,25.3,3987598551,141,26.1,3987598547,56,Back,,,,,,,1wtikted5kmtz3bpu17enlvc9,Víctor Gómez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499211267,6,1,1,0,8,26t6lvlpql4w5wu1ih73qpy36,1,25.2,30.1,2023-01-21T15:29:33.671Z,2023-01-24T05:02:11Z,3987598747,212,20.4,3987598741,140,23.5,3992684083,178,,3987598749,213,1.7,3987598737,56,Back,3987598745,141,60.0,,,,,,,8t404ou7dw8vprk9h7jjuqjt,Vítor Tormena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499211291,7,1,1,0,10,26t6lvlpql4w5wu1ih73qpy36,1,22.9,58.5,2023-01-21T15:29:36.357Z,2023-01-24T05:02:20Z,3987598845,141,33.6,3987598855,213,4.9,3987598839,56,Back,3987598851,212,17.3,3987598841,140,26.5,3992684153,178,,,,,,,,51rs6ozeux61yyjfk9ci86311,Paulo Oliveira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499211389,8,1,1,0,12,26t6lvlpql4w5wu1ih73qpy36,1,26.5,33.6,2023-01-21T15:29:38.484Z,2023-01-24T05:02:28Z,3987599433,213,6.0,3992684227,178,,3987599429,141,28.0,3987599427,140,40.7,3987599431,212,15.4,3987599425,56,Back,,,,,,,8t404ou7dw8vprk9h7jjuqjt,Vítor Tormena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
