id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/8/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/14/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/9/value,qualifier/12/value,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId
2455998591,1,34,16,0,0,co1i764h6b02husae71w6scs8,1,0,0,2022-09-04T18:33:53.338Z,2022-09-04T19:31:58Z,3759176109,197,3749,3758956559,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3758956569,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3758956567,194,3vwbsaoy8f2vc4kkad4ipv3kl,3758956557,30,"cpf5wp34pu80qzvcwakjhh905, 6gmfcfqd1o54zyepd9587nlqt, f29gq7ixyjd9m22yhmb7c7oq1, 9lwpckbeu2ymqlmq6288bdjvt, 10va1tucy0kb83wllaudp7e95, cgtz4fa0mz9poi4ju8bjtbwiy, 3q1nhus52rnkt6nwvqmpb1ct0, 3vwbsaoy8f2vc4kkad4ipv3kl, 7apd6saozsmkhkm7ew06a5a6t, 1c0ymbcylpp4ty7n34inspffu, 82fjdh9q4378gd1g9l1bimrx1, eaf4b3le808xp7j4rejomxf55, db6kkpr65v0zlrlx1cr5almcq, 9788pzgd21d94wye06ryneoyd, 5j9k3rz7a8z7zx91hxetr6v6y, 2kvb94ocyvs7x1sbq73rr22nd, 3vth7chxafg6828kg2xseimwa, dvxwdpad8a1iatnwcpqvy3m5l, 1zokl2zp7gtwlmj37kps6lnmx, 9fmhfunfd0d4ca0addj6vtdk9",3758956561,59,"32, 18, 14, 6, 44, 22, 27, 21, 35, 20, 93, 1, 3, 8, 17, 19, 30, 38, 70, 78",3758956563,130,4,3758956565,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455998913,1,34,16,0,0,5c0sf1eaipcxvdw9o22of2jdp,1,0,0,2022-09-04T18:34:32.689Z,2022-09-04T20:32:16Z,3759175273,197,6994,3758958385,30,"6ddxujeb3873j5evwiz8n4wt0, ao3sbh3qpdxwb7vhzmaqnpqp6, bxfalki1fmd687uj0b8e0m0np, 1u9sn1cu0pq16mina2q6d6dwp, 1zteujk5u3rpr028priato4bt, 4ofpb9y2fqqr3d5cdfbl05c6h, e0k7beubxdswouhw13td0nlk9, 3vba6x3mml1ytp8tac9eggtpm, 5v4xejh2rnvkrqnvpz4eu2lt5, dh4byuuh5mlyp147iq8cyunkl, 7y5oyflivt56zuwoyzs2q20ru, ck3l6a262hves3v6nywarx9pm, 6jkfecnicg5ilzy44x7ld7u1h, dtxysky39b63q1rdmg9df7tn9, dkijqjb6nubobtobl4s2v8xxx, 76w964mdux2s3max2nlih6az8, 1whf50hjb4jhz9119qvtdov6d, 5fcx7aiflhvguztjw8mp53b9x, d98j4asio4xrxcwmfg1ak95yi, 70hnojvt05azfjppu0bkroahg",3758958397,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3758958389,59,"31, 22, 5, 97, 15, 4, 28, 11, 9, 7, 14, 6, 8, 13, 17, 20, 25, 29, 74, 95",3758958387,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3758958395,194,1zteujk5u3rpr028priato4bt,3758958393,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3758958391,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456036551,2,32,1,0,0,5c0sf1eaipcxvdw9o22of2jdp,1,0,0,2022-09-04T19:32:10.685Z,2022-09-04T19:32:14Z,3759176937,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456036547,2,32,1,0,0,co1i764h6b02husae71w6scs8,1,0,0,2022-09-04T19:32:10.685Z,2022-09-07T05:26:16Z,3759176911,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456036583,3,1,1,0,1,5c0sf1eaipcxvdw9o22of2jdp,1,49.9,50.3,2022-09-04T19:32:12.119Z,2022-09-07T09:37:30Z,3763748701,178,,3759177097,141,49.9,3759177101,212,14.9,3759177089,56,Back,3759177103,213,3.2,3759177105,279,S,3759177093,140,35.7,,,,5v4xejh2rnvkrqnvpz4eu2lt5,Álex Millán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456036597,4,1,1,0,3,5c0sf1eaipcxvdw9o22of2jdp,0,35.7,49.9,2022-09-04T19:32:13.743Z,2022-09-07T09:37:34Z,3759177255,213,5.5,3759177239,56,Right,3763748803,178,,3759177237,155,,3759177251,212,51.2,3759177243,140,71.5,3759177259,1,,3759177247,141,0.0,3vba6x3mml1ytp8tac9eggtpm,Pedro Brazão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456036661,3,5,1,0,7,co1i764h6b02husae71w6scs8,1,27,101.2,2022-09-04T19:32:18.052Z,2022-09-07T09:37:38Z,3759177619,347,,3759177617,56,Back,3759177645,233,5,,,,,,,,,,,,,,,,7apd6saozsmkhkm7ew06a5a6t,B. Róchez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456036601,5,5,1,0,7,5c0sf1eaipcxvdw9o22of2jdp,0,73,-1.2,2022-09-04T19:32:18.052Z,2022-09-07T09:37:38Z,3759177659,233,3,3759177265,56,Right,3759177271,347,,,,,,,,,,,,,,,,,3vba6x3mml1ytp8tac9eggtpm,Pedro Brazão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456036685,4,1,1,0,13,co1i764h6b02husae71w6scs8,0,29,100,2022-09-04T19:32:23.948Z,2022-09-07T09:37:42Z,3759177751,212,18.4,3759177753,213,5.9,3759177743,107,,3759177745,56,Back,3759177749,141,91.2,3759177747,140,45.5,,,,,,,f29gq7ixyjd9m22yhmb7c7oq1,M. Seck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456036727,6,1,1,0,15,5c0sf1eaipcxvdw9o22of2jdp,0,45.1,6.8,2022-09-04T19:32:25.853Z,2022-09-07T09:37:46Z,3759177985,3,,3763748987,178,,3759177989,140,54.3,3759177987,56,Right,3759177995,213,5.8,3759177993,212,11.0,3759177991,141,0.0,,,,1zteujk5u3rpr028priato4bt,Riccieli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
