id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/10/value,qualifier/13/value,qualifier/14/value,assist,qualifier/17/value
2493762323,1,34,16,0,0,66bsnl0zjb7l5akwo00h0y5me,1,0,0,2022-12-28T20:18:58.124Z,2022-12-28T21:13:07Z,3958886747,194,37usxvspofewb3djlg67lp1hx,3958886749,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3958886737,30,"d79vlrccz170hzdh35nhsf1ed, dowh6oc93ggduous7ligguqne, av5ng2yhu8q1lqacekmxci0ut, el6dn7kq3815p2zd4rppzzw7p, 3enoici51osego5k1w41fuaqd, 37usxvspofewb3djlg67lp1hx, 8y0e1y90ih393h7zv7srfot79, 5966ij9cde66bhi1g39kxia51, 97vuoqg0x9nx56dmd9u5e12hh, 8ut3v3ezaj8th41g2kqhhhd9m, 2j8v4lkqeg1bcqp77ezseo8vd, 9iqmeo87l56hr3gymmxgkxysq, a6r2hqalh9ydoy2a8uv9rztux, xbk4zraauvq1cj1w5yz08kb9, 5m1fht9uevn186asz8awhxjah, f3zl8ymo5ttze20sffzk044q1, 4j6h9mgau5uaxlm589qlc6rjd, 1nd8l0ofw9x779c0ufwbbo4ph, cpmfjroqtibaahb1dr66pl2i1, cdir3jevzi4o8edgtfwu6jfca",3958886739,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3958886743,130,2,3958886745,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3958976539,197,367,3958886741,59,"99, 23, 22, 8, 2, 5, 25, 16, 9, 7, 13, 4, 11, 14, 17, 19, 20, 29, 46, 70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493762785,1,34,16,0,0,dich5v7sw466smbqap0d9rbyj,1,0,0,2022-12-28T20:20:05.824Z,2022-12-28T21:23:04Z,3958889293,194,8zt0zlypar7m1eqj4zu8ul695,3958889279,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3958889277,30,"25n2vrjnz5qsm5pigyn3ps8vd, bdgqvvkpadpthmlm40wa6dcyx, ds66cc3zwxbyl5zfzag5422g9, 3w3z6g8x70ii3pltaxyxbycwl, 8zt0zlypar7m1eqj4zu8ul695, 1ni0afs55daxlb5ocaqb2o8vd, clnli7y2s88p16yqtrbsb99sl, 7nrjutc015x9nupdcl4hj3l5h, bzt6oj1d4d2x3qez55hlvzpwp, 1doj252anzqdzn5fknqr5i31l, 9l70xwbhc0xr57iifzyxzot7t, 4effb0zguv2lqtv2vl9lqb696, dh3ddfghtgeb2iu2608y96i5m, 1nqpxso2a9qw8w8g6u4sb60ut, 1swp008ttj3pd57fz5uw8mctm, 43mnaysq76cz587wxk8w3job9, 2jl9lfqd2q74iwamx7g0xva50, 3mp7wghcalu9g3wxbqb9eqga",3958889283,59,"12, 21, 6, 10, 13, 3, 7, 5, 15, 23, 2, 9, 11, 14, 17, 44, 64, 92",3958889297,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3958976611,197,1822,3958889289,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3958889287,130,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493779751,2,32,1,0,0,66bsnl0zjb7l5akwo00h0y5me,1,0,0,2022-12-28T21:16:09.826Z,2022-12-29T19:52:32Z,3958982781,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493779743,2,32,1,0,0,dich5v7sw466smbqap0d9rbyj,1,0,0,2022-12-28T21:16:09.826Z,2022-12-28T21:16:10Z,3958982731,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493779761,3,1,1,0,0,dich5v7sw466smbqap0d9rbyj,1,50,50,2022-12-28T21:16:10.367Z,2022-12-30T13:32:58Z,3958982853,141,38.2,3958982855,212,13.7,3958982851,140,39.4,3960563755,178,,3958982859,279,S,3958982857,213,3.8,3958982849,56,Back,,,,bzt6oj1d4d2x3qez55hlvzpwp,Oday Dabbagh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493779785,4,1,1,0,2,dich5v7sw466smbqap0d9rbyj,1,39.4,38.2,2022-12-28T21:16:11.971Z,2022-12-30T13:33:01Z,3958982953,140,30.7,3958982955,141,8.8,3958982951,56,Back,3960563811,178,,3958982959,213,4.3,3958982957,212,22.0,,,,,,,3w3z6g8x70ii3pltaxyxbycwl,A. Ruiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493779793,5,1,1,0,4,dich5v7sw466smbqap0d9rbyj,1,30.7,8.8,2022-12-28T21:16:14.579Z,2022-12-30T13:33:05Z,3958983011,213,2.5,3958983005,140,21.1,3958983003,56,Back,3960563829,178,,3958983009,212,12.3,3958983007,141,19.2,,,,,,,bdgqvvkpadpthmlm40wa6dcyx,B. Milovanov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493779797,6,1,1,0,7,dich5v7sw466smbqap0d9rbyj,1,21.1,19.2,2022-12-28T21:16:17.067Z,2022-12-30T13:33:10Z,3958983049,141,6.6,3960563925,178,,3958983047,140,27.5,3958983051,212,10.9,3958983045,56,Back,3958983053,213,5.4,,,,,,,8zt0zlypar7m1eqj4zu8ul695,João Basso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493779817,7,1,1,0,9,dich5v7sw466smbqap0d9rbyj,1,25.8,11.8,2022-12-28T21:16:19.652Z,2022-12-30T13:33:14Z,3958983141,212,13.4,3958983143,213,2.7,3958983135,56,Back,3960563989,178,,3958983137,140,14.1,3958983139,141,19.8,,,,,,,bdgqvvkpadpthmlm40wa6dcyx,B. Milovanov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493779843,8,1,1,0,12,dich5v7sw466smbqap0d9rbyj,1,16.5,15.3,2022-12-28T21:16:22.651Z,2022-12-30T13:33:18Z,3958983281,155,,3958983283,56,Back,3958983291,213,0.1,3958983285,140,42.9,3960564035,178,,3958983287,141,18.8,3958983289,212,27.8,,,,8zt0zlypar7m1eqj4zu8ul695,João Basso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
