id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/12/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/10/value,qualifier/13/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,assist
2492025561,1,34,16,0,0,dvnjvad3p09dugr79gktlrtll,1,0,0,2022-12-17T11:31:33.656Z,2022-12-17T11:31:33Z,3949652217,130,4,3949652213,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3949652225,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3949652219,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3949652221,194,9fd3uggpu2opd1cuiwskjbhm1,3949652211,30,"8grd4q334w1ud9vbb6vrli6z9, cwmej1d313luxo30tav8ws3jd, 9fd3uggpu2opd1cuiwskjbhm1, cm7l7qimy4iysm1khmpc7u961, c4dvhy1z0op9iwj9aqdgzh0q1, cksi669gcnskpytzh70a43it, cx59kxpqiabi3c5vl9mxvlyhh, ed81nbya8j93qvelqdk79ustm, 96vt6e4xjci5gll0ogsnlfg89, 4x7o9h6ea8ldt9sxgz87vwycp, a1q1se1i8ih65e94xswacghk9, bm5w5xsbbflm26pdhmejwgvs9, 84aebyqt0y9r2jjml4u1z0ij9, czazwj4nt23bydpdi67i0wga2, axicg3mdtrur97rjz423pl8t1, 9hoygyx51dhic09hlnhlsjend, 75fze9pkbgv3baqwnyqnzxbe, 52lu5mlc9xdqjzgh1ne86wtsl, 26olsdd9erf8rahc8xfqz01xx, 3wfftfv1vx04p0h6vs4iqloq2",3949652223,197,805,3949652215,59,"1, 56, 3, 33, 20, 4, 42, 41, 8, 38, 17, 6, 7, 11, 13, 14, 25, 31, 49, 50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492027989,1,34,16,0,0,841zp0njrq63yv4fvw6lgf60q,1,0,0,2022-12-17T11:40:43.363Z,2022-12-17T11:49:28Z,3949665507,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3949665511,197,7011,3949665509,194,53y4n4h9zi3d1l1f9jb9ytxhx,3949665503,59,"24, 33, 22, 3, 5, 2, 8, 20, 11, 9, 16, 1, 7, 10, 17, 23, 25, 36, 99, 46",3949665505,130,12,3949665513,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3949665501,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3949665499,30,"26hokry025pgjx5bn7ljlkatx, el8iinhsb8c12kgvng4idutat, su2h9bv6nhltjjkbz5s7lrdh, 4e49434kkv98sjq1byj8rnkh6, 53y4n4h9zi3d1l1f9jb9ytxhx, 6o62deaqwdcrllc91hz09cct1, cxykkqaoe67ndqpwoq1t15ca2, 6ne71gfjoez9m0tk8qozd8e3u, bkehljspqbj6tz0peqjivkvai, 8cpd4je0ku8wjumqeh3ruv10p, c4kxfrbrfedilykhbyak3e579, 6xvw6n5wq8bcgg01i87rbfsgl, 1naidcngjv592t1hgd78yy8oa, 5frjqqf0jvbqw8ag00pktw8yy, 1doiom8yk2hn6sn6orlcfypjp, 9imvdvv7wnaknh1bc4ocun78q, 16x7shxmsfll6pytg8b8v0dbe, cgcc0n4i0k8jc9tk8vwzgltsk, dnv51o5kbp3627cjdl5yxks7p, 6mzls8dbmhxyhrhtrha733jtg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492040015,2,32,1,0,0,841zp0njrq63yv4fvw6lgf60q,1,0,0,2022-12-17T12:31:53.360Z,2022-12-17T17:36:15Z,3949728603,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492040013,2,32,1,0,0,dvnjvad3p09dugr79gktlrtll,1,0,0,2022-12-17T12:31:53.360Z,2022-12-17T12:31:53Z,3949728601,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492040019,3,1,1,0,0,841zp0njrq63yv4fvw6lgf60q,1,50.1,49.9,2022-12-17T12:31:53.378Z,2022-12-17T17:41:25Z,3950446957,178,,3949728619,140,36.0,3949728621,141,53.8,3949728625,213,3.0,3949728623,212,15.0,3949728615,56,Back,3949728627,279,S,,,,cxykkqaoe67ndqpwoq1t15ca2,C. Barron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492040033,4,1,1,0,2,841zp0njrq63yv4fvw6lgf60q,0,32.9,53.7,2022-12-17T12:31:55.858Z,2022-12-17T17:41:29Z,3949728717,141,66.4,3949728721,213,0.2,3949728719,212,36.3,3949728713,56,Center,3949728723,1,,3949728715,140,66.5,3949728711,155,,3950447503,178,,6o62deaqwdcrllc91hz09cct1,R. McCrorie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492040065,4,44,1,0,4,dvnjvad3p09dugr79gktlrtll,1,38,29.7,2022-12-17T12:31:58.169Z,2022-12-17T18:51:05Z,3949728863,285,,3949728887,233,5,3949728861,56,Back,,,,,,,,,,,,,,,,cksi669gcnskpytzh70a43it,C. Starfelt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492040035,5,44,1,0,4,841zp0njrq63yv4fvw6lgf60q,0,62,70.3,2022-12-17T12:31:58.170Z,2022-12-17T17:41:33Z,3949728729,286,,3949728903,233,4,3949728727,56,Center,,,,,,,,,,,,,,,,bkehljspqbj6tz0peqjivkvai,Duk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492040043,3,1,1,0,4,dvnjvad3p09dugr79gktlrtll,1,32.5,37,2022-12-17T12:31:58.278Z,2022-12-17T18:51:06Z,3949728757,56,Back,3949728759,140,42.5,3950447809,388,,3949728765,213,5.7,3949728755,3,,3949728763,212,13.0,3949728761,141,25.8,,,,cksi669gcnskpytzh70a43it,C. Starfelt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492040067,5,4,1,0,6,dvnjvad3p09dugr79gktlrtll,1,39.7,29.3,2022-12-17T12:31:59.842Z,2022-12-17T17:41:45Z,3949728869,56,Back,3949728873,286,,3949728875,233,6,3949728871,152,,3949728865,13,,3949728867,294,,,,,,,,4x7o9h6ea8ldt9sxgz87vwycp,D. Maeda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
