id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/8/value,qualifier/9/value,qualifier/14/value,qualifier/12/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/16/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2445249141,1,34,16,0,0,759fhii7hsnldanli06j5jmf6,1,0,0,2022-08-13T13:10:41.970Z,2022-08-13T14:10:00Z,3701782435,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3701782427,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3701782433,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3701782425,30,"4gxuw581mvfnr6qr3aobbjyt, blmo7wrka5yrcckuu9owlwx5h, 5j7ekg9k304y36twun3me2w2d, 5z0g3l4s56p11t3wgrpjhko9h, 4y27uf869xrujogawxtl9q0a1, 201zg5m6q6zjj43w8jlf5cgrt, cl8lua6yep85vpl25pdi0wfzd, kmyde3h3kx3tyx5b4m2oglt6, aiacgvdwjvt1te2ndnbk95lg5, dkk86y8pa3svtz43c0m55qn6x, 6axbj3uylrbf0l29vj3vdmd3p, 1vgtiwnof0l89l62t6e1thgx5, cb01n06n2ihlil5hf6q7u04tm, bpjmwp030jnapyjfii8nyqdhx, a7p8w57m9ehh3wryxgd1oldzo, eghu03zhii5vbr655sub8xmmt, 3sk52j2sm7jvmytofzefc5boq, 1qvgid3btojtw6dg35bnl2ei, cfjerpzkgle5dquubfp5o5ul0, 6yr5rwfdnz02psz22acr43z6d",3701782431,130,2,3701804767,194,4gxuw581mvfnr6qr3aobbjyt,3701782429,59,"1, 16, 2, 27, 5, 15, 8, 18, 9, 29, 7, 6, 11, 14, 22, 23, 26, 28, 36, 13",3701919079,197,16503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445253645,1,34,16,0,0,841zp0njrq63yv4fvw6lgf60q,1,0,0,2022-08-13T13:20:37.516Z,2022-08-13T13:26:22Z,3701807415,194,53y4n4h9zi3d1l1f9jb9ytxhx,3701807405,30,"26hokry025pgjx5bn7ljlkatx, 16x7shxmsfll6pytg8b8v0dbe, 8byxqwq7ktyxn5rfbj4p0m0o9, 6ne71gfjoez9m0tk8qozd8e3u, 53y4n4h9zi3d1l1f9jb9ytxhx, 6o62deaqwdcrllc91hz09cct1, el8iinhsb8c12kgvng4idutat, c4kxfrbrfedilykhbyak3e579, 8cpd4je0ku8wjumqeh3ruv10p, 5frjqqf0jvbqw8ag00pktw8yy, 1doiom8yk2hn6sn6orlcfypjp, dnv51o5kbp3627cjdl5yxks7p, 1naidcngjv592t1hgd78yy8oa, bkehljspqbj6tz0peqjivkvai, 6xvw6n5wq8bcgg01i87rbfsgl, 4e49434kkv98sjq1byj8rnkh6, 7ie1bwuj4e18xy9bl6mszwt1, 34f03siv3fwkjgxy0d036ncru, 9imvdvv7wnaknh1bc4ocun78q, eh244gs179rv5hxz3oisx8d90",3701807413,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3701807417,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3701807407,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3701820195,197,7011,3701807411,130,8,3701807409,59,"24, 25, 4, 20, 5, 2, 33, 16, 9, 10, 17, 99, 7, 11, 1, 3, 15, 21, 23, 28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445275383,2,32,1,0,0,841zp0njrq63yv4fvw6lgf60q,1,0,0,2022-08-13T14:01:30.496Z,2022-08-15T13:21:40Z,3701908543,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445275421,2,32,1,0,0,759fhii7hsnldanli06j5jmf6,1,0,0,2022-08-13T14:01:30.496Z,2022-08-13T14:01:32Z,3701908675,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445275431,3,1,1,0,0,841zp0njrq63yv4fvw6lgf60q,1,50,50,2022-08-13T14:01:30.754Z,2022-08-15T18:15:13Z,3701908745,141,48.5,3701908747,212,1.3,3701908743,140,49.2,3701908741,56,Back,3709903727,178,,3701908751,279,S,3701908749,213,4.0,,,,5frjqqf0jvbqw8ag00pktw8yy,V. Besuijen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445275465,4,1,1,0,1,841zp0njrq63yv4fvw6lgf60q,1,49.2,48.5,2022-08-13T14:01:31.885Z,2022-08-15T18:15:20Z,3701908923,141,48.8,3701908915,56,Back,3701908927,212,19.3,3701908931,213,3.1,3701908919,140,30.8,3709904163,178,,,,,,,,8cpd4je0ku8wjumqeh3ruv10p,B. Miovski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445275551,5,1,1,0,3,841zp0njrq63yv4fvw6lgf60q,1,30.8,48.8,2022-08-13T14:01:33.531Z,2022-08-15T18:15:26Z,3701909353,212,28.9,3701909347,56,Back,3709904485,178,,3701909355,213,1.4,3701909349,140,36.0,3701909351,141,90.5,,,,,,,6ne71gfjoez9m0tk8qozd8e3u,L. Clarkson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445275595,6,1,1,0,5,841zp0njrq63yv4fvw6lgf60q,1,36.2,90.5,2022-08-13T14:01:36.039Z,2022-08-15T18:15:31Z,3701909549,141,73.9,3701909551,212,19.1,3709904697,178,,3701909547,140,21.5,3701909545,56,Back,3701909553,213,3.8,,,,,,,8byxqwq7ktyxn5rfbj4p0m0o9,L. Scales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445275679,7,1,1,0,6,841zp0njrq63yv4fvw6lgf60q,1,21.5,73.9,2022-08-13T14:01:37.278Z,2022-08-15T18:15:35Z,3701909935,140,63.5,3709904847,178,,3701909927,157,,3701909943,212,44.1,3701909947,213,0.0,3701909931,56,Center,3701909939,141,76.9,3701909951,1,,6o62deaqwdcrllc91hz09cct1,R. McCrorie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446773481,1067,67,1,0,8,841zp0njrq63yv4fvw6lgf60q,1,63.5,73.2,2022-08-13T14:01:39.427Z,2022-08-15T23:15:59Z,3709995111,233,790,,,,,,,,,,,,,,,,,,,,,,8cpd4je0ku8wjumqeh3ruv10p,B. Miovski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
