id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/9/value,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/14/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2468782945,1,34,16,0,0,besu5lkqmra07drq1czpr0tk4,1,0,0,2022-10-08T13:10:59.445Z,2022-10-08T14:55:34Z,3826933479,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3826933465,30,"cgu73urupkapqq9bnl17s8tt5, z1apq9hkjp8l8jhpegacpwid, db1hineo65ck1zyg8kjtl5iad, cwdqe0rv5dcshhfhke86j9z2t, 9ykuo0c905u48vd44wxgb6jth, ddnwckj55fg870otjg9w9xyad, 91z7xt6xuwgzt0jyg5owh6yfp, 960mhrs3usnisl5jv0xzok3x1, djyjh9vs99rm6pfm2ofhwfd91, 8gh8ocvon1ht6yxxdxaisfa39, 48hhfwdy6qw1cjd1el8n9t591, 7hzc2m8h1ufacyazzxp1ove1h, b0fuw7r17cq41awaoydw9bjl5, f104wb7oezb00w1lmyebcow6h, 9mgoxb4nlse8gjbmcs0nh0dex, 1mbcl4xzln2fyj0o3aapdhdrd, 8d9kq8ab5olsc1w1swicqemay, 1swg0twoet2to70z38wo78b1l, 6xxz0du2vvp6farrdvs02e8k5, ejo44v1xeqrf9wsc1q3td4ul1",3826933473,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3826933467,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3826933475,194,z1apq9hkjp8l8jhpegacpwid,3826933469,59,"1, 2, 11, 18, 6, 24, 22, 8, 28, 7, 19, 3, 9, 12, 15, 17, 25, 29, 31, 32",3826933477,197,1999,3826933471,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468787513,1,34,16,0,0,87coxipr6ls77tnlba3eselx0,1,0,0,2022-10-08T13:16:31.645Z,2022-10-08T13:41:06Z,3826958181,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3826958177,59,"1, 15, 3, 22, 5, 6, 7, 4, 26, 8, 17, 9, 10, 11, 12, 14, 18, 19, 30, 31",3826958187,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3826958175,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3826958185,197,1991,3826958183,194,cgonvdrm0gwjzrsz5fho4cwr9,3826958173,30,"4lp29rlldfr9f8jx6e6qqfgt1, cgonvdrm0gwjzrsz5fho4cwr9, eue5o5hcml60dtt61qku5jcut, a0d1koufzrtx0jcsw09ibtbyt, 43mi8uliaor1b9mejf33if1sl, 3ka60g1o4fct4t2dc7394sr8p, 2n1na0cyvk19401cuwsokmaga, bxgp3jpqcyk794ty0zk0o9jv9, 6aonl21cpvfg8ma7i00q9ho0l, 1q9c3t3umg0yh0qop886eghxx, d2dqd11a9koizwjaq93n4npt6, bed0m5tw305n4c60cuqlhrkd1, djjolbwunzmlob0chwp8x21g5, djn7515ev4uzfcvizndtrvzkl, auan97c17t3ze3zdvnfovtomh, 9ciad1fw48orv5aph9o83f6ne, 7q6h161f7gcqnpy07x80hbpck, 3jxifism5urj3049zcojb8us5, atzpueujhh1u79b8ijhufob9w, 89b8lqf476f0slerw345892i1",3826958179,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468826375,2,32,1,0,0,besu5lkqmra07drq1czpr0tk4,1,0,0,2022-10-08T14:02:00.606Z,2022-10-11T17:07:25Z,3827155833,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468826349,2,32,1,0,0,87coxipr6ls77tnlba3eselx0,1,0,0,2022-10-08T14:02:00.606Z,2022-10-08T14:02:00Z,3827155715,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468826481,3,1,1,0,0,87coxipr6ls77tnlba3eselx0,1,50,50,2022-10-08T14:02:00.640Z,2022-10-11T20:10:30Z,3827156371,212,14.2,3827156369,141,57.6,3827156375,213,2.8,3837349211,178,,3827156367,140,37.4,3827156379,279,S,3827156365,56,Back,,,,1q9c3t3umg0yh0qop886eghxx,R. Callachan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468826567,4,1,1,0,2,87coxipr6ls77tnlba3eselx0,0,37.4,57.6,2022-10-08T14:02:02.853Z,2022-10-11T20:10:34Z,3827156833,140,72.8,3827156841,1,,3827156839,213,5.7,3827156835,141,23.7,3827156829,155,,3827156837,212,43.7,3837349519,178,,3827156831,56,Center,bxgp3jpqcyk794ty0zk0o9jv9,D. Cancola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468826607,3,1,1,0,5,besu5lkqmra07drq1czpr0tk4,0,28.9,69,2022-10-08T14:02:05.618Z,2022-10-11T20:10:39Z,3827157009,3,,3827157013,140,41.5,3827157019,213,0.2,3827157015,141,73.3,3827157011,56,Back,3827157017,212,13.5,3837349935,388,,,,,cwdqe0rv5dcshhfhke86j9z2t,J. Holt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468826643,5,1,1,0,6,87coxipr6ls77tnlba3eselx0,0,65.1,27,2022-10-08T14:02:07.410Z,2022-10-11T20:10:50Z,3827157203,141,22.5,3837350865,178,,3827157209,213,5.9,3827157201,140,72.4,3827157205,212,8.3,3827157199,56,Center,,,,,,,cgonvdrm0gwjzrsz5fho4cwr9,K. Watson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468826811,4,1,1,0,7,besu5lkqmra07drq1czpr0tk4,1,33.8,73.3,2022-10-08T14:02:07.917Z,2022-10-11T20:10:55Z,3827158061,212,18.6,3827158057,140,39.2,3827158065,213,5.0,3837351205,178,,3827158055,56,Back,3836831029,1,,3836831027,157,,3827158059,141,47.2,960mhrs3usnisl5jv0xzok3x1,S. Pittman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468826827,5,1,1,0,9,besu5lkqmra07drq1czpr0tk4,0,39.2,47.2,2022-10-08T14:02:10.055Z,2022-10-11T20:11:04Z,3827158135,140,46.8,3827158137,141,44.6,3827158139,212,8.2,3827158141,213,6.1,3837351653,178,,3827158133,56,Back,,,,,,,91z7xt6xuwgzt0jyg5owh6yfp,A. Shinnie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
