id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/10/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/11/value,qualifier/13/value,qualifier/15/value,qualifier/16/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/18/value
2493741903,1,34,16,0,0,muo4d1nfi1vgyvz5n07tjmoo,1,0,0,2022-12-28T18:45:25.523Z,2022-12-28T19:45:36Z,3958776423,59,"1, 23, 3, 18, 31, 22, 17, 16, 10, 7, 6, 4, 8, 9, 11, 12, 13, 15, 20, 27",3958776419,30,"b3rry494s23b8elnqn3b5s5x, 3jyid2g273zr668fxeeplegnp, 8fsd4fp4wx5o8oqmwdf9ppl91, ewlrnu90xe2127a1erxlz29qt, 9n6jx9s4eip7mgken67i9oyc5, elt8lu5do3h4jcl9ujgaqlm1h, 6lwrvaxo8k9t72aibrsf6cdex, cz9jf3ozld7o0hns2xmn54b56, 29zpgzbse1373d9bhj3l2ee39, 3n02ng7medocg9rmg70pw2j1l, 3g3cjokfq1lnmycnv4t2gjaol, dgrjf6wf81uuk32qxqunfoded, 9stfaq0p7jw8269ms8ijc4a8l, 2r9hayi0ybenx2bj3hrhzbb9x, ctqn305re0qsih8mh5nufg89h, eabkzadgzvnw3xb7k1hjppsoa, 9d2p89e7bftxqhk80hy9ldeqd, buzr2irzyzx8zdt1rasijxrtg, eosd8dmfqtaol3dnkypyswn3d, dtxvjsp1yrr3njbg7b3l5fo4p",3958776437,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3958776425,130,10,3958776429,194,3g3cjokfq1lnmycnv4t2gjaol,3958776421,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3958776427,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3958776433,197,16369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493742155,1,34,16,0,0,besu5lkqmra07drq1czpr0tk4,1,0,0,2022-12-28T18:46:55.769Z,2022-12-28T20:04:46Z,3958777713,59,"31, 7, 11, 15, 6, 2, 22, 8, 9, 17, 24, 1, 3, 10, 18, 25, 29, 32, 33",3958777715,130,12,3958777709,30,"6xxz0du2vvp6farrdvs02e8k5, 8gh8ocvon1ht6yxxdxaisfa39, db1hineo65ck1zyg8kjtl5iad, 9mgoxb4nlse8gjbmcs0nh0dex, 9ykuo0c905u48vd44wxgb6jth, z1apq9hkjp8l8jhpegacpwid, 91z7xt6xuwgzt0jyg5owh6yfp, 960mhrs3usnisl5jv0xzok3x1, b0fuw7r17cq41awaoydw9bjl5, 1mbcl4xzln2fyj0o3aapdhdrd, ddnwckj55fg870otjg9w9xyad, cgu73urupkapqq9bnl17s8tt5, 7hzc2m8h1ufacyazzxp1ove1h, e3wuwgyb0acsca2fw0l7fq7rp, cwdqe0rv5dcshhfhke86j9z2t, 8d9kq8ab5olsc1w1swicqemay, 1swg0twoet2to70z38wo78b1l, ejo44v1xeqrf9wsc1q3td4ul1, 73grc910ff9auyze63pgtoet",3958777721,197,1999,3958777717,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3958777719,194,z1apq9hkjp8l8jhpegacpwid,3958777711,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",3958777723,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493752083,2,32,1,0,0,besu5lkqmra07drq1czpr0tk4,1,0,0,2022-12-28T19:46:20.272Z,2022-12-29T00:49:29Z,3958825559,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493752087,2,32,1,0,0,muo4d1nfi1vgyvz5n07tjmoo,1,0,0,2022-12-28T19:46:20.272Z,2022-12-28T19:46:21Z,3958825565,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493752147,3,1,1,0,0,besu5lkqmra07drq1czpr0tk4,1,49.9,49.9,2022-12-28T19:46:20.304Z,2022-12-29T04:01:21Z,3958825819,140,29.2,3959167335,178,,3958825825,213,3.2,3958825817,56,Back,3958825823,212,21.8,3958825821,141,48.7,3958825827,279,S,,,,1mbcl4xzln2fyj0o3aapdhdrd,S. Kelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493752175,4,1,1,0,3,besu5lkqmra07drq1czpr0tk4,1,32.2,53.4,2022-12-28T19:46:23.720Z,2022-12-29T04:01:26Z,3958825975,141,91.7,3958825981,1,,3958825973,140,61.4,3959167355,178,,3958825969,155,,3958825977,212,40.2,3958825971,56,Left,3958825979,213,0.7,z1apq9hkjp8l8jhpegacpwid,N. Devlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493752179,5,1,1,0,5,besu5lkqmra07drq1czpr0tk4,0,61.4,91.7,2022-12-28T19:46:26.248Z,2022-12-29T04:01:32Z,3959167387,388,,3958826007,56,Left,3958826009,140,68.0,3958826015,213,0.8,3958826013,212,9.5,3958826003,3,,3958826005,168,,3958826011,141,100.0,db1hineo65ck1zyg8kjtl5iad,C. Montaño,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493752265,3,5,1,0,6,muo4d1nfi1vgyvz5n07tjmoo,1,33.4,-1.2,2022-12-28T19:46:27.170Z,2022-12-29T04:01:36Z,3958826437,233,6,3958826431,56,Back,3958826433,347,,,,,,,,,,,,,,,,,29zpgzbse1373d9bhj3l2ee39,C. Main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493752181,6,5,1,0,6,besu5lkqmra07drq1czpr0tk4,0,66.6,101.2,2022-12-28T19:46:27.170Z,2022-12-29T04:01:37Z,3958826019,347,,3958826441,233,3,3958826017,56,Left,,,,,,,,,,,,,,,,db1hineo65ck1zyg8kjtl5iad,C. Montaño,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493752269,4,1,1,0,28,muo4d1nfi1vgyvz5n07tjmoo,0,44,0,2022-12-28T19:46:48.427Z,2022-12-29T04:01:41Z,3958826471,213,0.4,3958826467,141,13.8,3958826469,212,23.9,3958826461,107,,3958826473,1,,3958826463,56,Right,3958826465,140,64.6,,,,elt8lu5do3h4jcl9ujgaqlm1h,M. Fraser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
