id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,keyPass,qualifier/9/value,qualifier/10/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/13/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2454858173,1,34,16,0,0,4qdzzur2cuuridyb0jso8mksi,1,0,0,2022-09-03T13:15:11.090Z,2022-09-03T14:10:08Z,3752911011,30,"day3njm5hkudffvdvccpopbyt, a5fpw5f7bvu01i8drfir8ugut, 319dgvwkm8di2r8oovefbxck5, 6n8gmwjc9frk90mzpnf9xlkyy, 2cic9rl1m8i7ut6ed7p0h1905, 9o2dyl3cbm2ni3874doydh49h, 1cfh2cg8i2f4cqd7fraos96fp, 2t4k430xmiekwb5khdwtg14h5, 7yq6f41dcfzqz40hblj3j9905, 4sskvw16m8gh8al8vy0ephuc5, 7v2udgcj3xk2douxfmge6lp7t, 4sjmv52glqhssplqouu2z8gkp, 629dgygro5n41ce8ulov5wwl, 7qd78ivuyspmb0fno5vdetat, aqgrddi0lgqphjeksr0rkd0ph, en7kanawhbmhl0736htwdnt9l, eqx6gmp1f5ocxeosc97rcqqui, c99yg0ykkr6o17ykicw27e68k, 1q4eo8ovtzffi9nz1kms98161, 74w7u994c832ya17u9g7nkh04",3752911015,59,"13, 2, 16, 6, 4, 12, 18, 19, 32, 9, 23, 31, 3, 7, 14, 15, 17, 20, 22, 28",3752911013,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3752911017,130,10,3752911025,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3752911021,194,9o2dyl3cbm2ni3874doydh49h,3752911023,197,9196,3752911019,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454858301,1,34,16,0,0,759fhii7hsnldanli06j5jmf6,1,0,0,2022-09-03T13:15:19.390Z,2022-09-03T14:02:36Z,3752911729,194,4gxuw581mvfnr6qr3aobbjyt,3752911731,197,16503,3752911733,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3752911727,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3752911723,59,"1, 16, 24, 8, 15, 4, 27, 26, 9, 11, 7, 13, 20, 17, 2, 5, 6, 18, 29, 47",3752911719,30,"4gxuw581mvfnr6qr3aobbjyt, blmo7wrka5yrcckuu9owlwx5h, egfrwjjbl6fom2rwi5jpzzfmx, cl8lua6yep85vpl25pdi0wfzd, 201zg5m6q6zjj43w8jlf5cgrt, 8qv2da4sxpuw4h44jm4dz2j85, 5z0g3l4s56p11t3wgrpjhko9h, 3sk52j2sm7jvmytofzefc5boq, aiacgvdwjvt1te2ndnbk95lg5, cb01n06n2ihlil5hf6q7u04tm, 6axbj3uylrbf0l29vj3vdmd3p, 6yr5rwfdnz02psz22acr43z6d, azwg41yu27i0x2qs9omgkng0l, 4vnpdi15nazck2sywdgkve2cq, 5j7ekg9k304y36twun3me2w2d, 4y27uf869xrujogawxtl9q0a1, 1vgtiwnof0l89l62t6e1thgx5, kmyde3h3kx3tyx5b4m2oglt6, dkk86y8pa3svtz43c0m55qn6x, d2b02lofzdrlxuxfi66cn9h5g",3752911725,130,4,3752911721,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454897675,2,32,1,0,0,759fhii7hsnldanli06j5jmf6,1,0,0,2022-09-03T14:00:24.167Z,2022-09-03T20:51:35Z,3753108851,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454897661,2,32,1,0,0,4qdzzur2cuuridyb0jso8mksi,1,0,0,2022-09-03T14:00:24.167Z,2022-09-03T14:00:24Z,3753108795,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454897799,3,1,1,0,0,4qdzzur2cuuridyb0jso8mksi,1,50,50,2022-09-03T14:00:24.187Z,2022-09-03T21:33:52Z,3753109283,213,3.5,3753109285,279,S,3755733117,178,,3753109281,212,19.3,3753109275,140,32.7,3753109273,56,Back,3753109279,141,40.3,,,,1cfh2cg8i2f4cqd7fraos96fp,J. McGrath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454898029,4,1,1,0,3,4qdzzur2cuuridyb0jso8mksi,1,35.4,28.8,2022-09-03T14:00:27.916Z,2022-09-03T21:34:01Z,3753110293,1,,3753110289,212,60.7,3753110291,213,6.1,3753110287,141,11.6,3753110281,155,,3753110285,140,92.1,3755733551,178,,3753110283,56,Right,2cic9rl1m8i7ut6ed7p0h1905,C. Mulgrew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454898073,5,1,1,0,10,4qdzzur2cuuridyb0jso8mksi,0,97.7,12.3,2022-09-03T14:00:34.788Z,2022-09-03T21:34:35Z,3753110487,56,Center,3754692421,20,,3755735075,178,,3753110483,2,,3753110493,212,24.8,3753110489,140,97.7,3753110495,213,1.6,3753110491,141,48.7,7yq6f41dcfzqz40hblj3j9905,T. Watt,3754692419,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454898047,3,52,1,0,12,759fhii7hsnldanli06j5jmf6,1,4.3,53.1,2022-09-03T14:00:36.437Z,2022-09-03T21:34:45Z,3754692603,376,,3755735477,178,,,,,,,,,,,,,,,,,,,,4gxuw581mvfnr6qr3aobbjyt,L. Kelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454898105,4,1,1,0,13,759fhii7hsnldanli06j5jmf6,1,4.2,50.4,2022-09-03T14:00:37.927Z,2022-09-03T21:34:55Z,3753110685,123,,3753110687,56,Back,3753110689,140,12.0,3753110695,213,5.1,3753110691,141,21.2,3753110733,287,,3753110693,212,21.5,3755735993,178,,4gxuw581mvfnr6qr3aobbjyt,L. Kelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454898341,5,1,1,0,20,759fhii7hsnldanli06j5jmf6,1,31,6.8,2022-09-03T14:00:44.747Z,2022-09-03T21:35:03Z,3753111723,1,,3753111717,141,11.0,3753111721,213,0.1,3753111713,56,Right,3753111715,140,68.8,3753111711,155,,3753111719,212,39.8,3755736297,178,,blmo7wrka5yrcckuu9owlwx5h,P. McGinn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
