id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/8/value,qualifier/13/value,qualifier/11/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/17/value
2454855581,1,34,16,0,0,841zp0njrq63yv4fvw6lgf60q,1,0,0,2022-09-03T13:11:14.822Z,2022-09-03T13:31:05Z,3752895393,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3752895391,130,8,3752895395,194,53y4n4h9zi3d1l1f9jb9ytxhx,3752895385,30,"26hokry025pgjx5bn7ljlkatx, 16x7shxmsfll6pytg8b8v0dbe, su2h9bv6nhltjjkbz5s7lrdh, 6o62deaqwdcrllc91hz09cct1, 53y4n4h9zi3d1l1f9jb9ytxhx, 8byxqwq7ktyxn5rfbj4p0m0o9, 5frjqqf0jvbqw8ag00pktw8yy, c4kxfrbrfedilykhbyak3e579, 8cpd4je0ku8wjumqeh3ruv10p, 6ne71gfjoez9m0tk8qozd8e3u, 1doiom8yk2hn6sn6orlcfypjp, 6xvw6n5wq8bcgg01i87rbfsgl, 4e49434kkv98sjq1byj8rnkh6, 1naidcngjv592t1hgd78yy8oa, bkehljspqbj6tz0peqjivkvai, 7ie1bwuj4e18xy9bl6mszwt1, 34f03siv3fwkjgxy0d036ncru, 9imvdvv7wnaknh1bc4ocun78q, eh244gs179rv5hxz3oisx8d90, el8iinhsb8c12kgvng4idutat",3752895399,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3752895397,197,16761,3752895387,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3752895389,59,"24, 25, 22, 2, 5, 4, 10, 16, 9, 20, 17, 1, 3, 7, 11, 15, 21, 23, 28, 33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454855829,1,34,16,0,0,87coxipr6ls77tnlba3eselx0,1,0,0,2022-09-03T13:11:38.777Z,2022-09-03T14:17:09Z,3752896891,59,"1, 12, 3, 4, 5, 6, 22, 8, 26, 10, 19, 7, 9, 11, 14, 15, 17, 18, 24, 31",3752896893,130,8,3752896901,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3752896899,197,1991,3752896897,194,43mi8uliaor1b9mejf33if1sl,3752896887,30,"4lp29rlldfr9f8jx6e6qqfgt1, auan97c17t3ze3zdvnfovtomh, eue5o5hcml60dtt61qku5jcut, bxgp3jpqcyk794ty0zk0o9jv9, 43mi8uliaor1b9mejf33if1sl, 3ka60g1o4fct4t2dc7394sr8p, a0d1koufzrtx0jcsw09ibtbyt, 1q9c3t3umg0yh0qop886eghxx, 6aonl21cpvfg8ma7i00q9ho0l, djjolbwunzmlob0chwp8x21g5, 3jxifism5urj3049zcojb8us5, 2n1na0cyvk19401cuwsokmaga, bed0m5tw305n4c60cuqlhrkd1, djn7515ev4uzfcvizndtrvzkl, 9ciad1fw48orv5aph9o83f6ne, cgonvdrm0gwjzrsz5fho4cwr9, d2dqd11a9koizwjaq93n4npt6, 7q6h161f7gcqnpy07x80hbpck, bpbwue9gbmi9dd3wf7klkgdm1, 89b8lqf476f0slerw345892i1",3752896889,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3752896895,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454902531,2,32,1,0,0,841zp0njrq63yv4fvw6lgf60q,1,0,0,2022-09-03T14:02:48.388Z,2022-09-03T14:02:48Z,3753131371,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454902561,2,32,1,0,0,87coxipr6ls77tnlba3eselx0,1,0,0,2022-09-03T14:02:48.388Z,2022-09-03T20:47:03Z,3753131475,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455609471,1342,43,1,0,0,841zp0njrq63yv4fvw6lgf60q,1,0,0,2022-09-03T14:02:48.584Z,2022-09-04T06:58:38Z,3756900035,144,82,3756900001,178,0,,,,,,,,,,,,,,,,,,,c4kxfrbrfedilykhbyak3e579,Y. Ramadani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454902653,3,1,1,0,0,841zp0njrq63yv4fvw6lgf60q,1,50,50,2022-09-03T14:02:48.609Z,2022-09-03T21:35:08Z,3753131915,213,2.8,3753131907,56,Back,3753131909,140,45.9,3755663767,178,,3753131919,278,,3753131917,279,S,3753131911,141,52.5,3753131913,212,4.6,6ne71gfjoez9m0tk8qozd8e3u,L. Clarkson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454902715,4,1,1,0,1,841zp0njrq63yv4fvw6lgf60q,1,42.8,50.9,2022-09-03T14:02:49.599Z,2022-09-03T21:10:53Z,3755666949,178,,3753132231,56,Back,3753132233,140,22.5,3753132239,213,3.7,3753132237,212,24.8,3753132235,141,32.4,,,,,,,c4kxfrbrfedilykhbyak3e579,Y. Ramadani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454902819,5,1,1,0,4,841zp0njrq63yv4fvw6lgf60q,0,22.9,31.2,2022-09-03T14:02:52.767Z,2022-09-03T21:10:58Z,3755667227,178,,3753132729,140,63.4,3753132719,155,,3753132733,212,43.2,3753132731,141,20.0,3753132725,56,Right,3753132735,213,6.1,3753132737,1,,53y4n4h9zi3d1l1f9jb9ytxhx,A. Stewart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454902901,3,1,1,0,6,87coxipr6ls77tnlba3eselx0,0,32.4,75.3,2022-09-03T14:02:54.744Z,2022-09-03T21:11:07Z,3753133149,3,,3753133153,140,40.8,3753133151,56,Back,3755667779,178,,3753133155,141,100.0,3753133157,212,19.2,3753133159,213,1.1,,,,3ka60g1o4fct4t2dc7394sr8p,A. Iacovitti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454902909,4,5,1,0,7,87coxipr6ls77tnlba3eselx0,0,40.1,100.7,2022-09-03T14:02:56.056Z,2022-09-03T21:11:13Z,3753133179,56,Back,3753133181,347,,3753135077,233,6,,,,,,,,,,,,,,,,3ka60g1o4fct4t2dc7394sr8p,A. Iacovitti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
