id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/8/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/12/value,qualifier/11/value,qualifier/10/value,qualifier/16/value,qualifier/17/value,qualifier/20/id,qualifier/20/qualifierId
2440890063,1,34,16,0,0,muo4d1nfi1vgyvz5n07tjmoo,1,0,0,2022-07-31T13:24:27.410Z,2022-07-31T13:59:31Z,3678567475,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3678567477,194,dgrjf6wf81uuk32qxqunfoded,3678567479,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3678567469,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3678567471,59,"1, 23, 3, 18, 4, 31, 17, 6, 21, 7, 16, 2, 8, 9, 10, 12, 15, 22, 25, 27",3678675731,197,2005,3678567473,130,12,3678567467,30,"b3rry494s23b8elnqn3b5s5x, 3jyid2g273zr668fxeeplegnp, 8fsd4fp4wx5o8oqmwdf9ppl91, ewlrnu90xe2127a1erxlz29qt, dgrjf6wf81uuk32qxqunfoded, 9n6jx9s4eip7mgken67i9oyc5, 6lwrvaxo8k9t72aibrsf6cdex, 3g3cjokfq1lnmycnv4t2gjaol, e6533sc7r8o043y5bgozlvt3o, 3n02ng7medocg9rmg70pw2j1l, cz9jf3ozld7o0hns2xmn54b56, 55p0px4ulmisr3btbblrexbyt, 9stfaq0p7jw8269ms8ijc4a8l, 2r9hayi0ybenx2bj3hrhzbb9x, 29zpgzbse1373d9bhj3l2ee39, eabkzadgzvnw3xb7k1hjppsoa, buzr2irzyzx8zdt1rasijxrtg, elt8lu5do3h4jcl9ujgaqlm1h, ek22ylba15mmsqdzeqlhm0bv8, dtxvjsp1yrr3njbg7b3l5fo4p",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440892259,1,34,16,0,0,759fhii7hsnldanli06j5jmf6,1,0,0,2022-07-31T13:29:56.044Z,2022-07-31T14:00:03Z,3678580109,130,7,3678580115,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3678580107,59,"1, 16, 3, 6, 15, 4, 23, 7, 9, 27, 29, 2, 5, 11, 12, 18, 26, 28, 36, 49",3678580105,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3678676597,197,1981,3678580111,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3678580113,194,4gxuw581mvfnr6qr3aobbjyt,3678580103,30,"4gxuw581mvfnr6qr3aobbjyt, blmo7wrka5yrcckuu9owlwx5h, 1uu6iy1n107p6o82uhzp9jcut, 1vgtiwnof0l89l62t6e1thgx5, 201zg5m6q6zjj43w8jlf5cgrt, 8qv2da4sxpuw4h44jm4dz2j85, eghu03zhii5vbr655sub8xmmt, 6axbj3uylrbf0l29vj3vdmd3p, aiacgvdwjvt1te2ndnbk95lg5, 5z0g3l4s56p11t3wgrpjhko9h, dkk86y8pa3svtz43c0m55qn6x, 5j7ekg9k304y36twun3me2w2d, 4y27uf869xrujogawxtl9q0a1, cb01n06n2ihlil5hf6q7u04tm, 5pdlz19qx7g6609ns8htwqv9x, kmyde3h3kx3tyx5b4m2oglt6, 3sk52j2sm7jvmytofzefc5boq, 1qvgid3btojtw6dg35bnl2ei, cfjerpzkgle5dquubfp5o5ul0, aggnskq9dwjc7vi0t4n2y6k9g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440909995,2,32,1,0,0,759fhii7hsnldanli06j5jmf6,1,0,0,2022-07-31T14:01:08.183Z,2022-07-31T14:01:08Z,3678678643,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440909999,2,32,1,0,0,muo4d1nfi1vgyvz5n07tjmoo,1,0,0,2022-07-31T14:01:08.183Z,2022-08-01T02:28:54Z,3678678659,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440910025,3,1,1,0,0,759fhii7hsnldanli06j5jmf6,1,50,50,2022-07-31T14:01:08.273Z,2022-08-01T03:44:18Z,3678678783,56,Back,3680455687,178,,3678678793,279,S,3678678787,141,64.2,3678678789,212,20.8,3678678791,213,2.7,3678678785,140,32.5,,,,5z0g3l4s56p11t3wgrpjhko9h,S. Goss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440910061,4,1,1,0,3,759fhii7hsnldanli06j5jmf6,0,32.7,64.2,2022-07-31T14:01:11.279Z,2022-08-01T03:44:37Z,3678679003,141,0.0,3678679001,140,80.5,3678678999,56,Right,3680455987,178,,3678678997,157,,3678679005,212,67.1,3678679009,1,,3678679007,213,5.6,8qv2da4sxpuw4h44jm4dz2j85,R. Lamie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440910065,3,5,1,0,7,muo4d1nfi1vgyvz5n07tjmoo,1,15.8,101.5,2022-07-31T14:01:15.604Z,2022-08-01T03:44:42Z,3678679015,56,Back,3678679021,233,5,3678679017,347,,,,,,,,,,,,,,,,,3n02ng7medocg9rmg70pw2j1l,J. Ayunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440910063,5,5,1,0,7,759fhii7hsnldanli06j5jmf6,0,84.2,-1.5,2022-07-31T14:01:15.604Z,2022-08-01T03:44:42Z,3678679011,56,Right,3678679013,347,,3678679025,233,3,,,,,,,,,,,,,,,,8qv2da4sxpuw4h44jm4dz2j85,R. Lamie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440910181,4,1,1,0,28,muo4d1nfi1vgyvz5n07tjmoo,0,18.2,100,2022-07-31T14:01:37.166Z,2022-08-01T03:44:49Z,3678679787,1,,3678679775,56,Back,3678679785,213,6.1,3678679777,140,41.3,3678679771,107,,3678679781,141,95.1,3678679783,212,24.6,,,,ewlrnu90xe2127a1erxlz29qt,C. Dunne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440910201,6,1,1,0,30,759fhii7hsnldanli06j5jmf6,0,58.6,5.9,2022-07-31T14:01:39.134Z,2022-08-01T03:45:01Z,3678679907,56,Right,3678679915,213,0.3,3678679909,140,71.3,3678679905,3,,3680456383,178,,3678679913,212,14.0,3678679911,141,12.3,,,,blmo7wrka5yrcckuu9owlwx5h,P. McGinn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
