id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/9/value,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/13/value,qualifier/16/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/17/value,qualifier/19/value
2461778573,1,34,16,0,0,muo4d1nfi1vgyvz5n07tjmoo,1,0,0,2022-09-18T10:03:09.643Z,2022-09-18T10:03:08Z,3789690761,30,"b3rry494s23b8elnqn3b5s5x, 3jyid2g273zr668fxeeplegnp, 8fsd4fp4wx5o8oqmwdf9ppl91, ewlrnu90xe2127a1erxlz29qt, 9n6jx9s4eip7mgken67i9oyc5, elt8lu5do3h4jcl9ujgaqlm1h, 6lwrvaxo8k9t72aibrsf6cdex, cz9jf3ozld7o0hns2xmn54b56, 29zpgzbse1373d9bhj3l2ee39, 3n02ng7medocg9rmg70pw2j1l, 3g3cjokfq1lnmycnv4t2gjaol, 55p0px4ulmisr3btbblrexbyt, dgrjf6wf81uuk32qxqunfoded, 9stfaq0p7jw8269ms8ijc4a8l, 2r9hayi0ybenx2bj3hrhzbb9x, ctqn305re0qsih8mh5nufg89h, eabkzadgzvnw3xb7k1hjppsoa, 9d2p89e7bftxqhk80hy9ldeqd, 4g4zufvyime7qp4ks4badls0k, dtxvjsp1yrr3njbg7b3l5fo4p",3789690769,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3789690771,194,3g3cjokfq1lnmycnv4t2gjaol,3789690773,197,2005,3789690775,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3789690763,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3789690765,59,"1, 23, 3, 18, 31, 22, 17, 16, 10, 7, 6, 2, 4, 8, 9, 11, 12, 13, 21, 27",3789690767,130,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461778615,1,34,16,0,0,dvnjvad3p09dugr79gktlrtll,1,0,0,2022-09-18T10:03:15.762Z,2022-09-18T10:42:52Z,3789690999,194,cx59kxpqiabi3c5vl9mxvlyhh,3789691003,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3789690991,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3789690989,30,"8grd4q334w1ud9vbb6vrli6z9, cwmej1d313luxo30tav8ws3jd, 9fd3uggpu2opd1cuiwskjbhm1, axicg3mdtrur97rjz423pl8t1, 9z5mgvlru0x1bl4lhwe1irw15, bm5w5xsbbflm26pdhmejwgvs9, cx59kxpqiabi3c5vl9mxvlyhh, 9hoygyx51dhic09hlnhlsjend, 96vt6e4xjci5gll0ogsnlfg89, czazwj4nt23bydpdi67i0wga2, 4x7o9h6ea8ldt9sxgz87vwycp, 84aebyqt0y9r2jjml4u1z0ij9, 8ydeghsg8bdyovqjnr56hz8x5, a1q1se1i8ih65e94xswacghk9, 75fze9pkbgv3baqwnyqnzxbe, kc4qkj63uqu3wnkydxtvmwh5, 52lu5mlc9xdqjzgh1ne86wtsl, cm7l7qimy4iysm1khmpc7u961, ed81nbya8j93qvelqdk79ustm, 26olsdd9erf8rahc8xfqz01xx",3789691001,197,16947,3789690995,130,4,3789690997,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3789690993,59,"1, 56, 3, 13, 57, 6, 42, 14, 8, 11, 38, 7, 9, 17, 25, 28, 31, 33, 41, 49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461809493,2,32,1,0,0,dvnjvad3p09dugr79gktlrtll,1,0,0,2022-09-18T11:02:04.586Z,2022-09-18T11:02:07Z,3789840965,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461809487,2,32,1,0,0,muo4d1nfi1vgyvz5n07tjmoo,1,0,0,2022-09-18T11:02:04.586Z,2022-09-18T17:22:18Z,3789840943,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461809503,3,1,1,0,0,dvnjvad3p09dugr79gktlrtll,1,50.4,50.1,2022-09-18T11:02:04.660Z,2022-09-18T17:26:58Z,3789841029,213,3.0,3789841021,56,Back,3791714963,178,,3789841025,141,53.2,3789841027,212,12.6,3789841023,140,38.6,3789841031,279,S,,,,cx59kxpqiabi3c5vl9mxvlyhh,C. McGregor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461809541,4,1,1,0,1,dvnjvad3p09dugr79gktlrtll,1,38.3,51.2,2022-09-18T11:02:06.517Z,2022-09-18T17:27:13Z,3791716105,178,,3789841167,212,19.3,3789841159,140,34.5,3789841163,141,79.0,3789841155,56,Back,3789841171,213,1.8,,,,,,,axicg3mdtrur97rjz423pl8t1,A. Mooy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461809579,5,1,1,0,4,dvnjvad3p09dugr79gktlrtll,1,34.5,81.1,2022-09-18T11:02:08.646Z,2022-09-18T17:27:20Z,3791716725,178,,3789841345,213,0.7,3789841337,56,Back,3789841343,212,17.3,3789841339,140,47.0,3789841341,141,97.7,,,,,,,9fd3uggpu2opd1cuiwskjbhm1,G. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461809591,6,1,1,0,6,dvnjvad3p09dugr79gktlrtll,1,48.2,95.7,2022-09-18T11:02:10.940Z,2022-09-18T17:27:26Z,3789841417,212,13.3,3789841415,141,77.8,3789841413,140,43.2,3789841419,213,4.3,3791717221,178,,3789841411,56,Back,,,,,,,9hoygyx51dhic09hlnhlsjend,D. Turnbull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461809649,7,1,1,0,8,dvnjvad3p09dugr79gktlrtll,1,42.5,72.7,2022-09-18T11:02:13.097Z,2022-09-18T17:27:32Z,3789841675,213,4.5,3789841673,212,28.4,3789841667,56,Back,3789841669,140,37.8,3791717677,178,,3789841671,141,31.6,,,,,,,axicg3mdtrur97rjz423pl8t1,A. Mooy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461809677,8,1,1,0,11,dvnjvad3p09dugr79gktlrtll,1,37.8,29.7,2022-09-18T11:02:16.477Z,2022-09-18T17:27:37Z,3789841801,56,Right,3791718009,178,,3789841809,213,5.7,3789841803,140,53.4,3789841807,212,20.1,3789841805,141,12.5,,,,,,,9z5mgvlru0x1bl4lhwe1irw15,S. Welsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
