id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/14/value,qualifier/19/id,qualifier/19/qualifierId,assist
2521079149,1,34,16,0,0,e75syeuawg3ql8nwpi3vr2btz,1,0,0,2023-03-17T18:53:41.115Z,2023-03-17T19:43:08Z,4103112271,197,548,4102887671,130,18,4102887665,30,"7drgir9lcwfst8vxz07jboe6t, a69r2pf2w8da4dl0zl4k5vil1, 7mvqysbmyf6uj3jny3qpqw2ga, 4cejhrr3ji36591xf54jue3ca, 45ubqc5i6yn2l5kdtlt8tbw7p, cm6iy4b06qv9y6ww0hthqlwb9, 9q01y4w4dwpaqf8lmpv9wnmc5, 4aqkgskbra4wsoo7a8uw7xl9l, 2fsgc0b4mvwpenawmit0q0bmd, 30gsjr0xlmjulnz227zfxga8l, ds719g843vjs279iine5otgid, 6lfje6glfgycun47flgmc9jvt, e5nv028chtw0955vhnh74ukbu, 2fqlri41xq6p924kine7pjr2t, 8d04q3yp2kouwog0lj0s7ew2x, d364lpc0km51psy3zwc4a6zca, n62gu1fztuvojijr41hyetw5, 9sdrd6flk2jene11v193nm1n9, 9ux9j9p191fkst89qrjes366s, 6dsbutbup1pbf1xb4n7sz7x1w, 3ww5879aay1xf2a20nl9ihwid, 30oup47g0i12cvub12r7kmxd6",4102887667,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4102887675,194,cm6iy4b06qv9y6ww0hthqlwb9,4102887673,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4102887677,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4102887669,59,"1, 77, 22, 42, 6, 2, 15, 13, 88, 91, 9, 3, 5, 10, 11, 17, 28, 31, 40, 41, 57, 93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521081119,1,34,16,0,0,8le3orkfz6iix3jns6g9ojqjg,1,0,0,2023-03-17T18:56:55.097Z,2023-03-17T21:23:52Z,4102897801,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4102897809,194,cnk07o3823zl5gd7qr2bdks7p,4103109641,197,2195,4102897803,59,"1, 24, 65, 5, 6, 33, 11, 35, 9, 19, 21, 3, 4, 8, 14, 18, 22, 23, 25, 26, 30, 32, 34, 40, 55, 91",4102897807,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4102897811,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4102897805,130,23,4102897799,30,"9jx56wcoj1htd69i749wfwkx5, f0o0jfa9hp54otpnwe09d591, 8dgh4fzut8khpt32d6dsrljsa, 1fdgli7rrzvlhcs1exckc0r11, 95r0jtkw03vjohzwc8os8ielm, cnk07o3823zl5gd7qr2bdks7p, cxjuod6b1ro67656dxwhpqqc5, bk1gdyxtfp4drwb0yotwerbsa, c68syh6axbkqmcmvrpumqb8mi, mh8eevw5lj4i9c7ue5n9j845, 6e9fu9o226zn6jzx02jutvi3u, an5eip4p2zmw49hh9eqksigo9, dnk24js88d4ie661mwo7jkq95, 2l87vg4m0glbbdvnrg4zud51x, 2hbduprkyabq8g1nhe6b4g3bp, 9cy6lgb0e0cq4a7ht389qaklx, 4494989zl7g13nw17wan5adp1, anr1wukl3xezz39fwogjzatw5, 1lota2za1imhl3oydwa89u5l, 6gf25ng7surglurqkroozlfit, dmza22ad3iars2svmghrwhfit, d7xfjvw4kun7fx4j9ldr6cb11, 54mmovmx3osoxgbloe9rzmx9l, 8git2dsc2u9h5ullcu50a6a22, d6vg86aml1ttoyks4vvvk0smh, 31b0dvddmki2b2zvumesyrx4a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521123845,2,32,1,0,0,8le3orkfz6iix3jns6g9ojqjg,1,0,0,2023-03-17T19:45:11.464Z,2023-03-17T19:45:14Z,4103122809,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521123833,2,32,1,0,0,e75syeuawg3ql8nwpi3vr2btz,1,0,0,2023-03-17T19:45:11.464Z,2023-03-18T00:41:27Z,4103122749,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521123883,3,1,1,0,0,e75syeuawg3ql8nwpi3vr2btz,1,50.4,50.3,2023-03-17T19:45:11.490Z,2023-03-18T03:58:25Z,4103122997,141,44.1,4103123001,213,3.4,4103122993,56,Back,4103122995,140,35.1,4103123003,279,S,4103122999,212,16.6,4103821173,178,,,,,ds719g843vjs279iine5otgid,L. Muriel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521123997,4,1,1,0,2,e75syeuawg3ql8nwpi3vr2btz,1,35.8,44.1,2023-03-17T19:45:14.089Z,2023-03-18T03:58:29Z,4103123551,1,,4103123543,140,76.3,4103123547,212,52.1,4103821217,178,,4103123545,141,88.4,4103123539,155,,4103123541,56,Left,4103123549,213,0.6,cm6iy4b06qv9y6ww0hthqlwb9,R. Tolói,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521260325,764,83,1,0,7,8le3orkfz6iix3jns6g9ojqjg,1,25.3,16,2023-03-17T19:45:19.065Z,2023-03-18T04:33:20Z,4103854255,399,487992,,,,,,,,,,,,,,,,,,,,,,f0o0jfa9hp54otpnwe09d591,T. Ebuehi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521124003,5,61,1,0,7,e75syeuawg3ql8nwpi3vr2btz,0,77.9,83.2,2023-03-17T19:45:19.097Z,2023-03-18T04:00:22Z,4103123577,56,Left,4103821851,388,,,,,,,,,,,,,,,,,,,,7mvqysbmyf6uj3jny3qpqw2ga,M. Ruggeri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521124011,3,49,1,0,8,8le3orkfz6iix3jns6g9ojqjg,1,18.1,20,2023-03-17T19:45:20.044Z,2023-03-18T03:59:40Z,,,,,,,,,,,,,,,,,,,,,,,,,f0o0jfa9hp54otpnwe09d591,T. Ebuehi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521124049,4,1,1,0,9,8le3orkfz6iix3jns6g9ojqjg,1,15.8,18.2,2023-03-17T19:45:20.778Z,2023-03-18T04:00:29Z,4103123771,140,25.2,4103123769,56,Back,4103821891,178,,4103123775,212,13.5,4103123777,213,5.5,4103123773,141,4.6,,,,,,,f0o0jfa9hp54otpnwe09d591,T. Ebuehi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
