id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/11/value,qualifier/13/value,qualifier/17/value,assist,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2472385649,1,34,16,0,0,6tuibxq39fdryu8ou06wcm0q3,1,0,0,2022-10-15T17:57:22.600Z,2022-10-15T19:33:40Z,3846154233,59,"47, 22, 6, 27, 28, 13, 16, 42, 9, 35, 77, 3, 7, 8, 10, 11, 14, 15, 18, 23, 25, 44, 64",3846154235,130,4,3846572903,194,9rzl0j9m9i30a62o1yofzvaad,3846154239,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3846154231,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3846503527,197,17280,3846154237,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3846154229,30,"1r5gn4osgwz2b2b4sefncbhed, 5oge5fhmna0oduqvjisoa1djp, 4vis4wltntxil2m9z16mi6j8p, ef4thhub6bsd2gtmltknkz8b9, e5fnoxb8f2hycjx4gnmce2wvd, 9rzl0j9m9i30a62o1yofzvaad, 4qejyummzkrfllds8ord642qx, cc04mat3snly9oe4bt7xaeooa, 153ljvbov0n176vm9fdaizoix, 9tah9hvep4bqppokmuw720qvo, 83hpavqn7r5bzcgxvjbcso3px, 37kr5th62ugmy4j55i3n45k2d, bqer8ajqm2vibthgumtuycbu1, 74o97lnqpku6m9svks66qbend, m030tubgf3zpgf0axzm7z26t, 14xoy6tg51xbydm69d5ybyfis, 9k1ytj3z42ggp14vkn39hiymt, 4xnll2f9tb69wrezm04ayg76y, elnhkklafq2cwl0hit66b5vmy, ctq9si3nbc6n8cznhlcvtixd6, 6k790p49tjwkhlwf9afll9jo5, cxxxfvmrslyjyi9wz9m8kwne2, bpt2fdnjjpb6a5ehdepyedxt6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472386109,1,34,16,0,0,e75syeuawg3ql8nwpi3vr2btz,1,0,0,2022-10-15T17:58:19.511Z,2022-10-15T18:45:41Z,3846351579,197,548,3846156919,130,18,3846156915,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3846156913,30,"3ww5879aay1xf2a20nl9ihwid, 30oup47g0i12cvub12r7kmxd6, 6lfje6glfgycun47flgmc9jvt, 4cejhrr3ji36591xf54jue3ca, n62gu1fztuvojijr41hyetw5, e5nv028chtw0955vhnh74ukbu, 9q01y4w4dwpaqf8lmpv9wnmc5, 2ugzqrpaooto1r24a6kvqf2ll, 2fsgc0b4mvwpenawmit0q0bmd, 8d04q3yp2kouwog0lj0s7ew2x, ds719g843vjs279iine5otgid, 2fqlri41xq6p924kine7pjr2t, 4aqkgskbra4wsoo7a8uw7xl9l, d364lpc0km51psy3zwc4a6zca, 4euxcqawlks4c56pqj8xvwbf9, 2idy9ngk2rojseoxxw9n98c7p, 42m78ny1ggvmzmjtka7exyzqi, 7mvqysbmyf6uj3jny3qpqw2ga, 9sdrd6flk2jene11v193nm1n9, elu1m62cks40q11dz0tql9yxg",3846156923,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3846156921,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3846156917,59,"57, 93, 3, 42, 28, 5, 15, 7, 88, 11, 9, 10, 13, 17, 18, 19, 21, 22, 31, 47",3846351577,194,9q01y4w4dwpaqf8lmpv9wnmc5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472424425,2,32,1,0,0,6tuibxq39fdryu8ou06wcm0q3,1,0,0,2022-10-15T18:45:03.393Z,2022-10-15T18:45:03Z,3846365137,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472424433,2,32,1,0,0,e75syeuawg3ql8nwpi3vr2btz,1,0,0,2022-10-15T18:45:03.393Z,2022-10-16T01:27:10Z,3846365169,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472424483,3,1,1,0,0,e75syeuawg3ql8nwpi3vr2btz,1,50.2,49.9,2022-10-15T18:45:03.413Z,2022-10-16T01:59:13Z,3846365467,141,48.1,3847480093,178,,3846365471,213,3.2,3846365465,140,32.6,3846365463,56,Back,3846365473,279,S,3846365469,212,18.5,,,,ds719g843vjs279iine5otgid,L. Muriel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472424505,4,1,1,0,2,e75syeuawg3ql8nwpi3vr2btz,0,33.6,47.6,2022-10-15T18:45:05.851Z,2022-10-16T01:59:16Z,3846365621,212,46.4,3846365617,140,66.7,3846365625,1,,3846365623,213,5.6,3846365613,155,,3846365615,56,Right,3847480115,178,,3846365619,141,2.5,4cejhrr3ji36591xf54jue3ca,G. Scalvini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472424533,3,1,1,0,5,6tuibxq39fdryu8ou06wcm0q3,0,33.3,94,2022-10-15T18:45:08.879Z,2022-10-16T01:59:24Z,3846365757,140,52.6,3847480231,388,,3846365761,212,20.3,3846365759,141,96.4,3846365763,213,0.1,3846365755,56,Left,3846365753,3,,,,,83hpavqn7r5bzcgxvjbcso3px,G. Kiriakopoulos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472424595,5,1,1,0,9,e75syeuawg3ql8nwpi3vr2btz,1,53.1,4.9,2022-10-15T18:45:12.597Z,2022-10-16T01:59:28Z,3846366049,212,6.8,3846366043,56,Right,3846366045,140,59.2,3847480261,178,,3846366051,213,5.9,3846366047,141,1.6,,,,,,,e5nv028chtw0955vhnh74ukbu,C. Okoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472424619,6,1,1,0,12,e75syeuawg3ql8nwpi3vr2btz,1,59.6,3.2,2022-10-15T18:45:15.477Z,2022-10-16T01:59:31Z,3847480315,178,,3846366225,56,Right,3846366229,141,9.4,3846366227,140,54.5,3846366231,212,6.8,3846366233,213,2.5,,,,,,,30oup47g0i12cvub12r7kmxd6,B. Soppy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472424641,7,1,1,0,13,e75syeuawg3ql8nwpi3vr2btz,1,54.7,10.7,2022-10-15T18:45:17.239Z,2022-10-16T01:59:35Z,3846366433,213,2.4,3846366427,140,32.4,3846366431,212,32.0,3847480363,178,,3846366429,141,42.7,3846366425,56,Back,,,,,,,9q01y4w4dwpaqf8lmpv9wnmc5,M. de Roon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
