id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,assist,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/10/value,keyPass,qualifier/9/value
2533095407,1,34,16,0,0,af91jdcs6x0bqkmdb78rokod2,1,0,0,2023-04-14T15:37:32.574Z,2023-04-14T16:39:05Z,4187471393,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4187541455,197,3464,4187541453,194,a7gi41760sk45wbkpbps3njdh,4187471391,130,23,4187471387,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4187471385,30,"eu9b86opw6n66vftu1r5alfqh, 913rgsi93o890wc2cbuwlbqp5, d9bg5jjv8pz0f8u55x3hg0962, 9qrewt049r6yq88c715ymau39, 7ojvhhfvbtbn60sc50y4l2ctm, 3jruai7zu28e8f0ooj4t16l05, a8ez7qv4n62b8s45pdo8u07o5, 860ysqvvnpfya7bwxbe4g0wk5, enopqyya6qq64lvliw7lw0s4q, 86603cyr3osksy73el0ncy7yt, a7gi41760sk45wbkpbps3njdh, ay6tmp6zkxtjzse2gel3rgnl6, 319knuftqo071luold2fqluqd, g324scl7t7h6j05g973me82y, 86nwv5baekm00h4d3z0suwhyh, 74g3ef24ctcgw1kee77d3acr8, 33erk8bdhefx5xnkjad2fvy8k, 5sxy1z2pz5bhlp767lyjte76d, 7358y8d8v19qn6s8h0kx7tn11, 1r35ds2obqkw03f7hfpfsqqui, a3o9x85aooe65w5r3ibs8ltk9, 1gnc1tbpmomiqt1sty2lktt5, 98agxmllw183w3cml8j8q76dw",4187471389,59,"12, 17, 3, 28, 5, 44, 6, 27, 74, 90, 19, 4, 10, 13, 18, 20, 23, 24, 26, 33, 45, 77, 99",4187471395,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533096263,1,34,16,0,0,8le3orkfz6iix3jns6g9ojqjg,1,0,0,2023-04-14T15:41:08.921Z,2023-04-14T16:47:01Z,4187476533,30,"9jx56wcoj1htd69i749wfwkx5, f0o0jfa9hp54otpnwe09d591, 8dgh4fzut8khpt32d6dsrljsa, 9cy6lgb0e0cq4a7ht389qaklx, 95r0jtkw03vjohzwc8os8ielm, cnk07o3823zl5gd7qr2bdks7p, 6e9fu9o226zn6jzx02jutvi3u, bk1gdyxtfp4drwb0yotwerbsa, mh8eevw5lj4i9c7ue5n9j845, 31b0dvddmki2b2zvumesyrx4a, 1lota2za1imhl3oydwa89u5l, an5eip4p2zmw49hh9eqksigo9, dnk24js88d4ie661mwo7jkq95, 1fdgli7rrzvlhcs1exckc0r11, 2l87vg4m0glbbdvnrg4zud51x, c68syh6axbkqmcmvrpumqb8mi, 2hbduprkyabq8g1nhe6b4g3bp, 39504a9fwi439uhqbwc809ene, 4494989zl7g13nw17wan5adp1, anr1wukl3xezz39fwogjzatw5, d5m5q6dlc7vnbs634dinbsuwa, dmza22ad3iars2svmghrwhfit, d7xfjvw4kun7fx4j9ldr6cb11, 8git2dsc2u9h5ullcu50a6a22, d6vg86aml1ttoyks4vvvk0smh",4187476541,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4187537573,194,1lota2za1imhl3oydwa89u5l,4187537575,197,14540,4187476543,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4187476535,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4187476539,130,23,4187476537,59,"1, 24, 65, 18, 6, 33, 21, 35, 19, 91, 25, 3, 4, 5, 8, 9, 14, 20, 22, 23, 28, 30, 32, 40, 55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533108193,2,32,1,0,0,8le3orkfz6iix3jns6g9ojqjg,1,0,0,2023-04-14T16:30:08.063Z,2023-04-14T16:30:11Z,4187544149,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533108189,2,32,1,0,0,af91jdcs6x0bqkmdb78rokod2,1,0,0,2023-04-14T16:30:08.063Z,2023-04-15T00:18:28Z,4187544135,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533108207,3,1,1,0,0,af91jdcs6x0bqkmdb78rokod2,1,50,50,2023-04-14T16:30:08.211Z,2023-04-15T01:03:21Z,4187544233,141,52.5,4188699629,178,,4187544237,213,3.0,4187544229,56,Back,4187544231,140,32.5,4187544235,212,18.5,4187544239,279,S,,,,a7gi41760sk45wbkpbps3njdh,M. Castagnetti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533108229,4,1,1,0,3,af91jdcs6x0bqkmdb78rokod2,1,32.9,52.2,2023-04-14T16:30:11.180Z,2023-04-15T01:03:23Z,4187544377,141,4.4,4187544379,212,47.7,4187544381,213,5.5,4187544369,56,Right,4187544365,155,,4187544383,1,,4187544373,140,66.2,4188699657,178,,3jruai7zu28e8f0ooj4t16l05,L. Lochoshvili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533108237,5,1,1,0,6,af91jdcs6x0bqkmdb78rokod2,0,66.2,4.4,2023-04-14T16:30:14.248Z,2023-04-15T01:03:27Z,4187544417,56,Right,4187544421,141,0.0,4187544425,213,6.0,4187544419,140,79.5,4187544415,3,,4187544423,212,14.6,4188699741,388,,,,,enopqyya6qq64lvliw7lw0s4q,F. Tsadjout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533108275,3,5,1,0,7,8le3orkfz6iix3jns6g9ojqjg,1,20.9,102,2023-04-14T16:30:15.618Z,2023-04-15T01:03:30Z,4187544661,347,,4187544663,233,6,4187544659,56,Back,,,,,,,,,,,,,,,,mh8eevw5lj4i9c7ue5n9j845,F. Caputo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533108241,6,5,1,0,7,af91jdcs6x0bqkmdb78rokod2,0,79.1,-2,2023-04-14T16:30:15.618Z,2023-04-15T01:03:30Z,4187544441,347,,4187544439,56,Right,4187544669,233,3,,,,,,,,,,,,,,,,enopqyya6qq64lvliw7lw0s4q,F. Tsadjout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533108301,4,1,1,0,18,8le3orkfz6iix3jns6g9ojqjg,1,22.2,100,2023-04-14T16:30:26.376Z,2023-04-15T01:03:34Z,4187544769,107,,4187544777,212,16.5,4187544771,56,Back,4187544775,141,96.2,4187544779,213,6.0,4187544773,140,37.5,,,,,,,8dgh4fzut8khpt32d6dsrljsa,F. Parisi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
