id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,keyPass,qualifier/16/value,qualifier/11/value,assist
2451634245,1,34,16,0,0,bqbbqm98ud8obe45ds9ohgyrd,1,0,0,2022-08-27T15:28:54.171Z,2022-08-27T16:40:08Z,3735634703,194,pconfrmsdy9aikioqz9s9lg5,3735634697,59,"1, 2, 12, 5, 3, 6, 11, 25, 9, 20, 17, 8, 13, 14, 15, 18, 23, 24, 28, 30, 36",3735634699,130,8,3735634705,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3735634693,30,"6ofu6yc2qwp5ii9cerdq1tk9h, 9pe3yqjsmcjtxdx7bdne3d4ut, 2raf0uw5y2kajde0v60l4g1qt, ahz2npxe4geixkaz25f2pc82d, d196vatyvq6ycn1q7d477d2i1, 8yv9xuzriaecvvssfm8dlmz85, pconfrmsdy9aikioqz9s9lg5, 2nddcty9qris2mmeldon0ogd1, 3ua8gs8tzx1dkdi9z88kjk9nt, bjob8tftnxojnytcj7juo0ga2, 555z9bynvux7oruirg67r8i51, 288nn7pbq5ewriiyb9o7da86h, 79e6khfyg3rdauul0yjlixv8q, 35r56n0i4sbdh7n5arbt7db6d, cv46mxj5i98p4hgtbomxlxs7o, 3zqpvn7r1c779l9vwwh7yukfd, 8rlf5vjyddkcid5ysa3yo7hlh, bh3b7e2qzh41dltd6h2obpln9, 2jc6sdkse1kxjztsgystidot1, erwh25hbq259kqdirfufnbcb8, 3o573dblmfc1o3wkkt2nva8k5",3735634695,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3736035887,197,71,3735634701,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451645199,1,34,16,0,0,2tk2l9sgktwc9jhzqdd4mpdtb,1,0,0,2022-08-27T15:35:02.582Z,2022-08-27T16:28:19Z,3735694933,59,"1, 2, 37, 3, 6, 23, 4, 8, 9, 21, 7, 17, 14, 19, 24, 52, 59, 63, 65, 92, 99",3735694935,130,17,3736042637,197,8380,3735694937,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3735694939,194,57bin6he6kbdo2bs4i78z2k0l,3735694941,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3735694929,30,"7gu0t0g8nej405k918fwsf8id, 8lgsqmwavspz4fv7t11rb6j9, 9ka7y81b5kst146mhq7mom5ed, ab4kuqa33849h6z77ksuqhdk9, 7o9bkf7no8wz167ingslfimdx, 6fttn5mk6n1lstqt0dl5xzn4l, 1ftejgsl4hho40cceqne1hcyd, c5a7z6vphv9tp9ddid5jnrnx1, 363nsa82dww242zeo09wpcslx, 93i0gcndi2m8giqqcm4knduxh, 57bin6he6kbdo2bs4i78z2k0l, 8u46wgn2upd99tmmchxuw1gbt, a21winmltx1h9oiwqtfditkut, 1pkymw7biivk760rxhubin1ed, cddggachzf198p1yhq9owtofd, 4cu8rbv55v6f6jiq50c4xatqs, du4ciqofpkn3nei5q3huwlnje, b0b0xalrak7k5pnfnum53umtw, bqokrpmzy2l5xyn2rgzxotzpw, a1iz91ed6hus61yhhk2r0vkd1, el58uxf7oaqu95yx1vbgmr7it",3735694931,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451711653,2,32,1,0,0,bqbbqm98ud8obe45ds9ohgyrd,1,0,0,2022-08-27T16:31:05.653Z,2022-08-27T23:59:36Z,3736052831,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451711635,2,32,1,0,0,2tk2l9sgktwc9jhzqdd4mpdtb,1,0,0,2022-08-27T16:31:05.653Z,2022-08-27T16:31:05Z,3736052749,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451711665,3,1,1,0,0,2tk2l9sgktwc9jhzqdd4mpdtb,1,50.3,50,2022-08-27T16:31:05.821Z,2022-08-27T23:47:11Z,3736052897,212,13.0,3736052899,213,3.7,3737909117,178,,3736052895,141,40.3,3736052893,140,39.6,3736052891,56,Back,3736052901,279,S,,,,363nsa82dww242zeo09wpcslx,T. Abraham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451711739,4,1,1,0,2,2tk2l9sgktwc9jhzqdd4mpdtb,1,39.3,40,2022-08-27T16:31:08.351Z,2022-08-27T23:47:15Z,3737909395,178,,3736053247,213,4.1,3736053243,141,25.0,3736053239,56,Back,3736053245,212,12.7,3736053241,140,32.1,,,,,,,1ftejgsl4hho40cceqne1hcyd,B. Cristante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451711779,5,1,1,0,5,2tk2l9sgktwc9jhzqdd4mpdtb,1,34.6,29.9,2022-08-27T16:31:11.037Z,2022-08-27T23:47:17Z,3737909607,178,,3736053401,213,2.1,3736053393,56,Back,3736053395,140,26.0,3736053399,212,18.7,3736053397,141,53.9,,,,,,,6fttn5mk6n1lstqt0dl5xzn4l,G. Mancini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451711815,6,1,1,0,7,2tk2l9sgktwc9jhzqdd4mpdtb,1,23.8,56.1,2022-08-27T16:31:13.163Z,2022-08-27T23:47:21Z,3736053615,213,1.7,3736053613,212,18.4,3736053609,140,20.8,3736053607,56,Back,3737909851,178,,3736053611,141,82.8,,,,,,,7o9bkf7no8wz167ingslfimdx,C. Smalling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451711885,7,1,1,0,10,2tk2l9sgktwc9jhzqdd4mpdtb,1,20.4,83.1,2022-08-27T16:31:15.849Z,2022-08-27T23:47:24Z,3737910121,178,,3736054005,213,0.8,3736054003,212,10.9,3736054001,141,94.5,3736053999,140,27.7,3736053997,56,Back,,,,,,,ab4kuqa33849h6z77ksuqhdk9,Ibañez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451711893,8,1,1,0,13,2tk2l9sgktwc9jhzqdd4mpdtb,0,25.6,94.4,2022-08-27T16:31:19.351Z,2022-08-27T23:47:27Z,3736054029,56,Back,3736054041,213,5.4,3736054133,233,3,3736054035,141,89.4,3737910305,178,,3736054033,140,28.3,3736054039,212,4.4,,,,9ka7y81b5kst146mhq7mom5ed,L. Spinazzola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451711895,3,61,1,0,13,bqbbqm98ud8obe45ds9ohgyrd,1,75.7,11.7,2022-08-27T16:31:19.404Z,2022-08-27T23:47:31Z,3737910621,178,,3736054047,56,Right,,,,,,,,,,,,,,,,,,,9pe3yqjsmcjtxdx7bdne3d4ut,M. De Sciglio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451711923,4,49,1,0,15,bqbbqm98ud8obe45ds9ohgyrd,1,67,39.7,2022-08-27T16:31:20.870Z,2022-08-27T23:47:40Z,,,,,,,,,,,,,,,,,,,,,,,,,bjob8tftnxojnytcj7juo0ga2,F. Miretti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452074309,773,43,1,0,16,2tk2l9sgktwc9jhzqdd4mpdtb,1,0,0,2022-08-27T16:31:22.258Z,2022-08-28T00:41:00Z,3738056677,399,493115,3738126691,144,83,,,,,,,,,,,,,,,,,,,1ftejgsl4hho40cceqne1hcyd,B. Cristante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451711977,5,1,1,0,16,bqbbqm98ud8obe45ds9ohgyrd,1,68.2,43.3,2022-08-27T16:31:22.265Z,2022-08-27T23:47:44Z,3736054463,213,6.1,3737911587,178,,3736054457,140,77.0,3736054459,141,41.0,3736054453,56,Center,3736054461,212,9.4,,,,,,,bjob8tftnxojnytcj7juo0ga2,F. Miretti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
