id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/13/value,qualifier/15/value,qualifier/10/value,qualifier/14/value,qualifier/17/value,assist,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2482708287,1,34,16,0,0,bqbbqm98ud8obe45ds9ohgyrd,1,0,0,2022-11-06T18:46:17.128Z,2022-11-06T19:43:52Z,3900652595,30,"6ofu6yc2qwp5ii9cerdq1tk9h, pconfrmsdy9aikioqz9s9lg5, 555z9bynvux7oruirg67r8i51, 2raf0uw5y2kajde0v60l4g1qt, d196vatyvq6ycn1q7d477d2i1, 8yv9xuzriaecvvssfm8dlmz85, 418gw0hpjoy8dt0ywaxjgm5pm, 2nddcty9qris2mmeldon0ogd1, 35r56n0i4sbdh7n5arbt7db6d, bjob8tftnxojnytcj7juo0ga2, ahz2npxe4geixkaz25f2pc82d, c6nl81c1q4unq5js94s6s942x, cv46mxj5i98p4hgtbomxlxs7o, 3nnjep6bxxb6xwhanvqvjt39x, 7glxasv2ed6ey82dknto1y66t, 8rlf5vjyddkcid5ysa3yo7hlh, bh3b7e2qzh41dltd6h2obpln9, erwh25hbq259kqdirfufnbcb8, 3o573dblmfc1o3wkkt2nva8k5",3900652603,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3900652601,130,16,3900652597,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",3900652605,194,8yv9xuzriaecvvssfm8dlmz85,3900652599,59,"1, 11, 17, 12, 3, 6, 44, 25, 14, 20, 5, 7, 15, 19, 22, 23, 24, 30, 36",3900652607,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3900868711,197,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482709021,1,34,16,0,0,3vo5mpj7catp66nrwwqiuhuup,1,0,0,2022-11-06T18:47:49.030Z,2022-11-06T19:53:15Z,3900656735,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3900656725,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3900656737,194,4j1oq24pfi728zyl2zkpptpsl,3900656739,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3900656733,130,12,3900875327,197,568,3900656729,59,"24, 2, 32, 15, 6, 37, 23, 22, 9, 10, 20, 1, 5, 8, 11, 12, 14, 21, 33, 36, 45, 77, 95",3900656721,30,"8kttsnok9bbh7kpy3zz3j2xg5, 2r6hs8npijvt4wekd059t6tx, 19856wqwrmzmvfw9thf0tzrv9, ujb2hkujcnwnyrbsgk3ilmtx, by2gxuixij1eciu56k8mb3cgl, 4j1oq24pfi728zyl2zkpptpsl, ahgd3on22t4h7gg9ipnj1itw5, 1xscywgyfqisqexmpfvbf9g45, a5eki9p236y4zxmp9qz202pcl, 7r2tgpdrr4v6n9d2gkzwmlazt, botfgp0oq4wqlwtcs9m90kded, c9lu69xk59a75bnpzgalh1kut, ci37qg2uu0z3nppxvn0z9034l, 9qow77e16pvlb3860yjpydryt, 6d7rip50yu2j7vyk76zokeehh, aripnzu9yo2wlr8ud93ufdhih, can2l9ha4ufsxdjxdkb739fkk, 84so0uovope0pkt6cz2iisbth, 6zcok1vbaitp91a9nrac20t05, asyzhp3qu95vmzdbau6nmoic5, 6vz9qzgtbh3iqzv73xw2xaiok, 3ddsnnhxo0mem95lcph71ix1x, q6ns1fyw7w10xkkubh8etfc9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482747105,2,32,1,0,0,bqbbqm98ud8obe45ds9ohgyrd,1,0,0,2022-11-06T19:45:31.539Z,2022-11-07T02:06:27Z,3900883409,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482747111,2,32,1,0,0,3vo5mpj7catp66nrwwqiuhuup,1,0,0,2022-11-06T19:45:31.539Z,2022-11-06T19:45:32Z,3900883483,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482747139,3,1,1,0,0,3vo5mpj7catp66nrwwqiuhuup,1,50.1,50.1,2022-11-06T19:45:31.680Z,2022-11-07T02:15:18Z,3901620557,178,,3900883653,56,Back,3900883659,212,14.5,3900883663,279,S,3900883661,213,3.1,3900883657,141,50.6,3900883655,140,36.3,,,,a5eki9p236y4zxmp9qz202pcl,E. Džeko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482747181,4,1,1,0,4,3vo5mpj7catp66nrwwqiuhuup,1,35.5,43.9,2022-11-06T19:45:35.559Z,2022-11-07T02:15:22Z,3900884011,140,27.9,3900884013,141,26.2,3901620591,178,,3900884015,212,14.4,3900884017,213,4.1,3900884009,56,Back,,,,,,,botfgp0oq4wqlwtcs9m90kded,H. Çalhanoğlu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482747237,5,1,1,0,9,3vo5mpj7catp66nrwwqiuhuup,1,27.4,24.6,2022-11-06T19:45:40.886Z,2022-11-07T02:15:26Z,3901620655,178,,3900884319,56,Back,3900884323,141,11.7,3900884321,140,30.5,3900884327,213,5.1,3900884325,212,9.4,,,,,,,4j1oq24pfi728zyl2zkpptpsl,M. Škriniar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482747269,6,1,1,0,12,3vo5mpj7catp66nrwwqiuhuup,1,29.1,15.8,2022-11-06T19:45:43.888Z,2022-11-07T02:15:40Z,3900884555,141,25.7,3900884559,213,2.7,3900884553,140,15.4,3900884551,56,Back,3900884557,212,15.9,3901620877,178,,,,,,,,ahgd3on22t4h7gg9ipnj1itw5,N. Barella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482747301,7,1,1,0,16,3vo5mpj7catp66nrwwqiuhuup,1,19.5,25.3,2022-11-06T19:45:47.719Z,2022-11-07T02:15:43Z,3900884717,212,12.6,3901620915,178,,3900884715,141,8.6,3900884713,140,24.7,3900884719,213,5.2,3900884711,56,Back,,,,,,,4j1oq24pfi728zyl2zkpptpsl,M. Škriniar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482747321,8,1,1,0,18,3vo5mpj7catp66nrwwqiuhuup,1,23.7,9.1,2022-11-06T19:45:49.960Z,2022-11-07T02:15:46Z,3900884861,212,12.8,3900884863,213,2.6,3900884859,141,19.1,3900884857,140,13.4,3900884855,56,Back,3901620971,178,,,,,,,,ahgd3on22t4h7gg9ipnj1itw5,N. Barella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482747365,9,1,1,0,20,3vo5mpj7catp66nrwwqiuhuup,1,13,20.4,2022-11-06T19:45:51.802Z,2022-11-07T02:15:49Z,3900885125,140,8.4,3900885127,141,51.7,3900885129,212,21.8,3900885123,56,Back,3901621027,178,,3900885131,213,1.8,,,,,,,4j1oq24pfi728zyl2zkpptpsl,M. Škriniar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482747399,10,1,1,0,23,3vo5mpj7catp66nrwwqiuhuup,1,9.3,53.7,2022-11-06T19:45:55.305Z,2022-11-07T02:15:53Z,3900885371,213,1.5,3900885369,212,12.5,3900885363,56,Back,3900885367,141,71.9,3901621089,178,,3900885365,140,10.7,,,,,,,8kttsnok9bbh7kpy3zz3j2xg5,A. Onana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482747443,12,1,1,0,26,3vo5mpj7catp66nrwwqiuhuup,1,11.1,74,2022-11-06T19:45:58.304Z,2022-11-07T02:15:56Z,3900885597,155,,3901621147,178,,3900885601,140,40.7,3900885609,1,,3900885603,141,42.8,3900885607,213,5.7,3900885605,212,37.6,3900885599,56,Back,ujb2hkujcnwnyrbsgk3ilmtx,F. Acerbi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482747403,11,43,1,0,27,3vo5mpj7catp66nrwwqiuhuup,1,0,0,2022-11-06T19:45:58.570Z,2022-11-06T19:46:05Z,3900885383,285,0,3900886005,144,50,3900885379,56,Back,,,,,,,,,,,,,,,,ujb2hkujcnwnyrbsgk3ilmtx,F. Acerbi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
