id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,assist,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,keyPass,qualifier/10/value,qualifier/14/value,qualifier/17/value,qualifier/11/value,qualifier/12/value,qualifier/15/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value
2500323497,1,34,16,0,0,9dntj5dioj5ex52yrgwzxrq9l,1,0,0,2023-01-24T18:51:01.284Z,2023-01-24T19:48:47Z,3993454783,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3993454779,194,e2vtm1318mm61db2wtj4m5p79,3993454769,30,"7kph61hobc93t2c2tl8l5j105, e2vtm1318mm61db2wtj4m5p79, b0me6l44boibnwpbtasxoy02x, 9sxg58hszjq17avxgumftdu22, b33rlpjo3kx4477alx82si5wq, 3sezchmdtivxl4kusvgc6j7x1, 17au7v1ocl4zab872g59821yi, cknjube5flk1r5ppqthj82c5, 5awkzgwwh48prwgvxwewuc5hx, 3jln1gzc0859ymphvq83i0mp5, 11o903vztwpnmvgrinn208qnd, 1xc40u07ey12xs2y6l0zh0kr8, 9ncagt0ezp4f41hz3b64af1t5, eyra5urhrm92240e7qbll736d, ehztjmhg6fsddm1fqb00547o5, 1dwwsz1i6v8zwh802ujwf7emt, cfpaejad8i9p2r1fj0wx0g222, ch5rw8dgb6wh99wyhd8o3t1pl, 3v1fnp5e9pxfzgou5ebrgprrp, 72vim7cq99zdjjwivwtr773vu, enqcaecpt5hy0qv9x5pzmkjc9, 9vnr9uog5fmggich2i4vjxwbt, fb1s5est3fuw1flrjl9isusp, 68cu39v9m8pykapkh2b97ltqt, 7ox43isyywsnrfcd56nm65be",3993454775,130,8,3993454771,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3993454781,197,578,3993454777,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3993454773,59,"1, 2, 21, 8, 20, 23, 30, 4, 9, 10, 17, 94, 7, 12, 24, 27, 28, 32, 33, 40, 46, 56, 77, 83, 90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500324173,1,34,16,0,0,btcy9nra9ak4m22ovr2ia6m5v,1,0,0,2023-01-24T18:53:38.306Z,2023-01-24T19:45:33Z,3993458215,130,4,3993458211,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3993458209,30,"8n4rruxbnzvjgdomxslnmcno5, a22hb1s02edsj7t38out5r3rp, 62uaf4amxdyz6j2fuvadp0no5, 6hlutndh6zstrpi5i0u0mxyvp, 1x10v3yh4e3f1p2ndhtxcck4p, 7nwh5uoczypmuiigzi8ylsd1, dkifo6kxxxsv1hr0rzk1q8afp, 3v6az10hxcowqkewd809cri6t, bj2ymzuyq3zxbfjs3xrt3ss7p, d02p1ldr57bkxcpmq12vtvhsl, cfzvplhlvlfvau521u6b86xud, 71p9z7bqvgzb5t115fmos6fop, 3l76cgequy3tjhhudqnrejglx, 9462218yklkts6mod3cbfryz9, 5e13xwlorl1gjrnjjtfnzawa1, ho87m362sey4msdjp4n180oa, 6eb3jpi6t6z2ergmgzcpckdpm, bpzzhdpqxmp8bef77m7pr2r4l, 8w2rfa3vnu6t1a37510374nv9, b62gjcajugddud630e9b7ptjp, 3a60l8v1wpr9qpapsjcu4bztg, 7y5qwgl0xu7btfd7yxgeb2gut, aaokzl1u7cev2dbn7p09cfx05",3993458221,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3993458219,197,572,3993551047,194,dkifo6kxxxsv1hr0rzk1q8afp,3993458213,59,"94, 77, 23, 32, 15, 13, 21, 10, 7, 9, 20, 1, 4, 5, 6, 11, 18, 26, 29, 31, 50, 88, 96",3993458217,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500344487,2,32,1,0,0,9dntj5dioj5ex52yrgwzxrq9l,1,0,0,2023-01-24T19:47:00.044Z,2023-01-24T21:44:32Z,3993555633,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500344473,2,32,1,0,0,btcy9nra9ak4m22ovr2ia6m5v,1,0,0,2023-01-24T19:47:00.044Z,2023-01-25T02:08:19Z,3993555563,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500344537,3,1,1,0,0,btcy9nra9ak4m22ovr2ia6m5v,1,50,50,2023-01-24T19:47:00.065Z,2023-01-25T02:25:36Z,3993555845,279,S,3993555833,140,34.4,3993555841,213,3.2,3993555837,212,16.4,3993555831,56,Back,3993555835,141,49.6,3994047619,178,,,,,3v6az10hxcowqkewd809cri6t,Luis Alberto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500344543,4,1,1,0,1,btcy9nra9ak4m22ovr2ia6m5v,1,33.8,49.9,2023-01-24T19:47:01.321Z,2023-01-25T02:25:45Z,3993978665,212,0.5,3993555861,56,Back,3993978661,140,34.3,3993978663,141,50.1,3994047629,178,,3993978667,213,0.3,,,,,,,1x10v3yh4e3f1p2ndhtxcck4p,N. Casale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500344619,5,1,1,0,2,btcy9nra9ak4m22ovr2ia6m5v,0,34.4,49.4,2023-01-24T19:47:03.030Z,2023-01-25T02:25:49Z,3993739113,157,,3993556193,213,5.7,3993556187,140,70.0,3993556185,56,Right,3994047673,178,,3993556191,212,43.9,3993556195,1,,3993556189,141,15.6,7nwh5uoczypmuiigzi8ylsd1,A. Romagnoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500344627,3,44,1,0,5,9dntj5dioj5ex52yrgwzxrq9l,1,29.2,83,2023-01-24T19:47:06.011Z,2023-01-25T04:02:44Z,3993556257,233,6,3993556231,56,Back,3993556233,285,,,,,,,,,,,,,,,,,9sxg58hszjq17avxgumftdu22,S. Tonali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500344623,6,44,1,0,5,btcy9nra9ak4m22ovr2ia6m5v,0,70.8,17,2023-01-24T19:47:06.012Z,2023-01-25T02:25:55Z,3993556299,233,3,3993556211,56,Right,3993556213,286,,,,,,,,,,,,,,,,,dkifo6kxxxsv1hr0rzk1q8afp,S. Milinković-Savić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500344633,4,61,1,0,6,9dntj5dioj5ex52yrgwzxrq9l,1,28.5,81.5,2023-01-24T19:47:06.089Z,2023-01-25T04:02:44Z,3994047783,388,,3994047781,21,,3993556241,56,Back,,,,,,,,,,,,,,,,9sxg58hszjq17avxgumftdu22,S. Tonali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
