id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,assist,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,keyPass,qualifier/14/value,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId
2475528713,1,34,16,0,0,9dntj5dioj5ex52yrgwzxrq9l,1,0,0,2022-10-22T15:00:46.012Z,2022-10-22T15:56:30Z,3862740509,130,8,3862740505,59,"1, 21, 19, 32, 24, 23, 30, 4, 27, 10, 12, 5, 7, 8, 9, 14, 17, 20, 28, 33, 40, 46, 43, 90, 96",3862740517,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3863291177,197,16688,3862740513,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3862740515,194,3tpmw6tlijytn0ahwztvedkut,3862740501,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3862740497,30,"7kph61hobc93t2c2tl8l5j105, b0me6l44boibnwpbtasxoy02x, 3tpmw6tlijytn0ahwztvedkut, ch5rw8dgb6wh99wyhd8o3t1pl, ehztjmhg6fsddm1fqb00547o5, 3sezchmdtivxl4kusvgc6j7x1, 17au7v1ocl4zab872g59821yi, cknjube5flk1r5ppqthj82c5, 1dwwsz1i6v8zwh802ujwf7emt, 3jln1gzc0859ymphvq83i0mp5, eyra5urhrm92240e7qbll736d, dmrj53hcw8vcffxx0lfudbob9, 9ncagt0ezp4f41hz3b64af1t5, 9sxg58hszjq17avxgumftdu22, 5awkzgwwh48prwgvxwewuc5hx, wr2f0yl1bf68r73hkjee2pqt, 11o903vztwpnmvgrinn208qnd, b33rlpjo3kx4477alx82si5wq, cfpaejad8i9p2r1fj0wx0g222, 3v1fnp5e9pxfzgou5ebrgprrp, 72vim7cq99zdjjwivwtr773vu, enqcaecpt5hy0qv9x5pzmkjc9, 68cu39v9m8pykapkh2b97ltqt, 7ox43isyywsnrfcd56nm65be, 9rs7sa9181bsys17v0naoszfu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475536337,1,34,16,0,0,67z1gqyiuzpmmb15q5fy7ntc4,1,0,0,2022-10-22T15:06:02.013Z,2022-10-22T16:19:30Z,3862777275,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3862777273,30,"b3hr4q25jvqr7565z5ydqylt5, bcqsti42fhzap385lnfe4auhh, 4d17grk2qflzake218uz76uei, av8588qp8e5wz3s7cg1n2qgnp, erdqr6vrr5tlfypbks3og0dlh, 1b8uwkohkevu6ltjex0liklpl, 1muwnu7rq4feejspx7no203px, 64z85woxiowxzod5e0g0x77x1, dq037w5t3ht5zgd75mue4p1pl, 2qdgfxqyh0bjn3alkz97py8k5, 6ck9f1ppvl65nui0x71q80jx1, annamxplmbyakvo2akw63xxw5, ejgtltbsu0djglqw98gywgu6t, 4vonqsqrzoyye4vs6n7dud2p5, 61phh511ju65h6coren0pbkd1, 9noq0ogmqc2cwj3nowoadcdlh, 721e4tx2wrwb4kd9w80fcq19l, 2zk88fh1e5js1g2jmfkrjmxka, duqiler25n63ksi0fxreo50mi, 91sgvwun5559mwe9bszj4xql1, 98x5xrku2jffo0in2u2htazca, chjjcy789cuwlsik2ibmubtyi, 18yip8wsirmu6s0idhvapnaad, rblijalj0qnu455jtjoi3pjo, 6jwy293owzzhldv4i9wxntjv9, ahrgnlsku8ghrj2qc0s6p1rhm",3863409273,197,8477,3862777277,59,"16, 84, 30, 5, 3, 26, 8, 12, 47, 32, 17, 2, 4, 7, 9, 10, 19, 22, 28, 37, 38, 44, 77, 80, 89, 91",3862777281,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3862777279,130,17,3862777283,194,2qdgfxqyh0bjn3alkz97py8k5,3862777285,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475641655,2,32,1,0,0,9dntj5dioj5ex52yrgwzxrq9l,1,0,0,2022-10-22T16:00:06.924Z,2022-10-22T21:03:55Z,3863332381,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475641653,2,32,1,0,0,67z1gqyiuzpmmb15q5fy7ntc4,1,0,0,2022-10-22T16:00:06.924Z,2022-10-22T16:00:07Z,3863332369,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475641665,3,1,1,0,0,67z1gqyiuzpmmb15q5fy7ntc4,1,50,50,2022-10-22T16:00:06.963Z,2022-10-22T21:11:55Z,3863332447,140,38.1,3864676843,178,,3863332449,141,56.3,3863332453,213,2.8,3863332445,56,Back,3863332455,279,S,3863332451,212,13.2,,,,dq037w5t3ht5zgd75mue4p1pl,Dany Mota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475641677,4,1,1,0,2,67z1gqyiuzpmmb15q5fy7ntc4,1,37.6,58.2,2022-10-22T16:00:09.163Z,2022-10-22T21:12:07Z,3863332505,212,22.1,3863332503,141,85.8,3863332507,213,2.1,3864677277,178,,3863332499,56,Back,3863332501,140,26.5,,,,,,,64z85woxiowxzod5e0g0x77x1,S. Sensi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475641697,5,1,1,0,4,67z1gqyiuzpmmb15q5fy7ntc4,1,26.5,85.8,2022-10-22T16:00:11.256Z,2022-10-22T21:12:11Z,3864677457,178,,3863332577,140,31.7,3863332579,141,95.2,3863332581,212,8.4,3863332575,56,Back,3863332583,213,0.9,,,,,,,av8588qp8e5wz3s7cg1n2qgnp,L. Caldirola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475641701,6,1,1,0,6,67z1gqyiuzpmmb15q5fy7ntc4,1,31.7,95.2,2022-10-22T16:00:13.220Z,2022-10-22T21:12:14Z,3863332627,213,4.9,3863332619,56,Back,3864677651,178,,3863332621,140,33.0,3863332623,141,86.8,3863332625,212,5.9,,,,,,,4d17grk2qflzake218uz76uei,Carlos Augusto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475641723,7,1,1,0,7,67z1gqyiuzpmmb15q5fy7ntc4,0,33,86.8,2022-10-22T16:00:13.926Z,2022-10-22T21:12:31Z,3863332711,140,64.5,3864678395,178,,3863332707,155,,3863332709,56,Left,3863332713,141,92.0,3863332715,212,33.3,3863332717,213,0.1,3863332719,1,,64z85woxiowxzod5e0g0x77x1,S. Sensi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475641725,3,49,1,0,10,9dntj5dioj5ex52yrgwzxrq9l,1,31.1,7.4,2022-10-22T16:00:17.322Z,2022-10-22T21:13:02Z,,,,,,,,,,,,,,,,,,,,,,,,,ehztjmhg6fsddm1fqb00547o5,S. Kjær,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
