id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/10/value,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/17/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2469600753,1,34,16,0,0,4klvxyeh3xcus4ongu7c00mgc,1,0,0,2022-10-09T12:23:23.027Z,2022-10-09T12:56:50Z,3831338937,59,"69, 2, 20, 43, 14, 4, 24, 33, 11, 18, 6, 1, 8, 10, 16, 21, 27, 28, 29, 30, 31, 39, 40, 44, 89",3831338943,194,8lta4w1nytggiwnaqv4e5cc0l,3831338933,30,"4g0d51pqr4grzoe9cx7do6pxx, awf3x41nsz8m73bhte5wlz6ui, yau2ry4oz8da3etdtf5td0id, 89z0ym1zvwp7rikmd0kvpcq8l, 8585juruxxi6z8ih6kfqvrj6x, f1ma05bi3t1hfbflylx5d9tyh, 1s7qbrynbcv9uw9r5f29oyc5, 72sbeqsrvv64vwiec51r9g1k9, 8lta4w1nytggiwnaqv4e5cc0l, 8zltxvt0rcrcv96x1wmdhlrrp, 6ehsdxl74v0qtlbjjjbu0r0t1, bmqg7owjivu1f3grdigkid0b9, 6n7sw8r0fhcoa8hfuxrtm96tx, e4cwx5r9hrvip371egldkc6ol, 9n2nm6smh0txgv2482qbwhixg, 9casrbyhvk5woencvp365fnmy, 2s9ko6yxyi95jybzguru8g3bp, 7u9bpiajlgr3zibj89pub7wbu, 6sejjyqssbr3olctm9nkq2v9x, 1fsum47fkh62rer9xxe3smctm, 44t0ew97eyl8ww00sgusx00a2, b7togay3w05jtjngrz9xliay1, q86iuo0cn7dlhvgwz6ix1mqy, eprihatu8znb0vq6kuaj38z1m, 9wek84cn7z0ou46623nlo876y",3831338941,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3831338939,130,12,3831338935,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3831338945,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3831490723,197,14656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469600785,1,34,16,0,0,67z1gqyiuzpmmb15q5fy7ntc4,1,0,0,2022-10-09T12:23:26.636Z,2022-10-09T12:57:08Z,3831339069,30,"b3hr4q25jvqr7565z5ydqylt5, bcqsti42fhzap385lnfe4auhh, 4d17grk2qflzake218uz76uei, av8588qp8e5wz3s7cg1n2qgnp, erdqr6vrr5tlfypbks3og0dlh, thnje2i2s96fcbuscj57053p, 79e6khfyg3rdauul0yjlixv8q, 64z85woxiowxzod5e0g0x77x1, 61phh511ju65h6coren0pbkd1, 2qdgfxqyh0bjn3alkz97py8k5, 6ck9f1ppvl65nui0x71q80jx1, annamxplmbyakvo2akw63xxw5, ejgtltbsu0djglqw98gywgu6t, 4vonqsqrzoyye4vs6n7dud2p5, 1muwnu7rq4feejspx7no203px, 9noq0ogmqc2cwj3nowoadcdlh, 721e4tx2wrwb4kd9w80fcq19l, 2zk88fh1e5js1g2jmfkrjmxka, duqiler25n63ksi0fxreo50mi, 98x5xrku2jffo0in2u2htazca, chjjcy789cuwlsik2ibmubtyi, dq037w5t3ht5zgd75mue4p1pl, 18yip8wsirmu6s0idhvapnaad, rblijalj0qnu455jtjoi3pjo, 6jwy293owzzhldv4i9wxntjv9, ahrgnlsku8ghrj2qc0s6p1rhm",3831339077,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3831491723,197,8477,3831339079,194,2qdgfxqyh0bjn3alkz97py8k5,3831339075,130,17,3831339073,59,"16, 84, 30, 5, 3, 55, 6, 12, 9, 32, 17, 2, 4, 7, 8, 10, 19, 22, 28, 38, 44, 47, 77, 80, 89, 91",3831339081,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3831339071,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469636903,2,32,1,0,0,4klvxyeh3xcus4ongu7c00mgc,1,0,0,2022-10-09T13:01:19.724Z,2022-10-09T13:01:20Z,3831509687,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469636917,2,32,1,0,0,67z1gqyiuzpmmb15q5fy7ntc4,1,0,0,2022-10-09T13:01:19.724Z,2022-10-09T20:41:26Z,3831509731,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469636973,3,1,1,0,0,4klvxyeh3xcus4ongu7c00mgc,1,49.9,50,2022-10-09T13:01:19.798Z,2022-10-09T23:07:02Z,3831509973,141,66.4,3831509971,140,27.3,3831509975,212,26.2,3831509979,279,S,3831509977,213,2.7,3831509969,56,Back,3834128649,178,,,,,8lta4w1nytggiwnaqv4e5cc0l,E. Gyasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470120663,862,43,1,0,1,4klvxyeh3xcus4ongu7c00mgc,1,0,0,2022-10-09T13:01:20.915Z,2022-10-09T23:34:07Z,3834169101,144,82,3834169023,178,0,,,,,,,,,,,,,,,,,,,89z0ym1zvwp7rikmd0kvpcq8l,D. Nikolaou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469636985,4,1,1,0,1,4klvxyeh3xcus4ongu7c00mgc,1,29.5,62.3,2022-10-09T13:01:20.987Z,2022-10-09T23:07:13Z,3834129017,178,,3831510023,213,4.4,3831510021,212,6.3,3831510019,141,53.6,3831510015,56,Back,3831510017,140,27.4,,,,,,,89z0ym1zvwp7rikmd0kvpcq8l,D. Nikolaou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469637079,5,1,1,0,3,4klvxyeh3xcus4ongu7c00mgc,0,27.4,53.6,2022-10-09T13:01:22.985Z,2022-10-09T23:07:17Z,3831510507,56,Center,3831510503,155,,3831510521,1,,3834129161,178,,3831510517,212,80.1,3831510513,140,100.0,3831510519,213,6.0,3831510515,141,25.5,8585juruxxi6z8ih6kfqvrj6x,J. Kiwior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469637133,3,5,1,0,8,67z1gqyiuzpmmb15q5fy7ntc4,1,-1.1,76.8,2022-10-09T13:01:28.634Z,2022-10-09T23:07:19Z,3831510771,56,Back,3831510797,233,6,3831510773,346,,,,,,,,,,,,,,,,,61phh511ju65h6coren0pbkd1,C. Gytkjær,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469637087,6,5,1,0,8,4klvxyeh3xcus4ongu7c00mgc,0,101.1,23.2,2022-10-09T13:01:28.634Z,2022-10-09T23:07:20Z,3831510805,233,3,3831510559,56,Center,3831510561,346,,,,,,,,,,,,,,,,,8585juruxxi6z8ih6kfqvrj6x,J. Kiwior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469637231,4,1,1,0,15,67z1gqyiuzpmmb15q5fy7ntc4,1,3.8,54,2022-10-09T13:01:34.736Z,2022-10-09T23:07:24Z,3831511261,237,,3831511255,212,18.2,3831511253,141,28.7,3831511247,124,,3831511251,140,9.5,3831511257,213,5.0,3831511249,56,Back,,,,b3hr4q25jvqr7565z5ydqylt5,M. Di Gregorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469637315,5,1,1,0,19,67z1gqyiuzpmmb15q5fy7ntc4,1,10.1,28.1,2022-10-09T13:01:39.433Z,2022-10-09T23:07:27Z,3834129537,178,,3831511655,141,51.0,3831511659,213,1.9,3831511651,56,Back,3831511653,140,5.0,3831511657,212,16.5,,,,,,,erdqr6vrr5tlfypbks3og0dlh,Pablo Marí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469637347,6,1,1,0,21,67z1gqyiuzpmmb15q5fy7ntc4,1,5.1,51,2022-10-09T13:01:41.617Z,2022-10-09T23:07:31Z,3831511793,141,88.1,3831511791,140,11.6,3831511795,212,26.1,3831511789,56,Back,3831511797,213,1.3,3834129771,178,,,,,,,,b3hr4q25jvqr7565z5ydqylt5,M. Di Gregorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469637377,7,1,1,0,24,67z1gqyiuzpmmb15q5fy7ntc4,1,11.6,88.1,2022-10-09T13:01:43.875Z,2022-10-09T23:07:35Z,3834129909,178,,3831511969,56,Back,3831511979,212,13.9,3831511975,141,92.7,3831511981,213,0.2,3831511971,140,24.5,,,,,,,av8588qp8e5wz3s7cg1n2qgnp,L. Caldirola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
