id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,assist,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/8/value,keyPass,qualifier/10/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2529707907,1,34,16,0,0,3vo5mpj7catp66nrwwqiuhuup,1,0,0,2023-04-07T14:11:46.999Z,2023-04-07T14:58:51Z,4169426509,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4169426495,59,"24, 2, 8, 15, 6, 36, 23, 22, 11, 90, 14, 1, 5, 9, 10, 12, 32, 40, 45, 46, 77, 95",4169426501,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4169426497,130,12,4169426493,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4169426491,30,"8kttsnok9bbh7kpy3zz3j2xg5, 2r6hs8npijvt4wekd059t6tx, 9qow77e16pvlb3860yjpydryt, ujb2hkujcnwnyrbsgk3ilmtx, by2gxuixij1eciu56k8mb3cgl, asyzhp3qu95vmzdbau6nmoic5, ahgd3on22t4h7gg9ipnj1itw5, 1xscywgyfqisqexmpfvbf9g45, 6d7rip50yu2j7vyk76zokeehh, 8qgbxff7xlg0zjtyees7ljljp, can2l9ha4ufsxdjxdkb739fkk, c9lu69xk59a75bnpzgalh1kut, ci37qg2uu0z3nppxvn0z9034l, a5eki9p236y4zxmp9qz202pcl, 7r2tgpdrr4v6n9d2gkzwmlazt, aripnzu9yo2wlr8ud93ufdhih, 19856wqwrmzmvfw9thf0tzrv9, dvyqkyrpmulurm1n7lqsxsduc, 6vz9qzgtbh3iqzv73xw2xaiok, 7agtkarul2qlsc20avvj45w8a, 3ddsnnhxo0mem95lcph71ix1x, q6ns1fyw7w10xkkubh8etfc9",4169426505,194,by2gxuixij1eciu56k8mb3cgl,4169752183,197,17993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529709329,1,34,16,0,0,49rkyo4do8uwj06geomw0xr4i,1,0,0,2023-04-07T14:12:35.772Z,2023-04-07T14:57:48Z,4169434109,130,17,4169434117,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4169434113,194,c9shobonlrg7guoyb3iwnwdsl,4169750425,197,3166,4169434111,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4169434101,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4169434099,30,"2luxnwcabb7msig7odfq5p5g5, blo3zmhar2mujyp9z7kjnsut, b0e6d3zgwzbzysmt9b2ycvf56, 3coml6cxqa86px9up8yy3oz1m, 2mloh2yrhs60s1uwrfycc2i8l, 4u281v53ges3kimtgac0tidm2, 7j0c36u6kk97eur4virjoka8l, 7pg1pu4ptby6hi0rp29hv4jxl, 240qnsj5nj6l6s3cc618691at, drljavudmjvyj9mvyzq7gz2s5, c9shobonlrg7guoyb3iwnwdsl, 68jk3onf54kl1mdfz8zuicvkl, ezpkmoz1z08da3o3g45m12lzp, d6sstsibcsfxporots5k9cicp, 19gglji6ai70jiu7iqpkaxbyt, 53dvtfms2uxd500y87x5jf2eh, bhu3hiq2ln2cso48ndqe17bvt, 6l046k4t48abc079efzg2oic5, 3mqhkh4iz4kesvmqui3hupgmi, d1e3dsz9lf7g69g2l6zfurpp1, 488q58xm2ahxuvpeyfpgwfklw, a6lo3s66xv87llkhwveoq1vqh, 4b7yhrh526hzn4vj8bh395v8q",4169434105,59,"13, 2, 3, 98, 23, 5, 10, 18, 99, 20, 87, 1, 6, 8, 9, 11, 14, 15, 29, 33, 39, 41, 66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529767607,2,32,1,0,0,3vo5mpj7catp66nrwwqiuhuup,1,0,0,2023-04-07T15:00:52.739Z,2023-04-07T15:00:52Z,4169756017,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529767617,2,32,1,0,0,49rkyo4do8uwj06geomw0xr4i,1,0,0,2023-04-07T15:00:52.739Z,2023-04-07T22:31:00Z,4169756051,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529767623,3,1,1,0,0,3vo5mpj7catp66nrwwqiuhuup,1,50.2,49.9,2023-04-07T15:00:52.811Z,2023-04-07T22:36:18Z,4169756075,213,3.0,4171162691,178,,4169756077,279,S,4169756073,212,12.7,4169756071,141,52.2,4169756067,56,Back,4169756069,140,38.2,,,,8qgbxff7xlg0zjtyees7ljljp,R. Lukaku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529767635,4,1,1,0,2,3vo5mpj7catp66nrwwqiuhuup,1,38.2,51.8,2023-04-07T15:00:54.767Z,2023-04-07T22:36:21Z,4169756139,141,23.0,4169756141,212,20.3,4169756137,140,33.1,4169756143,213,4.4,4171162717,178,,4169756135,56,Back,,,,,,,can2l9ha4ufsxdjxdkb739fkk,K. Asllani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529767651,5,1,1,0,3,3vo5mpj7catp66nrwwqiuhuup,1,32.9,19.9,2023-04-07T15:00:56.520Z,2023-04-07T22:36:27Z,4171162817,178,,4169756215,140,42.4,4169756221,213,0.2,4169756217,141,23.2,4169756213,56,Back,4169756219,212,10.2,,,,,,,asyzhp3qu95vmzdbau6nmoic5,M. Darmian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529767663,6,1,1,0,6,3vo5mpj7catp66nrwwqiuhuup,0,45.7,16.7,2023-04-07T15:00:59.253Z,2023-04-07T22:36:29Z,4169756267,155,,4169756271,140,66.2,4169756269,56,Center,4169756279,1,,4169756277,213,0.9,4169756273,141,53.3,4171162851,178,,4169756275,212,32.9,ahgd3on22t4h7gg9ipnj1itw5,N. Barella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529767677,3,49,1,0,8,49rkyo4do8uwj06geomw0xr4i,1,25.7,65.4,2023-04-07T15:01:01.020Z,2023-04-07T22:36:42Z,,,,,,,,,,,,,,,,,,,,,,,,,4u281v53ges3kimtgac0tidm2,F. Daniliuc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529767697,4,1,1,0,9,49rkyo4do8uwj06geomw0xr4i,1,25.7,65.4,2023-04-07T15:01:01.897Z,2023-04-07T22:36:46Z,4169756441,213,2.0,4169756439,212,14.1,4169756433,56,Back,4169756437,141,84.0,4171162997,178,,4169756435,140,19.8,,,,,,,4u281v53ges3kimtgac0tidm2,F. Daniliuc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
