id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/9/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/12/value,qualifier/15/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,assist,qualifier/14/value,qualifier/20/value,qualifier/19/value
2452495697,1,34,16,0,0,49rkyo4do8uwj06geomw0xr4i,1,0,0,2022-08-28T15:23:59.753Z,2022-08-28T16:28:17Z,3740553181,197,3166,3740268683,30,"d1e3dsz9lf7g69g2l6zfurpp1, c9shobonlrg7guoyb3iwnwdsl, etryzuxz65dmn5ewmocse66l1, 3ftcqipzb86lzdztg4j1oz2s5, 2mloh2yrhs60s1uwrfycc2i8l, blo3zmhar2mujyp9z7kjnsut, q281ehu1acmc9v96sv9g8bmx, 7j0c36u6kk97eur4virjoka8l, 19gglji6ai70jiu7iqpkaxbyt, 3mqhkh4iz4kesvmqui3hupgmi, 7pg1pu4ptby6hi0rp29hv4jxl, 68jk3onf54kl1mdfz8zuicvkl, b0e6d3zgwzbzysmt9b2ycvf56, agqy4cdo1q54qq6v49jp9vzyt, ezpkmoz1z08da3o3g45m12lzp, 53dvtfms2uxd500y87x5jf2eh, h2c4xwvt3x9gry6wqehc0445, bhu3hiq2ln2cso48ndqe17bvt, a1s1rnovgulesgj5y0l29aqc5, drljavudmjvyj9mvyzq7gz2s5, 6lev0lne8w9snmho4a6hjiifp, 91dt2qi4j797auqtkydbdlel0, 488q58xm2ahxuvpeyfpgwfklw, 3coml6cxqa86px9up8yy3oz1m",3740268697,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3740268689,59,"33, 87, 30, 17, 23, 2, 25, 10, 9, 29, 18, 1, 3, 4, 6, 11, 12, 14, 19, 20, 28, 35, 39, 98",3740268695,194,3ftcqipzb86lzdztg4j1oz2s5,3740268687,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3740268693,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3740268691,130,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452497975,1,34,16,0,0,4plikfte18rv8v4l89z803d4y,1,0,0,2022-08-28T15:29:54.721Z,2022-08-28T16:27:38Z,3740281233,30,"e2dn4s6p2f6xnbaje17wd3jyt, 2q0bx5wsc6b68vpps79hosnah, 14vhrqvqomi57x5mtsawm44b9, bh4a2zneilpvi1t7etuhkfl61, 5sxy1z2pz5bhlp767lyjte76d, 2bitk8s7gg2o7sjnjmolnw9ud, 6u6mobmk6lpvwebo76ddxr3s9, eqggzoepu1d4t13fw6ybebtn9, mh8eevw5lj4i9c7ue5n9j845, 3yl0m3n14kek9pwkp7catyh9l, c87f30rukjnu7v3f3iqxpkxqt, bg7t6yere90otrlaxeu636q51, 7dejruzkh60ztcio9mhommn6d, cxb8ue6jhyzcnacu7k4jy2ne1, cxg84pp48r8snh8i2grc59wmi, bf67gbxjr8fkha0e59fs6qok5, dz33ybo9w22154xeaiteuca8l, 1wnzwoisg4ctvcxsh2xnrkj4l, jk8n72zhngmdw2ek47zx7f11, bgpoqigjsb92lt6n5vrmshwwl, 151jcsoydef86be6b7rpt4bv8, awpcf5w245iug4znjqctuebpx, crqk7tlewkn3ayk042yo1bfv8",3740281235,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3740281237,59,"1, 12, 3, 4, 25, 15, 37, 8, 10, 11, 7, 5, 6, 14, 19, 21, 22, 23, 24, 27, 28, 30, 31",3740281239,130,7,3740281245,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3740281243,194,2bitk8s7gg2o7sjnjmolnw9ud,3740550775,197,8484,3740281241,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452549735,2,32,1,0,0,49rkyo4do8uwj06geomw0xr4i,1,0,0,2022-08-28T16:30:33.486Z,2022-08-29T00:51:19Z,3740561417,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452549725,2,32,1,0,0,4plikfte18rv8v4l89z803d4y,1,0,0,2022-08-28T16:30:33.486Z,2022-08-28T16:30:33Z,3740561355,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452549771,3,1,1,0,0,4plikfte18rv8v4l89z803d4y,1,50.2,50.4,2022-08-28T16:30:33.659Z,2022-08-29T04:51:44Z,3740561637,213,3.4,3742284751,178,,3740561639,279,S,3740561629,56,Back,3740561635,212,16.1,3740561633,141,44.4,3740561631,140,35.4,,,,mh8eevw5lj4i9c7ue5n9j845,F. Caputo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452549789,4,1,1,0,1,4plikfte18rv8v4l89z803d4y,1,35.3,44.6,2022-08-28T16:30:35.098Z,2022-08-29T01:08:15Z,3740561761,141,50.4,3740561763,212,4.2,3742284983,178,,3740561757,56,Back,3740561767,213,1.2,3740561759,140,36.7,,,,,,,2bitk8s7gg2o7sjnjmolnw9ud,O. Colley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452549799,5,1,1,0,2,4plikfte18rv8v4l89z803d4y,0,36.7,50.4,2022-08-28T16:30:36.272Z,2022-08-29T01:08:19Z,3740561845,213,0.9,3740561839,140,63.7,3740561841,141,100.0,3740561843,212,44.4,3740561831,155,,3740561835,56,Left,3742285113,178,,3740561847,1,,5sxy1z2pz5bhlp767lyjte76d,A. Ferrari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452550271,3,5,1,0,6,49rkyo4do8uwj06geomw0xr4i,1,34.8,-0.7,2022-08-28T16:30:39.724Z,2022-08-29T01:08:25Z,3740566625,233,6,3740564469,347,,3740564467,56,Back,,,,,,,,,,,,,,,,2mloh2yrhs60s1uwrfycc2i8l,N. Gyömbér,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452549801,6,5,1,0,6,4plikfte18rv8v4l89z803d4y,0,65.2,100.7,2022-08-28T16:30:39.724Z,2022-08-29T01:08:26Z,3740566655,233,3,3740561851,56,Left,3740561853,347,,,,,,,,,,,,,,,,,bh4a2zneilpvi1t7etuhkfl61,Gonzalo Villar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452550855,7,1,1,0,10,49rkyo4do8uwj06geomw0xr4i,1,24.9,0,2022-08-28T16:30:44.077Z,2022-08-29T01:08:30Z,3740567597,107,,3740567605,212,19.2,3740567599,56,Back,3740567601,140,15.5,3740567603,141,23.7,3740567607,213,2.1,,,,,,,blo3zmhar2mujyp9z7kjnsut,D. Bronn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
