id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/12/value,keyPass,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,qualifier/22/id,qualifier/22/qualifierId,qualifier/22/value,qualifier/14/value,qualifier/15/value,qualifier/17/value,qualifier/18/value
2527426817,1,34,16,0,0,49rkyo4do8uwj06geomw0xr4i,1,0,0,2023-04-02T12:16:22.140Z,2023-04-02T13:02:42Z,4157330701,197,18824,4157298829,194,c9shobonlrg7guoyb3iwnwdsl,4157298833,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4157298827,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4157298819,30,"2luxnwcabb7msig7odfq5p5g5, ezpkmoz1z08da3o3g45m12lzp, b0e6d3zgwzbzysmt9b2ycvf56, 3coml6cxqa86px9up8yy3oz1m, 2mloh2yrhs60s1uwrfycc2i8l, 4u281v53ges3kimtgac0tidm2, 7j0c36u6kk97eur4virjoka8l, 7pg1pu4ptby6hi0rp29hv4jxl, 240qnsj5nj6l6s3cc618691at, c9shobonlrg7guoyb3iwnwdsl, 3mqhkh4iz4kesvmqui3hupgmi, 68jk3onf54kl1mdfz8zuicvkl, blo3zmhar2mujyp9z7kjnsut, d6sstsibcsfxporots5k9cicp, 19gglji6ai70jiu7iqpkaxbyt, 53dvtfms2uxd500y87x5jf2eh, bhu3hiq2ln2cso48ndqe17bvt, 6l046k4t48abc079efzg2oic5, 3ftcqipzb86lzdztg4j1oz2s5, drljavudmjvyj9mvyzq7gz2s5, q281ehu1acmc9v96sv9g8bmx, d1e3dsz9lf7g69g2l6zfurpp1, 488q58xm2ahxuvpeyfpgwfklw, a6lo3s66xv87llkhwveoq1vqh, 4b7yhrh526hzn4vj8bh395v8q",4157298823,59,"13, 6, 3, 98, 23, 5, 10, 18, 99, 87, 29, 1, 2, 8, 9, 11, 14, 15, 17, 20, 25, 33, 39, 41, 66",4157298825,130,17,4157298821,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527428021,1,34,16,0,0,4klvxyeh3xcus4ongu7c00mgc,1,0,0,2023-04-02T12:17:11.731Z,2023-04-02T12:21:28Z,4157333389,197,8669,4157305349,194,8lta4w1nytggiwnaqv4e5cc0l,4157305343,59,"69, 27, 43, 8, 29, 4, 6, 24, 14, 10, 11, 1, 2, 7, 16, 19, 20, 21, 22, 25, 30, 33, 55, 72, 77",4157305347,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4157305345,130,4,4157305341,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4157305339,30,"4g0d51pqr4grzoe9cx7do6pxx, 2s9ko6yxyi95jybzguru8g3bp, 89z0ym1zvwp7rikmd0kvpcq8l, 6n7sw8r0fhcoa8hfuxrtm96tx, 6sejjyqssbr3olctm9nkq2v9x, f1ma05bi3t1hfbflylx5d9tyh, 6ehsdxl74v0qtlbjjjbu0r0t1, 1s7qbrynbcv9uw9r5f29oyc5, a21winmltx1h9oiwqtfditkut, e4cwx5r9hrvip371egldkc6ol, 8lta4w1nytggiwnaqv4e5cc0l, bmqg7owjivu1f3grdigkid0b9, awf3x41nsz8m73bhte5wlz6ui, 4ypa8ma678embtagi427eg4id, 9n2nm6smh0txgv2482qbwhixg, azph2f84zhlvg4wd8tleydkdm, yau2ry4oz8da3etdtf5td0id, 9casrbyhvk5woencvp365fnmy, 2rdh9ggkr9iu50esnyv464dsl, cbymienvjkbbvi1rbky74vj3e, 1fsum47fkh62rer9xxe3smctm, 72sbeqsrvv64vwiec51r9g1k9, e05kmeeuc7x55gwhjmxl9ry3u, 1kafgt90durzi0trgasa35nqi, 1i47csjlvcikfs4wixzserend",4157305351,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527475613,2,32,1,0,0,49rkyo4do8uwj06geomw0xr4i,1,0,0,2023-04-02T13:00:48.475Z,2023-04-02T13:00:48Z,4157556773,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527475647,2,32,1,0,0,4klvxyeh3xcus4ongu7c00mgc,1,0,0,2023-04-02T13:00:48.475Z,2023-04-02T21:42:18Z,4157556967,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527475717,3,1,1,0,0,49rkyo4do8uwj06geomw0xr4i,1,50.2,50.1,2023-04-02T13:00:48.487Z,2023-04-02T21:46:35Z,4157557269,212,24.4,4157557277,279,S,4157557273,213,3.3,4159760959,178,,4157557267,141,43.1,4157557263,56,Back,4157557265,140,27.4,,,,240qnsj5nj6l6s3cc618691at,K. Piątek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527475751,4,1,1,0,4,49rkyo4do8uwj06geomw0xr4i,1,27.3,43.7,2023-04-02T13:00:52.607Z,2023-04-02T21:46:38Z,4157557489,213,1.8,4157557481,140,23.5,4157557479,56,Back,4157557483,141,69.3,4159761037,178,,4157557485,212,17.9,,,,,,,2mloh2yrhs60s1uwrfycc2i8l,N. Gyömbér,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527475793,5,1,1,0,6,49rkyo4do8uwj06geomw0xr4i,1,23.7,68.2,2023-04-02T13:00:54.820Z,2023-04-02T21:46:41Z,4157557693,213,5.1,4159761139,178,,4157557685,56,Back,4157557691,212,18.2,4157557687,140,31.0,4157557689,141,43.9,,,,,,,3coml6cxqa86px9up8yy3oz1m,L. Pirola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527475825,6,1,1,0,7,49rkyo4do8uwj06geomw0xr4i,1,31,43.9,2023-04-02T13:00:55.751Z,2023-04-02T21:46:44Z,4159761285,178,,4157557889,56,Back,4157557891,140,33.3,4157557893,141,90.2,4157557897,213,1.5,4157557895,212,31.6,,,,,,,7j0c36u6kk97eur4virjoka8l,T. Vilhena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527475861,7,1,1,0,10,49rkyo4do8uwj06geomw0xr4i,1,33.2,90.2,2023-04-02T13:00:58.481Z,2023-04-02T21:46:46Z,4157558051,212,17.2,4157558047,141,85.4,4157558043,56,Back,4157558055,213,3.3,4157558045,140,17.1,4159761359,178,,,,,,,,b0e6d3zgwzbzysmt9b2ycvf56,D. Bradarić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527475923,8,1,1,0,12,49rkyo4do8uwj06geomw0xr4i,1,17.1,85.4,2023-04-02T13:01:00.497Z,2023-04-02T21:46:56Z,4157558329,141,65.8,4159761757,178,,4157558331,212,19.9,4157558325,56,Back,4157558333,213,3.9,4157558327,140,3.0,,,,,,,3coml6cxqa86px9up8yy3oz1m,L. Pirola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527476009,9,1,1,0,15,49rkyo4do8uwj06geomw0xr4i,1,2.5,66.3,2023-04-02T13:01:03.760Z,2023-04-02T21:46:59Z,4157558707,141,94.5,4157558699,56,Back,4157558703,140,28.0,4157558711,213,0.6,4157558697,155,,4159761883,178,,4157558709,212,32.9,4157558713,1,,2luxnwcabb7msig7odfq5p5g5,G. Ochoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527476027,10,1,1,0,17,49rkyo4do8uwj06geomw0xr4i,0,28,94.5,2023-04-02T13:01:06.180Z,2023-04-02T21:47:18Z,4157558807,141,97.7,4159762625,388,,4157558803,56,Back,4157558805,140,36.8,4157558801,168,,4157558811,212,9.5,4157558799,3,,4157558815,213,0.2,7pg1pu4ptby6hi0rp29hv4jxl,L. Coulibaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527476067,3,8,1,0,19,4klvxyeh3xcus4ongu7c00mgc,1,56.6,3.8,2023-04-02T13:01:07.976Z,2023-04-02T21:47:23Z,4159762839,178,,4157559003,56,Right,4158817755,385,,4157559041,15,,,,,,,,,,,,,,6sejjyqssbr3olctm9nkq2v9x,M. Caldara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527476113,4,5,1,0,20,4klvxyeh3xcus4ongu7c00mgc,0,60.8,-1.7,2023-04-02T13:01:08.801Z,2023-04-02T21:47:27Z,4157559193,347,,4157559189,56,Right,4157559499,233,11,,,,,,,,,,,,,,,,6sejjyqssbr3olctm9nkq2v9x,M. Caldara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527476153,11,5,1,0,20,49rkyo4do8uwj06geomw0xr4i,1,39.2,101.7,2023-04-02T13:01:08.801Z,2023-04-02T21:47:26Z,4157559417,233,4,4157559391,56,Back,4157559393,347,,,,,,,,,,,,,,,,,7pg1pu4ptby6hi0rp29hv4jxl,L. Coulibaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527476319,12,1,1,0,29,49rkyo4do8uwj06geomw0xr4i,1,36.6,100,2023-04-02T13:01:18.253Z,2023-04-02T21:47:29Z,4157560277,107,,4157560283,141,91.5,4157560287,213,3.6,4157560285,212,16.0,4157560281,140,22.8,4157560279,56,Back,,,,,,,b0e6d3zgwzbzysmt9b2ycvf56,D. Bradarić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527476503,13,1,1,0,32,49rkyo4do8uwj06geomw0xr4i,1,22.8,91.5,2023-04-02T13:01:20.836Z,2023-04-02T21:47:32Z,4159763099,178,,4157561191,56,Back,4157561195,141,46.7,4157561197,212,31.8,4157561193,140,14.2,4157561199,213,4.4,,,,,,,3coml6cxqa86px9up8yy3oz1m,L. Pirola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527476575,14,1,1,0,39,49rkyo4do8uwj06geomw0xr4i,1,14,46.7,2023-04-02T13:01:27.986Z,2023-04-02T21:47:36Z,4159763295,178,,4157561547,56,Center,4157561555,213,0.2,4157561553,212,44.1,4157561545,155,,4157561557,1,,4157561551,141,56.4,4157561549,140,55.5,2luxnwcabb7msig7odfq5p5g5,G. Ochoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527476581,15,44,1,0,42,49rkyo4do8uwj06geomw0xr4i,1,57,53.8,2023-04-02T13:01:30.855Z,2023-04-03T00:44:42Z,4157561855,233,5,4157561617,286,,4157561615,56,Center,,,,,,,,,,,,,,,,240qnsj5nj6l6s3cc618691at,K. Piątek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527476609,5,44,1,0,42,4klvxyeh3xcus4ongu7c00mgc,0,43,46.2,2023-04-02T13:01:30.856Z,2023-04-02T21:47:41Z,4157561899,233,15,4157561765,285,,4157561763,56,Back,,,,,,,,,,,,,,,,6n7sw8r0fhcoa8hfuxrtm96tx,A. Ekdal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527476595,16,1,1,0,42,49rkyo4do8uwj06geomw0xr4i,0,55.8,55.8,2023-04-02T13:01:30.885Z,2023-04-03T00:44:43Z,4157561691,141,59.9,4157561683,3,,4157561687,56,Center,4157561685,168,,4159763667,388,,4157561695,213,0.2,4157561693,212,17.1,4157561689,140,71.9,240qnsj5nj6l6s3cc618691at,K. Piątek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527476643,6,49,1,0,43,4klvxyeh3xcus4ongu7c00mgc,1,26.5,43,2023-04-02T13:01:32.047Z,2023-04-02T21:47:49Z,,,,,,,,,,,,,,,,,,,,,,,,,6sejjyqssbr3olctm9nkq2v9x,M. Caldara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527476773,7,1,1,0,43,4klvxyeh3xcus4ongu7c00mgc,0,26.4,42.7,2023-04-02T13:01:32.090Z,2023-04-02T21:47:55Z,4157562607,140,44.3,4157562603,56,Back,4157562611,212,20.0,4159763969,178,,4157562615,213,5.9,4157562609,141,32.6,4157748739,155,,,,,6sejjyqssbr3olctm9nkq2v9x,M. Caldara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527898465,879,67,1,0,46,49rkyo4do8uwj06geomw0xr4i,1,54.8,68.8,2023-04-02T13:01:34.507Z,2023-04-03T00:44:43Z,4159799217,233,894,,,,,,,,,,,,,,,,,,,,,,7pg1pu4ptby6hi0rp29hv4jxl,L. Coulibaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527898463,894,67,1,0,46,4klvxyeh3xcus4ongu7c00mgc,0,45.2,31.2,2023-04-02T13:01:34.508Z,2023-04-02T22:09:24Z,4159799231,233,879,,,,,,,,,,,,,,,,,,,,,,6ehsdxl74v0qtlbjjjbu0r0t1,M. Bourabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527476699,17,61,1,0,46,49rkyo4do8uwj06geomw0xr4i,0,65.2,67.5,2023-04-02T13:01:34.524Z,2023-04-03T00:44:43Z,4159764319,388,,4157562235,56,Center,,,,,,,,,,,,,,,,,,,7pg1pu4ptby6hi0rp29hv4jxl,L. Coulibaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527476821,8,1,1,0,51,4klvxyeh3xcus4ongu7c00mgc,1,46.2,15.5,2023-04-02T13:01:39.554Z,2023-04-02T21:48:08Z,4157562869,213,3.8,4157562865,141,2.9,4157562863,140,34.6,4157562867,212,14.9,4159764395,178,,4157562861,56,Back,,,,,,,6ehsdxl74v0qtlbjjjbu0r0t1,M. Bourabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527476831,9,1,1,0,52,4klvxyeh3xcus4ongu7c00mgc,0,41.5,5.2,2023-04-02T13:01:41.365Z,2023-04-02T21:48:12Z,4157562917,155,,4159764535,178,,4157562929,1,,4157562923,141,18.2,4157562919,56,Right,4157562927,213,0.3,4157562925,212,34.2,4157562921,140,73.0,2s9ko6yxyi95jybzguru8g3bp,K. Amian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527476913,18,1,1,0,54,49rkyo4do8uwj06geomw0xr4i,0,25.5,74.2,2023-04-02T13:01:43.117Z,2023-04-02T21:48:15Z,4157563355,56,Back,4157563353,3,,4157563357,140,41.9,4157563373,213,6.1,4157563367,212,17.5,4157563359,141,69.7,4159764653,178,,,,,3coml6cxqa86px9up8yy3oz1m,L. Pirola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527476943,10,44,1,0,56,4klvxyeh3xcus4ongu7c00mgc,1,56.8,31.1,2023-04-02T13:01:44.765Z,2023-04-03T00:44:44Z,4157563547,233,19,4157563537,286,,4157563535,56,Center,,,,,,,,,,,,,,,,6n7sw8r0fhcoa8hfuxrtm96tx,A. Ekdal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527476925,19,44,1,0,56,49rkyo4do8uwj06geomw0xr4i,0,43.2,68.9,2023-04-02T13:01:44.766Z,2023-04-02T21:48:19Z,4157563393,285,,4157563591,233,10,4157563391,56,Back,,,,,,,,,,,,,,,,c9shobonlrg7guoyb3iwnwdsl,A. Candreva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527476971,11,1,1,0,56,4klvxyeh3xcus4ongu7c00mgc,1,55.4,31.9,2023-04-02T13:01:44.838Z,2023-04-03T00:44:44Z,4157563683,141,36.7,4157563687,213,0.1,4157563685,212,25.8,4159764887,388,,4157563681,140,79.8,4157563679,56,Center,4157563677,3,,,,,6n7sw8r0fhcoa8hfuxrtm96tx,A. Ekdal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527476973,12,61,1,0,58,4klvxyeh3xcus4ongu7c00mgc,0,79.7,36.7,2023-04-02T13:01:47.221Z,2023-04-02T21:48:29Z,4157563693,56,Center,4159765229,178,,,,,,,,,,,,,,,,,,,,a21winmltx1h9oiwqtfditkut,E. Shomurodov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527476983,20,52,1,1,6,49rkyo4do8uwj06geomw0xr4i,1,9.1,55.4,2023-04-02T13:01:54.631Z,2023-04-02T21:48:34Z,4159765547,178,,4158828617,376,,,,,,,,,,,,,,,,,,,,2luxnwcabb7msig7odfq5p5g5,G. Ochoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527477287,21,1,1,1,15,49rkyo4do8uwj06geomw0xr4i,1,5.6,46,2023-04-02T13:02:04.008Z,2023-04-02T21:48:38Z,4157917161,123,,4157917179,213,5.3,4157917165,56,Back,4157917175,212,8.8,4159765775,178,,4157917169,140,10.3,4157917173,141,35.3,4157917339,189,,2luxnwcabb7msig7odfq5p5g5,G. Ochoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
