id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/9/value,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2472162839,1,34,16,0,0,7gnly6999wao1xarwct4p8fe9,1,0,0,2022-10-15T14:55:07.476Z,2022-10-15T16:16:43Z,3844962421,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3845555313,194,9ak3zczupeken1itsmkherbh1,3844962415,59,"32, 34, 19, 13, 3, 26, 10, 77, 16, 59, 49, 1, 2, 4, 6, 7, 11, 14, 17, 21, 23, 27, 28, 36, 89",3844962419,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3845555315,197,593,3844962413,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3844962411,30,"5syage212151fcixahbq3k8ut, 7zokstl625tj96c64ow4uvjyt, 866f0f7taqhae91o3cjnnx0ph, 9ak3zczupeken1itsmkherbh1, 2j09251upkf2aid3lfyyos0dl, 8z1ukxgc8mxiyw9udbpwr4ct1, cdrzpuj49ploquvdolgh5c3bp, 6ol411t0mogw6m83heiqd0m39, ebgkv548xih19m8uza7bgrvmd, 5wdqva17qr5j2kqbmfi9o91x, 1tztnrv51q99ewl193qk526z9, 42p4op3tm9umpwxyxde5xjefp, 21p37y6mra4u9kcg35z5dm4q2, 22x1ucwwak58wi6r5x1j6ohk9, 7oz324ar8tp6nkd934y096q22, ez8vzwaf7iuiv2ceetiwg6ymt, ds0ka65ypjubtgp60kupc7dnt, 8vom3bt6es2kp5sdl98az6gwk, f065kc6qn2cpxjxcm6i08rz3e, 43rid94d7jz7u5ba4xzb8bbe2, a2rjxibqk9d2yatzz2dx04nx0, 16kv5p8we3pwqpt5ktwrb7mj9, e2oeysariwd866ksilu3t4m7e, cjff8fu812lennnunqljgddnu, 7p19t0mn8cq7xum09nv2u2lt5",3844962417,130,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472165255,1,34,16,0,0,bqbbqm98ud8obe45ds9ohgyrd,1,0,0,2022-10-15T14:58:08.078Z,2022-10-15T15:57:30Z,3845552593,194,pconfrmsdy9aikioqz9s9lg5,3845552595,197,71,3844975183,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3844975181,30,"6ofu6yc2qwp5ii9cerdq1tk9h, pconfrmsdy9aikioqz9s9lg5, 555z9bynvux7oruirg67r8i51, 2raf0uw5y2kajde0v60l4g1qt, d196vatyvq6ycn1q7d477d2i1, 8yv9xuzriaecvvssfm8dlmz85, 288nn7pbq5ewriiyb9o7da86h, 2nddcty9qris2mmeldon0ogd1, 3zqpvn7r1c779l9vwwh7yukfd, 3ua8gs8tzx1dkdi9z88kjk9nt, ahz2npxe4geixkaz25f2pc82d, 35r56n0i4sbdh7n5arbt7db6d, cv46mxj5i98p4hgtbomxlxs7o, 3nnjep6bxxb6xwhanvqvjt39x, bjob8tftnxojnytcj7juo0ga2, 8rlf5vjyddkcid5ysa3yo7hlh, bh3b7e2qzh41dltd6h2obpln9, erwh25hbq259kqdirfufnbcb8, apdtqouzo9b02ozdxk8mx4zbp, 3o573dblmfc1o3wkkt2nva8k5, 9p621hq50jdkujzy4309sagkq, 418gw0hpjoy8dt0ywaxjgm5pm",3844975197,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3844975195,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3844975191,130,12,3844975187,59,"1, 11, 17, 12, 3, 6, 8, 25, 18, 9, 5, 14, 15, 19, 20, 23, 24, 30, 32, 36, 43, 44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472276497,2,32,1,0,0,bqbbqm98ud8obe45ds9ohgyrd,1,0,0,2022-10-15T16:01:30.593Z,2022-10-15T16:01:30Z,3845568351,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472276509,2,32,1,0,0,7gnly6999wao1xarwct4p8fe9,1,0,0,2022-10-15T16:01:30.593Z,2022-10-16T00:02:14Z,3845568407,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472276537,3,1,1,0,0,bqbbqm98ud8obe45ds9ohgyrd,1,49.9,49.9,2022-10-15T16:01:30.631Z,2022-10-16T00:11:02Z,3845568537,279,S,3847225923,178,,3845568535,213,3.2,3845568531,141,48.8,3845568533,212,15.0,3845568529,140,35.6,3845568527,56,Back,,,,3ua8gs8tzx1dkdi9z88kjk9nt,D. Vlahović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472276573,4,1,1,0,1,bqbbqm98ud8obe45ds9ohgyrd,1,35.9,49.7,2022-10-15T16:01:32.473Z,2022-10-16T00:11:06Z,3845568785,212,15.1,3845568779,56,Back,3845568781,140,30.8,3845568783,141,70.4,3845568787,213,1.9,3847226111,178,,,,,,,,ahz2npxe4geixkaz25f2pc82d,M. Locatelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472276587,5,1,1,0,5,bqbbqm98ud8obe45ds9ohgyrd,0,32.2,71.9,2022-10-15T16:01:36.129Z,2022-10-16T00:11:17Z,3845568893,1,,3845568877,155,,3845568883,141,67.4,3845568881,140,72.6,3845568879,56,Center,3845568889,213,6.2,3845568885,212,42.5,3847226591,178,,2raf0uw5y2kajde0v60l4g1qt,Alex Sandro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472276619,3,1,1,0,7,7gnly6999wao1xarwct4p8fe9,1,24.9,29.8,2022-10-15T16:01:38.121Z,2022-10-16T00:11:30Z,3845569087,213,0.4,3845569085,212,12.9,3847227311,178,,3845569067,141,36.7,3845569065,140,36.3,3845569061,3,,3845569063,56,Back,,,,2j09251upkf2aid3lfyyos0dl,P. Schuurs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472276629,5,49,1,0,9,7gnly6999wao1xarwct4p8fe9,1,37.1,36.4,2022-10-15T16:01:39.635Z,2022-10-16T00:11:37Z,,,,,,,,,,,,,,,,,,,,,,,,,6ol411t0mogw6m83heiqd0m39,K. Linetty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472276625,4,43,1,0,9,7gnly6999wao1xarwct4p8fe9,1,0,0,2022-10-15T16:01:40.425Z,2022-10-15T16:02:01Z,3845569105,155,0,3845569109,140,37.1,3845569107,56,Back,3845570941,144,1,3845569115,213,0,3845569111,141,36.4,3845569113,212,0,,,,6ol411t0mogw6m83heiqd0m39,K. Linetty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
