id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,keyPass,qualifier/16/value,qualifier/13/value,qualifier/12/value,qualifier/15/value,assist
2504897887,1,34,16,0,0,8w89tsles26jm12aoelwvlttt,1,0,0,2023-02-06T15:12:06.649Z,2023-02-06T15:12:06Z,4017367935,30,"32sqctjujedqsab4xwy1pwlbd, 4k2uxd5rl1u8ctyxh3d765fqh, 9j8icoctjp1icwle91r62q76x, 3nwvlft28lt3fiirchylvwtm1, 1vfuzp09s9oj95ruav4ln9ch6, 9r28zj6fz3z8dzojktwambsut, am8ws7w5mpzvbnb8bvvztbpwp, 8uch2zjj8vxmfi2l544j5ipxx, 2uids8ea8jv4r62psqj37x3e2, bhtwzoyaqug2p0ezr7c6wxuui, s2phyy6eoysnxu96rw2ivnx1, 6evqqxq5e0y1uvigg6bss4frp, 9qeg65oa5skmypxvt73vckfrp, 9mgcugydtvdr5wk7qii9wpd2i, 7wgynxj11urhizi5r3girip2i, 8bx76kurepj0yqe9iixa0zyp6, enjlm4kjscxmu04a1tz7vo3fu, 12zn29b1dqhexzrkvm43yuiac",4017367941,130,8,4017367945,194,8uch2zjj8vxmfi2l544j5ipxx,4017367949,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4017367937,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4017367939,59,"1, 2, 21, 42, 4, 33, 12, 6, 10, 28, 24, 9, 14, 16, 20, 22, 23, 29",4017367943,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4017367947,197,2084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504898055,1,34,16,0,0,5pfqedkme2kabtqhkln35pf3l,1,0,0,2023-02-06T15:12:51.997Z,2023-02-06T16:48:44Z,4017368903,30,"6axta520v9f4z56hctbq3a4mh, c651trgr0pihuppxxd31z6go9, f0sa0skucdf742t06hsmi8ne2, 3pxdg41xbkbajeuxovusa2v9x, c4hif6j7tldh0w7oeq8v9pcve, 6wax1hh875vpvfi1fbetwmtey, bdquc37ytagmw19zgrehnryz9, 6q5iqhaxdzqhj3jt0eptjvbv9, 5pafzbbuucga9ut20l6ckj7u2, fjnzx6b57qsj6o7hdm6r0mhh, 9s6ec1a12gozqwjlsyo7y8gr9, 9jj7t00bb5zflz78nlz3bvllg, dz04k2zt87y78ku9g14sxm21h, bgly2zwf7qro0phmd6hkry6ll, f4qyrav5wfp55jyprdoq1upcl, ct9ifm9mk702lkhhmlf12nlxx, ejmi6qqszz1509excckyj3n1m, ah31ge07jvte4y161aut0uthx",4017368907,59,"35, 28, 3, 8, 5, 2, 10, 6, 40, 15, 7, 22, 9, 18, 19, 23, 30, 32",4017368909,130,5,4017368911,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4017368915,197,4819,4017368905,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4017368913,194,fjnzx6b57qsj6o7hdm6r0mhh,4017368917,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504899943,2,32,1,0,0,8w89tsles26jm12aoelwvlttt,1,0,0,2023-02-06T15:22:58.309Z,2023-02-06T15:22:58Z,4017380129,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504899947,2,32,1,0,0,5pfqedkme2kabtqhkln35pf3l,1,0,0,2023-02-06T15:22:58.309Z,2023-02-07T02:45:08Z,4017380161,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504899969,3,1,1,0,0,8w89tsles26jm12aoelwvlttt,1,49.8,49.7,2023-02-06T15:22:58.339Z,2023-02-07T06:46:16Z,4017380361,213,3.8,4017380355,140,34.4,4017380359,212,20.0,4017380363,279,S,4018384093,178,,4017380353,56,Back,4017380357,141,32.4,,,,bhtwzoyaqug2p0ezr7c6wxuui,D. Devoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504899993,4,1,1,0,4,8w89tsles26jm12aoelwvlttt,0,35.2,28.9,2023-02-06T15:23:02.354Z,2023-02-07T06:46:24Z,4017380559,140,85.3,4017380567,1,,4017380563,212,60.5,4017380557,56,Center,4017380565,213,0.5,4018384311,178,,4017380561,141,72.7,4017380555,155,,1vfuzp09s9oj95ruav4ln9ch6,J. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504899995,3,44,1,0,7,5pfqedkme2kabtqhkln35pf3l,1,19,31.2,2023-02-06T15:23:05.749Z,2023-02-07T11:35:51Z,4017380575,285,,4017380585,233,5,4017380573,56,Back,,,,,,,,,,,,,,,,c4hif6j7tldh0w7oeq8v9pcve,J. Quansah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504899997,5,44,1,0,7,8w89tsles26jm12aoelwvlttt,0,81,68.8,2023-02-06T15:23:05.750Z,2023-02-07T06:46:30Z,4017380577,56,Center,4017380579,286,,4017380613,233,3,,,,,,,,,,,,,,,,2uids8ea8jv4r62psqj37x3e2,M. Eisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504900001,4,1,1,0,7,5pfqedkme2kabtqhkln35pf3l,1,23.3,35.2,2023-02-06T15:23:05.764Z,2023-02-07T11:35:51Z,4017380599,140,32.4,4017380601,141,23.3,4017380605,213,5.6,4018384429,388,,4017380597,56,Back,4017380603,212,12.5,4017380595,3,,,,,c4hif6j7tldh0w7oeq8v9pcve,J. Quansah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504900041,5,4,1,0,8,5pfqedkme2kabtqhkln35pf3l,1,25,26.7,2023-02-06T15:23:06.533Z,2023-02-07T06:46:39Z,4017380923,13,,4017380927,152,,4017380925,56,Back,4017481317,233,6,4017381097,294,,4017380931,285,,,,,,,,bdquc37ytagmw19zgrehnryz9,A. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
