id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,assist,qualifier/12/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/15/value,qualifier/16/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2473603363,1,34,16,0,0,2ezfenuwk3y65p8jdbj55xqt0,1,0,0,2022-10-17T18:15:01.333Z,2022-10-17T19:00:57Z,3852566045,130,2,3852566039,30,"46q465awyk7ndr9faq83vmuw9, dsvr61cfalun7n0y262elcrth, 56g3fffeygobuei72gnkm9a09, egr5n9jynbg3llc2tn2g5ncnp, 2r6gxw9yjxvaplv70ftq7wout, 949hjt6noiqcg888992n2961h, ald5oocxwh4pip8fw6v3ym8h6, 6a08s0d0sgt7iw37spmo4bro5, 1uqgky0sxqjs8bqd2h75rnmjt, 74p53a79q1tlis3a3gladqor9, 4qrvri86m93wpyugq0zq4aaqx, effzy3ttltffcz92a3ro4woa, b6ctnwazqrxkw1639gn3vbahh, biwjsmk8ytz2k4d9f141jw15h, evb6gpvuutmnisv9d12gs0xcl, 6m0h2e4kygi2hx6nf9b24cv6d, 9z75i0zrgtuumyixz8dl9ysbt, 4hgji0bnqpsqezk5ctxq3ggh6",3852566041,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3852566047,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3852566053,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3852566049,194,74p53a79q1tlis3a3gladqor9,3852566051,197,4825,3852566043,59,"1, 18, 2, 4, 24, 6, 17, 21, 14, 9, 23, 10, 12, 13, 19, 22, 28, 43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473603359,1,34,16,0,0,80jtkz2echk6yyyb9e2595cxr,1,0,0,2022-10-17T18:15:01.532Z,2022-10-17T18:15:01Z,3852566025,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3852566021,194,f1g68yocf85lxkf17pt2j7v85,3852566013,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3852566019,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3852566011,30,"8xyeap5blm4g6swv05g95aesq, 541yhibvfn0fv2izdfudm7651, f1g68yocf85lxkf17pt2j7v85, dypefa5ubw9m9xefxdd4365lh, cn988bjn09tb806b05wgp7ys5, asy3qn4557iy3r55yl4v9xj9x, eswokn90i34kdbfvax0y7365l, dlfoufhh8dc14s10vnbjrfvmd, 33h8s55zcj0j535g2dyz9tnqi, 6d9maq3oecwobp2t2220vf4r9, 307tfvtl56s1rf61x8kjevjzd, dfpogkmamlohb4ta3q5ehecq1, 41cihaqh4lxje5nx17g0rbgt1, 6m5uypsr6dj6l74khrez38355, 2iy84h1v8wt8l6prv701uohk9, c23tcl4dl40wu4i8vntbv0tm1, dgl4fbdrmolqgg0xzejl7ve8l, 610hp1px6mp6lbyube9b0swrt",3852566023,197,16276,3852566017,130,2,3852566015,59,"1, 6, 4, 7, 20, 28, 15, 16, 19, 9, 27, 2, 10, 11, 18, 21, 24, 25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473617005,2,32,1,0,0,80jtkz2echk6yyyb9e2595cxr,1,0,0,2022-10-17T19:00:42.745Z,2022-10-17T19:00:42Z,3852643621,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473617007,2,32,1,0,0,2ezfenuwk3y65p8jdbj55xqt0,1,0,0,2022-10-17T19:00:42.745Z,2022-10-19T22:18:24Z,3852643625,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473617021,3,1,1,0,0,80jtkz2echk6yyyb9e2595cxr,1,50,50,2022-10-17T19:00:42.755Z,2022-10-20T05:35:12Z,3852643739,213,3.0,3852643741,279,S,3852643727,56,Back,3852643735,141,55.1,3857397117,178,,3852643737,212,19.0,3852643731,140,32.2,,,,33h8s55zcj0j535g2dyz9tnqi,D. Scarlett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473617035,4,1,1,0,1,80jtkz2echk6yyyb9e2595cxr,1,33.7,56.4,2022-10-17T19:00:44.401Z,2022-10-20T05:35:17Z,3857397173,178,,3852643811,141,72.9,3852643807,56,Center,3852643815,213,0.5,3852643813,212,24.7,3852643809,140,54.7,,,,,,,dypefa5ubw9m9xefxdd4365lh,M. Pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473617051,5,1,1,0,4,80jtkz2echk6yyyb9e2595cxr,1,57,77.8,2022-10-17T19:00:46.944Z,2022-10-20T05:35:22Z,3857397233,178,,3852643897,141,84.8,3852643901,213,0.4,3852643895,140,68.0,3852643899,212,12.5,3852643893,56,Left,,,,,,,307tfvtl56s1rf61x8kjevjzd,J. Koroma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474567669,1298,83,1,0,6,2ezfenuwk3y65p8jdbj55xqt0,1,33.1,7.1,2022-10-17T19:00:49.733Z,2022-10-20T09:56:30Z,3857672211,399,490145,,,,,,,,,,,,,,,,,,,,,,dsvr61cfalun7n0y262elcrth,M. Egbo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473617061,6,1,1,0,9,80jtkz2echk6yyyb9e2595cxr,1,62.8,91.7,2022-10-17T19:00:51.939Z,2022-10-20T05:35:26Z,3857397265,178,,3852643971,213,3.5,3852643963,56,Back,3852643969,212,32.9,3852643967,141,72.9,3852643965,140,33.9,3852643973,1,,,,,33h8s55zcj0j535g2dyz9tnqi,D. Scarlett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473617107,8,1,1,0,11,80jtkz2echk6yyyb9e2595cxr,1,36.8,66.4,2022-10-17T19:00:54.615Z,2022-10-20T05:35:29Z,3852644235,56,Back,3852644237,140,38.0,3852644243,213,4.8,3852644239,141,34.0,3852644241,212,22.1,3857397309,178,,,,,,,,cn988bjn09tb806b05wgp7ys5,S. Raggett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
