id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/12/value,qualifier/14/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2511933735,1,34,16,0,0,dv9l02o316cd9hbkxaho2u12f,1,0,0,2023-02-25T14:15:04.879Z,2023-02-25T15:28:17Z,4054459807,194,35f2se8cf2zmpxl45zulorpat,4054459803,130,18,4054459809,197,16180,4054459799,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4054459797,30,"8hiqkrsoskyhhoc0n0wp7lql1, 56zd7s72x7izgeiybmmgc8acq, dj5ho4am5u4ew23hchm4g549h, eg2xijdgtcaa44x57pjezy3ft, 35f2se8cf2zmpxl45zulorpat, 4qg1mpymeaajx8gu7jycw5wph, enfxh6b65c9hx1rs0scszi2y2, ec2bbo1w8byyuk15u9xrbzmqd, 3j78tgfptah530cydckvfsauh, adfgsbp3tv9wgatujcr9mfuju, 81d38h08s97e8kl7kxew6si5l, 7qnu4sb2a2vj7nw8gkvv1pxw5, awx668jrec0gnqk5gyg7o0oyy, 2nvu4o5lbowvig5ddb4563n8q, 3swij7ntrn9x9voc9clilgmvp, 5w3e46d2oh5wzrizfi9rdgwoa, 34ur42uwxdk48v051z05no9gp, f4p7kokn0a6epac4icy01l9lh",4054459811,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4054459801,59,"33, 12, 7, 5, 14, 26, 16, 29, 8, 9, 10, 2, 11, 15, 18, 21, 23, 27",4054459805,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511933737,1,34,16,0,0,dmz37633qbsvl7gncq5s51yjw,1,0,0,2023-02-25T14:15:05.053Z,2023-02-25T14:22:26Z,4054459845,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4054459841,194,e3ff2af2lxs0rl8c4r5ns4wd1,4054459831,30,"3j589r3jhjkgpxxopsfit7aad, 58yhuku61yc06xpc55v5cdtec, 2oqi7v6d676hbe9i9agdl9ckp, 9c3iyi7y3hdraso115kxmd87p, 6s4sb4st1ploeraxawlckr4r9, asy3qn4557iy3r55yl4v9xj9x, b6ctnwazqrxkw1639gn3vbahh, e3ff2af2lxs0rl8c4r5ns4wd1, 7b7ca1dklnp7reqcs5s4aauei, aral6zvx8qxkfqkqwb7ldfk5x, 5kyyaapya2gv5awlfgckmwpux, 61aryp2zoj2ymcd318t9i70lx, 2tu177su3bplnt4ru7bn3vsh5, 9mshr96m8q37ng7w30rvhkl3p, bkpr0uwpx5kbu2ms41uxoljah, 4lws9jepuxzs33zbt3w1ff9ih, 886i2kpcsn38tt7wqios1ip5, 2u4m2ja4yhgtqjgwns2om5y7e",4054459835,59,"1, 28, 7, 6, 21, 23, 24, 4, 14, 9, 10, 2, 3, 8, 15, 18, 25, 27",4054459843,197,17032,4054459839,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4054459833,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4054459837,130,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511977985,2,32,1,0,0,dmz37633qbsvl7gncq5s51yjw,1,0,0,2023-02-25T15:01:13.475Z,2023-02-25T15:01:13Z,4054677337,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511978001,2,32,1,0,0,dv9l02o316cd9hbkxaho2u12f,1,0,0,2023-02-25T15:01:13.475Z,2023-02-27T19:23:10Z,4054677413,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511978097,3,1,1,0,0,dmz37633qbsvl7gncq5s51yjw,1,50.1,50.3,2023-02-25T15:01:13.495Z,2023-02-28T01:57:23Z,4062762837,178,,4054677847,140,24.4,4054677853,213,3.2,4054677849,141,48.7,4054677855,279,S,4054677845,56,Back,4054677851,212,27.0,,,,5kyyaapya2gv5awlfgckmwpux,S. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511978191,4,1,1,0,2,dmz37633qbsvl7gncq5s51yjw,0,24.4,48.7,2023-02-25T15:01:15.848Z,2023-02-28T01:57:26Z,4054678281,157,,4054678301,213,0.6,4054678299,212,60.8,4054678293,141,100.0,4054678291,140,70.9,4062762853,178,,4054678303,1,,4054678287,56,Left,3j589r3jhjkgpxxopsfit7aad,D. Mitov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511978701,3,5,1,0,5,dv9l02o316cd9hbkxaho2u12f,1,29.3,-2,2023-02-25T15:01:19.442Z,2023-02-28T01:57:33Z,4054680757,233,5,4054680711,347,,4054680709,56,Back,,,,,,,,,,,,,,,,81d38h08s97e8kl7kxew6si5l,S. Nombe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511978195,5,5,1,0,5,dmz37633qbsvl7gncq5s51yjw,0,70.7,102,2023-02-25T15:01:19.442Z,2023-02-28T01:57:34Z,4054680773,233,3,4054678315,56,Left,4054678317,347,,,,,,,,,,,,,,,,,3j589r3jhjkgpxxopsfit7aad,D. Mitov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511978869,4,1,1,0,23,dv9l02o316cd9hbkxaho2u12f,0,28.7,0,2023-02-25T15:01:37.325Z,2023-02-28T01:57:37Z,4054681387,213,0.2,4054681383,141,6.2,4054681391,1,,4054681377,107,,4054681379,56,Right,4054681385,212,27.9,4054681381,140,54.7,,,,4qg1mpymeaajx8gu7jycw5wph,P. Sweeney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511978911,6,44,1,0,25,dmz37633qbsvl7gncq5s51yjw,1,46.1,94.2,2023-02-25T15:01:39.059Z,2023-02-28T11:46:13Z,4054681543,56,Back,4054681623,233,5,4054681545,285,,,,,,,,,,,,,,,,,9c3iyi7y3hdraso115kxmd87p,L. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
