id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/9/value,keyPass,qualifier/11/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value
2488731977,1,34,16,0,0,dmz37633qbsvl7gncq5s51yjw,1,0,0,2022-12-03T12:09:15.448Z,2022-12-03T12:17:07Z,3932177473,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3932177461,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3932177469,194,e3ff2af2lxs0rl8c4r5ns4wd1,3932177457,30,"886i2kpcsn38tt7wqios1ip5, 61aryp2zoj2ymcd318t9i70lx, 8x2yublirj5430deybqft0xxx, 2u4m2ja4yhgtqjgwns2om5y7e, bkpr0uwpx5kbu2ms41uxoljah, 9c3iyi7y3hdraso115kxmd87p, b3cehdu46pljqap9xw1j7pcyx, e3ff2af2lxs0rl8c4r5ns4wd1, aral6zvx8qxkfqkqwb7ldfk5x, 4lws9jepuxzs33zbt3w1ff9ih, 2oqi7v6d676hbe9i9agdl9ckp, 6fd57izyk7hteztf9lnd1a6l1, 5kyyaapya2gv5awlfgckmwpux, 7xt0zamdkelc77pnx0hwgmeei, 7b7ca1dklnp7reqcs5s4aauei, 9i7xyx5fmckuay7m5lat0xvmy, 6zl8z33wsnss7q7p8ybh19n56, 68emhvrwqi5m0q155ww2bzn1m",3932177463,59,"25, 2, 11, 27, 15, 6, 26, 4, 9, 18, 7, 5, 10, 13, 14, 16, 17, 22",3932177465,130,8,3932177467,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3932177471,197,17032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488734177,1,34,16,0,0,17zuelixesst1z59fwcix2dil,1,0,0,2022-12-03T12:14:14.705Z,2022-12-03T12:14:14Z,3932189797,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3932189803,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3932189793,59,"1, 2, 11, 6, 15, 5, 7, 4, 25, 17, 28, 8, 10, 14, 18, 21, 24, 27",3932189795,130,18,3932189799,194,2hwlmul5bz8qcxt75954ujiz9,3932189791,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3932189801,197,16115,3932189789,30,"535ecbyyd28elesvxtvbxurpx, 5kg7eu8b1wktru5ohpid8e9qt, 91mshvbc4rk9cf0chhgukakiy, 5vi8t2fffmk5kjfukazcmyo5x, 2hwlmul5bz8qcxt75954ujiz9, 3dy32ujo7srhl6rq7vb9e97xm, c3a6jpeg16b9zn02uf1yf9cyx, cwimbfv671qph6cxdcl32elzp, 43knl3z17afypz27sz4qzkxnu, cqgg8fu39fn7k9blog2zjpk2x, 2r64ekro7ydonu8jg7s12xyei, 693vankfkq50hufuwcz7hu8r9, ekcfj2t6pzdz36uzpw9q6c7vt, 8rjkn8s6e4s60167zdyukj9w5, 88ltcmthybimleezmuyyrmqga, cjko3mlflwj59pxh7zma03bh1, dirgn9z2tdz1603md8x3dni6t, 67xd8llko9zszuwg63ffopje2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488760533,2,32,1,0,0,17zuelixesst1z59fwcix2dil,1,0,0,2022-12-03T12:59:42.412Z,2022-12-05T23:48:07Z,3932331133,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488760539,2,32,1,0,0,dmz37633qbsvl7gncq5s51yjw,1,0,0,2022-12-03T12:59:42.412Z,2022-12-03T12:59:45Z,3932331161,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488760557,3,1,1,0,0,17zuelixesst1z59fwcix2dil,1,50,50,2022-12-03T12:59:42.495Z,2022-12-06T00:56:46Z,3932331277,279,S,3932331269,140,28.0,3935646763,178,,3932331273,212,23.4,3932331275,213,3.3,3932331267,56,Back,3932331271,141,44.5,,,,43knl3z17afypz27sz4qzkxnu,M. Peart-Harris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488760583,4,1,1,0,2,17zuelixesst1z59fwcix2dil,0,29.1,48.2,2022-12-03T12:59:45.089Z,2022-12-06T00:56:51Z,3932331437,56,Right,3932331441,141,0.0,3932331435,155,,3932331447,1,,3932331439,140,72.1,3932331443,212,56.4,3932331445,213,5.6,3935646781,178,,2hwlmul5bz8qcxt75954ujiz9,J. Moore-Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488760665,3,5,1,0,6,dmz37633qbsvl7gncq5s51yjw,1,25.9,101.4,2022-12-03T12:59:48.660Z,2022-12-06T00:56:57Z,3932331993,56,Back,3932331995,347,,3932331997,233,5,,,,,,,,,,,,,,,,9c3iyi7y3hdraso115kxmd87p,L. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488760585,5,5,1,0,6,17zuelixesst1z59fwcix2dil,0,74.1,-1.4,2022-12-03T12:59:48.660Z,2022-12-06T00:56:58Z,3932331455,56,Right,3932332013,233,3,3932331457,347,,,,,,,,,,,,,,,,,2hwlmul5bz8qcxt75954ujiz9,J. Moore-Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488760709,4,1,1,0,17,dmz37633qbsvl7gncq5s51yjw,0,25.2,100,2022-12-03T12:59:59.953Z,2022-12-06T00:57:03Z,3932332233,212,24.9,3932332235,213,6.1,3932332229,140,48.4,3932332237,1,,3932332227,56,Back,3932332225,107,,3932332231,141,93.3,,,,8x2yublirj5430deybqft0xxx,H. Dunk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488760741,6,1,1,0,20,17zuelixesst1z59fwcix2dil,0,42,3.8,2022-12-03T13:00:02.479Z,2022-12-06T00:57:12Z,3935646791,388,,3932332417,141,11.3,3932332421,212,19.7,3932332415,140,60.1,3932332413,56,Right,3932332411,3,,3932332425,213,0.3,,,,3dy32ujo7srhl6rq7vb9e97xm,O. Casey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488760767,5,1,1,0,22,dmz37633qbsvl7gncq5s51yjw,0,45.5,91.2,2022-12-03T13:00:04.496Z,2022-12-06T00:57:26Z,3932332547,3,,3935646801,388,,3932332551,140,63.3,3932332555,212,18.8,3932332553,141,94.5,3932332549,56,Left,3932332557,213,0.1,,,,2u4m2ja4yhgtqjgwns2om5y7e,B. Worman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488760857,7,1,1,0,24,17zuelixesst1z59fwcix2dil,1,34.6,4.1,2022-12-03T13:00:07.112Z,2022-12-06T00:57:36Z,3935646811,178,,3932332901,56,Right,3932332909,212,27.9,3932332911,213,6.3,3932332913,1,,3932332905,140,61.2,3932332897,157,,3932332907,141,3.2,2hwlmul5bz8qcxt75954ujiz9,J. Moore-Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488760863,8,4,1,0,27,17zuelixesst1z59fwcix2dil,1,59.5,3.9,2022-12-03T13:00:09.979Z,2022-12-06T00:57:45Z,3932332947,286,,3932333013,233,6,3932332945,152,,3932332941,56,Right,3932332937,294,,3932332935,13,,,,,,,,2r64ekro7ydonu8jg7s12xyei,J. March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488760869,6,4,1,0,27,dmz37633qbsvl7gncq5s51yjw,0,40.5,96.1,2022-12-03T13:00:09.980Z,2022-12-06T00:57:44Z,3932332991,56,Back,3932332989,294,,3935646823,178,,3932333021,233,8,3932332993,152,,3932332995,285,,3932332987,13,,,,,8x2yublirj5430deybqft0xxx,H. Dunk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488761161,9,1,1,0,59,17zuelixesst1z59fwcix2dil,1,61.2,3.2,2022-12-03T13:00:42.121Z,2022-12-06T00:57:50Z,3932334595,212,36.8,3932334587,152,,3932334583,5,,3932334589,56,Center,3932334591,140,79.4,3932334593,141,49.4,3935646833,178,,3932334585,155,,5kg7eu8b1wktru5ohpid8e9qt,C. O'Keeffe,3932334597,213,1.0,3932334599,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488761171,10,1,1,1,1,17zuelixesst1z59fwcix2dil,0,79.4,49.4,2022-12-03T13:00:44.264Z,2022-12-06T00:58:23Z,3932334673,140,87.9,3932334675,141,54.0,3935646845,178,,3932334677,212,9.5,3932334669,168,,3932334679,213,0.3,3932334671,56,Center,,,,3dy32ujo7srhl6rq7vb9e97xm,O. Casey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488761177,7,12,1,1,3,dmz37633qbsvl7gncq5s51yjw,1,14.6,44.5,2022-12-03T13:00:45.991Z,2022-12-06T00:58:29Z,3932334697,140,38.6,3932334703,213,0.1,3932334699,141,50.0,3932334701,212,25.5,3935646853,388,,3932334695,56,Back,3932334707,15,,,,,e3ff2af2lxs0rl8c4r5ns4wd1,P. Digby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488793831,351,1,1,1,5,17zuelixesst1z59fwcix2dil,0,79.2,38,2022-12-03T13:00:47.741Z,2022-12-06T00:58:33Z,3932510449,140,87.0,3932510453,212,8.4,3932510455,213,6.1,3932510447,56,Center,3932510445,3,,3935646859,388,,3932510451,141,35.3,,,,2hwlmul5bz8qcxt75954ujiz9,J. Moore-Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489329615,720,12,1,1,6,dmz37633qbsvl7gncq5s51yjw,1,14.1,62.2,2022-12-03T13:00:48.648Z,2022-12-06T00:58:39Z,3935646867,388,,3935343703,213,4.6,3935343699,141,53.3,3935343701,212,6.1,3935343719,15,,3935343695,56,Back,3935343697,140,13.7,,,,2u4m2ja4yhgtqjgwns2om5y7e,B. Worman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488766579,71,44,1,1,7,dmz37633qbsvl7gncq5s51yjw,1,13.5,59.2,2022-12-03T13:00:49.964Z,2022-12-06T04:20:57Z,3932363835,233,352,3932363413,56,Back,3932511313,285,,,,,,,,,,,,,,,,,e3ff2af2lxs0rl8c4r5ns4wd1,P. Digby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488793975,352,44,1,1,7,17zuelixesst1z59fwcix2dil,0,86.5,40.8,2022-12-03T13:00:49.965Z,2022-12-06T00:58:46Z,3932511249,286,,3932511353,233,71,3932511247,56,Center,,,,,,,,,,,,,,,,3dy32ujo7srhl6rq7vb9e97xm,O. Casey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488761225,8,12,1,1,7,dmz37633qbsvl7gncq5s51yjw,1,17.6,67.2,2022-12-03T13:00:50.104Z,2022-12-06T04:20:57Z,3932334955,56,Back,3932334961,212,11.2,3932334957,140,24.9,3932334963,213,5.5,3932334971,15,,3935646881,388,,3932334959,141,55.2,,,,e3ff2af2lxs0rl8c4r5ns4wd1,P. Digby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
