id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/16/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/17/value,assist
2493905355,1,34,16,0,0,5qwskbjpa17fvmtuu5qijy7cz,1,0,0,2022-12-29T18:59:30.521Z,2022-12-29T20:01:06Z,3959643207,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3959643203,59,"40, 2, 14, 16, 28, 5, 6, 10, 4, 7, 8, 1, 11, 17, 21, 22, 39, 42",3959643213,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3959643199,30,"1aq6osi0b0c580dlu9ugnjaei, 2asjeedy6igcuixqktdmk5k2x, 8w9kh0cuund2pw8wzs0rjrbah, a2g77lv071rnz76ujh30364tl, ex0gkrnzj98vrwpk9tpcfw91x, 23s9kwgzvgh27d393ymk0006h, 6ipjgy0ewyx7mnmolu0pp0mw9, 4i9u8cvqi0326gzqouf7uqju1, 7d9la6gbbobi9yie2ejf9uj1l, 7uhajc3suc68vemamuc3dyvp, 8i4qnoil4877e0wpwx3fj5b10, 3wew9tjsjrsoyioiuzd7ve356, dzitwscdk6ogkf6bstbrik53p, 1vigb3e3dsxufbtvt4ed48e09, 8vwzh7t772qg1r3uxo83eiqui, a5cmnj0nhdbux68291ipqcei2, dv1g5fozbyj5r55grfp8x7uac, d8s5hdtsmitdvix6l02rjn1g4",3959643205,130,18,3959643209,194,ex0gkrnzj98vrwpk9tpcfw91x,3959643211,197,17549,3959643201,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493905459,1,34,16,0,0,8xeuwzxnm7hdlbjjuezgfkz3w,1,0,0,2022-12-29T19:00:11.101Z,2022-12-29T19:00:11Z,3959643955,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3959643959,130,12,3959643963,194,af0te77bq4mgr7rkkqateiswl,3959643967,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3959643953,30,"af0te77bq4mgr7rkkqateiswl, b1or5u4dfuf4pvg7cgqnp3nxl, babqz0ziyoyw9ycgxh4stfh0p, a69q0jj7tjwzxpo6b4i1ed3h1, cqbxzfg7eb97z1rx01kms6ay1, 3nxrsmys3v8ci6xeqsx8yaac5, 8f5io2957l6ye5u7bsan0ecfe, a06js9xdgcoqq2mjjp9bbozu2, 3hjfotlalegyuxqoidz99f1ii, 3ft5brlvxvw8otiyjppxkk6ad, dhty303ilcb4cocqv68324xk9, 5zmy857tqaz6h9g3hqyank82d, 3ujxqdy1k9w7hf33scf16hm8l, 6s5n6ri7p16dbqb35b2dpl0wl, 5pf4sma6x95qcuhx6wmqqzu1h, 2ykne43vtv8c00rvviyr3rre2, 5h89f4rz70l545xkozdp99ck5, apgbqplqtvuc1dmdxi5gqhd04",3959643957,59,"1, 21, 3, 6, 16, 5, 15, 20, 23, 9, 4, 8, 11, 12, 14, 17, 22, 25",3959643965,197,4867,3959643961,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493911893,2,32,1,0,0,8xeuwzxnm7hdlbjjuezgfkz3w,1,0,0,2022-12-29T19:44:40.169Z,2022-12-31T18:35:59Z,3959681627,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493911891,2,32,1,0,0,5qwskbjpa17fvmtuu5qijy7cz,1,0,0,2022-12-29T19:44:40.169Z,2022-12-29T19:44:40Z,3959681623,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493911907,3,1,1,0,0,5qwskbjpa17fvmtuu5qijy7cz,1,50,50,2022-12-29T19:44:40.212Z,2023-01-01T18:27:52Z,3959681691,140,53.3,3959681695,212,4.5,3959681699,279,S,3959681689,56,Center,3959681693,141,45.7,3959681697,213,5.6,3959681701,278,,3962961591,178,,4i9u8cvqi0326gzqouf7uqju1,J. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493911915,4,1,1,0,1,5qwskbjpa17fvmtuu5qijy7cz,1,53.3,45.2,2022-12-29T19:44:41.586Z,2023-01-01T18:27:58Z,3959681751,213,5.1,3959681747,141,25.2,3959681743,56,Center,3962961667,178,,3959681749,212,15.0,3959681745,140,59.3,,,,,,,8i4qnoil4877e0wpwx3fj5b10,T. Leigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493911925,5,1,1,0,4,5qwskbjpa17fvmtuu5qijy7cz,0,63.4,21.5,2022-12-29T19:44:44.376Z,2023-01-01T18:28:03Z,3959681811,141,9.8,3959681815,213,5.9,3962961691,178,,3959681809,140,84.2,3959681813,212,23.2,3959681807,56,Right,,,,,,,7uhajc3suc68vemamuc3dyvp,S. Whalley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493911933,3,49,1,0,7,8xeuwzxnm7hdlbjjuezgfkz3w,1,15,88.3,2022-12-29T19:44:48.043Z,2023-01-01T18:28:07Z,,,,,,,,,,,,,,,,,,,,,,,,,babqz0ziyoyw9ycgxh4stfh0p,M. Melbourne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493911945,4,12,1,0,7,8xeuwzxnm7hdlbjjuezgfkz3w,1,4.9,95.7,2022-12-29T19:44:48.108Z,2023-01-01T18:28:11Z,3959681911,141,100.0,3959681915,213,0.3,3959681949,167,,3959681909,140,16.6,3959681913,212,12.9,3959681907,56,Back,3962961733,178,,,,,babqz0ziyoyw9ycgxh4stfh0p,M. Melbourne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493911949,5,5,1,0,9,8xeuwzxnm7hdlbjjuezgfkz3w,0,19.8,101.4,2022-12-29T19:44:49.197Z,2023-01-01T18:28:16Z,3959682377,233,6,3959681929,56,Back,3959681931,347,,,,,,,,,,,,,,,,,babqz0ziyoyw9ycgxh4stfh0p,M. Melbourne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
