id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/14/value,assist,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/18/value
2516965549,1,34,16,0,0,5g1fnexeromjl0lvnxp8hpnhi,1,0,0,2023-03-07T19:15:01.864Z,2023-03-09T13:18:27Z,4081092781,130,17,4081092779,59,"25, 8, 17, 21, 3, 5, 4, 7, 9, 18, 10, 2, 11, 14, 23, 26, 28, 32",4081092783,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4081092787,197,16466,4081092775,30,"82h98ebusz83rox95oi9kafh1, 5udpap0himq2ggsw4f0o5hqdx, 4lz9m2nwif7tql9hqsv2u7vft, 4cyf8fcefkz6433g76okyd65m, 5a86e1pl8b7ibmrkz3h6gs1yh, oe0lbxtc4qftnd886dzfm385, 2q6bsyszm27v5uvs30j5ty311, 9llmzvk9nw1kwy73o8z9f8usp, 9w0nk2mz77jqc62v4gv1h0vkl, 4mjzjj2p0pzyw0hcq4no9y0o9, alhqwxs7t2pxxxuztmvy1ibpx, 3z9ioxbv8oeyqrbw5k8e3dec5, 6rzq8xkkst4hgbh2ysj52gwyx, 8dcdul1txdibvq7liaagnc9ka, e713hl3clivldop8wln53rsyy, 944ptuekuetkjifbeaycqcoh5, 6q0zzgnbbzsbubnekye5dunai, ba8qp1eswz0kzcr0245r7q8kp",4081092785,194,5udpap0himq2ggsw4f0o5hqdx,4081092777,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4081092789,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516965565,1,34,16,0,0,3ptd7zlc5isrongig0wij2id4,1,0,0,2023-03-07T19:15:06.996Z,2023-03-07T19:57:13Z,4081092887,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4081092881,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4081092891,197,13091,4081092883,59,"1, 12, 15, 4, 3, 6, 11, 23, 10, 38, 7, 9, 16, 17, 18, 22, 32, 33",4081092879,30,"2xd9g0s3888o99iq0eb5j6ead, 8thtb5uqqv63f880cwhpc5zv9, h4x8lz5ou8esdao80mvls9yi, 8y3obwxpwckjfl7hkrrg97sgl, ebsspe8jslej9a253w4xpf55h, 69lg8jmug501h6biol5itk02y, e2sj7bhk2s9du1bs1vza1b4k5, 6ge15340tp9n57m88z6rli6i2, f2d0i9t2qeyppfqrdv6xzc3px, 1la1hsnuheliwojwmcbxroy96, ddc712ebtmrrpvj4shekecus5, a64e8yqggr7fmtdlyr9v80yxh, e01znd47zh4hk0g8jx67wzl9m, 85vh43wsin67z2dj0iod12fop, 6kxph7ulzz58v8tm3aaomy1ka, 13squddw07mvcu7mo6xk5mjqi, 535ecbyyd28elesvxtvbxurpx, 6kz7c7i4wzph7qlzi9nzt266t",4081092893,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4081092889,194,ebsspe8jslej9a253w4xpf55h,4081092885,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516978215,2,32,1,0,0,3ptd7zlc5isrongig0wij2id4,1,0,0,2023-03-07T20:00:09.154Z,2023-03-07T20:00:09Z,4081159247,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516978223,2,32,1,0,0,5g1fnexeromjl0lvnxp8hpnhi,1,0,0,2023-03-07T20:00:09.154Z,2023-03-09T18:28:07Z,4081159273,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516978269,3,1,1,0,0,3ptd7zlc5isrongig0wij2id4,1,50,50,2023-03-07T20:00:09.172Z,2023-03-10T10:14:07Z,4081159521,213,2.8,4081159513,56,Back,4081159523,279,S,4081159517,141,60.6,4081159515,140,31.8,4081159519,212,20.4,4085117275,178,,,,,8y3obwxpwckjfl7hkrrg97sgl,C. Hourihane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516978277,4,1,1,0,2,3ptd7zlc5isrongig0wij2id4,0,34.5,62,2023-03-07T20:00:11.547Z,2023-03-10T10:14:18Z,4085117491,178,,4081159589,141,7.4,4081159585,56,Right,4081159595,1,,4081159587,140,67.9,4081159593,213,5.5,4081159583,155,,4081159591,212,51.1,69lg8jmug501h6biol5itk02y,E. Cashin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516978291,3,1,1,0,4,5g1fnexeromjl0lvnxp8hpnhi,0,34.1,96,2023-03-07T20:00:14.126Z,2023-03-10T10:14:21Z,4081159687,213,0.3,4081159679,56,Back,4085117563,388,,4081159683,141,100.0,4081159681,140,45.6,4081159685,212,12.6,4081159677,3,,,,,4lz9m2nwif7tql9hqsv2u7vft,B. Mumba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516978293,4,5,1,0,6,5g1fnexeromjl0lvnxp8hpnhi,0,46.8,101.5,2023-03-07T20:00:15.440Z,2023-03-10T10:14:29Z,4081159695,347,,4081159693,56,Back,4081159877,233,5,,,,,,,,,,,,,,,,4lz9m2nwif7tql9hqsv2u7vft,B. Mumba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516978319,5,5,1,0,6,3ptd7zlc5isrongig0wij2id4,1,53.2,-1.5,2023-03-07T20:00:15.440Z,2023-03-10T10:14:28Z,4081159861,347,,4081159859,56,Right,4081159873,233,4,,,,,,,,,,,,,,,,69lg8jmug501h6biol5itk02y,E. Cashin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516978481,6,1,1,0,25,3ptd7zlc5isrongig0wij2id4,1,55.6,0,2023-03-07T20:00:34.574Z,2023-03-10T10:14:32Z,4081160789,212,42.0,4081160929,189,,4081160785,140,95.2,4081160787,141,7.7,4081160781,107,,4081160791,213,0.1,4081160783,56,Right,4081160793,1,,8thtb5uqqv63f880cwhpc5zv9,K. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
