id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/8/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/17/value
2477666859,1,34,16,0,0,5pfqedkme2kabtqhkln35pf3l,1,0,0,2022-10-26T18:15:01.336Z,2022-10-26T19:11:13Z,3874068437,130,4,3874068445,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3874068431,30,"byo7r7emgxz5oiauh2z75vpp1, c651trgr0pihuppxxd31z6go9, f0sa0skucdf742t06hsmi8ne2, 6q5iqhaxdzqhj3jt0eptjvbv9, 5raent8a0bdt01n7769n3dw16, 6hq92cx2829wfuzxmfhg1xpm1, aa68kvv9c3of0a8cgbx8ppm1h, 4n37rih2qtphgtjxzo2id5f55, bgly2zwf7qro0phmd6hkry6ll, bdquc37ytagmw19zgrehnryz9, 5pafzbbuucga9ut20l6ckj7u2, 6wax1hh875vpvfi1fbetwmtey, 9s6ec1a12gozqwjlsyo7y8gr9, f4qyrav5wfp55jyprdoq1upcl, 4u9s6b4ngktakouqhze3sdoet, ct9ifm9mk702lkhhmlf12nlxx, ejmi6qqszz1509excckyj3n1m, ah31ge07jvte4y161aut0uthx",3874068433,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3874068439,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3874068441,194,6q5iqhaxdzqhj3jt0eptjvbv9,3874068435,59,"1, 28, 3, 6, 37, 17, 14, 21, 18, 10, 40, 2, 7, 19, 20, 23, 30, 32",3874068443,197,16448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2477666877,1,34,16,0,0,1musyruv2ufjrjnj6gvdbr8kt,1,0,0,2022-10-26T18:15:06.065Z,2022-10-26T19:00:53Z,3874068537,130,18,3874068545,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3874068531,30,"24g3kj5853y2af5ncqhwlfbp, cyrr9517kjkt2l5tuqe966zth, 3fjobcho19bkofw9h042i2v9x, 9r7ngbyjgfukassxtl07wnn55, e2b2wcox0ibhasr4zf5nphdqt, c211o2dh2p85auu0008zjxgix, 6hrtxdf59nba5ietwyfe3b2t, ekbsso6hq913ss7jerbusyled, 4l7yeuoabotmlfo5n719msrmd, 583ujnml31x2cnl6jxwnbs2xh, 1szy525fae134zxfbt7vyw991, 2gf1wld07zyiuvq7iikfrvoid, 4mg6kr1jernr98unfp5p8shqt, 997jc41apd3dtrwgx79mu67e1, btey8i9vnkak8ww7diqnb8lat, 7f87a26gzayk0bfzbm42huuw9, 4c56c2zanbiv8q28f54i5rp3p, mpzi06x1j85ahwkrbsa20kmi",3874068533,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3874068539,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3874068541,194,ekbsso6hq913ss7jerbusyled,3874068535,59,"31, 2, 18, 3, 20, 34, 14, 10, 11, 9, 24, 4, 6, 7, 13, 17, 25, 45",3874068543,197,16162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2477673663,2,32,1,0,0,1musyruv2ufjrjnj6gvdbr8kt,1,0,0,2022-10-26T19:00:40.460Z,2022-10-29T05:56:21Z,3874104363,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2477673669,2,32,1,0,0,5pfqedkme2kabtqhkln35pf3l,1,0,0,2022-10-26T19:00:40.460Z,2022-10-26T19:00:43Z,3874104381,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2477673701,3,1,1,0,0,1musyruv2ufjrjnj6gvdbr8kt,1,49.9,49.7,2022-10-26T19:00:40.582Z,2022-10-29T07:39:30Z,3874104507,141,49.7,3874104501,140,43.3,3874104513,279,S,3878554395,178,,3874104509,212,6.9,3874104511,213,3.1,3874104497,56,Back,,,,4l7yeuoabotmlfo5n719msrmd,J. Windass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2477673715,4,1,1,0,2,1musyruv2ufjrjnj6gvdbr8kt,1,43.1,47.9,2022-10-26T19:00:42.472Z,2022-10-29T07:39:36Z,3874104617,141,5.8,3874104611,155,,3874104613,56,Right,3874104619,212,33.8,3878554577,178,,3874104615,140,60.3,3874104623,1,,3874104621,213,5.3,ekbsso6hq913ss7jerbusyled,B. Bannan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2477673717,5,61,1,0,4,1musyruv2ufjrjnj6gvdbr8kt,0,60.4,5.5,2022-10-26T19:00:45.162Z,2022-10-29T07:39:47Z,3878554921,178,,3874104627,56,Right,,,,,,,,,,,,,,,,,,,583ujnml31x2cnl6jxwnbs2xh,L. Gregory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2477673759,3,5,1,0,5,5pfqedkme2kabtqhkln35pf3l,1,37.2,102,2022-10-26T19:00:46.360Z,2022-10-29T07:39:58Z,3874104855,56,Back,3874104873,233,6,3874104857,347,,,,,,,,,,,,,,,,,bdquc37ytagmw19zgrehnryz9,A. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2477673719,6,5,1,0,5,1musyruv2ufjrjnj6gvdbr8kt,0,62.8,-2,2022-10-26T19:00:46.360Z,2022-10-29T07:39:58Z,3874104637,56,Right,3874104881,233,3,3874104639,347,,,,,,,,,,,,,,,,,583ujnml31x2cnl6jxwnbs2xh,L. Gregory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2477673777,4,1,1,0,15,5pfqedkme2kabtqhkln35pf3l,1,36,100,2022-10-26T19:00:55.620Z,2022-10-29T07:40:13Z,3874104949,213,5.1,3874104945,141,91.2,3874104947,212,8.1,3874104941,56,Back,3874104939,107,,3874104943,140,39.2,,,,,,,f0sa0skucdf742t06hsmi8ne2,L. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
