id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,keyPass,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value
2524912291,1,34,16,0,0,1zgjjyruyufrkh4xjvryqsb1i,1,0,0,2023-03-26T18:04:55.886Z,2023-03-26T19:14:36Z,4125364609,130,2,4125414221,194,1o7iht0ow216jvo5qm64akup6,4125364607,59,"76, 39, 24, 52, 65, 35, 41, 38, 23, 98, 56, 22, 32, 36, 45, 48, 49, 62, 75, 78",4125364603,30,"2y9o7d8tm1f8fnp6jewxzifis, 2qz3ojbfedl8psp1tvq0183ro, 793bjb2bgku4cw2iu6k1fxcve, do5q14naxm61jw8px8qvacn4k, 67m3iq9ixt51ts51y4vmp71uc, anht193qhditit6wpsexoep2i, 45v94x6b8g7n4xa3lsfdp6pzo, cykl5dz1d2v4qc2pit2med27e, 8lrn7x6cmdlbetphm91ubctbe, 1o7iht0ow216jvo5qm64akup6, 7bodno8j3qjiqp9wy8kobwmqc, 1rknkp6cfxg6powoea2tttoiy, 7nd2w9ipveb6nfo413i8focus, 3jpuce48mnz925asuabl607ze, 6mgul28a1fak52rgswlok249g, 2xk2scbwq1j9h4vjowa2ohnqi, 6tzlquo1jkhqmp996ow79kjro, ccecsvksezyg4j2tremi3inhm, fmy8zs6ika1w5iiyhjakv42y, 449s1x41rdne73vkt957jooru",4125364611,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4125364613,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4125421307,197,5238,4125364605,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524912793,1,34,16,0,0,479lsfr4cwlzewpbuda3y2xv4,1,0,0,2023-03-26T18:08:44.258Z,2023-03-29T08:42:06Z,4125367785,59,"50, 96, 46, 53, 28, 54, 59, 58, 51, 57, 64, 14, 27, 32, 61, 70, 74, 97",4125367971,194,eqws52w506rp4a2x9mqwm76ga,4125367783,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4125367781,30,"c2j0af3amobjhnadwf8cucbca, 37uh4n2zngcixlzo8vnk50vtg, 2v114vco5wn9oieg2hrev1n56, i5wj5hcg2r9934e7gauxtgmi, cqlc423f6bid2uy3togwkvlgq, ex99a6zbacpkkhgvynu80qpzo, d0neh5vcdezvb0ful49zguiok, eqws52w506rp4a2x9mqwm76ga, 5bgt61vb5lnzyoczqnr202lpm, ebik6jxp20k3m9u3hj1c1j5zo, p99ze5cksh5tv01knf5oj33e, 7tpb4dk9meee0utyu4cosnxn8, 2b8nmdlsqa9wxn8xlujvyaqga, aa4v8xfn3ra4digk5h7gdrbze, 2wsgrwgiotfis2l96i0sxlvys, 30me1zjey2l8lywfm3k5rkhsk, 6p7bhmhxcr08kivai5yip07bo, a9yn4hf91tepqizgrk0doy7f8",4125367789,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4125367791,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4125416229,197,3596,4125367787,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524921405,2,32,1,0,0,1zgjjyruyufrkh4xjvryqsb1i,1,0,0,2023-03-26T19:05:11.100Z,2023-03-29T13:49:04Z,4125417091,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524921409,2,32,1,0,0,479lsfr4cwlzewpbuda3y2xv4,1,0,0,2023-03-26T19:05:11.100Z,2023-03-26T19:05:14Z,4125417105,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524921423,3,1,1,0,0,1zgjjyruyufrkh4xjvryqsb1i,1,50,50,2023-03-26T19:05:11.200Z,2023-03-26T19:05:15Z,4125417171,212,15.4,4125417173,213,3.7,4125417169,141,37.1,4125417167,140,38.0,4125417165,56,Back,4125417175,279,S,,,,,,,1o7iht0ow216jvo5qm64akup6,S. Stojanovic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524921441,4,1,1,0,3,1zgjjyruyufrkh4xjvryqsb1i,0,38.5,36.2,2023-03-26T19:05:14.855Z,2023-03-26T19:05:23Z,4125417265,212,65.2,4125417369,157,,4125417263,141,66.0,4125417261,140,97.5,4125417259,56,Center,4125417269,1,,4125417267,213,0.3,,,,do5q14naxm61jw8px8qvacn4k,B. Diallo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524921443,3,49,1,0,8,479lsfr4cwlzewpbuda3y2xv4,1,7.4,28.2,2023-03-26T19:05:19.750Z,2023-03-26T19:05:19Z,,,,,,,,,,,,,,,,,,,,,,,,,c2j0af3amobjhnadwf8cucbca,Javier Otero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524921509,4,1,1,0,19,479lsfr4cwlzewpbuda3y2xv4,1,9.6,63.7,2023-03-26T19:05:30.227Z,2023-03-26T19:05:32Z,4125417575,213,0.4,4125417573,212,18.8,4125417571,141,75.0,4125417567,56,Back,4125417569,140,25.9,,,,,,,,,,c2j0af3amobjhnadwf8cucbca,Javier Otero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524921525,5,1,1,0,21,479lsfr4cwlzewpbuda3y2xv4,1,25.9,75,2023-03-26T19:05:32.539Z,2023-03-26T19:05:37Z,4125417635,212,24.4,4125417633,141,39.2,4125417631,140,25.1,4125417637,213,4.7,4125417629,56,Back,,,,,,,,,,ex99a6zbacpkkhgvynu80qpzo,N. Kibunguchy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524921545,6,1,1,0,25,479lsfr4cwlzewpbuda3y2xv4,1,25.3,38.5,2023-03-26T19:05:37.011Z,2023-03-26T19:05:41Z,4125417737,212,21.0,4125417739,213,1.5,4125417731,56,Back,4125417733,140,26.3,4125417735,141,69.4,,,,,,,,,,cqlc423f6bid2uy3togwkvlgq,A. Salim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
