id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/9/value,qualifier/12/value,qualifier/10/value,qualifier/13/value,qualifier/14/value,qualifier/15/value,assist
2461881899,1,34,16,0,0,e5hsx8fzufp57tv4oehbz0qht,1,0,0,2022-09-18T12:35:25.128Z,2022-09-18T13:00:01Z,3790215923,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3790215921,130,4,3790215913,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3790215909,30,"8f25wup5nyqxwx27pmtxth51x, f30p9xqwupzhhiitqubpi79bd, 15ueea8j21zale5d23rifkct1, 407696aey55f3v0iy9xcr9plh, 3c765kc3b4cmgie0qf84jh1hx, el2jrhon9i915qbjdgi96uru2, 28yvc8jmyyfavb0hetafjdadx, 6ywkny98b9qzuvhqxwn9l0ogl, 7jux9gpb11yfbl8jj32n0zil1, 1loi315glota15qd57q6e0xrd, ct4fyrkcvk3i01xiz1wpsyuw9, 3bo8lbyohd3djey9pbd08fvf9, 3x6baiktcpcjxxh258a5uebpx, 3gu9gaz6w7eq79qnaqj3b7jdh, 2fg7mgljmrqedc61uiff36ytx, e92r83de4v94lcbngexwe2oes, 41gek0vcr4hcrc5hg6zk4am3u, 2mgpfhn8c4e7gt4oce452j7x1",3790215925,194,8f25wup5nyqxwx27pmtxth51x,3790215917,59,"1, 4, 23, 8, 6, 18, 17, 26, 9, 11, 28, 3, 5, 20, 24, 25, 27, 40",3790215929,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3790215927,197,4764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461896853,1,34,16,0,0,dgpni8xwxjhgekjmg0m8bb6nv,1,0,0,2022-09-18T12:48:21.677Z,2022-09-18T14:43:00Z,3790286299,197,8429,3790286287,30,"7iuwrwcupehj978vpf8sep591, ero1axtkr33y6yetn4uti2oyx, 3edubak34lsocvkirgryo8vd, cgk8tqunww8nmk2lefsluxtcl, 9r0t3f2nw0d1a17c9onvjgd05, 2to7qgaomc72knk6y1689ihka, 1vj4sunehr71tbbpu6zsp6dw5, 3w9nqzmvm6df5becqtvypo5w5, aeoazf90glk79a2puhpm06pyh, q195fj3dlx9i3r0zno98nhuc, b062pdmskviwqwzf5dckoffmd, 58zv1pd350niecmu275p4xyqc, c99gqg4cu9eqy5yu8fga71vit, ds4tjev271co53fycw64y4kfe, 3o5f01ay5uqzeb3xunhguvsyy, es2n7ru62e3o5w19jndi83pxw, 5b3esi4e6l86aqvprt9l16uqc, e9e2sdrwd5g6m8kfpxpe8ml79",3790286297,194,9r0t3f2nw0d1a17c9onvjgd05,3790286289,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3790286295,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3790286293,130,13,3790286291,59,"30, 3, 5, 2, 22, 4, 7, 14, 26, 15, 17, 13, 6, 8, 11, 16, 19, 10",3790286301,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461906455,2,32,1,0,0,e5hsx8fzufp57tv4oehbz0qht,1,0,0,2022-09-18T13:00:12.428Z,2022-09-18T13:00:14Z,3790330705,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461906449,2,32,1,0,0,dgpni8xwxjhgekjmg0m8bb6nv,1,0,0,2022-09-18T13:00:12.428Z,2022-09-18T13:00:12Z,3790330667,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461906493,3,1,1,0,0,dgpni8xwxjhgekjmg0m8bb6nv,1,50,50,2022-09-18T13:00:12.528Z,2022-09-18T13:00:15Z,3790330913,213,2.5,3790330911,212,17.0,3790330905,56,Back,3790330915,279,S,3790330907,140,36.8,3790330909,141,64.6,,,,,,,aeoazf90glk79a2puhpm06pyh,D. Roux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461906523,4,1,1,0,2,dgpni8xwxjhgekjmg0m8bb6nv,1,36.8,64.6,2022-09-18T13:00:14.744Z,2022-09-18T13:00:17Z,3790331045,140,28.4,3790331049,212,15.2,3790331047,141,46.4,3790331043,56,Back,3790331051,213,4.1,,,,,,,,,,1vj4sunehr71tbbpu6zsp6dw5,A. Clérac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461906557,5,1,1,0,4,dgpni8xwxjhgekjmg0m8bb6nv,1,28.5,38.8,2022-09-18T13:00:17.292Z,2022-09-18T13:00:20Z,3790331221,141,48.5,3790331229,213,2.8,3790331217,140,7.8,3790331225,212,22.7,3790331215,56,Back,,,,,,,,,,2to7qgaomc72knk6y1689ihka,C. Collin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461906599,6,1,1,0,7,dgpni8xwxjhgekjmg0m8bb6nv,0,7.6,47.5,2022-09-18T13:00:20.172Z,2022-09-18T13:00:23Z,3790331423,141,27.6,3790331421,140,57.9,3790331425,212,54.5,3790331417,157,,3790331429,1,,3790331419,56,Center,3790331427,213,6.0,,,,7iuwrwcupehj978vpf8sep591,R. Munich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461906623,3,44,1,0,10,e5hsx8fzufp57tv4oehbz0qht,1,43.8,70.6,2022-09-18T13:00:23.211Z,2022-09-18T13:02:15Z,3790331535,56,Back,3790331579,233,7,3790331537,285,,,,,,,,,,,,,,,,,f30p9xqwupzhhiitqubpi79bd,S. Bacha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461906603,7,44,1,0,10,dgpni8xwxjhgekjmg0m8bb6nv,0,56.2,29.4,2022-09-18T13:00:23.212Z,2022-09-18T13:00:25Z,3790331451,56,Center,3790331631,233,3,3790331453,286,,,,,,,,,,,,,,,,,aeoazf90glk79a2puhpm06pyh,D. Roux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
