id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/13/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,assist
2499068827,1,34,16,0,0,114h4h9ekimxmk95iypp478kk,1,0,0,2023-01-21T12:01:34.314Z,2023-01-21T12:47:28Z,3986852177,197,8449,3986852171,130,4,3986852167,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3986852173,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3986852165,30,"alr6k5xokhqe1xi6a5kdyj7x1, b0badx1gx15s9wo6ly8z1rl61, 38jzj5l4s56u8pbiutq2qa7f8, 9gugnyggxqnc9fijivw8fvq39, cz9o6yad9c8s2potdvqau5slw, 5mcszf3yuxwxcggl8ds2v1a7d, 80dr0hzhre13aaavd0r4udpl, 84qomd74wlfrd9lpost35p4wk, en70ces933pdy4dbgq0lgjhsl, dq9w87alliunnaoezwtvn9hp1, 4y78x1atris45m06oqr7axbzd, 7kixt36sakfbchtoidpxg6olw, 3semwmw78lk7vz6ieaxy486w9, aqmo5o52e5mhbbzgdquivsm50, bgywqsemj5lsfro2hc77q532t, c03fkophg1op7oov8hj7egx78, 9mo419gtk6dy5lhcvatcllkyy, 25ji5fjrro34qq0xwvmm4h2vp",3986852179,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3986852175,194,b0badx1gx15s9wo6ly8z1rl61,3986852169,59,"1, 23, 25, 10, 26, 3, 6, 14, 9, 7, 12, 20, 4, 15, 17, 21, 29, 30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499073701,1,34,16,0,0,86c88s72zckr0kdwv0mu7kn3d,1,0,0,2023-01-21T12:21:42.754Z,2023-01-21T12:21:42Z,3986878735,130,4,3986878733,59,"1, 22, 21, 8, 5, 4, 9, 15, 6, 7, 13, 3, 10, 14, 17, 19, 20, 30",3986878741,197,8447,3986878739,194,dpyv59tmgrenfals4e16d5lre,3986878743,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3986878729,30,"1tvu4rv4o96wqjzk836y9bp3p, dpyv59tmgrenfals4e16d5lre, 2o9qsqvvvl3x6oeacd8iugbv8, 4rdywd4n4j0cdzfoifpd35ujt, dvyjggz5eiinhhozhb17s707p, dq65c3jm6mlu3mzug9b0z3ytw, wibn2uli25nw0w4ddbohhnje, uspe8sp6q4a5o6kc9n6rnyp6, 4jxsimbrhvzfwfc3krnld59wq, ezhkluh7xo0zv6t8zf5oab0q2, 4p2fapncvvibg0l9ungou0tbe, c7ybrnt131jx4z31cfo6bx4a, aga4leu1tmnv7kibufwr119be, ehxz768zrgon8drwzlso5k0t0, ccz23lbc4iuxsq4tcplzv37ys, cuy5d1nzj2yd36g3fydirt562, 4bi0bbqibnjbaipy4ud9zlqwa, dxojafbkfxjskl0ek4nucrnpx",3986878731,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3986878737,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499081169,2,32,1,0,0,86c88s72zckr0kdwv0mu7kn3d,1,0,0,2023-01-21T12:46:00.689Z,2023-01-21T12:46:02Z,3986917311,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499081167,3,32,1,0,0,114h4h9ekimxmk95iypp478kk,1,0,0,2023-01-21T12:46:00.689Z,2023-01-21T12:46:00Z,3986917309,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499081193,3,1,1,0,0,86c88s72zckr0kdwv0mu7kn3d,1,49.9,50,2023-01-21T12:46:00.789Z,2023-01-21T12:46:05Z,3986917461,213,3.3,3986917463,279,S,3986917455,140,29.1,3986917457,141,44.5,3986917459,212,22.2,3986917453,56,Back,,,,,,,4jxsimbrhvzfwfc3krnld59wq,M. Dumornay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499081195,4,1,1,0,4,86c88s72zckr0kdwv0mu7kn3d,1,31.9,44.2,2023-01-21T12:46:04.925Z,2023-01-21T12:47:31Z,3986917511,213,5.5,3986917503,56,Back,3986917509,212,15.8,3986917505,140,43.0,3986917507,141,28.6,,,,,,,,,,wibn2uli25nw0w4ddbohhnje,C. Meyong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499081201,5,3,1,0,6,86c88s72zckr0kdwv0mu7kn3d,0,52.6,32.5,2023-01-21T12:46:06.892Z,2023-01-21T12:46:10Z,3986917541,56,Center,3986917565,233,4,3986917543,286,,,,,,,,,,,,,,,,,ezhkluh7xo0zv6t8zf5oab0q2,T. Eninger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499081203,4,7,1,0,6,114h4h9ekimxmk95iypp478kk,0,47.4,67.5,2023-01-21T12:46:06.893Z,2023-01-21T12:48:41Z,3986917551,56,Back,3986917553,285,,3986917555,233,5,,,,,,,,,,,,,,,,cz9o6yad9c8s2potdvqau5slw,F. Liaigre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499081205,5,43,1,0,8,114h4h9ekimxmk95iypp478kk,1,0,0,2023-01-21T12:46:08.814Z,2023-01-21T12:48:14Z,3986923081,144,49,,,,,,,,,,,,,,,,,,,,,,9gugnyggxqnc9fijivw8fvq39,M. Garbino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499081219,6,43,1,0,8,114h4h9ekimxmk95iypp478kk,1,0,0,2023-01-21T12:46:08.958Z,2023-01-21T12:48:17Z,3986917631,56,Back,3986917637,212,9.0,3986917633,140,39.3,3986923183,144,1,3986917639,213,2.1,3986917635,141,84.5,,,,,,,9gugnyggxqnc9fijivw8fvq39,M. Garbino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
