id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,assist,qualifier/8/value,qualifier/12/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value
2471624449,1,34,16,0,0,eyecbfb1ur2104bhhwazhvrf,1,0,0,2022-10-14T16:20:20.388Z,2022-10-14T17:28:30Z,3842128939,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3842128937,30,"cwotwuxqimldexy77lqdh2t3p, aq30av6eea3gxh2rk7c0bzi09, 1abadnoiq5hbwpfzzyvho4vkl, d32rm12ddel0p93luuh5fq9cl, 1oib97ihu6ofz1fvsvih0mnkl, 25ord6k6oglqdzt77nrs19e5l, 1lafqq1ic48v5500r8b0uprdh, epdlb32r151kz861mljb1rs9h, 33nggo6w6e52yqmc2pa528xd5, y7mxuyh5olv0rh5od3p2gtt5, 6aym6t1mr1xzv5pxvbtbn6hgp, diztxc63xkwv1tofz5s1ixbzd, 2x6hdcwn2s78i5frzj4q2s2c5, efynp5qo9b9x0lh9b4ft0ic8a, 7qf5iaz6eqb39pelg69fm1y39, 8ifhj2h1m7rt84i4bxksnmgnp, 9u74jd7ak8uad6lnhnthawiqd, 1l4s1w66pir9xk79jp78bxnmx, 5s8fprpl188pkkzn3524vph7u, 4m7aug91lxhiq1ro70u3m4etw",3842218779,197,8753,3842128943,130,4,3842128949,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3842128941,59,"1, 8, 9, 33, 5, 31, 18, 17, 7, 25, 23, 4, 6, 10, 11, 13, 16, 22, 27, 28",3842128945,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3842128947,194,d32rm12ddel0p93luuh5fq9cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471624817,1,34,16,0,0,6yhza3xbfafj5c9897mbkbudn,1,0,0,2022-10-14T16:23:18.790Z,2022-10-14T17:13:11Z,3842131171,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3842131175,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3842221559,197,8543,3842131163,30,"1kv64bhvnb6bb2iva0cbot1t6, 32ofctw7kn3l8eucrhku63dg5, e6a4lxx6og97jg9qv4lplfo4p, c2w5fyxoq2xw8xm6asrn17x7t, 5sycg0t0w11j4vm43arm93v1l, 6q0njimucm06r3x7enupxpl, dqaq4g6ls8bl56rpd3irjt6fp, 2ij21gq2d0xqcyho9t49glkvd, dzisqj9zjrxdxmqeu8kof95d6, 553b1ywtlhutb6uwv04dhhqdx, 5rcmpmxeny97slsu826vmwh61, 9ipu1pbzzf14ec8ebrqnq1k6i, b4g5db74cenrnd0tr3ptxo89h, cnvvojztptyxqfs8vd3fciok5, 8os606vx3apb3abv88vtbkb85, 33rw3w7m8xbv7ojfaih6radjo, 877yaw4haawqhe5n0wlbeln56, dlhn57eu6datnx6sraqlal1w",3842131173,194,dqaq4g6ls8bl56rpd3irjt6fp,3842131169,130,4,3842131167,59,"12, 2, 23, 4, 21, 16, 11, 9, 17, 7, 18, 10, 13, 22, 27, 28, 31, 33",3842131165,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471642931,2,32,1,0,0,eyecbfb1ur2104bhhwazhvrf,1,0,0,2022-10-14T17:17:49.932Z,2022-10-14T17:17:50Z,3842233417,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471642943,2,32,1,0,0,6yhza3xbfafj5c9897mbkbudn,1,0,0,2022-10-14T17:17:49.932Z,2022-10-14T17:17:51Z,3842233505,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471642957,3,1,1,0,0,eyecbfb1ur2104bhhwazhvrf,1,50.2,50.1,2022-10-14T17:17:50.032Z,2022-10-14T17:17:53Z,3842233543,56,Back,3842233551,213,3.2,3842233553,279,S,3842233547,141,49.0,3842233545,140,32.0,3842233549,212,19.1,,,,,,,y7mxuyh5olv0rh5od3p2gtt5,M. Kössler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471642965,4,1,1,0,3,eyecbfb1ur2104bhhwazhvrf,1,29.8,48,2022-10-14T17:17:53.313Z,2022-10-14T17:17:55Z,3842233591,141,32.4,3842233595,213,4.0,3842233593,212,14.1,3842233589,140,20.9,3842233587,56,Back,,,,,,,,,,d32rm12ddel0p93luuh5fq9cl,F. Dongus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471642979,5,1,1,0,5,eyecbfb1ur2104bhhwazhvrf,1,20.1,30.9,2022-10-14T17:17:55.600Z,2022-10-14T17:18:00Z,3842233699,213,5.4,3842233697,212,16.6,3842233695,141,12.7,3842233691,56,Back,3842233693,140,30.7,,,,,,,,,,1oib97ihu6ofz1fvsvih0mnkl,L. Bühler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471643001,6,1,1,0,10,eyecbfb1ur2104bhhwazhvrf,1,30.9,15.8,2022-10-14T17:18:00.369Z,2022-10-14T17:18:02Z,3842233803,56,Back,3842233807,141,44.4,3842233811,213,1.4,3842233805,140,33.2,3842233809,212,19.6,,,,,,,,,,aq30av6eea3gxh2rk7c0bzi09,P. Krumbiegel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471643025,7,1,1,0,12,eyecbfb1ur2104bhhwazhvrf,0,33.3,47.5,2022-10-14T17:18:02.290Z,2022-10-14T17:18:03Z,3842233903,56,Right,3842233913,1,,3842233909,212,36.3,3842233907,141,14.6,3842233911,213,5.6,3842233901,155,,3842233905,140,60.5,,,,33nggo6w6e52yqmc2pa528xd5,C. Hagel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471643037,3,8,1,0,15,6yhza3xbfafj5c9897mbkbudn,1,25.6,81.5,2022-10-14T17:18:05.170Z,2022-10-14T17:18:05Z,3842233967,56,Back,,,,,,,,,,,,,,,,,,,,,,6q0njimucm06r3x7enupxpl,G. Stegemann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
