id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/12/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2504453919,1,34,16,0,0,dpp6fex0mdxsxhdct2qf66x5n,1,0,0,2023-02-05T14:15:32.062Z,2023-02-05T15:09:44Z,4015036375,194,eyqhxpni376pocsunribu1jv9,4015036367,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4015036373,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4015036365,30,"q4va8vnwzmwtdo6qymq4ywgl, dzwhmhd3jlg8yz0ijm6mz2ei1, 46wf8el37rvruhacvvbv38z1m, 1asefru50u06hyhmoa7d9qcx5, 2lsz8g4mvgqvartyjfud90e6t, 1f2ltq7gcnimsdgixp8w36eax, eyqhxpni376pocsunribu1jv9, bf38nsprlsb7783sgyl1ezq3t, 3de90guq76ncq4iqhstw29u22, 9yzs0w3tjas15ic0o2b51q86h, gvm839vxy6tkznrtw9mop17u, 764yxrb6zqxke8l61qjd4o3qh, c36h9olifkg6s63uktgf1puqd, 8djtc44u653lmy03mnniax3l6, ed31f3of5iql0onh9uellvtnt, 54psl26zc4rs8cjnahl0jel05, 2h5t74e8r147rzbett9on72sp, 2gty977zjk5dpr6o72ybepp90, 4fidubhquqmngl2s15ozqfip6, 3fr48r9jcs4uw3he2ps7xu904",4015036369,59,"27, 13, 14, 30, 3, 24, 6, 15, 9, 18, 7, 2, 4, 16, 17, 20, 22, 25, 29, 33",4015246079,197,12251,4015036371,130,17,4015036377,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504454367,1,34,16,0,0,4moe0x01r1f5w30g38wshyftp,1,0,0,2023-02-05T14:15:56.266Z,2023-02-05T15:21:12Z,4015038665,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4015038651,130,18,4015038645,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",4015245435,197,13485,4015038647,59,"31, 6, 27, 23, 14, 5, 18, 19, 21, 15, 11, 1, 8, 10, 13, 22, 24, 32, 38",4015038655,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4015038643,30,"bbmtozpiuyy7rtk7u87g5p79w, 4f16klwhusyiwjej79nx4y76x, u8p6vsrl3b7ndbj3cj5owlih, yfdg1l58kdyyuodyqjwhwbth, 7cisqfcp1zysc12owj5j4zpx, 865nmkmx9qstpt90gc7bvp5ud, 7ektyvpzu0yj1b9dm7yfkxh3p, 874o1s057ddcizshsu10wu6t, ddb1x770krfpb3tm4oie234a2, 8ruo0cyz6gvcp7yiks9fz1ed, 6mj7z1yytw7jrbnbpu2mqyezu, 31kgqm4bhyekwwhye2cflt979, 31cikgu3amy77e8452p6rj816, 7mfl844y4zw1u07g3owaxyaga, 8s3zfsb1yqt3trc1n9jcxiol, cdzfyzjbmsg88l4r24mwx1ryt, 2f4mu47m5t1lhn9sp4umhjtp0, eqfpy2v3q1fzy13317hwl8yc5, 6f5xvyg8yfw1a7kgigpa8duc",4015038661,194,7ektyvpzu0yj1b9dm7yfkxh3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504494855,2,32,1,0,0,dpp6fex0mdxsxhdct2qf66x5n,1,0,0,2023-02-05T15:02:23.144Z,2023-02-05T15:02:23Z,4015254069,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504494859,2,32,1,0,0,4moe0x01r1f5w30g38wshyftp,1,0,0,2023-02-05T15:02:23.144Z,2023-02-05T15:02:25Z,4015254077,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504494889,3,1,1,0,0,dpp6fex0mdxsxhdct2qf66x5n,1,50.2,49.7,2023-02-05T15:02:23.244Z,2023-02-05T15:02:26Z,4015254251,141,55.2,4015254249,140,32.7,4015254257,279,S,4015254253,212,18.8,4015254255,213,2.9,4015254247,56,Back,,,,,,,3de90guq76ncq4iqhstw29u22,C. Bücher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504494921,4,1,1,0,2,dpp6fex0mdxsxhdct2qf66x5n,1,32.7,55.2,2023-02-05T15:02:25.968Z,2023-02-05T15:02:28Z,4015254435,56,Back,4015254439,141,72.7,4015254441,212,13.7,4015254437,140,26.3,4015254443,213,2.1,,,,,,,,,,bf38nsprlsb7783sgyl1ezq3t,E. Van Deursen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504494963,5,1,1,0,5,dpp6fex0mdxsxhdct2qf66x5n,1,26,72.1,2023-02-05T15:02:28.736Z,2023-02-05T15:02:32Z,4015254675,56,Back,4015254679,141,47.9,4015254681,212,16.9,4015254677,140,22.2,4015254683,213,4.5,,,,,,,,,,1asefru50u06hyhmoa7d9qcx5,L. Marti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504494975,6,1,1,0,8,dpp6fex0mdxsxhdct2qf66x5n,1,22.2,47.9,2023-02-05T15:02:32.128Z,2023-02-05T15:02:34Z,4015254777,213,1.3,4015254771,140,27.9,4015254775,212,19.2,4015254769,56,Back,4015254773,141,74.7,,,,,,,,,,2lsz8g4mvgqvartyjfud90e6t,M. Friedrich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504495023,7,1,1,0,10,dpp6fex0mdxsxhdct2qf66x5n,1,28.3,74.1,2023-02-05T15:02:34.129Z,2023-02-05T15:02:38Z,4015255077,212,14.5,4015255071,56,Back,4015255073,140,25.3,4015255079,213,4.5,4015255075,141,53.3,,,,,,,,,,1asefru50u06hyhmoa7d9qcx5,L. Marti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504495055,8,1,1,0,15,dpp6fex0mdxsxhdct2qf66x5n,1,25.3,53.3,2023-02-05T15:02:38.769Z,2023-02-05T15:02:41Z,4015255243,140,28.5,4015255249,213,1.4,4015255245,141,77.3,4015255241,56,Back,4015255247,212,16.7,,,,,,,,,,2lsz8g4mvgqvartyjfud90e6t,M. Friedrich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504495075,9,1,1,0,17,dpp6fex0mdxsxhdct2qf66x5n,1,28.3,77.3,2023-02-05T15:02:41.041Z,2023-02-05T15:02:43Z,4015255359,141,96.3,4015255355,56,Back,4015255363,213,0.8,4015255357,140,41.2,4015255361,212,18.7,,,,,,,,,,1asefru50u06hyhmoa7d9qcx5,L. Marti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504495087,10,1,1,0,19,dpp6fex0mdxsxhdct2qf66x5n,0,41.4,96.3,2023-02-05T15:02:42.897Z,2023-02-05T15:02:44Z,4015255479,286,,4015255475,233,3,4015255419,140,45.9,4015255425,213,5.9,4015255473,236,,4015255417,56,Back,4015255421,141,93.3,4015255423,212,5.1,gvm839vxy6tkznrtw9mop17u,Ivana Fuso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
