id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value
2487619943,1,34,16,0,0,eyecbfb1ur2104bhhwazhvrf,1,0,0,2022-11-25T17:20:55.294Z,2022-11-25T18:19:05Z,3926299263,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3926299251,30,"46yjl6a3rr1djzc4qu6etlrai, aq30av6eea3gxh2rk7c0bzi09, 1abadnoiq5hbwpfzzyvho4vkl, d32rm12ddel0p93luuh5fq9cl, 25ord6k6oglqdzt77nrs19e5l, 33nggo6w6e52yqmc2pa528xd5, 8ifhj2h1m7rt84i4bxksnmgnp, epdlb32r151kz861mljb1rs9h, y7mxuyh5olv0rh5od3p2gtt5, 1lafqq1ic48v5500r8b0uprdh, 6aym6t1mr1xzv5pxvbtbn6hgp, cwotwuxqimldexy77lqdh2t3p, 1oib97ihu6ofz1fvsvih0mnkl, 2x6hdcwn2s78i5frzj4q2s2c5, efynp5qo9b9x0lh9b4ft0ic8a, 9u74jd7ak8uad6lnhnthawiqd, 1l4s1w66pir9xk79jp78bxnmx, 5s8fprpl188pkkzn3524vph7u",3926299259,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3926321139,197,16948,3926299261,194,d32rm12ddel0p93luuh5fq9cl,3926299257,130,4,3926299253,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3926299255,59,"21, 8, 9, 33, 31, 7, 13, 17, 25, 18, 23, 1, 5, 6, 10, 16, 22, 27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487620195,1,34,16,0,0,6mng5xcarvyip7ixoss7au245,1,0,0,2022-11-25T17:23:11.732Z,2022-11-25T18:38:11Z,3926300525,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",3926300523,130,15,3926300519,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5",3926300527,194,3bg4ewc3n4ytybr96lc313ahh,3926300521,59,"41, 18, 15, 20, 21, 4, 19, 2, 7, 9, 26, 13, 11, 22, 23, 24, 29",3926300517,30,"do1uv3ohvyvodhcindxj76qy1, 6yoqpu952gnc6trdg6vpala6t, 1139rvy7ws5o77eq04wprf0tl, byrtspkep316747j5mj5lyei, 8xphahi0vi6fnh8ou88zzb6j9, e3gddzy59fp8lidsr83vpw12i, qygwawkthmtcn3sx4ptq0e8k, 8etvu6b9z7sm2rg3wqkmchk9h, 4663ukpnmrw6i3tm1fvzl7u1h, azqwt1eb6ozui2xml066e59n8, 3bg4ewc3n4ytybr96lc313ahh, co6n1ylcgql0rzvwk4syob5uy, 42h5sz2axk69ifygo0wzuvr2t, 1tkgs09548p54arfjuufivk7o, azitzbihzs5b3iv56nq4iszit, lumzmqt9mvg1pkm0sikavo5w, ambjrl1ky848xbmdwsrsbjpey",3926337145,197,8545,3926300529,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487622933,2,32,1,0,0,6mng5xcarvyip7ixoss7au245,1,0,0,2022-11-25T18:15:43.475Z,2022-11-25T18:15:43Z,3926322039,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487622935,2,32,1,0,0,eyecbfb1ur2104bhhwazhvrf,1,0,0,2022-11-25T18:15:43.475Z,2022-11-25T18:15:44Z,3926322043,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487622941,3,1,1,0,0,6mng5xcarvyip7ixoss7au245,1,50,50,2022-11-25T18:15:43.575Z,2022-11-25T18:16:03Z,3926322065,213,3.1,3926322057,56,Back,3926322061,141,50.4,3926322063,212,14.0,3926322067,279,S,3926322059,140,36.7,,,,,,,4663ukpnmrw6i3tm1fvzl7u1h,M. Kyōkawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487622945,4,1,1,0,2,6mng5xcarvyip7ixoss7au245,1,36.7,50.4,2022-11-25T18:15:46.166Z,2022-11-25T18:15:49Z,3926322095,212,33.1,3926322087,155,,3926322093,141,80.2,3926322091,140,61.6,3926322099,1,,3926322097,213,0.7,3926322089,56,Left,,,,8etvu6b9z7sm2rg3wqkmchk9h,M. Rouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487622949,5,61,1,0,5,6mng5xcarvyip7ixoss7au245,0,61.6,80.2,2022-11-25T18:15:48.766Z,2022-11-25T18:38:05Z,3926322123,56,Left,,,,,,,,,,,,,,,,,,,,,,3bg4ewc3n4ytybr96lc313ahh,M. Wiankowska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487622961,3,5,1,0,6,eyecbfb1ur2104bhhwazhvrf,1,31.8,-1.8,2022-11-25T18:15:49.744Z,2022-11-25T18:15:54Z,3926322165,347,,3926322163,56,Back,3926322167,233,6,,,,,,,,,,,,,,,,y7mxuyh5olv0rh5od3p2gtt5,M. Kössler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487622955,6,5,1,0,6,6mng5xcarvyip7ixoss7au245,0,68.2,101.8,2022-11-25T18:15:49.744Z,2022-11-25T18:37:26Z,3926322147,347,,3926322145,56,Left,3926322171,233,3,,,,,,,,,,,,,,,,3bg4ewc3n4ytybr96lc313ahh,M. Wiankowska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487622963,4,1,1,0,10,eyecbfb1ur2104bhhwazhvrf,1,30,0,2022-11-25T18:15:53.692Z,2022-11-25T18:15:55Z,3926322185,141,21.2,3926322189,213,1.2,3926322181,56,Back,3926322183,140,35.2,3926322179,107,,3926322187,212,16.5,,,,,,,aq30av6eea3gxh2rk7c0bzi09,P. Krumbiegel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
