id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,keyPass,qualifier/9/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/8/value,qualifier/14/value
2524966961,1,34,16,0,0,dtucewmt49th1p4selfutmnmc,1,0,0,2023-03-26T22:36:08.179Z,2023-03-27T00:16:32Z,4125661915,194,5rtm5d6v7nfqjh9ahayyc1bkl,4125661913,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4125661909,59,"1, 2, 16, 4, 25, 20, 8, 7, 29, 77, 14, 3, 5, 9, 21, 22, 24, 27, 44",4125683159,197,10600,4125661919,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4125661907,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",4125661911,130,4,4125661905,30,"2e8med2swmjdv0uck4hmz4s4q, 7hrw0exutge376ai2uf6frw4q, 6zvfcc67po0ofvl1twrv13tg5, 2mawkst2xlxrp2zbvgk6rundh, amls5kykb1h1c9b1mpiue3i6t, 5rtm5d6v7nfqjh9ahayyc1bkl, 9tbrhbbmfxq8l363kybl4g7ah, asfd5wkedz1u29xt37r6or4rt, 26d7uj41yx6no1oc3izr0rys5, v0q4f70xrc8ylwip5lfva5ed, 2qqged8hw4lzh6u8r81kc22fp, egntdpd5mpnv6i8n8uv4yolhx, 3v2uqzotxtogavxgqpe7plene, brs2knmydegipvthtwu6xwqac, 3svqubb2pdx77fopvm9tfc7x0, 4f0zm6i0gg260zvicbviqsdn8, 24lhpn1z5ikitapll48t1z7kk, 741s72n2a9z9o8lbcz3jx8gyd, 7gslai7b2mkllvzelqo0rknvt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524967535,1,34,16,0,0,c3v2ohfuzoqmc8ljm65hi80sj,1,0,0,2023-03-26T22:40:17.917Z,2023-03-26T23:14:14Z,4125685315,194,cgfk0e62cesbgieslfge2p61h,4125665419,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4125665421,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4125665411,30,"53uflfknc5uus7iqw3obp5fx1, 6fs7fjwxqpkgzosbb8364d4np, 2x4vbu3htfozzwd8g7bdxeacp, cgfk0e62cesbgieslfge2p61h, 8co65x7tuvynuqvket8okb7xl, e4lfaia255nw9ndnol0mvxc2y, 5ni7a4s85lp22rysy5inywf3e, ajm2otiy72xcni5pbtu1259n8, bj3unxp9xho1kr7sztpweagyy, 9jitxfwaeix5fn1n3dhartbhm, 270qzf9ig52z04iu3ujnmstg4, i6agm9wbvn7j7iljfnmnqq6s, 38p95hbwy1ivwo4orwdrwal90, blgb1n71xsz7bbzpd2le9v33e, 4tm3f1xmjfy7hffe7io731yxg, dtrm0ji0olk3n01v71m8a5exh, 70bj6elm2g05zf0tfvbbta2mt, 1he80t4tdvj86rbvng0956prd, 5z4eljhtvsvscd9kvsi0cfh7t, edwr7f7jwnxm1plk91fx8hfro",4125683463,197,3403,4125665415,59,"1, 3, 5, 13, 4, 23, 14, 29, 11, 9, 21, 35, 39, 31, 37, 2, 6, 7, 17, 22",4125665413,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4125665417,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524971155,2,32,1,0,0,c3v2ohfuzoqmc8ljm65hi80sj,1,0,0,2023-03-26T23:08:53.848Z,2023-03-26T23:08:55Z,4125684019,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524971143,2,32,1,0,0,dtucewmt49th1p4selfutmnmc,1,0,0,2023-03-26T23:08:53.848Z,2023-03-26T23:08:54Z,4125683951,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524971177,3,1,1,0,0,c3v2ohfuzoqmc8ljm65hi80sj,1,49.9,50.5,2023-03-26T23:08:53.948Z,2023-03-26T23:09:00Z,4125684107,212,13.0,4125684103,140,38.9,4125684105,141,41.7,4125684111,279,S,4125684101,56,Back,4125684109,213,3.6,,,,,,,bj3unxp9xho1kr7sztpweagyy,D. Ordoñez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524971183,4,1,1,0,6,c3v2ohfuzoqmc8ljm65hi80sj,1,38.7,40.7,2023-03-26T23:09:00.320Z,2023-03-27T00:02:26Z,4125684129,140,33.9,4125684131,141,7.7,4125684133,212,23.0,4125684135,213,4.5,4125684127,56,Back,,,,,,,,,,cgfk0e62cesbgieslfge2p61h,S. Schmidt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524971185,5,1,1,0,7,c3v2ohfuzoqmc8ljm65hi80sj,1,33.9,7.7,2023-03-26T23:09:01.729Z,2023-03-26T23:09:03Z,4125684153,140,51.7,4125684151,56,Right,4125684157,212,18.8,4125684155,141,4.9,4125684159,213,6.2,,,,,,,,,,6fs7fjwxqpkgzosbb8364d4np,C. Dydasco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524971189,6,1,1,0,9,c3v2ohfuzoqmc8ljm65hi80sj,1,51.7,4.9,2023-03-26T23:09:03.360Z,2023-03-27T00:02:42Z,4125684175,213,3.0,4125684173,212,14.9,4125684169,140,37.6,4125684171,141,7.3,4125684167,56,Back,,,,,,,,,,5ni7a4s85lp22rysy5inywf3e,M. Viggiano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524971205,7,1,1,0,10,c3v2ohfuzoqmc8ljm65hi80sj,1,37.6,7.3,2023-03-26T23:09:04.161Z,2023-03-26T23:09:10Z,4125684249,213,2.3,4125684245,141,45.1,4125684243,140,15.4,4125684241,56,Back,4125684247,212,34.7,4125684251,1,,,,,,,,6fs7fjwxqpkgzosbb8364d4np,C. Dydasco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524971211,8,1,1,0,16,c3v2ohfuzoqmc8ljm65hi80sj,1,16.2,46.1,2023-03-26T23:09:10.321Z,2023-03-26T23:09:11Z,4125684281,212,15.5,4125684279,141,67.3,4125684277,140,21.5,4125684283,213,1.2,4125684275,56,Back,,,,,,,,,,53uflfknc5uus7iqw3obp5fx1,J. Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
