id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/14/value,qualifier/9/value,qualifier/11/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/16/value
2544742411,1,34,16,0,0,966pdxhsoxaib9qt5083h8uus,1,0,0,2023-05-06T22:16:49.677Z,2023-05-06T23:06:10Z,4256476501,197,18735,4256380393,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4256380385,59,"21, 2, 3, 14, 5, 6, 10, 8, 23, 15, 9, 7, 11, 19, 25, 26, 29, 30, 31, 32",4256380391,194,c811si1xw5he6ih0o1mj94tsl,4256380383,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4256380389,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4256380387,130,8,4256380381,30,"7e8f4kfwcucaj4239xz0rai1h, 3cyj9a2fjtx4xd0bqdh6g3azu, 1uf4321zvio3hrwfu4z4jxp7t, 77agy8f4m7ybib2cssdfsltuy, 9hs0hutntgdjklszqisxozend, 9yvkpwm78jaqr321imfc3rrbo, c811si1xw5he6ih0o1mj94tsl, 91pl4sfwk9t4ybwanj8dlwahg, 191uogxjdg4uo178qv1544jys, 9dhcf93mr1nfzxjv769gvnzyt, 9hnfv1rr3nnsu8puxgd05teqd, 3wv8fvkh6lf02lkinpj30ecfe, eigt6t2rj0k98zt1isqrvtvqh, 3806ue4qpxyit2ps1ubj3hrkl, dyfsbff9jueyw5jhjou424bo4, 4ptow542cf8xp3kct4sbydh5g, a79iaz3p6ag1g6qx8ws1y8ff8, djs5syjzqdeh70g1xkzmbvld5, 1581xqhaxb753qd86v03j6ycq, 6x5f13ghtvbdhcf7f9sct54dm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544743907,1,34,16,0,0,dtucewmt49th1p4selfutmnmc,1,0,0,2023-05-06T22:20:11.757Z,2023-05-06T23:07:12Z,4256388941,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4256388931,30,"2e8med2swmjdv0uck4hmz4s4q, 7hrw0exutge376ai2uf6frw4q, 6zvfcc67po0ofvl1twrv13tg5, 1zjvb0kej2m1kp1sl0hw8tmuh, esz6xzkinz76pk8edmsjwldzo, 5rtm5d6v7nfqjh9ahayyc1bkl, 9tbrhbbmfxq8l363kybl4g7ah, brs2knmydegipvthtwu6xwqac, 26d7uj41yx6no1oc3izr0rys5, v0q4f70xrc8ylwip5lfva5ed, 3v2uqzotxtogavxgqpe7plene, egntdpd5mpnv6i8n8uv4yolhx, 1x7uympcm3bao133r6wr3nw15, 347h4639fjw27rx29j0we0q5m, 3svqubb2pdx77fopvm9tfc7x0, 4f0zm6i0gg260zvicbviqsdn8, amls5kykb1h1c9b1mpiue3i6t, 741s72n2a9z9o8lbcz3jx8gyd, 7gslai7b2mkllvzelqo0rknvt, cg742b2p33p8uuomo365c5h5g",4256430831,194,1zjvb0kej2m1kp1sl0hw8tmuh,4256388937,130,4,4256388933,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4256388939,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4256388935,59,"1, 2, 16, 6, 15, 20, 8, 9, 29, 77, 5, 3, 11, 19, 21, 22, 25, 27, 44, 99",4256478205,197,10600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544760459,2,32,1,0,0,dtucewmt49th1p4selfutmnmc,1,0,0,2023-05-06T23:07:40.188Z,2023-05-06T23:07:42Z,4256479159,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544760457,2,32,1,0,0,966pdxhsoxaib9qt5083h8uus,1,0,0,2023-05-06T23:07:40.188Z,2023-05-06T23:07:40Z,4256479157,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544760473,3,1,1,0,0,966pdxhsoxaib9qt5083h8uus,1,50.2,50,2023-05-06T23:07:40.288Z,2023-05-06T23:08:16Z,4256479227,212,12.6,4256479223,140,41.2,4256479229,213,3.9,4256479231,279,S,4256479221,56,Back,4256479225,141,37.7,,,,,,,9dhcf93mr1nfzxjv769gvnzyt,E. Tymrak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544760479,4,1,1,0,1,966pdxhsoxaib9qt5083h8uus,1,41.2,37.7,2023-05-06T23:07:41.898Z,2023-05-06T23:07:44Z,4256479267,213,0.4,4256479263,141,46.4,4256479259,56,Center,4256479265,212,17.1,4256479261,140,56.5,,,,,,,,,,91pl4sfwk9t4ybwanj8dlwahg,M. Cluff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544760493,5,1,1,0,3,966pdxhsoxaib9qt5083h8uus,1,55.2,49.3,2023-05-06T23:07:44.056Z,2023-05-06T23:08:41Z,4256479355,56,Center,4256479363,212,10.3,4256479361,141,35.4,4256479365,213,5.1,4256479359,140,59.1,,,,,,,,,,9dhcf93mr1nfzxjv769gvnzyt,E. Tymrak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544760499,6,1,1,0,5,966pdxhsoxaib9qt5083h8uus,0,59.1,35.4,2023-05-06T23:07:46.121Z,2023-05-06T23:07:47Z,4256479401,213,0.6,4256479395,140,75.5,4256479399,212,21.2,4256479393,56,Center,4256479397,141,53.7,,,,,,,,,,c811si1xw5he6ih0o1mj94tsl,Marta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544760501,3,8,1,0,6,dtucewmt49th1p4selfutmnmc,1,24.1,50.3,2023-05-06T23:07:46.913Z,2023-05-06T23:08:55Z,4256479407,56,Back,,,,,,,,,,,,,,,,,,,,,,esz6xzkinz76pk8edmsjwldzo,J. Lester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544760507,4,49,1,0,8,dtucewmt49th1p4selfutmnmc,1,25.5,43.9,2023-05-06T23:07:48.206Z,2023-05-06T23:07:48Z,,,,,,,,,,,,,,,,,,,,,,,,,v0q4f70xrc8ylwip5lfva5ed,Wang Shuang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544760535,5,1,1,0,8,dtucewmt49th1p4selfutmnmc,1,25.9,42.8,2023-05-06T23:07:48.383Z,2023-05-06T23:07:54Z,4256479643,141,65.8,4256479647,213,1.4,4256479639,56,Back,4256479641,140,28.1,4256479645,212,15.8,,,,,,,,,,v0q4f70xrc8ylwip5lfva5ed,Wang Shuang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544760553,6,1,1,0,13,dtucewmt49th1p4selfutmnmc,1,36.8,84.4,2023-05-06T23:07:54.014Z,2023-05-06T23:07:56Z,4256479733,141,91.7,4256479737,213,0.5,4256479729,56,Back,4256479731,140,45.6,4256479735,212,10.5,,,,,,,,,,6zvfcc67po0ofvl1twrv13tg5,C. Pickett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544760581,7,1,1,0,15,dtucewmt49th1p4selfutmnmc,1,47.1,95.6,2023-05-06T23:07:56.048Z,2023-05-06T23:07:59Z,4256479861,140,41.3,4256479859,56,Back,4256479865,212,6.6,4256479863,141,91.7,4256479867,213,3.6,,,,,,,,,,3v2uqzotxtogavxgqpe7plene,P. Monaghan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544760605,8,1,1,0,19,dtucewmt49th1p4selfutmnmc,1,42.3,88,2023-05-06T23:07:59.647Z,2023-05-06T23:08:03Z,4256479993,212,9.9,4256479987,140,33.3,4256479995,213,3.4,4256479985,56,Back,4256479991,141,83.6,,,,,,,,,,6zvfcc67po0ofvl1twrv13tg5,C. Pickett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544760637,9,1,1,0,22,dtucewmt49th1p4selfutmnmc,1,31.6,75.4,2023-05-06T23:08:03.054Z,2023-05-06T23:08:07Z,4256480211,140,29.0,4256480209,56,Back,4256480215,212,25.6,4256480213,141,37.9,4256480217,213,4.6,,,,,,,,,,5rtm5d6v7nfqjh9ahayyc1bkl,A. Erceg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544760653,10,1,1,0,27,dtucewmt49th1p4selfutmnmc,1,28.6,41.6,2023-05-06T23:08:07.358Z,2023-05-06T23:08:10Z,4256480317,141,62.1,4256480321,213,1.4,4256480313,56,Back,4256480319,212,14.2,4256480315,140,31.4,,,,,,,,,,esz6xzkinz76pk8edmsjwldzo,J. Lester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544760677,11,1,1,0,30,dtucewmt49th1p4selfutmnmc,1,33.5,67,2023-05-06T23:08:10.446Z,2023-05-06T23:08:13Z,4256480445,212,22.8,4256480441,140,45.1,4256480447,213,1.0,4256480439,56,Back,4256480443,141,95.3,,,,,,,,,,5rtm5d6v7nfqjh9ahayyc1bkl,A. Erceg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544760707,12,1,1,0,32,dtucewmt49th1p4selfutmnmc,1,45.8,96,2023-05-06T23:08:13.133Z,2023-05-06T23:08:17Z,4256480615,140,67.3,4256480611,155,,4256480621,213,5.9,4256480617,141,83.6,4256480613,56,Left,4256480619,212,24.1,,,,,,,6zvfcc67po0ofvl1twrv13tg5,C. Pickett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544760711,13,50,1,0,37,dtucewmt49th1p4selfutmnmc,1,64.8,76.2,2023-05-06T23:08:17.662Z,2023-05-06T23:08:20Z,4256480719,233,7,4256480635,286,,4256480631,56,Center,,,,,,,,,,,,,,,,brs2knmydegipvthtwu6xwqac,K. Fischer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544760721,7,7,1,0,37,966pdxhsoxaib9qt5083h8uus,1,35.2,23.8,2023-05-06T23:08:17.663Z,2023-05-06T23:08:20Z,4256480711,233,13,4256480673,56,Back,4256480675,285,,,,,,,,,,,,,,,,,91pl4sfwk9t4ybwanj8dlwahg,M. Cluff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544760725,8,49,1,0,39,966pdxhsoxaib9qt5083h8uus,1,39.1,25.2,2023-05-06T23:08:19.608Z,2023-05-06T23:08:35Z,,,,,,,,,,,,,,,,,,,,,,,,,3cyj9a2fjtx4xd0bqdh6g3azu,H. McCutcheon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544760739,9,1,1,0,39,966pdxhsoxaib9qt5083h8uus,1,39.1,25.2,2023-05-06T23:08:20.154Z,2023-05-06T23:08:38Z,4256480769,140,40.5,4256480775,213,5.0,4256480773,212,4.6,4256480771,141,18.8,4256480765,56,Back,,,,,,,,,,3cyj9a2fjtx4xd0bqdh6g3azu,H. McCutcheon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544760745,10,50,1,0,42,966pdxhsoxaib9qt5083h8uus,1,35.8,20.8,2023-05-06T23:08:22.232Z,2023-05-06T23:08:24Z,4256480805,286,,4256480849,233,14,4256480803,56,Back,,,,,,,,,,,,,,,,91pl4sfwk9t4ybwanj8dlwahg,M. Cluff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544760749,14,7,1,0,42,dtucewmt49th1p4selfutmnmc,0,64.2,79.2,2023-05-06T23:08:22.233Z,2023-05-06T23:08:23Z,4256480827,285,,4256480823,233,10,4256480819,56,Left,,,,,,,,,,,,,,,,brs2knmydegipvthtwu6xwqac,K. Fischer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544760791,11,1,1,0,47,966pdxhsoxaib9qt5083h8uus,0,38.7,21,2023-05-06T23:08:27.624Z,2023-05-06T23:08:29Z,4256481079,212,6.6,4256481073,56,Back,4256481081,213,1.2,4256481077,141,30.1,4256481075,140,41.0,,,,,,,,,,9dhcf93mr1nfzxjv769gvnzyt,E. Tymrak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544760793,15,49,1,0,48,dtucewmt49th1p4selfutmnmc,1,55.9,64.6,2023-05-06T23:08:28.317Z,2023-05-06T23:08:28Z,,,,,,,,,,,,,,,,,,,,,,,,,9tbrhbbmfxq8l363kybl4g7ah,Ary Borges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544760819,16,1,1,0,49,dtucewmt49th1p4selfutmnmc,1,58.1,64,2023-05-06T23:08:29.933Z,2023-05-06T23:08:31Z,4256481191,56,Center,4256481193,140,63.3,4256481199,213,5.1,4256481197,212,14.0,4256481195,141,45.1,,,,,,,,,,9tbrhbbmfxq8l363kybl4g7ah,Ary Borges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544760837,17,1,1,0,51,dtucewmt49th1p4selfutmnmc,1,63.3,45.1,2023-05-06T23:08:31.246Z,2023-05-06T23:08:33Z,4256481291,56,Center,4256481295,141,56.3,4256481299,213,1.8,4256481293,140,61.3,4256481297,212,7.9,,,,,,,,,,v0q4f70xrc8ylwip5lfva5ed,Wang Shuang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544760861,18,1,1,0,53,dtucewmt49th1p4selfutmnmc,1,63.1,54.2,2023-05-06T23:08:33.550Z,2023-05-06T23:08:35Z,4256481383,56,Center,4256481389,140,61.8,4256481397,212,21.0,4256481393,141,23.4,4256481399,213,4.6,,,,,,,,,,9tbrhbbmfxq8l363kybl4g7ah,Ary Borges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
