id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value,qualifier/15/value,qualifier/16/value,assist
2486602545,1,34,16,0,0,9ouh98eyf6u69lbxc13mllm7f,1,0,0,2022-11-19T10:31:07.866Z,2022-11-19T11:27:47Z,3920943883,30,"eurxmqgiqw2hlsu8x0of9to7p, dc80qat3wirccbux02od5ogyd, 5ic26p6vixiy9kqtxniuh9zh1, 80bmdjixjy34wx3e5fb8re961, 9le3udqhtfsbnlr6py67cj71m, 42t82kh0hqfa7h92x1ujdz97u, 982xo55a6ehu6960fxwr3bfje, f20f6etew7qc0bgwp7j1bgyne, aoy956n72pya0cc6bqj5x736x, 3rob14yal0zrzxj2tdpp4sewa, buqygjztmnvmul49w3grzuo5x, 8jok7wopda70yus7gj5qwi1nt, 5ql8n3lw656v4i4wk74cselm1, eno0e1nmkn4ts5yy103k7inzd, 4wq471cuusdudbev0bhruq4bu, bpqjytbm9oxa367bwxcyhiolw, dedalbg17clun6r7prnhv3384, bk7omly5z8mcdy7ehb70yto15",3920943889,130,8,3920943891,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3920943885,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3920963423,197,4186,3920943887,59,"25, 20, 23, 14, 4, 22, 16, 21, 17, 6, 10, 1, 31, 8, 11, 28, 33, 35",3920943893,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3920963455,194,5ic26p6vixiy9kqtxniuh9zh1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486602887,1,34,16,0,0,eqaszp3lzhffqt4f8hmzov72j,1,0,0,2022-11-19T10:33:17.682Z,2022-11-19T10:58:36Z,3920945285,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5",3920945291,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",3920963281,197,14201,3920945283,30,"77qiz0pydyy47nrcuqqtcom50, 5zfnimycb0516oj3frebpisk4, comno008m9p6kg2cxtbc7suwa, cvq0jg2vh6kxwf0lcpmuf3i8k, 4jz2cnk91to6lp7cujbzhnwq2, c4bthgzk7mykmnkyn4142i3v8, 1saqhw307zho8fyokoav1j6s4, okqhs5xt0v9a0v7qo2l9omqc, eaebjxv5o929urb7nerrq9qtw, de1rbqfoaq2wyrd2781bxqqc5, f5c7fj7ce4uklgzn8el0c90d0, 9wa7byb078u86r3x5bvzgkogl, eqpwd1q5nx96qlatx982k37it, 7vvcwgog9p2a3i1qjp0exzyi2, d90k7acrynushpp6sld2e9h3p, cklnfn4gt480hn4o3m3d979w, 5lwte3qujkcw20jcc691itbdh",3920945289,130,8,3920945293,194,c4bthgzk7mykmnkyn4142i3v8,3920945287,59,"1, 17, 14, 8, 3, 4, 19, 12, 7, 11, 15, 2, 6, 10, 13, 21, 23",3920945295,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486608605,2,32,1,0,0,eqaszp3lzhffqt4f8hmzov72j,1,0,0,2022-11-19T11:01:41.072Z,2022-11-19T11:01:41Z,3920965225,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486608607,2,32,1,0,0,9ouh98eyf6u69lbxc13mllm7f,1,0,0,2022-11-19T11:01:41.072Z,2022-11-19T11:01:43Z,3920965227,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486608617,3,1,1,0,0,eqaszp3lzhffqt4f8hmzov72j,1,50.1,50.7,2022-11-19T11:01:41.172Z,2022-11-19T11:01:44Z,3920965273,279,S,3920965267,141,32.4,3920965265,140,33.0,3920965271,213,3.7,3920965263,56,Back,3920965269,212,21.8,,,,,,,eaebjxv5o929urb7nerrq9qtw,Andrea Carid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486608627,4,1,1,0,3,eqaszp3lzhffqt4f8hmzov72j,0,32.3,32.4,2022-11-19T11:01:44.701Z,2022-11-19T11:02:18Z,3920965309,140,12.4,3920965315,213,3.3,3920965307,56,Back,3920965311,141,26.4,3920965313,212,21.3,,,,,,,,,,okqhs5xt0v9a0v7qo2l9omqc,Zaira Flores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486608635,5,1,1,0,6,eqaszp3lzhffqt4f8hmzov72j,1,12.4,26.4,2022-11-19T11:01:47.246Z,2022-11-19T11:01:48Z,3920965345,212,15.5,3920965339,56,Back,3920965343,141,47.3,3920965341,140,6.4,3920965347,213,2.0,,,,,,,,,,4jz2cnk91to6lp7cujbzhnwq2,Lena Pérez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486608677,6,1,1,0,7,eqaszp3lzhffqt4f8hmzov72j,1,6.2,47.5,2022-11-19T11:01:48.509Z,2022-11-19T11:01:56Z,3920965515,212,70.3,3920965507,157,,3920965519,1,,3920965513,141,13.8,3920965509,56,Right,3920965517,213,6.0,3920965511,140,69.5,,,,77qiz0pydyy47nrcuqqtcom50,Laura Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486608679,7,61,1,0,15,eqaszp3lzhffqt4f8hmzov72j,0,76,8.8,2022-11-19T11:01:56.429Z,2022-11-19T11:01:56Z,3920965523,56,Right,,,,,,,,,,,,,,,,,,,,,,1saqhw307zho8fyokoav1j6s4,Marina Martí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486608693,3,56,1,0,17,9ouh98eyf6u69lbxc13mllm7f,1,0,0,2022-11-19T11:01:58.658Z,2022-11-19T11:04:22Z,3920965583,56,Back,,,,,,,,,,,,,,,,,,,,,,42t82kh0hqfa7h92x1ujdz97u,Patri Gavira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
