id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,qualifier/15/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value
2533436463,1,34,16,0,0,8zt8rrm6v5nccv01v6pef0r1o,1,0,0,2023-04-15T09:03:13.745Z,2023-04-15T10:12:47Z,4189305577,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4189305575,130,10,4189305579,194,4bcef9sqkbml7b2jtqhbz602d,4189305581,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4189351823,197,5376,4189305573,59,"1, 21, 3, 11, 15, 2, 6, 7, 26, 16, 22, 4, 5, 9, 13, 14, 17, 19, 20, 27",4189305571,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4189305569,30,"4bcef9sqkbml7b2jtqhbz602d, 20nehty0pfzlg8wj60l87taeh, lanj0745tf4i4hige9vm9qll, 24dpnyyhqgnve5zzget4gz1zp, 9163edyiljpd18plos0eb2j8p, efxmnnjg8l00ns74d7nnloi22, 3alzawtqpfjtb3vez30mbp0mi, daze51b5849zsk2aqvgmkkbth, 4pavtall24hy4jle51p1lqkbu, 263vizqqfp8zwwws0exdrl3o5, 5qvgs8yefgkayj9yt1kidkcfd, 1duox0r8qvb3t52m9w4mp86ol, 52kdiaya57yaisoil0k9ss0oa, 3iet32cz1jg865iswu92kqd49, b24bgt8u8e1b1gb98k9sf9lw4, 921nkcoy16y0wya801bo53f85, 2a76iw4bpv8ppfhuc859cweeh, 1tusdkqm6v4khzekbrp2jfnqh, d0i38pk78vbxoqz7x2rzz8cx6, auyj06nha2syoygo7prfadobu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533437203,1,34,16,0,0,bop6aslxmwvzsapdxsw3xbvfg,1,0,0,2023-04-15T09:06:40.523Z,2023-04-15T09:58:01Z,4189352223,197,17519,4189308183,130,4,4189308181,59,"1, 8, 16, 21, 2, 4, 14, 12, 18, 10, 30, 3, 5, 7, 9, 13, 15, 17, 19, 22, 23, 24, 25",4189308187,194,5h9k65zukry196snla3xgmh91,4189308189,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4189308185,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4189308177,30,"11so3nfejun31ajhmqjlwapqt, 5h9k65zukry196snla3xgmh91, 1vqpa944d79cnljfbjb8yjlcl, 8h7r4d4z2gjne58xwu3koiok5, bgzh3zwl99bpnnpj37jn4dmtx, 4n6mnhjzt6zpicfea3ym678id, 5ovqn6llocczhae9n1kzj5nf9, 22zrashyijuh9pnjovqpyl8lx, dzhvgrdkl4nuj8z4fd9to0ag9, 2cl7scn4j10rfq44mweo735cl, 7mehm5v7egyc1r4qioexklbmc, 3kfxvwa38a7oq0d126jm4o9ka, 3ruj0we4jma5m60xumyoir1ii, 9gdocwx006j6wyz4mnhzgzydx, 6291bj0xqq1w2631bajrpeb4l, 7yd1zxbm6jnvxhmk1v2xyh9m1, 1dg7whnmk3nb1adw7n8a7nnbp, 40wxai4gm0pdry6545i5c68ve, 9t2pn6dp6w38b169a5qo9c60a, f0cwpq45aa7b5de10j9skw44p, cvy1q6gtx1gs9ddemdpcf8ded, 2qfg4adqsjv2qmt9up7iq2t7u, enc694gvlgycx72bhat5f7wbu",4189308179,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533448259,2,32,1,0,0,bop6aslxmwvzsapdxsw3xbvfg,1,0,0,2023-04-15T10:00:05.427Z,2023-04-15T10:00:06Z,4189354603,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533448257,2,32,1,0,0,8zt8rrm6v5nccv01v6pef0r1o,1,0,0,2023-04-15T10:00:05.427Z,2023-04-15T10:00:07Z,4189354591,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533448277,3,1,1,0,0,bop6aslxmwvzsapdxsw3xbvfg,1,50.1,49.7,2023-04-15T10:00:05.527Z,2023-04-15T10:00:07Z,4189354683,279,S,4189354681,213,3.1,4189354679,212,17.0,4189354677,141,50.3,4189354675,140,33.9,4189354673,56,Back,,,,,,,dzhvgrdkl4nuj8z4fd9to0ag9,Geyse Ferreira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533448287,4,1,1,0,2,bop6aslxmwvzsapdxsw3xbvfg,1,33.9,50.3,2023-04-15T10:00:07.670Z,2023-04-15T10:00:08Z,4189354753,213,1.6,4189354751,212,9.9,4189354749,141,64.8,4189354747,140,34.0,4189354745,56,Back,,,,,,,,,,8h7r4d4z2gjne58xwu3koiok5,K. Walsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533448291,5,1,1,0,3,bop6aslxmwvzsapdxsw3xbvfg,1,34,64.8,2023-04-15T10:00:08.789Z,2023-04-15T10:00:11Z,4189354783,213,4.2,4189354777,140,23.6,4189354779,141,39.1,4189354775,56,Back,4189354781,212,20.6,,,,,,,,,,22zrashyijuh9pnjovqpyl8lx,Patri Guijarro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533448305,6,1,1,0,5,bop6aslxmwvzsapdxsw3xbvfg,1,25.8,37.3,2023-04-15T10:00:10.933Z,2023-04-15T10:00:13Z,4189354831,140,32.1,4189354833,141,16.6,4189354829,56,Back,4189354835,212,15.6,4189354837,213,5.2,,,,,,,,,,bgzh3zwl99bpnnpj37jn4dmtx,Irene Paredes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533448323,7,1,1,0,7,bop6aslxmwvzsapdxsw3xbvfg,1,32.2,11.5,2023-04-15T10:00:13.157Z,2023-04-15T10:00:17Z,4189354951,212,18.4,4189354953,213,2.2,4189354945,56,Back,4189354949,141,33.7,4189354947,140,22.2,,,,,,,,,,5h9k65zukry196snla3xgmh91,Marta Torrejón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533448343,8,1,1,0,11,bop6aslxmwvzsapdxsw3xbvfg,1,23.8,30.5,2023-04-15T10:00:17.349Z,2023-04-15T10:00:19Z,4189355045,213,5.1,4189355037,56,Back,4189355039,140,28.7,4189355043,212,14.8,4189355041,141,10.1,,,,,,,,,,bgzh3zwl99bpnnpj37jn4dmtx,Irene Paredes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533448375,9,1,1,0,14,bop6aslxmwvzsapdxsw3xbvfg,1,28.7,10.1,2023-04-15T10:00:19.510Z,2023-04-15T10:00:24Z,4189355215,140,22.9,4189355219,212,21.0,4189355217,141,39.7,4189355213,56,Back,4189355221,213,1.9,,,,,,,,,,5h9k65zukry196snla3xgmh91,Marta Torrejón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533448387,10,1,1,0,18,bop6aslxmwvzsapdxsw3xbvfg,1,24.3,40.6,2023-04-15T10:00:23.926Z,2023-04-15T10:00:27Z,4189355293,212,19.2,4189355291,141,53.3,4189355289,140,8.0,4189355287,56,Back,4189355295,213,2.7,,,,,,,,,,bgzh3zwl99bpnnpj37jn4dmtx,Irene Paredes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533448399,11,1,1,0,21,bop6aslxmwvzsapdxsw3xbvfg,1,9.2,53.3,2023-04-15T10:00:27.302Z,2023-04-15T10:00:30Z,4189355369,212,20.5,4189355365,140,10.5,4189355367,141,23.2,4189355371,213,4.8,4189355363,56,Back,,,,,,,,,,11so3nfejun31ajhmqjlwapqt,Sandra Paños,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
