id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,assist,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,keyPass,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/15/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId
2552382545,1,34,16,0,0,9ns699xp353c84r1g6epazycl,1,0,0,2023-05-21T13:00:22.880Z,2023-05-21T14:13:43Z,4297052829,130,12,4297052825,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4297052835,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4297052827,59,"36, 12, 16, 8, 3, 4, 11, 14, 9, 10, 6, 5, 17, 18, 19, 20, 21, 22, 23, 25, 35",4297052833,194,zuec10u63781iv5rojm31yzu,4297564223,197,3945,4297052823,30,"6uttq0cpsnicezpcqy36p7r4k, 4by0xo4xinb0m8nziofw0g3bp, ybmp63ubo0wcvjut4ljomgru, 4duzcq6r3j9ejv5b6koygle22, 9jxxujnb2eoo7avj278ppnqvp, zuec10u63781iv5rojm31yzu, 25u358p365rnbnt0cptnyt3h1, 13mb0sv3j53kze8l7ehr4izmd, 9ld622ld2el1ql9vy2akchfit, eu6nudazhvggen5s7abc46bpx, 1z29kbiufzx7u32mh1fvy1rs9, e7e86fnm9fyy937yep9pocbft, 52ic0j91dhgr0vud2agr4ev2t, bu0u419xeqlkwvpsrx6a0ma51, 1ite4628zwl6kanllmr7qb1zp, 3ws5zg8wy6j86cr8yrqxnsx9m, 1szjchjw88hnlrwejnia4yyuh, 7n5a86810eorw5ugrdkognd62, 44j03m9xpbhjuxmqz6vge9y0a, b21lh284pf59feun9ktzfmc8a, 453st4qm4pnm6rrtzpm5jl2c4",4297052831,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552385345,1,34,16,0,0,djz9e25b9zuiu5rmv1zha3i6f,1,0,0,2023-05-21T13:02:29.891Z,2023-05-21T13:59:09Z,4297066837,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4297066845,194,5xlqh4i9zb5daj4khs1mbbxpm,4297066847,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4297066835,30,"5zhcjr5kxyxd2jmq1wel3ug9h, 5xlqh4i9zb5daj4khs1mbbxpm, 4ngzyppqh4iaqqy0vrynwz66s, 6aodvgoc9sh27cjwelwsm3qw9, 4a8y7vdsg6pz1nxnmu7wcqe50, 2dsgmfs9crnzz3425si3m9uj9, 67i9jwkech61ihpglnmpzygvd, 35uen906vvtndlnv3hrm5zo8a, 3z91j68ij26ar4vifyqyp34k, 5kio1iodx7cq9i9p9kql1nuuh, et6offb5y91ch6mlol3dwcd0p, 63atfboq056luh7gzplxooyui, 8i42x5mpk5bpm1i0gvgubx9pm, 9742qffzdwiz9y3y7et40863t, 31mhclmjwpn7zik6nphr4pwtm, ent5lfgq42d5ngi3ebyy7p1w5, hf67c0ip1chljjy1udsjpt2i, 8w01la4i6fm5vniyehkvst82c",4297066843,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4297066839,59,"1, 11, 16, 17, 27, 19, 9, 23, 18, 7, 10, 2, 8, 12, 14, 22, 24, 32",4297471271,197,12190,4297066841,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552462237,2,32,1,0,0,9ns699xp353c84r1g6epazycl,1,0,0,2023-05-21T14:00:02.569Z,2023-05-21T14:01:05Z,4297476997,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552462247,2,32,1,0,0,djz9e25b9zuiu5rmv1zha3i6f,1,0,0,2023-05-21T14:00:02.569Z,2023-05-21T14:01:03Z,4297477041,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552526315,468,1,1,0,0,9ns699xp353c84r1g6epazycl,1,50.3,49.4,2023-05-21T14:00:02.669Z,2023-05-21T14:49:52Z,4297819239,141,49.4,4297819241,212,21.8,4297819225,56,Back,4297819247,279,S,4297819245,213,3.1,4297819223,189,,4297819231,140,29.5,,,,9ld622ld2el1ql9vy2akchfit,N. Andonova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552526747,469,1,1,0,11,9ns699xp353c84r1g6epazycl,1,19.5,49.1,2023-05-21T14:00:13.569Z,2023-05-21T14:50:13Z,4297821235,141,21.8,4297821231,56,Back,4297821233,140,25.0,4297821237,212,19.4,4297821239,213,5.0,,,,,,,,,,9jxxujnb2eoo7avj278ppnqvp,Núria Mendoza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552526939,470,1,1,0,15,9ns699xp353c84r1g6epazycl,0,27.1,12.8,2023-05-21T14:00:17.569Z,2023-05-21T15:01:53Z,4297822211,155,,4297822213,56,Center,4297822223,141,23.7,4297822231,213,0.3,4297822227,212,28.2,4297822219,140,53.0,,,,,,,zuec10u63781iv5rojm31yzu,María Méndez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552524887,366,49,1,0,17,djz9e25b9zuiu5rmv1zha3i6f,1,47.4,93.6,2023-05-21T14:00:19.569Z,2023-05-21T14:48:34Z,,,,,,,,,,,,,,,,,,,,,,,,,6aodvgoc9sh27cjwelwsm3qw9,Rosa Márquez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552525179,367,1,1,0,17,djz9e25b9zuiu5rmv1zha3i6f,1,47.4,93.6,2023-05-21T14:00:19.669Z,2023-05-21T14:48:49Z,4297813649,212,5.7,4297813647,141,90.5,4297813653,213,3.5,4297813643,56,Back,4297813645,140,42.4,,,,,,,,,,6aodvgoc9sh27cjwelwsm3qw9,Rosa Márquez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552525715,368,1,1,0,18,djz9e25b9zuiu5rmv1zha3i6f,1,43.2,89.1,2023-05-21T14:00:20.569Z,2023-05-21T14:49:20Z,4297816463,213,0.4,4297816461,212,10.7,4297816457,140,52.5,4297816459,141,95.4,4297816455,56,Left,,,,,,,,,,et6offb5y91ch6mlol3dwcd0p,R. Babajide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552525741,369,1,1,0,18,djz9e25b9zuiu5rmv1zha3i6f,0,52.2,94.8,2023-05-21T14:00:20.669Z,2023-05-21T16:02:10Z,4297816569,213,4.9,4297816567,212,8.6,4297816561,56,Left,4297816565,141,82.4,4297816563,140,53.9,,,,,,,,,,6aodvgoc9sh27cjwelwsm3qw9,Rosa Márquez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552527275,471,1,1,0,19,9ns699xp353c84r1g6epazycl,1,55.3,20.3,2023-05-21T14:00:21.569Z,2023-05-21T14:50:38Z,4297824007,141,12.8,4297824009,212,12.6,4297824005,140,44.3,4297824001,56,Back,4297824013,213,3.6,,,,,,,,,,9ld622ld2el1ql9vy2akchfit,N. Andonova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552527413,472,1,1,0,20,9ns699xp353c84r1g6epazycl,1,45.9,11.7,2023-05-21T14:00:22.569Z,2023-05-21T14:50:45Z,4297824755,212,10.8,4297824757,213,5.6,4297824749,56,Right,4297824753,141,2.0,4297824751,140,54.1,,,,,,,,,,4by0xo4xinb0m8nziofw0g3bp,Leire Baños,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552527523,473,1,1,0,22,9ns699xp353c84r1g6epazycl,0,57.7,3.1,2023-05-21T14:00:24.569Z,2023-05-21T14:50:50Z,4297825347,213,2.7,4297825341,140,49.0,4297825345,212,10.0,4297825343,141,9.2,4297825339,56,Back,,,,,,,,,,25u358p365rnbnt0cptnyt3h1,Tatiana Pinto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552527881,474,49,1,0,25,9ns699xp353c84r1g6epazycl,1,44.5,12.9,2023-05-21T14:00:27.569Z,2023-05-21T14:51:09Z,,,,,,,,,,,,,,,,,,,,,,,,,1z29kbiufzx7u32mh1fvy1rs9,Paula Fernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552528197,475,1,1,0,26,9ns699xp353c84r1g6epazycl,1,44,12.5,2023-05-21T14:00:28.569Z,2023-05-21T14:51:23Z,4297828917,212,11.1,4297828919,213,6.2,4297828913,140,54.6,4297828915,141,11.7,4297828911,56,Right,,,,,,,,,,1z29kbiufzx7u32mh1fvy1rs9,Paula Fernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552528339,476,1,1,0,29,9ns699xp353c84r1g6epazycl,1,54.7,16.9,2023-05-21T14:00:31.569Z,2023-05-21T14:51:31Z,4297829633,212,32.4,4297829631,141,57.9,4297829637,1,,4297829627,56,Back,4297829635,213,2.1,4297829629,140,39.0,,,,,,,9ld622ld2el1ql9vy2akchfit,N. Andonova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552528697,477,1,1,0,32,9ns699xp353c84r1g6epazycl,1,47.4,56.7,2023-05-21T14:00:34.569Z,2023-05-21T14:51:49Z,4297831543,56,Left,4297831547,141,90.5,4297831545,140,69.4,4297831551,213,0.8,4297831553,1,,4297831549,212,32.6,,,,,,,4duzcq6r3j9ejv5b6koygle22,Silvia Lloris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552528743,478,1,1,0,33,9ns699xp353c84r1g6epazycl,0,66.3,96.3,2023-05-21T14:00:35.569Z,2023-05-21T15:55:17Z,4297831793,141,94.8,4297831789,56,Left,4297831795,212,3.8,4297831791,140,69.8,4297831797,213,6.0,,,,,,,,,,ybmp63ubo0wcvjut4ljomgru,Estela Carbonell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552526145,370,61,1,0,35,djz9e25b9zuiu5rmv1zha3i6f,1,26.9,5.5,2023-05-21T14:00:37.569Z,2023-05-21T14:49:45Z,4297818451,56,Back,,,,,,,,,,,,,,,,,,,,,,5xlqh4i9zb5daj4khs1mbbxpm,Nuria Ligero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552529055,479,1,1,0,40,9ns699xp353c84r1g6epazycl,1,87.1,90,2023-05-21T14:00:42.569Z,2023-05-21T14:52:07Z,4297833357,140,94.8,4297833359,141,73.9,4297833361,212,13.6,4297833363,213,5.3,4297833355,56,Center,,,,,,,,,,13mb0sv3j53kze8l7ehr4izmd,Carolina Férez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552529075,480,1,1,0,41,9ns699xp353c84r1g6epazycl,0,96.2,67.8,2023-05-21T14:00:43.569Z,2023-05-21T15:55:25Z,4297833487,212,9.9,4297833489,213,4.6,4297833483,140,94.9,4297833485,141,53.4,4297833481,56,Center,,,,,,,,,,ybmp63ubo0wcvjut4ljomgru,Estela Carbonell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552526633,371,12,1,0,42,djz9e25b9zuiu5rmv1zha3i6f,1,2.8,42.7,2023-05-21T14:00:44.569Z,2023-05-21T14:50:08Z,4297820739,56,Back,4297820743,141,29.2,4297820745,212,9.6,4297820741,140,5.6,4297820747,213,5.0,,,,,,,,,,2dsgmfs9crnzz3425si3m9uj9,Dorine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552526903,372,49,1,0,44,djz9e25b9zuiu5rmv1zha3i6f,1,10.7,26.8,2023-05-21T14:00:46.569Z,2023-05-21T14:50:20Z,,,,,,,,,,,,,,,,,,,,,,,,,5xlqh4i9zb5daj4khs1mbbxpm,Nuria Ligero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552527145,373,1,1,0,45,djz9e25b9zuiu5rmv1zha3i6f,0,12.1,24.6,2023-05-21T14:00:47.569Z,2023-05-21T14:50:31Z,4297823311,155,,4297823315,140,39.6,4297823321,213,5.9,4297823313,56,Back,4297823317,141,7.6,4297823319,212,31.1,,,,,,,5xlqh4i9zb5daj4khs1mbbxpm,Nuria Ligero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552529645,481,1,1,0,48,9ns699xp353c84r1g6epazycl,0,58.1,91.1,2023-05-21T14:00:50.569Z,2023-05-21T14:52:44Z,4297836447,212,9.0,4297836449,213,0.8,4297836445,141,100.0,4297836441,56,Left,4297836443,140,64.0,,,,,,,,,,4duzcq6r3j9ejv5b6koygle22,Silvia Lloris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552462533,3,5,1,0,50,djz9e25b9zuiu5rmv1zha3i6f,1,34.6,-1.4,2023-05-21T14:00:52.569Z,2023-05-21T15:54:44Z,4297837547,233,482,4297478563,56,Back,4297478565,347,,,,,,,,,,,,,,,,,5zhcjr5kxyxd2jmq1wel3ug9h,G. Thalmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552529707,482,5,1,0,50,9ns699xp353c84r1g6epazycl,0,65.4,101.4,2023-05-21T14:00:52.569Z,2023-05-21T14:53:00Z,4297836821,347,,4297837591,233,3,4297836819,56,Left,,,,,,,,,,,,,,,,4duzcq6r3j9ejv5b6koygle22,Silvia Lloris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552462563,4,1,1,1,8,djz9e25b9zuiu5rmv1zha3i6f,0,30.5,0,2023-05-21T14:01:11.292Z,2023-05-21T14:01:13Z,4297478737,141,12.2,4297478733,56,Right,4297478731,107,,4297478743,1,,4297478739,212,49.6,4297478741,213,0.2,4297478735,140,76.9,,,,5xlqh4i9zb5daj4khs1mbbxpm,Nuria Ligero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552530579,483,1,1,1,14,9ns699xp353c84r1g6epazycl,1,25.3,72.3,2023-05-21T14:01:16.569Z,2023-05-21T14:53:52Z,4297841667,140,24.0,4297841665,56,Back,4297841669,141,40.1,4297841673,213,4.7,4297841671,212,21.9,,,,,,,,,,9jxxujnb2eoo7avj278ppnqvp,Núria Mendoza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552530675,484,1,1,1,17,9ns699xp353c84r1g6epazycl,1,23.1,40.6,2023-05-21T14:01:19.569Z,2023-05-21T14:54:00Z,4297842253,56,Back,4297842267,213,0.3,4297842255,140,33.0,4297842263,212,10.9,4297842259,141,45.4,,,,,,,,,,4duzcq6r3j9ejv5b6koygle22,Silvia Lloris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552530779,485,1,1,1,21,9ns699xp353c84r1g6epazycl,1,32.5,47.6,2023-05-21T14:01:23.569Z,2023-05-21T14:54:11Z,4297842903,140,28.8,4297842901,56,Back,4297842905,141,86.5,4297842911,213,1.7,4297842909,212,26.7,,,,,,,,,,4by0xo4xinb0m8nziofw0g3bp,Leire Baños,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552530871,486,1,1,1,25,9ns699xp353c84r1g6epazycl,1,29.6,87.1,2023-05-21T14:01:27.569Z,2023-05-21T14:54:20Z,4297843477,140,25.2,4297843479,141,63.6,4297843483,213,4.4,4297843481,212,16.6,4297843475,56,Back,,,,,,,,,,4duzcq6r3j9ejv5b6koygle22,Silvia Lloris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552531001,487,1,1,1,29,9ns699xp353c84r1g6epazycl,0,30.5,60,2023-05-21T14:01:31.569Z,2023-05-21T14:54:28Z,4297844177,212,46.4,4297844173,140,74.1,4297844169,155,,4297844171,56,Center,4297844179,213,0.2,4297844175,141,70.9,4297844181,1,,,,,9jxxujnb2eoo7avj278ppnqvp,Núria Mendoza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552462873,5,1,1,1,35,djz9e25b9zuiu5rmv1zha3i6f,1,24.6,38.2,2023-05-21T14:01:37.629Z,2023-05-21T14:01:40Z,4297480647,3,,4297480655,212,18.3,4297480649,56,Back,4297480657,213,5.7,4297480651,140,39.0,4297480653,141,23.0,,,,,,,4a8y7vdsg6pz1nxnmu7wcqe50,Jennifer López,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552462879,6,49,1,1,37,djz9e25b9zuiu5rmv1zha3i6f,1,39,23,2023-05-21T14:01:40.461Z,2023-05-21T14:01:40Z,,,,,,,,,,,,,,,,,,,,,,,,,35uen906vvtndlnv3hrm5zo8a,Noelia Salazar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552462951,7,1,1,1,38,djz9e25b9zuiu5rmv1zha3i6f,0,39,23,2023-05-21T14:01:40.989Z,2023-05-21T14:01:45Z,4297481049,212,56.3,4297481047,141,4.4,4297481045,140,91.2,4297481051,213,6.1,4297481053,1,,4297481043,56,Right,,,,,,,35uen906vvtndlnv3hrm5zo8a,Noelia Salazar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552531237,488,49,1,1,40,9ns699xp353c84r1g6epazycl,1,15.3,94.8,2023-05-21T14:01:42.569Z,2023-05-21T14:54:44Z,,,,,,,,,,,,,,,,,,,,,,,,,4duzcq6r3j9ejv5b6koygle22,Silvia Lloris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
