id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,assist,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/12/value,qualifier/14/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId
2495473259,1,34,16,0,0,1qoqz1tyay060cj5aha7rt1lp,1,0,0,2023-01-07T10:25:10.299Z,2023-01-07T11:02:31Z,3967885571,30,"euieo81aiyv4wqldc8owokset, cehjx04vym880gqogj4djdiad, 5mk5a6g9962zs1f0dgv2g3o45, 61103f3yhhms1lylloihvbrv9, 3bnl8jpyjy436d6rq46apwei2, 5fula0vkdt8dg2s1po4k9no16, tfni0bbycqnutwdofnndixd6, 23cz0ftfc2rstsut0wkmntm8l, 49klmhzbsmlxnkp2w60y66sph, 3mgkmvazmdqvhtnkkigc24e3u, 4bpis8gkfy9n5pknxuw40hus4, 79zpaj24j11e9aajt7vmjf88a, 3uj4zixqbp5ahu9etu4fl714a, dcbrqeq61r269wyh4k00g3t3o, dj7z4zsiwjd3xnrb284zt5b6x, 55dkf4evau0bcy8uyhkat9b84, 1bwsm5vcee014jmyh63q1ayhg, bi6f62obcqdq2cyrlnf4gpxjo, 3qg0fby2m8ua25w931ubn8mc4, 7t5wpfsw9nir9gsf6d9l4cmqc",3967885577,130,2,3967890175,197,12187,3967885573,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3967885575,59,"1, 5, 14, 20, 22, 4, 10, 18, 9, 7, 6, 8, 12, 13, 17, 27, 28, 29, 30, 36",3967885579,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3967885583,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3967885581,194,3bnl8jpyjy436d6rq46apwei2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495474013,1,34,16,0,0,9ns699xp353c84r1g6epazycl,1,0,0,2023-01-07T10:37:50.726Z,2023-01-07T11:02:27Z,3967889195,194,52ic0j91dhgr0vud2agr4ev2t,3967890243,197,3945,3967889189,59,"36, 17, 20, 12, 4, 19, 11, 6, 23, 7, 10, 3, 9, 14, 16, 18, 21, 22, 25, 29",3967889185,30,"6uttq0cpsnicezpcqy36p7r4k, 52ic0j91dhgr0vud2agr4ev2t, 3ws5zg8wy6j86cr8yrqxnsx9m, 4by0xo4xinb0m8nziofw0g3bp, zuec10u63781iv5rojm31yzu, 1ite4628zwl6kanllmr7qb1zp, 25u358p365rnbnt0cptnyt3h1, 1z29kbiufzx7u32mh1fvy1rs9, 44j03m9xpbhjuxmqz6vge9y0a, 27oce8op8b7a6fmyp8utoz5gq, eu6nudazhvggen5s7abc46bpx, 9jxxujnb2eoo7avj278ppnqvp, 9ld622ld2el1ql9vy2akchfit, 13mb0sv3j53kze8l7ehr4izmd, ybmp63ubo0wcvjut4ljomgru, bu0u419xeqlkwvpsrx6a0ma51, 1szjchjw88hnlrwejnia4yyuh, 7n5a86810eorw5ugrdkognd62, b21lh284pf59feun9ktzfmc8a, 6onim2cv12p694z94r6csodg4",3967889197,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3967889191,130,4,3967889193,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3967889187,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495474273,2,32,1,0,0,9ns699xp353c84r1g6epazycl,1,0,0,2023-01-07T11:00:46.531Z,2023-01-07T11:00:47Z,3967890359,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495474271,3,32,1,0,0,1qoqz1tyay060cj5aha7rt1lp,1,0,0,2023-01-07T11:00:46.531Z,2023-01-07T11:00:46Z,3967890357,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495474281,4,1,1,0,0,1qoqz1tyay060cj5aha7rt1lp,1,50,50,2023-01-07T11:00:46.631Z,2023-01-07T11:00:50Z,3967890375,213,2.9,3967890371,141,56.1,3967890377,279,S,3967890369,140,35.0,3967890367,56,Back,3967890373,212,16.3,,,,,,,49klmhzbsmlxnkp2w60y66sph,Sheila Guijarro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495474287,5,1,1,0,3,1qoqz1tyay060cj5aha7rt1lp,1,35,56.1,2023-01-07T11:00:50.216Z,2023-01-07T11:00:51Z,3967890405,212,47.4,3967890397,155,,3967890409,1,,3967890401,140,64.4,3967890399,56,Right,3967890407,213,5.4,3967890403,141,3.2,,,,23cz0ftfc2rstsut0wkmntm8l,Paola Soldevila,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495474289,6,1,1,0,5,1qoqz1tyay060cj5aha7rt1lp,1,64.4,3.2,2023-01-07T11:00:51.848Z,2023-01-07T11:00:53Z,3967890417,140,72.3,3967890423,213,0.3,3967890413,3,,3967890421,212,8.7,3967890419,141,7.0,3967890415,56,Right,,,,,,,tfni0bbycqnutwdofnndixd6,Fatou Kanteh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495474293,7,1,1,0,7,1qoqz1tyay060cj5aha7rt1lp,0,72.7,8.3,2023-01-07T11:00:53.864Z,2023-01-07T11:00:55Z,3967890447,213,3.1,3967890445,212,4.1,3967890441,140,68.8,3967890439,56,Right,3967890443,141,8.3,,,,,,,,,,3mgkmvazmdqvhtnkkigc24e3u,Belén,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495474299,3,49,1,0,9,9ns699xp353c84r1g6epazycl,1,35.2,78.8,2023-01-07T11:00:56.269Z,2023-01-07T11:50:54Z,,,,,,,,,,,,,,,,,,,,,,,,,1z29kbiufzx7u32mh1fvy1rs9,Paula Fernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495474303,4,1,1,0,9,9ns699xp353c84r1g6epazycl,1,35.2,78.8,2023-01-07T11:00:56.427Z,2023-01-07T11:00:58Z,3967890493,213,2.0,3967890487,140,31.4,3967890491,212,9.8,3967890489,141,92.0,3967890485,56,Back,,,,,,,,,,1z29kbiufzx7u32mh1fvy1rs9,Paula Fernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,
