id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId
2526329633,1,34,16,0,0,7pm0maqtof5rdc3ksumasw55g,1,0,0,2023-04-01T10:06:02.306Z,2023-04-01T10:59:50Z,4151492773,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4151492783,194,51kuc7ba0zrbs82iok6sia76d,4151492785,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4151492779,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4151492771,30,"ewrcxn31z5uhgemq7bhbwvw89, 51kuc7ba0zrbs82iok6sia76d, 7lx9lvt04ne2umnr922nbx68l, 8gef0np3atw3ihedrd6b16g9h, bbryvdwzavouhzf5d31kysvvu, 97c2wpbq7cw51dh668feuju1h, 4qzbgxsev4wibbvo4osmwb4r9, a5ysq9fe13ges96z29omy3gmh, 5nljieat47whdahci7pz82tjo, 5dnoofqsczzkdqrdmj661d239, bli75mkfku2no79sep0n21v8q, 7fu77l8o1mi2fq8iqqirsu09h, eoup3nwpmplc03m9p7olaxel0, giu5n1h30ybxtkwdquf1l6g9, 6aybaux5k8c5xtzswmbljv1m1, 3rcnji4esgl64ezz2vdex4wes, y1n01stf6l2bn9nw1l1qv7kk, cfntkj03dvexguaq8sp37fglx, 5zsg8757gph0bjpznr9uciycq, ck6tndpwutpgve4xecr09wwlw",4151492775,59,"12, 11, 5, 73, 77, 14, 71, 4, 3, 29, 30, 6, 15, 19, 24, 26, 28, 36, 44, 67",4151532155,197,16707,4151492777,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526329813,1,34,16,0,0,8gw3pgcd0doivaul55q8na9lg,1,0,0,2023-04-01T10:06:40.652Z,2023-04-01T10:55:37Z,4151493563,194,dcabal76i5wlct77xl6jkyfv9,4151493565,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4151493553,30,"69ewfo1qoyc0xhk227754o9h, bimp62qt9yetz1mwz1z18ri7d, 5snw4b4ndo6hus8hpxq9q19lh, 7asw3c7rhaqrmnc4kk7q0hp0p, 6vvrp3ijlo76d0oolobx1hgwl, dcabal76i5wlct77xl6jkyfv9, 3ycwiqwexrq74zjs6l2rj0dsl, e3mdwwn8drb7hsscyvj4u8pre, 8wpwcph0wu2wnqlvy52phewh5, b80b2mxpxjcboqc81evm6oa2, d154hxm83w5x1m0ht905cgpg5, 6a4e840hagvde76wq00oitboq, 8rc3h630i5cinvhyvziqdfpp1, 6l457lm38yflk2l01ho3kk48a, 69ij8unhyklcdc4d11u02v6y, 9skgc5kozhnn4cp5fghmnwout, c9y25sxg24aripna871g8x9g4, a1jt0xute9v4oazyt8dtq2kiy, 3py0rmx89fgdd8e65l853yqne, a45s5uyyl703686asm9cfhono",4151493555,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4151531113,197,14248,4151493557,59,"12, 6, 14, 18, 27, 2, 21, 23, 77, 9, 58, 1, 4, 5, 8, 10, 11, 22, 30, 33",4151493561,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4151493559,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526339133,2,32,1,0,0,7pm0maqtof5rdc3ksumasw55g,1,0,0,2023-04-01T10:30:57.767Z,2023-04-01T10:30:59Z,4151535871,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526339107,2,32,1,0,0,8gw3pgcd0doivaul55q8na9lg,1,0,0,2023-04-01T10:30:57.767Z,2023-04-01T10:30:57Z,4151535837,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526339145,3,1,1,0,0,8gw3pgcd0doivaul55q8na9lg,1,50.1,50.1,2023-04-01T10:30:57.867Z,2023-04-01T10:30:59Z,4151535929,279,S,4151535921,140,34.7,4151535927,213,3.4,4151535923,141,44.5,4151535925,212,16.6,4151535919,56,Back,,,,,,,b80b2mxpxjcboqc81evm6oa2,C. Beccari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526339179,4,1,1,0,1,8gw3pgcd0doivaul55q8na9lg,1,34.7,44.5,2023-04-01T10:30:59.718Z,2023-04-01T10:31:04Z,4151536087,140,35.4,4151536089,141,89.9,4151536091,212,30.9,4151536093,213,1.5,4151536085,56,Back,,,,,,,,,,3ycwiqwexrq74zjs6l2rj0dsl,M. Picchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526339213,5,1,1,0,7,8gw3pgcd0doivaul55q8na9lg,1,35.7,94.4,2023-04-01T10:31:04.784Z,2023-04-01T10:31:10Z,4151536255,141,39.8,4151536253,140,10.1,4151536259,213,4.1,4151536251,56,Back,4151536261,1,,4151536257,212,45.8,,,,,,,5snw4b4ndo6hus8hpxq9q19lh,C. Cecotti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526339237,6,1,1,0,12,8gw3pgcd0doivaul55q8na9lg,1,23.8,32.4,2023-04-01T10:31:10.628Z,2023-04-01T11:21:50Z,4151536397,1,,4151536387,56,Center,4151536391,141,30.0,4151536389,140,69.0,4151536395,213,6.2,4151536385,157,,4151536393,212,47.5,,,,69ewfo1qoyc0xhk227754o9h,M. Korenčiová,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526339271,7,1,1,0,17,8gw3pgcd0doivaul55q8na9lg,1,69,30,2023-04-01T10:31:14.804Z,2023-04-01T10:31:18Z,4151536583,140,73.4,4151536585,141,47.6,4151536579,3,,4151536589,213,1.2,4151536581,56,Center,4151536587,212,12.8,,,,,,,6vvrp3ijlo76d0oolobx1hgwl,D. Kravets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526339277,8,1,1,0,20,8gw3pgcd0doivaul55q8na9lg,0,73.4,47.6,2023-04-01T10:31:17.867Z,2023-04-01T10:31:20Z,4151536619,3,,4151536625,141,40.6,4151536623,140,75.4,4151536627,212,5.2,4151536621,56,Center,4151536631,213,5.1,,,,,,,dcabal76i5wlct77xl6jkyfv9,E. Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
