id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/13/value,qualifier/12/value,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId
2459269445,1,34,16,0,0,7pm0maqtof5rdc3ksumasw55g,1,0,0,2022-09-12T15:41:33.018Z,2022-09-12T17:28:28Z,3776322893,59,"1, 27, 14, 6, 11, 73, 9, 71, 36, 18, 5, 3, 4, 7, 12, 15, 17, 21, 24, 37",3776322891,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3776322895,130,8,3776322901,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3776322889,30,"7o6r8tzrtw3820q5g8slo51w5, 7hjudlzsedzdtoh1mujgqj3yt, 97c2wpbq7cw51dh668feuju1h, 7fu77l8o1mi2fq8iqqirsu09h, 51kuc7ba0zrbs82iok6sia76d, 8gef0np3atw3ihedrd6b16g9h, 9bxqgoylhs3u0061ht1dr8t79, 4qzbgxsev4wibbvo4osmwb4r9, cfntkj03dvexguaq8sp37fglx, z76gqv9thd1553u6bf6akpyi, 7lx9lvt04ne2umnr922nbx68l, 4udz6yr09afpwg201j7ruyaz8, a5ysq9fe13ges96z29omy3gmh, egz2k5rilem5eycz1blntm3v8, ewrcxn31z5uhgemq7bhbwvw89, eoup3nwpmplc03m9p7olaxel0, dhus1gg9t5tpqh3xxwrte9l1x, d0od4dxuv7bywyzy3300rp27e, 6aybaux5k8c5xtzswmbljv1m1, azj2lf3vgk50yljiskhyidhxw",3776322897,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3776322899,194,9bxqgoylhs3u0061ht1dr8t79,3776370125,197,16872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459269509,1,34,16,0,0,7jaarwfaeewpo3vnfvhc2c665,1,0,0,2022-09-12T15:42:42.037Z,2022-09-12T17:05:03Z,3776369657,197,8196,3776323353,130,3,3776323351,59,"12, 3, 2, 6, 85, 4, 8, 22, 26, 25, 15, 1, 9, 10, 11, 16, 21, 23, 33, 88",3776323355,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3776323347,30,"bzctf3ho6wtxhmemreonkho7p, 8hrg2luo5rmy9njl7a5xd6oyd, 9ihxuqs1v194z96ytkbr6tot1, 8xmxzyft6jgirmjmtokysv9at, ae23upd2mq9lzptqvyydvfsh5, duqwuxyvts7b8y171m2zjgfe1, ynp4teryxz8qxmby29s1muhh, 7dy7sy437pa1h4a6whsw7jnit, 8m1zaxpia31zue120389es72t, 7mg6six7fdgpxbrxf605c6itx, 8kyz2zkpdn0wdf1ybpmgd2ay1, 1q1rzbagz0tikytlgql4667oq, 6deaavas7332takve0kva6bbp, 8vylda616yxfy53t66o4ua162, 90hq4z2yaqtm03zefavqmf46h, ervf1obeidpkqdbdnbqrgcp3o, 3dhppw7le5km30lulvbpdxsrt, 34wzrwrb4kbwo1iudvi32t9sl, bs7324p1bdh7ggv14x3f2x4ut, ce90zq7ddqilki3y5ef1rvsh5",3776323357,194,ae23upd2mq9lzptqvyydvfsh5,3776323359,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3776323349,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459277351,2,32,1,0,0,7jaarwfaeewpo3vnfvhc2c665,1,0,0,2022-09-12T17:01:35.532Z,2022-09-12T17:01:37Z,3776371483,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459277347,2,32,1,0,0,7pm0maqtof5rdc3ksumasw55g,1,0,0,2022-09-12T17:01:35.532Z,2022-09-12T17:01:35Z,3776371467,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459277357,3,1,1,0,1,7pm0maqtof5rdc3ksumasw55g,1,49.9,50,2022-09-12T17:01:36.632Z,2022-09-12T17:54:10Z,3776371503,141,58.5,3776371499,56,Back,3776371505,212,14.7,3776371501,140,37.0,3776371507,213,2.7,3776371509,279,S,,,,,,,9bxqgoylhs3u0061ht1dr8t79,V. Pirone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459277365,4,1,1,0,2,7pm0maqtof5rdc3ksumasw55g,1,37.7,59.7,2022-09-12T17:01:38.217Z,2022-09-12T17:54:11Z,3776371553,141,72.1,3776371551,140,31.2,3776371555,212,10.8,3776371549,56,Back,3776371557,213,2.3,,,,,,,,,,7fu77l8o1mi2fq8iqqirsu09h,A. Benoît,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459277375,5,1,1,0,4,7pm0maqtof5rdc3ksumasw55g,1,32.6,76.3,2022-09-12T17:01:40.121Z,2022-09-12T17:01:43Z,3776371609,213,0.9,3776371607,212,17.6,3776371603,140,42.8,3776371605,141,96.9,3776371601,56,Back,,,,,,,,,,8gef0np3atw3ihedrd6b16g9h,D. Cox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459277393,6,1,1,0,7,7pm0maqtof5rdc3ksumasw55g,1,41.4,94.7,2022-09-12T17:01:42.889Z,2022-09-12T17:54:18Z,3776371705,213,3.5,3776371701,141,86.8,3776371703,212,16.5,3776371699,140,26.5,3776371697,56,Back,,,,,,,,,,97c2wpbq7cw51dh668feuju1h,A. Jelenčić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459277397,7,1,1,0,10,7pm0maqtof5rdc3ksumasw55g,1,25.1,75.6,2022-09-12T17:01:45.689Z,2022-09-12T17:01:48Z,3776371729,212,19.7,3776371731,213,3.9,3776371723,56,Back,3776371727,141,56.6,3776371725,140,10.9,,,,,,,,,,8gef0np3atw3ihedrd6b16g9h,D. Cox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459277417,8,1,1,0,16,7pm0maqtof5rdc3ksumasw55g,1,11.7,55.2,2022-09-12T17:01:51.739Z,2022-09-12T17:01:54Z,3776371847,56,Back,3776371849,140,23.8,3776371855,213,1.0,3776371851,141,87.1,3776371853,212,25.1,,,,,,,,,,7o6r8tzrtw3820q5g8slo51w5,A. Capelletti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
