id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/9/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/10/value,qualifier/13/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/14/value,qualifier/15/value,qualifier/19/id,qualifier/19/qualifierId
2547917821,1,34,16,0,0,9dntj5dioj5ex52yrgwzxrq9l,1,0,0,2023-05-13T14:52:46.551Z,2023-05-13T16:02:59Z,4273336727,130,8,4273336729,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4273336725,59,"16, 20, 19, 8, 24, 23, 56, 32, 12, 10, 27, 1, 2, 5, 7, 9, 14, 40, 46, 83, 90",4273774917,197,578,4273336721,30,"3fpnfgoy4lbpapv2th6g60cet, b33rlpjo3kx4477alx82si5wq, 3tpmw6tlijytn0ahwztvedkut, 9sxg58hszjq17avxgumftdu22, ehztjmhg6fsddm1fqb00547o5, 3sezchmdtivxl4kusvgc6j7x1, 9vnr9uog5fmggich2i4vjxwbt, ch5rw8dgb6wh99wyhd8o3t1pl, eyra5urhrm92240e7qbll736d, 3jln1gzc0859ymphvq83i0mp5, 1dwwsz1i6v8zwh802ujwf7emt, 7kph61hobc93t2c2tl8l5j105, e2vtm1318mm61db2wtj4m5p79, dmrj53hcw8vcffxx0lfudbob9, 9ncagt0ezp4f41hz3b64af1t5, 5awkzgwwh48prwgvxwewuc5hx, wr2f0yl1bf68r73hkjee2pqt, 72vim7cq99zdjjwivwtr773vu, enqcaecpt5hy0qv9x5pzmkjc9, 68cu39v9m8pykapkh2b97ltqt, 7ox43isyywsnrfcd56nm65be",4273336731,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4273676819,194,3tpmw6tlijytn0ahwztvedkut,4273336723,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547919933,1,34,16,0,0,4klvxyeh3xcus4ongu7c00mgc,1,0,0,2023-05-13T14:55:16.142Z,2023-05-13T16:02:36Z,4273775393,197,8669,4273347631,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4273347625,130,12,4273347621,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4273347627,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4273347629,194,8lta4w1nytggiwnaqv4e5cc0l,4273347619,30,"4g0d51pqr4grzoe9cx7do6pxx, 2s9ko6yxyi95jybzguru8g3bp, 545o5sllzb34kosvbw3fxhc5x, 89z0ym1zvwp7rikmd0kvpcq8l, f1ma05bi3t1hfbflylx5d9tyh, e05kmeeuc7x55gwhjmxl9ry3u, 6ehsdxl74v0qtlbjjjbu0r0t1, 6n7sw8r0fhcoa8hfuxrtm96tx, 8lta4w1nytggiwnaqv4e5cc0l, 8zltxvt0rcrcv96x1wmdhlrrp, cbymienvjkbbvi1rbky74vj3e, bmqg7owjivu1f3grdigkid0b9, e4cwx5r9hrvip371egldkc6ol, a21winmltx1h9oiwqtfditkut, azph2f84zhlvg4wd8tleydkdm, 9casrbyhvk5woencvp365fnmy, 2rdh9ggkr9iu50esnyv464dsl, 1s7qbrynbcv9uw9r5f29oyc5, 6sejjyqssbr3olctm9nkq2v9x, 1kafgt90durzi0trgasa35nqi, 1i47csjlvcikfs4wixzserend",4273347623,59,"69, 27, 13, 43, 4, 55, 6, 8, 11, 18, 25, 1, 10, 14, 19, 21, 22, 24, 29, 72, 77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548001119,2,32,1,0,0,9dntj5dioj5ex52yrgwzxrq9l,1,0,0,2023-05-13T16:00:35.131Z,2023-05-13T16:00:35Z,4273780547,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548001129,2,32,1,0,0,4klvxyeh3xcus4ongu7c00mgc,1,0,0,2023-05-13T16:00:35.131Z,2023-05-13T20:21:10Z,4273780615,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548001185,3,1,1,0,0,9dntj5dioj5ex52yrgwzxrq9l,1,50.1,49.7,2023-05-13T16:00:35.132Z,2023-05-13T22:45:15Z,4275280547,178,,4273780875,141,46.8,4273780871,56,Back,4273780877,212,18.7,4273780879,213,3.2,4273780881,279,S,4273780873,140,32.4,,,,eyra5urhrm92240e7qbll736d,A. Rebić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548001189,4,1,1,0,2,9dntj5dioj5ex52yrgwzxrq9l,1,32.4,46.8,2023-05-13T16:00:37.625Z,2023-05-13T22:45:21Z,4273780903,212,26.3,4273780897,140,36.5,4273780895,56,Back,4273780905,213,4.9,4273780901,141,8.7,4275281135,178,,,,,,,,ehztjmhg6fsddm1fqb00547o5,S. Kjær,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548001217,5,1,1,0,6,9dntj5dioj5ex52yrgwzxrq9l,0,38.1,7.1,2023-05-13T16:00:41.249Z,2023-05-13T22:45:25Z,4275281273,178,,4273781083,141,25.3,4273781077,155,,4273781085,212,43.4,4273781079,56,Center,4273781081,140,77.7,4273781089,1,,4273781087,213,0.3,b33rlpjo3kx4477alx82si5wq,P. Kalulu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548001247,3,1,1,0,9,4klvxyeh3xcus4ongu7c00mgc,1,19.6,79,2023-05-13T16:00:44.144Z,2023-05-13T22:45:34Z,4273781263,213,0.5,4273781253,3,,4275281627,388,,4273781261,212,15.7,4273781259,141,90.0,4273781257,140,32.8,4273781255,56,Back,,,,89z0ym1zvwp7rikmd0kvpcq8l,D. Nikolaou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548001249,4,61,1,0,10,4klvxyeh3xcus4ongu7c00mgc,1,32.8,90,2023-05-13T16:00:45.268Z,2023-05-13T22:45:57Z,4273781271,56,Back,4275282397,178,,,,,,,,,,,,,,,,,,,,545o5sllzb34kosvbw3fxhc5x,A. Reca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548001273,5,49,1,0,12,4klvxyeh3xcus4ongu7c00mgc,1,40.5,94.7,2023-05-13T16:00:47.376Z,2023-05-13T22:46:02Z,,,,,,,,,,,,,,,,,,,,,,,,,8lta4w1nytggiwnaqv4e5cc0l,E. Gyasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
