id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/11/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2482394249,1,34,16,0,0,8l30dsub3sutr6j3ruvk650xc,1,0,0,2022-11-06T13:15:03.352Z,2022-11-06T13:15:03Z,3898953761,130,4,3898953765,194,dw2a5y50m5vbzpy53w2e7n179,3898953767,197,8382,3898953757,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5",3898953755,30,"76tytt386zxh1tuqk6kko1gbt, 3tz0jq7tbg6u1dm6qlx53u6s5, b3i5okqaspq6w7w456ab4cxjp, dw2a5y50m5vbzpy53w2e7n179, 9cjjs4piq3t12iltsfon52h91, 6f8lpm5ckuv4z0tbur533qpxx, 3f6hkia6zu8xuwasqdz3w759m, dzfr9ktjmxqj2eh2xibt7konp, amg2zai9038cdz9uuql3l9rkl, f5j2zq9sslh38t8bhyifsjg89, cpvbitkove7bavl96lkgs1vc9, 5fravnvqjvacivczykf9vyms, 8d9pmbbdavzy4g7lw18pvhai2, b4q51nzxmgax7on17s1wpx5ud, 5iqkq5z36m51o6xxodts4nyi2, 1e8767jylaqa3wm2qp11wx016",3898953759,59,"21, 2, 33, 6, 15, 14, 19, 10, 8, 7, 20, 13, 16, 17, 18, 26",3898953763,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0",3898953769,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482395045,1,34,16,0,0,mjejb0x57ms54j9ry6s8njwh,1,0,0,2022-11-06T13:15:54.425Z,2022-11-06T15:45:05Z,3898957729,130,13,3898957723,30,"cn8ti0qxxvg0z0vvmwkocggr9, 2wv3bsfv3jh5ar8xw97lpxr6d, 40drqeciuqe2j07g5cnc6xf55, 4rz247hboaqnxo1mbdiw3ctsl, 13ch4zgnhtydtkf9vlvh68hjp, 4vjejwvr5b6lphpjmuc0wlsr9, 87ann5tlunyp4nzahpl5wqoyd, 871cll4se1mtci0na61o632dx, dw593ezeekrbzlc2qhtc805p1, 153m45p2fkc2q8x9zq105g45, 3tot15elwrc9lz9ohha1z0ij9, cmcx5h39wkd0cnsbq1vcob4r9, 8eixmur5ss02hjp0vh099jyz9, brppytuf1766c50274dkue5pm, cy0xegtxk9mml9bk8z3nx1lyi, en5gss0im4eenrtt3zctkpm8l, xhbmqvlmvk0gguvc9u806itx, 5llfshqnnnclh5o2t1b1ckqtx, 768y6t2upduf30343ymkariwa, d1qqpvdx6b20aqcqav7l2dvdg",3898979109,194,13ch4zgnhtydtkf9vlvh68hjp,3898957733,197,738,3898957727,59,"1, 2, 12, 28, 5, 25, 10, 6, 24, 20, 11, 3, 4, 7, 8, 17, 19, 21, 22, 34",3898957725,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3898957731,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3898957735,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482431547,2,32,1,0,0,8l30dsub3sutr6j3ruvk650xc,1,0,0,2022-11-06T14:01:44.302Z,2022-11-06T14:01:44Z,3899142393,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482431555,2,32,1,0,0,mjejb0x57ms54j9ry6s8njwh,1,0,0,2022-11-06T14:01:44.302Z,2022-11-06T14:01:46Z,3899142441,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482431633,3,1,1,0,0,8l30dsub3sutr6j3ruvk650xc,1,50,50,2022-11-06T14:01:44.402Z,2022-11-06T14:01:47Z,3899142881,141,51.0,3899142885,213,3.1,3899142887,279,S,3899142879,140,34.0,3899142883,212,16.8,3899142877,56,Back,,,,,,,dzfr9ktjmxqj2eh2xibt7konp,K. Dali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482431797,4,1,1,0,3,8l30dsub3sutr6j3ruvk650xc,0,34.8,51,2022-11-06T14:01:47.611Z,2022-11-06T14:01:53Z,3899143713,141,100.0,3899143719,1,,3899143709,56,Left,3899143711,140,73.4,3899143715,212,53.2,3899143717,213,0.7,3899143707,155,,,,,dw2a5y50m5vbzpy53w2e7n179,R. Corsie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482431785,3,61,1,0,8,mjejb0x57ms54j9ry6s8njwh,1,22.9,14,2022-11-06T14:01:53.074Z,2022-11-06T14:01:53Z,3899143655,56,Back,,,,,,,,,,,,,,,,,,,,,,2wv3bsfv3jh5ar8xw97lpxr6d,E. Koivisto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482431851,4,5,1,0,9,mjejb0x57ms54j9ry6s8njwh,0,25.6,-1.8,2022-11-06T14:01:53.567Z,2022-11-06T14:24:11Z,3899143987,56,Back,3899143989,347,,3899147603,233,5,,,,,,,,,,,,,,,,2wv3bsfv3jh5ar8xw97lpxr6d,E. Koivisto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482431803,5,5,1,0,9,8l30dsub3sutr6j3ruvk650xc,1,74.4,101.8,2022-11-06T14:01:53.567Z,2022-11-06T14:02:23Z,3899143753,56,Left,3899147537,233,4,3899143757,347,,,,,,,,,,,,,,,,,dw2a5y50m5vbzpy53w2e7n179,R. Corsie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482431947,6,1,1,0,11,8l30dsub3sutr6j3ruvk650xc,1,73.4,100,2022-11-06T14:01:55.739Z,2022-11-06T14:52:46Z,3899144387,212,12.1,3899150267,107,,3899144385,141,83.8,3899144381,56,Left,3899144389,213,4.7,3899144383,140,72.9,,,,,,,b3i5okqaspq6w7w456ab4cxjp,M. Pacheco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
