id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/9/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/14/value
2538236145,1,34,16,0,0,36tr17foeaf9ejjmt2txuoy3y,1,0,0,2023-04-23T16:55:14.876Z,2023-04-23T17:48:11Z,4214729009,197,1154,4214729001,59,"35, 2, 14, 25, 6, 5, 12, 7, 21, 9, 11, 1, 3, 8, 10, 13, 15, 42",4214729003,130,4,4214729007,194,5vuw3lywsh90t394m8h6g5ihh,4214729005,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4214728999,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4214729011,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4214728997,30,"bkjq8yp0rffvauz0nz94flfu2, 8hq106ex872xezlr1j901kpux, bo5e35lsptja0pnlvk1y38dex, 7op9czmiln7ktmvetw97scz4l, 5vuw3lywsh90t394m8h6g5ihh, c6k1w8sothxmc08dbhqjzp1w5, 3ddo1m631pf9ruzzpaujs9gph, 7gmh6g5c39asg7gnthx1jxp79, cm84oje8txj7m34zuhhv68ct1, 8gxse7h6ucubo3weq7sp9dnf9, 10d8jj5vwrmib55tth0isfvft, 20ccu2ngcfo3cvczhzk682ju1, 1cyzpbgl74lage7toh7f1tgb9, brflebs8m00rgali2owyoyove, et72990p9axru09oxv51hokwl, 1to70vfsch5kwvw3kjgo1iggl, eb0h79vh5dwggjx7shj0ovetx, 40markro1yh7eibx2ajv5tm38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538241397,1,34,16,0,0,cz26xwowfjp8ei14n9z2ac135,1,0,0,2023-04-23T17:01:31.744Z,2023-04-23T17:37:29Z,4214757419,30,"68a0jc6cin6hxx0bkdch9hc5x, 7mdnewy67dddv3ahqw1qhbx05, dfodeak21qhzgxr7qs85f3vf9, cnq88jph2nrn0o2tosrp4rmxh, 230r9tcwg89z5b9kxdqwi336d, stp0u46f1xc7a2mgvbkoy76x, 19npqca9guxs7p2yl5sbjmbx1, 3fta0gg3ghja3x9ouubjjfzl5, e93vn46w6kk9xwdb8forgzil1, 9ov9x5gap2t34kv8clhwjqvh1, 8rt7o6te5ltvzz2srt8kpu2g9, cs3pg64kurip4uftscemh01k9, 50ef8q2ctd099il4iq14i0cfd, cvuaoz9c41od4r0j3sajszsut, 29r8ofc6v5wms17o8vq6myw2d, 3539ai0d63d8hiq0e1nrptb3e, f1xb9y38jfjmrhgv22svv9sa2, 661dbl84kjewuzg0zkd62t0mi",4214757431,197,9226,4214757421,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4214757427,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4214757425,130,8,4214757423,59,"1, 3, 2, 15, 22, 23, 7, 19, 26, 10, 8, 5, 11, 12, 14, 17, 18, 28",4214757433,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4214757429,194,9ov9x5gap2t34kv8clhwjqvh1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538282823,2,32,1,0,0,cz26xwowfjp8ei14n9z2ac135,1,0,0,2023-04-23T17:45:50.773Z,2023-04-23T17:45:53Z,4214980707,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538282807,2,32,1,0,0,36tr17foeaf9ejjmt2txuoy3y,1,0,0,2023-04-23T17:45:50.773Z,2023-04-23T17:45:50Z,4214980603,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538282839,3,1,1,0,0,cz26xwowfjp8ei14n9z2ac135,1,50.1,49.7,2023-04-23T17:45:51.219Z,2023-04-23T17:48:39Z,4214980791,279,S,4214980789,213,2.9,4214980787,212,14.2,4214980785,141,55.0,4214980783,140,37.0,4214980781,56,Back,,,,,,,8rt7o6te5ltvzz2srt8kpu2g9,E. Snerle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538282921,4,1,1,0,3,cz26xwowfjp8ei14n9z2ac135,1,39.9,34.5,2023-04-23T17:45:54.195Z,2023-04-23T17:45:56Z,4214981213,140,43.3,4214981217,141,13.4,4214981219,212,14.8,4214981209,56,Back,4214981221,213,5.0,,,,,,,,,,cnq88jph2nrn0o2tosrp4rmxh,L. Parker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538282935,5,1,1,0,5,cz26xwowfjp8ei14n9z2ac135,0,45,13.1,2023-04-23T17:45:56.292Z,2023-04-23T17:45:57Z,4214981289,140,52.6,4214981291,141,16.8,4214981293,212,8.4,4214981295,213,0.3,4214981287,56,Right,,,,,,,,,,230r9tcwg89z5b9kxdqwi336d,G. Fisk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538282967,3,49,1,0,9,36tr17foeaf9ejjmt2txuoy3y,1,53.5,84.8,2023-04-23T17:46:00.065Z,2023-04-23T17:51:08Z,,,,,,,,,,,,,,,,,,,,,,,,,3ddo1m631pf9ruzzpaujs9gph,F. Angeldahl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538283065,4,1,1,0,9,36tr17foeaf9ejjmt2txuoy3y,1,53.5,84.8,2023-04-23T17:46:00.160Z,2023-04-23T17:51:10Z,4214982051,141,91.5,4214982055,213,0.3,4214982053,212,14.7,4214982047,56,Left,4214982049,140,66.8,,,,,,,,,,3ddo1m631pf9ruzzpaujs9gph,F. Angeldahl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538283115,5,1,1,0,15,36tr17foeaf9ejjmt2txuoy3y,1,70,91.7,2023-04-23T17:46:06.088Z,2023-04-23T17:46:09Z,4214982321,213,3.5,4214982317,141,87.1,4214982315,140,63.0,4214982313,56,Left,4214982319,212,8.0,,,,,,,,,,10d8jj5vwrmib55tth0isfvft,L. Hemp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
